no,name,lanes,length,lnChgDist,is_conn,from_link,from_lane,from_pos,to_link,to_pos,n_out,n_in,is_sink,is_source
54,,4,43.2,200.0,False,,,,,,2,1,False,False
55,,4,471.4,200.0,False,,,,,,1,0,False,True
56,,4,470.0,200.0,False,,,,,,2,4,False,False
57,,2,418.8,200.0,False,,,,,,2,1,False,False
58,,2,410.0,200.0,False,,,,,,1,2,False,False
59,,4,37.9,200.0,False,,,,,,2,1,False,False
60,,4,255.0,200.0,False,,,,,,1,0,False,True
61,,2,447.9,200.0,False,,,,,,1,2,False,False
62,,2,405.0,200.0,False,,,,,,2,1,False,False
63,,1,14.5,200.0,False,,,,,,1,1,False,False
64,,1,20.3,200.0,False,,,,,,1,1,False,False
65,,1,15.5,200.0,False,,,,,,1,1,False,False
66,,4,2661.6,200.0,False,,,,,,3,0,False,True
67,,4,2660.8,200.0,False,,,,,,0,3,True,False
68,,4,1990.2,200.0,False,,,,,,2,5,False,False
69,,4,1796.8,200.0,False,,,,,,4,0,False,True
70,,2,338.3,200.0,False,,,,,,3,3,False,False
71,,5,82.6,200.0,False,,,,,,3,3,False,False
72,,4,708.4,200.0,False,,,,,,3,3,False,False
73,,4,710.7,200.0,False,,,,,,3,3,False,False
74,,4,2701.6,200.0,False,,,,,,1,0,False,True
75,,2,344.3,200.0,False,,,,,,1,1,False,False
76,,3,282.5,200.0,False,,,,,,3,0,False,True
77,,3,281.3,200.0,False,,,,,,0,3,True,False
78,,2,476.5,200.0,False,,,,,,1,3,False,False
79,,2,479.4,200.0,False,,,,,,3,1,False,False
80,,2,384.9,200.0,False,,,,,,3,0,False,True
81,,2,390.0,200.0,False,,,,,,0,3,True,False
82,,2,64.9,200.0,False,,,,,,2,3,False,False
83,,3,189.0,200.0,False,,,,,,3,2,False,False
84,,3,50.3,200.0,False,,,,,,3,2,False,False
85,,2,205.9,200.0,False,,,,,,2,3,False,False
86,,3,189.6,200.0,False,,,,,,2,3,False,False
87,,4,64.3,200.0,False,,,,,,2,2,False,False
88,,4,174.0,200.0,False,,,,,,3,2,False,False
89,,4,365.2,200.0,False,,,,,,0,3,True,False
90,,4,372.9,200.0,False,,,,,,3,0,False,True
91,,2,42.2,200.0,False,,,,,,2,0,False,True
92,,2,40.0,200.0,False,,,,,,0,2,True,False
93,,3,81.2,200.0,False,,,,,,2,2,False,False
94,,4,104.7,200.0,False,,,,,,2,2,False,False
95,,2,353.3,200.0,False,,,,,,0,2,True,False
96,,1,34.2,200.0,False,,,,,,1,1,False,False
97,,2,79.0,200.0,False,,,,,,2,0,False,True
98,,2,84.4,200.0,False,,,,,,0,2,True,False
99,,2,351.3,200.0,False,,,,,,2,0,False,True
100,,2,211.6,200.0,False,,,,,,1,1,False,False
101,,4,116.3,200.0,False,,,,,,2,3,False,False
102,,3,365.3,200.0,False,,,,,,2,2,False,False
103,,3,364.3,200.0,False,,,,,,2,2,False,False
104,,4,119.7,200.0,False,,,,,,3,2,False,False
105,,4,98.7,200.0,False,,,,,,2,2,False,False
106,,3,75.4,200.0,False,,,,,,2,1,False,False
107,,4,484.8,200.0,False,,,,,,3,3,False,False
108,,4,486.2,200.0,False,,,,,,3,3,False,False
109,,4,368.4,200.0,False,,,,,,0,3,True,False
110,,4,63.8,200.0,False,,,,,,1,2,False,False
111,,3,130.3,200.0,False,,,,,,2,0,False,True
112,,4,367.6,200.0,False,,,,,,3,0,False,True
113,,3,250.6,200.0,False,,,,,,2,0,False,True
114,,5,43.8,200.0,False,,,,,,1,3,False,False
115,,4,382.4,200.0,False,,,,,,0,3,True,False
116,,4,48.3,200.0,False,,,,,,2,1,False,False
117,,4,386.0,200.0,False,,,,,,3,0,False,True
118,,5,38.4,200.0,False,,,,,,2,2,False,False
122,,5,124.8,200.0,False,,,,,,2,2,False,False
128,,5,63.0,200.0,False,,,,,,3,2,False,False
136,,4,20.6,200.0,False,,,,,,2,2,False,False
138,,1,130.2,200.0,False,,,,,,1,0,False,True
140,,1,23.9,200.0,False,,,,,,0,2,True,False
141,,1,23.9,200.0,False,,,,,,2,0,False,True
142,,1,70.4,200.0,False,,,,,,0,1,True,False
164,,1,43.4,200.0,False,,,,,,1,0,False,True
165,,1,43.4,200.0,False,,,,,,0,2,True,False
166,,1,25.0,200.0,False,,,,,,1,0,False,True
167,,1,28.8,200.0,False,,,,,,0,2,True,False
168,,4,102.7,200.0,False,,,,,,2,1,False,False
170,,1,22.5,200.0,False,,,,,,1,1,False,False
172,,1,10.7,200.0,False,,,,,,1,1,False,False
173,,5,33.2,200.0,False,,,,,,2,2,False,False
174,,4,500.7,200.0,False,,,,,,2,2,False,False
176,,5,88.7,200.0,False,,,,,,3,2,False,False
178,,5,68.6,200.0,False,,,,,,3,2,False,False
182,,4,485.1,200.0,False,,,,,,2,1,False,False
183,,6,70.1,200.0,False,,,,,,3,2,False,False
187,,1,184.2,200.0,False,,,,,,2,0,False,True
188,,1,184.9,200.0,False,,,,,,0,2,True,False
189,,1,27.5,200.0,False,,,,,,2,0,False,True
190,,1,27.5,200.0,False,,,,,,0,2,True,False
194,,1,91.3,200.0,False,,,,,,2,1,False,False
196,,1,91.3,200.0,False,,,,,,1,2,False,False
197,,1,107.0,200.0,False,,,,,,2,0,False,True
198,,1,107.1,200.0,False,,,,,,0,2,True,False
199,,1,244.6,200.0,False,,,,,,1,2,False,False
200,,1,244.5,200.0,False,,,,,,2,1,False,False
201,,1,17.8,200.0,False,,,,,,2,0,False,True
202,,1,17.8,200.0,False,,,,,,0,2,True,False
209,,1,124.7,200.0,False,,,,,,2,0,False,True
210,,1,125.0,200.0,False,,,,,,0,2,True,False
213,,2,132.8,200.0,False,,,,,,2,1,False,False
217,,1,18.8,200.0,False,,,,,,2,0,False,True
218,,1,17.1,200.0,False,,,,,,0,2,True,False
221,,1,67.4,200.0,False,,,,,,0,1,True,False
222,,1,38.9,200.0,False,,,,,,1,1,False,False
223,,1,14.0,200.0,False,,,,,,1,1,False,False
224,,1,13.9,200.0,False,,,,,,2,0,False,True
225,,1,30.9,200.0,False,,,,,,2,0,False,True
226,,1,30.9,200.0,False,,,,,,0,2,True,False
227,,1,14.0,200.0,False,,,,,,0,1,True,False
236,,1,45.1,200.0,False,,,,,,2,0,False,True
237,,1,41.5,200.0,False,,,,,,0,2,True,False
240,,1,62.4,200.0,False,,,,,,2,0,False,True
241,,1,57.5,200.0,False,,,,,,0,2,True,False
242,,1,32.0,200.0,False,,,,,,2,0,False,True
243,,1,32.0,200.0,False,,,,,,0,2,True,False
245,,2,33.5,200.0,False,,,,,,2,2,False,False
247,,1,49.6,200.0,False,,,,,,1,0,False,True
248,,1,49.6,200.0,False,,,,,,0,1,True,False
249,,1,30.8,200.0,False,,,,,,1,0,False,True
250,,1,30.8,200.0,False,,,,,,0,1,True,False
251,,1,26.5,200.0,False,,,,,,2,0,False,True
252,,1,26.5,200.0,False,,,,,,0,2,True,False
254,,2,9.9,200.0,False,,,,,,1,2,False,False
255,,2,7.5,200.0,False,,,,,,1,2,False,False
256,,1,201.7,200.0,False,,,,,,1,0,False,True
257,,1,29.4,200.0,False,,,,,,1,0,False,True
259,,3,11.2,200.0,False,,,,,,2,1,False,False
260,,1,30.7,200.0,False,,,,,,0,1,True,False
261,,1,47.0,200.0,False,,,,,,0,1,True,False
265,,4,24.4,200.0,False,,,,,,2,1,False,False
268,,4,46.3,200.0,False,,,,,,1,2,False,False
269,,3,58.4,200.0,False,,,,,,2,1,False,False
270,,3,146.8,200.0,False,,,,,,2,1,False,False
271,,4,132.8,200.0,False,,,,,,2,2,False,False
274,,4,48.0,200.0,False,,,,,,2,2,False,False
275,,3,146.0,200.0,False,,,,,,2,1,False,False
276,,4,68.3,200.0,False,,,,,,1,2,False,False
277,,3,229.6,200.0,False,,,,,,1,1,False,False
278,,3,121.7,200.0,False,,,,,,1,1,False,False
279,,3,121.7,200.0,False,,,,,,1,1,False,False
280,,5,37.2,200.0,False,,,,,,1,2,False,False
281,,5,33.5,200.0,False,,,,,,2,1,False,False
282,,4,16.5,200.0,False,,,,,,2,2,False,False
289,,4,8.3,200.0,False,,,,,,2,1,False,False
290,,3,45.1,200.0,False,,,,,,1,1,False,False
291,,3,124.0,200.0,False,,,,,,1,1,False,False
292,,4,197.4,200.0,False,,,,,,1,1,False,False
293,,2,134.4,200.0,False,,,,,,1,0,False,True
294,,3,34.1,200.0,False,,,,,,1,1,False,False
295,,4,103.7,200.0,False,,,,,,2,2,False,False
296,,3,82.6,200.0,False,,,,,,2,1,False,False
297,,4,119.0,200.0,False,,,,,,1,3,False,False
298,,5,109.8,200.0,False,,,,,,3,2,False,False
308,,4,48.7,200.0,False,,,,,,2,3,False,False
309,,3,490.7,200.0,False,,,,,,3,1,False,False
310,,5,99.1,200.0,False,,,,,,3,2,False,False
311,,1,60.2,200.0,False,,,,,,0,1,True,False
314,,6,74.1,200.0,False,,,,,,3,3,False,False
316,,1,20.8,200.0,False,,,,,,1,1,False,False
317,,4,82.3,200.0,False,,,,,,2,1,False,False
319,,1,23.1,200.0,False,,,,,,1,1,False,False
321,,5,98.5,200.0,False,,,,,,1,2,False,False
322,,4,140.4,200.0,False,,,,,,2,1,False,False
324,,4,162.3,200.0,False,,,,,,2,1,False,False
325,,5,120.6,200.0,False,,,,,,1,2,False,False
326,,4,172.3,200.0,False,,,,,,1,1,False,False
327,,5,138.3,200.0,False,,,,,,1,2,False,False
328,,4,176.7,200.0,False,,,,,,2,3,False,False
329,,4,120.8,200.0,False,,,,,,3,1,False,False
332,,1,29.9,200.0,False,,,,,,1,1,False,False
334,,1,31.2,200.0,False,,,,,,0,1,True,False
336,,1,14.8,200.0,False,,,,,,1,1,False,False
337,,4,303.0,200.0,False,,,,,,2,1,False,False
340,,1,51.0,200.0,False,,,,,,1,0,False,True
341,,1,65.9,200.0,False,,,,,,2,0,False,True
342,,1,68.4,200.0,False,,,,,,0,2,True,False
343,,1,73.0,200.0,False,,,,,,2,0,False,True
344,,1,72.8,200.0,False,,,,,,0,2,True,False
353,,2,138.4,200.0,False,,,,,,2,2,False,False
354,,2,130.9,200.0,False,,,,,,2,1,False,False
355,,1,22.7,200.0,False,,,,,,1,0,False,True
356,,1,22.7,200.0,False,,,,,,0,1,True,False
357,,1,18.2,200.0,False,,,,,,0,1,True,False
358,,2,113.6,200.0,False,,,,,,2,2,False,False
359,,2,119.6,200.0,False,,,,,,2,2,False,False
360,,1,21.4,200.0,False,,,,,,2,0,False,True
361,,1,21.4,200.0,False,,,,,,0,2,True,False
364,,1,55.5,200.0,False,,,,,,2,0,False,True
365,,1,57.3,200.0,False,,,,,,0,2,True,False
367,,2,192.6,200.0,False,,,,,,2,1,False,False
371,,2,33.5,200.0,False,,,,,,0,0,True,True
374,,1,22.3,200.0,False,,,,,,1,1,False,False
378,,2,76.3,200.0,False,,,,,,2,2,False,False
379,,1,689.4,200.0,False,,,,,,2,0,False,True
380,,1,745.3,200.0,False,,,,,,0,1,True,False
381,,1,90.6,200.0,False,,,,,,1,1,False,False
382,,3,40.8,200.0,False,,,,,,1,1,False,False
383,,1,56.3,200.0,False,,,,,,1,1,False,False
385,,1,11.4,200.0,False,,,,,,1,1,False,False
387,,4,226.6,200.0,False,,,,,,2,2,False,False
403,,3,278.9,200.0,False,,,,,,2,1,False,False
404,,4,266.0,200.0,False,,,,,,1,2,False,False
407,,3,270.5,200.0,False,,,,,,1,2,False,False
408,,3,201.2,200.0,False,,,,,,2,1,False,False
409,,4,59.6,200.0,False,,,,,,1,2,False,False
410,,4,44.0,200.0,False,,,,,,1,2,False,False
411,,3,160.4,200.0,False,,,,,,1,1,False,False
412,,3,108.8,200.0,False,,,,,,2,1,False,False
413,,3,47.4,200.0,False,,,,,,2,1,False,False
416,,2,165.7,200.0,False,,,,,,3,1,False,False
417,,2,171.9,200.0,False,,,,,,1,3,False,False
420,,3,718.3,200.0,False,,,,,,2,3,False,False
421,,2,180.8,200.0,False,,,,,,1,1,False,False
422,,2,17.2,200.0,False,,,,,,1,1,False,False
423,,2,180.2,200.0,False,,,,,,1,1,False,False
424,,2,17.2,200.0,False,,,,,,1,1,False,False
425,,2,284.0,200.0,False,,,,,,2,1,False,False
426,,2,290.1,200.0,False,,,,,,1,2,False,False
427,,4,521.7,200.0,False,,,,,,3,2,False,False
459,,1,38.3,200.0,False,,,,,,2,0,False,True
460,,1,33.3,200.0,False,,,,,,0,2,True,False
461,,1,64.4,200.0,False,,,,,,2,0,False,True
462,,1,83.5,200.0,False,,,,,,2,0,False,True
463,,1,83.5,200.0,False,,,,,,0,1,True,False
467,,1,61.5,200.0,False,,,,,,2,0,False,True
468,,1,61.5,200.0,False,,,,,,0,2,True,False
469,,1,48.8,200.0,False,,,,,,2,0,False,True
470,,1,48.8,200.0,False,,,,,,0,2,True,False
10000,,2,12.5,1000.0,True,3.0,3 1,107.633032,1220017202.0,0.220747,0,0,False,False
10001,,2,17.5,1000.0,True,23.0,23 1,56.964103,4.0,0.516649,0,0,False,False
10002,,2,6.7,1000.0,True,6.0,6 1,26.585789,5.0,0.45829,0,0,False,False
10003,,2,8.6,1000.0,True,7.0,7 1,42.183614,8.0,0.55229,0,0,False,False
10004,,1,6.8,1000.0,True,7.0,7 2,43.446039,8.0,0.116713,0,0,False,False
10005,,2,45.5,1000.0,True,5.0,5 1,37.202186,3.0,0.322443,0,0,False,False
10006,,1,17.6,1000.0,True,23.0,23 2,57.011387,4.0,0.311932,0,0,False,False
10007,,1,35.1,1000.0,True,9.0,9 2,35.57464897354212,12.0,0.294631,0,0,False,False
10008,,1,20.6,1000.0,True,9.0,9 1,35.57464897354212,3.0,0.154673,0,0,False,False
10009,,1,31.5,1000.0,True,9.0,9 2,35.57464897354212,7.0,0.795908,0,0,False,False
10010,,2,45.9,1000.0,True,4.0,4 1,28.081131563686952,7.0,0.29484,0,0,False,False
10011,,1,34.1,1000.0,True,4.0,4 3,28.081131563686952,10.0,0.337675,0,0,False,False
10012,,1,24.0,1000.0,True,5.0,5 1,37.202186,10.0,0.581249,0,0,False,False
10013,,1,34.1,1000.0,True,5.0,5 2,37.202186,12.0,0.881049,0,0,False,False
10014,,1,36.1,1000.0,True,11.0,11 1,49.11750396221657,10.0,1.129347,0,0,False,False
10015,,1,38.8,1000.0,True,11.0,11 1,49.11750396221657,3.0,0.520245,0,0,False,False
10016,,1,25.0,1000.0,True,11.0,11 1,49.11750396221657,7.0,0.762826,0,0,False,False
10017,,2,32.5,1000.0,True,13.0,13 1,166.704624,6.0,0.842652,0,0,False,False
10018,,2,30.4,1000.0,True,8.0,8 1,27.232293,14.0,0.601482,0,0,False,False
10019,,1,16.7,1000.0,True,8.0,8 3,27.00409,16.0,0.048854,0,0,False,False
10020,,1,25.2,1000.0,True,13.0,13 1,166.940812,16.0,0.392171,0,0,False,False
10021,,1,11.0,1000.0,True,15.0,15 1,12.915277,6.0,0.583505,0,0,False,False
10022,,1,6.5,1000.0,True,274.0,274 4,47.20457635598634,1220019303.0,1.1483565426746272,0,0,False,False
10023,,4,43.5,1000.0,True,1220000201.0,1220000201 2,85.26937947782731,1220000402.0,0.21579532103873447,0,0,False,False
10024,,4,12.0,1000.0,True,1220000600.0,1220000600 1,16.822046088311687,174.0,1.046663076872517,0,0,False,False
10025,,4,45.4,1000.0,True,1220006903.0,1220006903 2,99.39585616470251,1220008501.0,2.3510441148423067,0,0,False,False
10026,,1,9.6,1000.0,True,271.0,271 4,131.27303386539165,274.0,0.7442842522669354,0,0,False,False
10027,,1,10.3,1000.0,True,128.0,128 1,61.63893102470194,470.0,0.8568838252441332,0,0,False,False
10028,,1,13.4,1000.0,True,121008402.0,121008402 1,69.55659642537445,468.0,0.8658025456574425,0,0,False,False
10029,,1,25.6,1000.0,True,1220008201.0,1220008201 1,91.41380696624633,1220008501.0,12.007307268853548,0,0,False,False
10030,,1,33.7,1000.0,True,128.0,128 5,62.398054357435406,468.0,0.9453167550706094,0,0,False,False
10031,,1,31.7,1000.0,True,121008402.0,121008402 5,74.69921814050075,470.0,0.46027453089735487,0,0,False,False
10032,,4,53.6,1000.0,True,1220018401.0,1220018401 2,165.43738011906672,1220014203.0,0.36134098301171147,0,0,False,False
10033,,1,20.3,1000.0,True,122.0,122 1,124.40727759986927,460.0,0.19159918128363537,0,0,False,False
10034,,1,32.0,1000.0,True,4.0,4 1,28.081131563686952,12.0,0.519096,0,0,False,False
10035,,4,22.2,1000.0,True,25.0,25 1,240.109293,1220001501.0,0.658151,0,0,False,False
10036,,1,20.8,1000.0,True,25.0,25 4,241.274561,1220001501.0,0.08477,0,0,False,False
10037,,1,11.0,1000.0,True,1220017202.0,1220017202 1,147.678023,27.0,0.65996,0,0,False,False
10038,,1,21.5,1000.0,True,27.0,27 1,24.261966,1220001602.0,34.317648,0,0,False,False
10039,,4,26.8,1000.0,True,1220001602.0,1220001602 1,138.743852,28.0,1.358682,0,0,False,False
10040,,4,19.5,1000.0,True,1220001900.0,1220001900 1,153.182418,25.0,0.637638,0,0,False,False
10041,,4,18.7,1000.0,True,28.0,28 1,235.586858,1220002001.0,0.225636,0,0,False,False
10042,,1,19.7,1000.0,True,28.0,28 4,235.759721,1220002001.0,1.233357,0,0,False,False
10043,,4,15.5,1000.0,True,35.0,35 1,79.276178,36.0,0.193764,0,0,False,False
10044,,4,16.2,1000.0,True,33.0,33 1,99.541195,34.0,0.324488,0,0,False,False
10045,,1,16.2,1000.0,True,33.0,33 4,99.845943,34.0,0.221933,0,0,False,False
10046,,4,13.5,1000.0,True,36.0,36 1,94.049327,1220001200.0,0.624844,0,0,False,False
10047,,1,13.7,1000.0,True,36.0,36 4,94.335678,1220001200.0,0.687665,0,0,False,False
10048,,4,8.7,1000.0,True,1220001100.0,1220001100 1,65.803301,33.0,0.658787,0,0,False,False
10049,,2,20.3,1000.0,True,1220015600.0,1220015600 1,172.434314,1210015600.0,0.976102,0,0,False,False
10050,,2,20.5,1000.0,True,1220015700.0,1220015700 1,145.435797,1210015700.0,0.490909,0,0,False,False
10051,,4,44.2,1000.0,True,1220001501.0,1220001501 1,136.128867,1220001100.0,0.39972,0,0,False,False
10052,,1,28.7,1000.0,True,1220001501.0,1220001501 1,136.68422739798754,1220015600.0,0.36391,0,0,False,False
10053,,2,34.3,1000.0,True,1220001501.0,1220001501 5,136.128867,1220017300.0,0.0,0,0,False,False
10054,,4,47.7,1000.0,True,1220001200.0,1220001200 1,60.12505187708032,1220001602.0,0.0,0,0,False,False
10055,,1,42.0,1000.0,True,1220001200.0,1220001200 5,60.12505187708032,1220015600.0,0.609392,0,0,False,False
10056,,1,31.9,1000.0,True,1220001200.0,1220001200 1,60.01325774569525,1220017300.0,0.12266,0,0,False,False
10057,,2,53.6,1000.0,True,1220017202.0,1220017202 1,164.21806973102085,1220015600.0,1.151006,0,0,False,False
10058,,1,42.8,1000.0,True,1220017202.0,1220017202 2,164.21806973102085,1220001100.0,0.47283,0,0,False,False
10059,,2,54.6,1000.0,True,1210015700.0,1210015700 1,168.998456,1220017300.0,0.0,0,0,False,False
10060,,1,48.1,1000.0,True,1210015700.0,1210015700 2,168.998456,1220001602.0,0.0,0,0,False,False
10061,,1,23.5,1000.0,True,1210015700.0,1210015700 1,167.37813675730618,1220001100.0,0.426365,0,0,False,False
10062,,4,25.7,1000.0,True,44.0,44 1,81.923273,45.0,0.299998,0,0,False,False
10063,,1,16.1,1000.0,True,1220020904.0,1220020904 1,173.7369346077895,1210019201.0,0.3782509694832168,0,0,False,False
10064,,2,51.7,1000.0,True,1220019303.0,1220019303 1,54.266921714905116,1220023201.0,0.18284290625748528,0,0,False,False
10065,,1,40.3,1000.0,True,1220019303.0,1220019303 3,54.81810096895241,1220020804.0,1.021561976785223,0,0,False,False
10066,,4,24.7,1000.0,True,42.0,42 1,156.372081,41.0,0.958441,0,0,False,False
10067,,1,25.0,1000.0,True,42.0,42 4,156.465013,41.0,0.885214,0,0,False,False
10068,,4,57.3,1000.0,True,34.0,34 1,69.52487495320229,44.0,0.69528,0,0,False,False
10069,,1,47.6,1000.0,True,34.0,34 5,69.52487495320229,51.0,0.125182,0,0,False,False
10070,,1,43.0,1000.0,True,34.0,34 1,69.52487495320229,49.0,0.499239,0,0,False,False
10071,,4,58.0,1000.0,True,41.0,41 1,73.265689,35.0,0.633619,0,0,False,False
10072,,1,47.0,1000.0,True,41.0,41 5,73.265689,49.0,0.483987,0,0,False,False
10073,,1,43.0,1000.0,True,41.0,41 1,73.265689,51.0,0.387571,0,0,False,False
10074,,1,54.7,1000.0,True,48.0,48 1,108.629105,51.0,0.12367,0,0,False,False
10075,,1,45.2,1000.0,True,48.0,48 1,108.715291,35.0,0.825708,0,0,False,False
10076,,1,20.4,1000.0,True,48.0,48 1,108.145809,44.0,0.131999,0,0,False,False
10077,,1,55.9,1000.0,True,50.0,50 1,113.280278,49.0,0.653312,0,0,False,False
10078,,1,23.9,1000.0,True,50.0,50 1,113.196316,35.0,1.027972,0,0,False,False
10079,,1,45.8,1000.0,True,50.0,50 1,113.448206,44.0,0.764147,0,0,False,False
10080,,4,30.2,1000.0,True,54.0,54 1,41.20801508846537,53.0,0.4211399957911714,0,0,False,False
10081,,4,12.7,1000.0,True,55.0,55 1,470.7739659348789,54.0,0.493112,0,0,False,False
10082,,5,16.8,1000.0,True,53.0,53 1,37.4848987060609,1220061200.0,2.052358326709541,0,0,False,False
10083,,5,20.3,1000.0,True,53.0,53 1,35.84771200176982,1220061200.0,3.8267932897768246,0,0,False,False
10084,,4,32.7,1000.0,True,54.0,54 1,39.07922788821271,53.0,0.5362387597362934,0,0,False,False
10085,,4,11.8,1000.0,True,60.0,60 1,253.901718,59.0,0.460733,0,0,False,False
10086,,4,14.8,1000.0,True,59.0,59 1,36.071674,1220002202.0,0.874388,0,0,False,False
10087,,1,14.7,1000.0,True,59.0,59 4,36.42533,1220002202.0,0.284686,0,0,False,False
10088,,1,14.0,1000.0,True,1220002202.0,1220002202 1,111.411939,63.0,0.407327,0,0,False,False
10089,,1,22.5,1000.0,True,1220019303.0,1220019303 1,53.943426948457756,1220022601.0,0.9512227122521348,0,0,False,False
10090,,1,13.2,1000.0,True,64.0,64 1,19.841868,1220002302.0,26.417252,0,0,False,False
10091,,1,10.6,1000.0,True,1220061200.0,1220061200 1,83.781436,64.0,0.536598,0,0,False,False
10092,,1,8.8,1000.0,True,65.0,65 1,14.944107,1220061100.0,20.326057999999986,0,0,False,False
10093,,1,35.6,1000.0,True,1220022501.0,1220022501 5,64.05111934838877,1210019201.0,1.0264930614869539,0,0,False,False
10094,,2,51.6,1000.0,True,1220023101.0,1220023101 1,108.43709029930848,1210019201.0,0.3685111159454111,0,0,False,False
10095,,2,48.1,1000.0,True,1210021904.0,1210021904 2,151.52562164153989,1220024901.0,0.9607229947827761,0,0,False,False
10096,,1,16.6,1000.0,True,1210021904.0,1210021904 1,150.62130720400626,1220024301.0,0.6874046659432193,0,0,False,False
10097,,2,39.8,1000.0,True,1210021904.0,1210021904 4,151.39837275186417,1220022504.0,0.6894561040961583,0,0,False,False
10098,,1,22.8,1000.0,True,1220022604.0,1220022604 1,81.62209630155891,1220021803.0,2.4087631705517705,0,0,False,False
10099,,2,42.9,1000.0,True,1220002202.0,1220002202 5,129.29516014724555,1220061100.0,0.4382429999999858,0,0,False,False
10100,,3,50.7,1000.0,True,1220024801.0,1220024801 1,155.0026628391457,1220021803.0,1.5757540019801195,0,0,False,False
10101,,1,38.4,1000.0,True,1220024201.0,1220024201 5,122.77384854087552,1220021803.0,2.165145922553427,0,0,False,False
10102,,3,47.1,1000.0,True,1210021304.0,1210021304 1,132.3476996745768,1220061100.0,0.07446446615239097,0,0,False,False
10103,,2,55.3,1000.0,True,1220043200.0,1220043200 2,16.090168994312023,1220000402.0,0.6403418910360178,0,0,False,False
10104,,1,1.3,1000.0,True,1210008303.0,1210008303 1,72.45002421372017,17.0,0.4854105690060063,0,0,False,False
10105,,1,4.5,1000.0,True,17.0,17 1,6.624915865928482,1220008603.0,8.626426968582773,0,0,False,False
10106,,1,1.4,1000.0,True,18.0,18 1,6.711923955135324,1220008603.0,4.511400473690978,0,0,False,False
10107,,1,22.4,1000.0,True,1210012001.0,1210012001 2,12.224081266103436,18.0,0.8014558071403802,0,0,False,False
10108,,1,1.5,1000.0,True,1210008703.0,1210008703 1,10.843038078437097,19.0,0.24067526140626533,0,0,False,False
10109,,1,6.9,1000.0,True,19.0,19 1,9.361759382962685,1220012101.0,1.0908077811895718,0,0,False,False
10110,,1,13.6,1000.0,True,383.0,383 1,54.55717169657088,1220000402.0,46.81655188087673,0,0,False,False
