link,d_total,d_after900,d_stop,ttt_nc,ttt_h0,length,lanes,is_conn
1220018501,0.08750000000000008,0.0902777777777779,0.001388888888888889,3.8749999999999982,3.9624999999999986,182.9,4,False
1220021904,0.0819444444444447,0.065277777777778,0.02361111111111111,0.8611111111111094,0.9430555555555541,17.7,4,False
1210012101,0.08194444444444436,0.05694444444444438,-0.011111111111111117,3.345833333333332,3.4277777777777763,409.6,2,False
10479,0.08194444444444415,0.08055555555555534,0.0,4.045833333333332,4.127777777777776,257.6,1,True
417,0.08055555555555562,0.0888888888888889,0.0,1.154166666666665,1.2347222222222207,171.9,2,False
1220007501,0.07916666666666665,0.08194444444444435,0.059722222222222225,7.833333333333332,7.912499999999999,147.8,2,False
343,0.07916666666666644,0.07916666666666644,0.06944444444444445,6.009722222222221,6.088888888888888,73.0,1,False
274,0.07083333333333337,0.07083333333333347,0.06388888888888888,0.991666666666665,1.0624999999999984,48.0,4,False
94,0.07083333333333329,0.05694444444444449,0.08750000000000002,9.62361111111111,9.694444444444443,104.7,4,False
10553,0.06805555555555559,0.06805555555555559,0.06388888888888888,0.1513888888888865,0.2194444444444421,29.6,1,True
426,0.06666666666666679,0.044444444444444585,0.0,3.0208333333333317,3.0874999999999986,290.1,2,False
10609,0.06388888888888909,0.0625000000000002,0.05277777777777778,0.5458333333333313,0.6097222222222204,37.7,1,True
38,0.06388888888888856,0.09166666666666637,-0.04722222222222222,7.481944444444443,7.545833333333332,548.6,3,False
1220018201,0.0611111111111113,0.0513888888888891,0.025,3.390277777777776,3.4513888888888875,287.1,3,False
1220007104,0.059722222222222135,0.07638888888888885,-0.10555555555555554,5.48611111111111,5.545833333333332,293.8,2,False
1210012700,0.0597222222222218,0.06527777777777731,0.0708333333333333,6.529166666666666,6.588888888888888,137.5,4,False
1210008703,0.05833333333333359,0.05972222222222237,0.05000000000000001,2.565277777777776,2.6236111111111096,21.0,2,False
10502,0.0583333333333332,0.0555555555555554,0.061111111111111116,0.3194444444444435,0.3777777777777767,4.9,2,True
1220024901,0.05833333333333311,0.04861111111111091,-0.001388888888888889,3.3708333333333322,3.4291666666666654,159.2,3,False
269,0.05694444444444469,0.051388888888889095,-0.004166666666666667,0.9263888888888872,0.9833333333333318,58.4,3,False
1220018403,0.056944444444444395,0.073611111111111,0.01388888888888889,6.19861111111111,6.255555555555555,146.3,4,False
10281,0.0541666666666665,0.055555555555555296,0.03888888888888889,0.1277777777777762,0.1819444444444427,13.4,1,True
1220021902,0.052777777777778014,0.05138888888888902,0.0,0.676388888888887,0.7291666666666651,27.0,3,False
10550,0.05277777777777768,0.05972222222222219,0.05138888888888889,1.3624999999999983,1.415277777777776,31.8,4,True
10119,0.052777777777777396,0.0499999999999997,0.0,0.3916666666666655,0.4444444444444429,130.6,2,True
1210009503,0.05138888888888885,0.047222222222222256,0.03194444444444444,4.229166666666665,4.280555555555554,68.4,4,False
423,0.05138888888888869,0.03611111111111101,0.0,1.8958333333333321,1.9472222222222209,180.2,2,False
10133,0.049999999999999996,0.05,0.024999999999999998,1.8902777777777762,1.9402777777777762,14.0,4,True
10503,0.0486111111111113,0.03194444444444461,0.034722222222222224,0.3458333333333316,0.3944444444444429,5.1,3,True
72,0.048611111111110966,0.05555555555555536,0.09722222222222221,10.380555555555555,10.429166666666665,708.4,4,False
10159,0.04583333333333339,0.04583333333333339,0.044444444444444446,0.2791666666666646,0.324999999999998,14.1,1,True
314,0.04583333333333297,0.04166666666666627,0.05277777777777778,1.7402777777777765,1.7861111111111094,74.1,6,False
168,0.045833333333332914,0.04583333333333291,0.0375,0.8444444444444431,0.8902777777777761,102.7,4,False
10146,0.0444444444444449,0.04305555555555589,-0.001388888888888889,1.080555555555554,1.124999999999999,22.5,4,True
109,0.044444444444444245,0.034722222222222154,0.0,7.059722222222221,7.104166666666665,368.4,4,False
270,0.04305555555555588,0.03472222222222248,0.0,2.9999999999999982,3.0430555555555543,146.8,3,False
