posbin,lane,rows,stopped,speed,run,link
3250,4,3253,1,100.97917,nc200,26
3500,1,9262,4278,20.748413,nc200,26
3500,2,2636,39,80.382706,nc200,26
3500,3,3097,8,94.521835,nc200,26
3500,4,3271,6,100.22611,nc200,26
3750,1,3000,11,58.794975,nc200,26
3750,2,3568,6,53.22595,nc200,26
3750,3,3180,6,90.54237,nc200,26
3750,4,3385,3,100.26841,nc200,26
4000,1,2758,0,70.13048,nc200,26
4000,2,3073,2,68.76454,nc200,26
4000,3,3371,0,87.0984,nc200,26
4000,4,3728,1,97.177,nc200,26
4250,1,2024,0,104.13424,nc200,26
4250,2,2170,0,103.11769,nc200,26
4250,3,2712,0,105.034065,nc200,26
4250,4,3067,0,106.81826,nc200,26
4500,1,1922,0,112.01012,nc200,26
4500,2,2103,0,111.816765,nc200,26
4500,3,2574,0,111.92266,nc200,26
4500,4,2828,0,111.52378,nc200,26
4750,1,1922,0,114.57319,nc200,26
4750,2,2145,0,115.11829,nc200,26
4750,3,2494,0,113.953575,nc200,26
4750,4,2645,0,112.28586,nc200,26
5000,1,2650,0,113.24762,nc200,26
5000,2,2180,0,113.880936,nc200,26
5000,3,2285,0,114.12839,nc200,26
5000,4,2132,0,113.390175,nc200,26
5250,1,3158,0,110.94696,nc200,26
5250,2,2186,0,113.82855,nc200,26
5250,3,2024,0,115.106094,nc200,26
5250,4,1879,0,114.382126,nc200,26
5500,1,3256,0,110.07966,nc200,26
5500,2,2179,0,115.21148,nc200,26
5500,3,1953,0,116.15609,nc200,26
5500,4,1840,0,114.976875,nc200,26
5750,1,2616,9,102.50171,nc200,26
5750,2,2277,132,100.72401,nc200,26
5750,3,2078,10,110.9969,nc200,26
5750,4,1933,1,111.80055,nc200,26
6000,1,3121,20,57.698215,nc200,26
6000,2,2641,15,86.667435,nc200,26
6000,3,2499,2,99.81543,nc200,26
6000,4,2321,1,105.69914,nc200,26
6250,1,959,0,104.662285,nc200,26
6250,2,1472,0,104.50366,nc200,26
6250,3,2188,0,102.25207,nc200,26
6250,4,2490,0,105.59833,nc200,26
6500,1,1056,0,110.516685,nc200,26
6500,2,1606,0,111.38702,nc200,26
6500,3,1958,0,105.61989,nc200,26
6500,4,2166,0,110.555984,nc200,26
6750,1,4678,22,43.31665,nc200,26
6750,2,2942,14,72.22194,nc200,26
6750,3,2728,7,91.72091,nc200,26
6750,4,2676,4,99.73536,nc200,26
7000,1,3956,1,40.954773,nc200,26
7000,2,3461,1,59.412075,nc200,26
7000,3,3173,1,85.79936,nc200,26
7000,4,3225,4,94.83427,nc200,26
7250,1,3490,0,40.683975,nc200,26
7250,2,3783,1,56.77083,nc200,26
7250,3,3302,1,81.99092,nc200,26
7250,4,3442,1,93.10174,nc200,26
7500,1,3335,1,42.797832,nc200,26
7500,2,3922,0,55.128044,nc200,26
7500,3,3332,2,79.81225,nc200,26
7500,4,3467,5,92.529724,nc200,26
7750,1,3265,2,44.491024,nc200,26
7750,2,4021,0,53.46024,nc200,26
7750,3,3372,4,78.8056,nc200,26
7750,4,3537,8,89.6599,nc200,26
8000,1,2634,0,59.612495,nc200,26
8000,2,3099,1,65.29345,nc200,26
8000,3,3148,3,85.088135,nc200,26
8000,4,3432,3,92.90217,nc200,26
8250,1,1783,1,97.00562,nc200,26
8250,2,2083,4,99.22618,nc200,26
8250,3,2541,2,101.93194,nc200,26
8250,4,2853,0,103.62344,nc200,26
8500,1,1686,1,109.01844,nc200,26
8500,2,1941,0,109.59157,nc200,26
8500,3,2409,0,109.45063,nc200,26
8500,4,2591,0,109.873695,nc200,26
8750,1,1649,0,113.37116,nc200,26
8750,2,1929,0,113.29141,nc200,26
8750,3,2280,0,112.578575,nc200,26
8750,4,2437,0,111.98403,nc200,26
9000,1,1650,0,115.05996,nc200,26
9000,2,1953,0,115.65177,nc200,26
9000,3,2242,0,114.38961,nc200,26
9000,4,2349,0,113.56967,nc200,26
9250,1,1645,0,116.396126,nc200,26
9250,2,1914,0,116.77381,nc200,26
9250,3,2256,0,114.86468,nc200,26
9250,4,2297,0,113.97192,nc200,26
9500,1,1591,0,117.37217,nc200,26
9500,2,1978,0,117.4501,nc200,26
9500,3,2273,0,115.26825,nc200,26
9500,4,2248,0,114.07555,nc200,26
9750,1,1631,0,117.252686,nc200,26
9750,2,1921,0,117.59267,nc200,26
9750,3,2218,0,115.717445,nc200,26
9750,4,2220,0,114.15322,nc200,26
10000,1,1633,0,117.50113,nc200,26
10000,2,1999,0,117.20499,nc200,26
10000,3,2238,0,115.64184,nc200,26
10000,4,2177,0,113.94939,nc200,26
10250,1,1652,0,117.118004,nc200,26
10250,2,2003,0,117.38243,nc200,26
10250,3,2228,0,115.09019,nc200,26
10250,4,2150,0,114.05818,nc200,26
10500,1,1680,0,117.44877,nc200,26
10500,2,1965,0,117.34772,nc200,26
10500,3,2251,0,115.5985,nc200,26
10500,4,2128,0,114.15887,nc200,26
10750,1,417,0,119.34609,nc200,26
10750,2,478,0,118.79071,nc200,26
10750,3,500,0,116.75924,nc200,26
10750,4,505,0,115.7121,nc200,26
0,1,23212,17092,7.6728334,h0_1000,2
0,2,19056,8987,13.314994,h0_1000,2
0,3,17147,6670,16.913933,h0_1000,2
0,4,15765,5443,18.88091,h0_1000,2
250,1,24746,19073,6.647732,h0_1000,2
250,2,20654,10272,12.157074,h0_1000,2
250,3,17423,6481,17.35217,h0_1000,2
250,4,15813,4947,20.139624,h0_1000,2
500,1,26182,21325,5.5805683,h0_1000,2
500,2,22256,12487,10.15896,h0_1000,2
500,3,17135,5419,17.93401,h0_1000,2
500,4,14501,3503,23.567444,h0_1000,2
750,1,27107,22955,4.6196713,h0_1000,2
750,2,23545,14466,8.6819725,h0_1000,2
750,3,16368,4141,19.029364,h0_1000,2
750,4,13543,2175,26.490463,h0_1000,2
1000,1,28542,23992,4.4114037,h0_1000,2
1000,2,24447,14677,8.170259,h0_1000,2
1000,3,14543,1782,20.52287,h0_1000,2
1000,4,10551,531,34.32691,h0_1000,2
1250,1,30005,24162,4.7335668,h0_1000,2
1250,2,24124,13808,8.311197,h0_1000,2
1250,3,10089,730,25.416546,h0_1000,2
1250,4,7853,430,46.930714,h0_1000,2
1500,1,30071,22343,5.323703,h0_1000,2
1500,2,22811,14335,7.5287356,h0_1000,2
1500,3,10791,3041,21.96113,h0_1000,2
1500,4,9107,1538,38.048065,h0_1000,2
1750,1,28223,18014,6.8961563,h0_1000,2
1750,2,24012,17971,5.2205887,h0_1000,2
1750,3,18178,12025,10.377412,h0_1000,2
1750,4,9137,1633,38.609947,h0_1000,2
2000,1,2295,397,36.731766,h0_1000,2
2000,2,2512,812,40.41003,h0_1000,2
2000,3,2263,1,83.93374,h0_1000,2
2000,4,3100,0,87.58577,h0_1000,2
2250,1,1901,0,65.0139,h0_1000,2
2250,2,2087,1,64.80046,h0_1000,2
2250,3,2108,0,92.873566,h0_1000,2
2250,4,2171,1,102.26124,h0_1000,2
2500,1,1703,0,70.337654,h0_1000,2
2500,2,1853,0,71.05778,h0_1000,2
2500,3,2087,0,95.72092,h0_1000,2
2500,4,2172,0,103.71665,h0_1000,2
2750,1,1083,0,102.74874,h0_1000,2
2750,2,1343,0,105.361946,h0_1000,2
2750,3,1818,0,108.85579,h0_1000,2
2750,4,2026,0,110.034294,h0_1000,2
3000,1,1046,0,113.766525,h0_1000,2
3000,2,1352,0,116.356544,h0_1000,2
3000,3,1750,0,114.35895,h0_1000,2
3000,4,1718,0,113.52329,h0_1000,2
3250,1,1659,395,79.344635,h0_1000,2
3250,2,2296,302,91.70646,h0_1000,2
3250,3,1517,1,113.65987,h0_1000,2
3250,4,1452,0,113.37272,h0_1000,2
3500,1,10764,8118,13.8172035,h0_1000,2
3500,2,10818,7514,17.214077,h0_1000,2
3500,3,1825,8,94.02772,h0_1000,2
3500,4,1500,3,104.78547,h0_1000,2
3750,1,20447,16272,8.228985,h0_1000,2
3750,2,19915,15411,7.84694,h0_1000,2
3750,3,2546,29,59.966232,h0_1000,2
3750,4,1881,5,94.14362,h0_1000,2
4000,1,9431,6631,16.593819,h0_1000,2
4000,2,8955,6863,10.362695,h0_1000,2
4000,3,2755,915,44.441727,h0_1000,2
4000,4,1789,11,96.45932,h0_1000,2
4250,1,2270,9,76.67059,h0_1000,2
4250,2,696,3,102.82005,h0_1000,2
4250,3,1048,0,114.40166,h0_1000,2
4250,4,1254,0,113.887924,h0_1000,2
4500,1,1024,0,45.858185,h0_1000,2
4500,2,717,0,85.63884,h0_1000,2
4500,3,852,0,113.90929,h0_1000,2
4500,4,1000,0,114.19164,h0_1000,2
-250,1,17,13,5.1476474,h0_1000,74
-250,2,25,14,5.5156,h0_1000,74
-250,3,20,13,4.513,h0_1000,74
-250,4,14,12,2.4235713,h0_1000,74
0,1,18984,8558,16.159416,h0_1000,74
0,2,18752,8028,16.588013,h0_1000,74
0,3,18653,7607,16.941826,h0_1000,74
0,4,18255,7133,17.523514,h0_1000,74
250,1,18088,8648,16.662329,h0_1000,74
250,2,17746,7992,17.120651,h0_1000,74
250,3,17236,7323,18.318335,h0_1000,74
250,4,17415,7453,18.250235,h0_1000,74
500,1,18301,9130,16.069607,h0_1000,74
500,2,17671,7868,16.90539,h0_1000,74
500,3,17285,7503,17.816156,h0_1000,74
500,4,17261,7554,18.206497,h0_1000,74
750,1,18588,9604,15.310746,h0_1000,74
750,2,17694,7928,17.056868,h0_1000,74
750,3,17411,7627,17.527788,h0_1000,74
750,4,17003,7345,18.379019,h0_1000,74
1000,1,18998,9851,14.709234,h0_1000,74
1000,2,18061,8299,16.263687,h0_1000,74
1000,3,17613,7940,16.92341,h0_1000,74
1000,4,16948,7143,18.126228,h0_1000,74
1250,1,19684,10720,13.60915,h0_1000,74
1250,2,18272,8264,15.962572,h0_1000,74
1250,3,18027,8001,16.546875,h0_1000,74
1250,4,17452,7339,17.477123,h0_1000,74
1500,1,20548,11713,12.565359,h0_1000,74
1500,2,18221,8199,15.956597,h0_1000,74
1500,3,18066,7961,16.25379,h0_1000,74
1500,4,17432,7103,17.347551,h0_1000,74
1750,1,20854,12423,11.918892,h0_1000,74
1750,2,18624,8357,15.257837,h0_1000,74
1750,3,18142,7866,16.124228,h0_1000,74
1750,4,17358,7159,17.138235,h0_1000,74
2000,1,21433,13199,11.10981,h0_1000,74
2000,2,18865,8818,14.596939,h0_1000,74
2000,3,18039,7867,16.09568,h0_1000,74
2000,4,17199,7055,17.545187,h0_1000,74
2250,1,22183,14396,10.023412,h0_1000,74
2250,2,19199,9061,14.07968,h0_1000,74
2250,3,17741,7403,16.623713,h0_1000,74
2250,4,17196,6910,17.299015,h0_1000,74
2500,1,18143,12579,8.842522,h0_1000,74
2500,2,15238,7327,13.602192,h0_1000,74
2500,3,13683,5489,17.07122,h0_1000,74
2500,4,13119,5029,18.00629,h0_1000,74
-250,1,7,2,11.72,h0_1000,26
-250,2,32,20,7.8884373,h0_1000,26
-250,3,23,16,4.9513044,h0_1000,26
-250,4,21,17,3.3595235,h0_1000,26
0,1,15251,4308,24.127375,h0_1000,26
0,2,15212,3953,24.411392,h0_1000,26
0,3,15256,4050,24.093714,h0_1000,26
0,4,15010,3876,24.51775,h0_1000,26
250,1,13659,4008,26.850504,h0_1000,26
250,2,13534,3486,27.094454,h0_1000,26
250,3,13535,3656,26.97994,h0_1000,26
250,4,13205,3448,27.930088,h0_1000,26
500,1,13553,4028,27.064785,h0_1000,26
500,2,13403,3593,26.681292,h0_1000,26
500,3,13459,3515,26.851755,h0_1000,26
500,4,13231,3546,27.470297,h0_1000,26
750,1,13914,4122,25.616304,h0_1000,26
750,2,13897,3966,25.809685,h0_1000,26
750,3,13793,3725,26.003466,h0_1000,26
750,4,13607,3735,26.750101,h0_1000,26
1000,1,14104,4086,25.120966,h0_1000,26
1000,2,14085,4022,25.186172,h0_1000,26
1000,3,14046,3861,25.247845,h0_1000,26
1000,4,13638,3582,26.029547,h0_1000,26
1250,1,14159,4121,24.92664,h0_1000,26
1250,2,14140,3904,25.042645,h0_1000,26
1250,3,14082,3730,25.017286,h0_1000,26
1250,4,13822,3652,25.772575,h0_1000,26
1500,1,14580,4487,23.282648,h0_1000,26
1500,2,14130,3765,24.907415,h0_1000,26
1500,3,14158,3839,24.621717,h0_1000,26
1500,4,13417,3321,26.702759,h0_1000,26
1750,1,15340,5297,21.250347,h0_1000,26
1750,2,14643,4221,23.408003,h0_1000,26
1750,3,14030,3483,25.141336,h0_1000,26
1750,4,13199,2825,27.759192,h0_1000,26
2000,1,17007,6893,17.762613,h0_1000,26
2000,2,15119,4328,22.44222,h0_1000,26
2000,3,13987,3229,25.778917,h0_1000,26
2000,4,12677,2120,29.42268,h0_1000,26
2250,1,20018,10146,12.689739,h0_1000,26
2250,2,15996,4307,20.56988,h0_1000,26
2250,3,13452,2291,27.79149,h0_1000,26
2250,4,11404,1106,35.508434,h0_1000,26
2500,1,21990,12573,11.244927,h0_1000,26
2500,2,13570,1806,23.628496,h0_1000,26
2500,3,10516,693,35.343067,h0_1000,26
2500,4,8774,251,46.525867,h0_1000,26
2750,1,21344,10635,14.292561,h0_1000,26
2750,2,10057,533,29.959036,h0_1000,26
2750,3,6850,78,49.25168,h0_1000,26
2750,4,6137,36,63.643276,h0_1000,26
3000,1,16107,4841,25.586937,h0_1000,26
3000,2,4662,33,53.417137,h0_1000,26
3000,3,3875,6,80.61349,h0_1000,26
3000,4,4059,0,89.14925,h0_1000,26
3250,1,10774,2614,37.66708,h0_1000,26
3250,2,2697,26,82.27023,h0_1000,26
3250,3,3105,6,94.299835,h0_1000,26
3250,4,3314,6,99.693344,h0_1000,26
3500,1,9742,4923,19.424105,h0_1000,26
3500,2,2673,45,80.295044,h0_1000,26
3500,3,3067,10,94.29984,h0_1000,26
3500,4,3283,1,101.05134,h0_1000,26
3750,1,3120,15,56.761013,h0_1000,26
3750,2,3527,7,54.65916,h0_1000,26
3750,3,3190,11,90.81691,h0_1000,26
3750,4,3318,4,100.167625,h0_1000,26
4000,1,2803,0,69.08045,h0_1000,26
4000,2,3030,0,69.53645,h0_1000,26
4000,3,3379,1,86.88782,h0_1000,26
4000,4,3758,2,95.38748,h0_1000,26
4250,1,2002,0,101.57684,h0_1000,26
4250,2,2291,0,103.10613,h0_1000,26
4250,3,2775,0,104.769806,h0_1000,26
4250,4,3051,0,106.12048,h0_1000,26
4500,1,1891,0,110.33306,h0_1000,26
4500,2,2230,0,111.875854,h0_1000,26
4500,3,2571,0,110.72853,h0_1000,26
4500,4,2751,0,110.279106,h0_1000,26
4750,1,1922,0,113.27812,h0_1000,26
4750,2,2245,0,113.71111,h0_1000,26
4750,3,2582,0,113.072945,h0_1000,26
4750,4,2594,0,111.429924,h0_1000,26
5000,1,2732,2,111.22095,h0_1000,26
5000,2,2300,0,112.434616,h0_1000,26
5000,3,2303,0,112.983696,h0_1000,26
5000,4,2033,0,112.4883,h0_1000,26
5250,1,3180,0,109.8231,h0_1000,26
5250,2,2270,0,112.8942,h0_1000,26
5250,3,2041,0,113.999466,h0_1000,26
5250,4,1840,0,114.24031,h0_1000,26
5500,1,3322,0,110.06654,h0_1000,26
5500,2,2216,0,114.077034,h0_1000,26
5500,3,1941,0,115.49401,h0_1000,26
5500,4,1790,0,114.98957,h0_1000,26
5750,1,2652,7,103.96278,h0_1000,26
5750,2,2231,81,104.60615,h0_1000,26
5750,3,2077,3,110.86436,h0_1000,26
5750,4,1919,1,110.76576,h0_1000,26
6000,1,3117,22,57.153526,h0_1000,26
6000,2,2654,12,87.57882,h0_1000,26
6000,3,2524,2,100.86969,h0_1000,26
6000,4,2242,3,105.214966,h0_1000,26
6250,1,971,0,103.04818,h0_1000,26
6250,2,1503,0,105.350624,h0_1000,26
6250,3,2213,0,102.70005,h0_1000,26
6250,4,2371,0,106.61789,h0_1000,26
6500,1,1034,0,109.83533,h0_1000,26
6500,2,1584,0,110.617096,h0_1000,26
6500,3,1979,0,106.75461,h0_1000,26
6500,4,2118,0,110.57822,h0_1000,26
6750,1,4564,47,43.896496,h0_1000,26
6750,2,3099,17,68.80718,h0_1000,26
6750,3,2771,9,89.06559,h0_1000,26
6750,4,2680,1,98.5668,h0_1000,26
7000,1,3859,0,42.31983,h0_1000,26
7000,2,3698,2,58.040306,h0_1000,26
7000,3,3248,4,80.622116,h0_1000,26
7000,4,3299,3,91.273224,h0_1000,26
7250,1,3559,0,42.32412,h0_1000,26
7250,2,3894,3,55.021034,h0_1000,26
7250,3,3432,3,77.46458,h0_1000,26
7250,4,3547,9,88.66891,h0_1000,26
7500,1,3310,5,44.24159,h0_1000,26
7500,2,4038,2,53.035877,h0_1000,26
7500,3,3584,16,74.72838,h0_1000,26
7500,4,3634,6,85.52619,h0_1000,26
7750,1,3193,5,45.683674,h0_1000,26
7750,2,4119,2,51.688683,h0_1000,26
7750,3,3618,6,74.52904,h0_1000,26
7750,4,3691,12,83.805115,h0_1000,26
8000,1,2663,0,60.967815,h0_1000,26
8000,2,3162,0,63.56344,h0_1000,26
8000,3,3304,4,81.0069,h0_1000,26
8000,4,3457,7,88.48966,h0_1000,26
8250,1,1829,0,98.537155,h0_1000,26
8250,2,2098,0,100.251114,h0_1000,26
8250,3,2571,0,102.567825,h0_1000,26
8250,4,2685,0,103.92862,h0_1000,26
8500,1,1726,0,109.437126,h0_1000,26
8500,2,1977,0,109.73057,h0_1000,26
8500,3,2357,0,110.21842,h0_1000,26
8500,4,2468,1,110.06741,h0_1000,26
8750,1,1693,0,113.84882,h0_1000,26
8750,2,1949,0,113.99189,h0_1000,26
8750,3,2250,0,113.21644,h0_1000,26
8750,4,2358,0,112.034164,h0_1000,26
9000,1,1706,0,114.660835,h0_1000,26
9000,2,1916,0,116.134865,h0_1000,26
9000,3,2217,0,114.910225,h0_1000,26
9000,4,2235,0,113.21383,h0_1000,26
9250,1,1645,0,116.06321,h0_1000,26
9250,2,1986,0,116.374725,h0_1000,26
9250,3,2200,0,115.49988,h0_1000,26
9250,4,2211,0,113.633865,h0_1000,26
9500,1,1646,0,116.73717,h0_1000,26
9500,2,1978,0,117.304085,h0_1000,26
9500,3,2240,0,115.60535,h0_1000,26
9500,4,2168,0,113.69585,h0_1000,26
9750,1,1662,0,116.924416,h0_1000,26
9750,2,1980,0,117.790924,h0_1000,26
9750,3,2229,0,115.92924,h0_1000,26
9750,4,2129,0,113.93339,h0_1000,26
10000,1,1621,0,117.03042,h0_1000,26
10000,2,1990,0,117.82042,h0_1000,26
10000,3,2223,0,116.155235,h0_1000,26
10000,4,2052,0,114.22764,h0_1000,26
10250,1,1682,0,116.94223,h0_1000,26
10250,2,2007,0,118.2039,h0_1000,26
10250,3,2225,0,116.2264,h0_1000,26
10250,4,2075,0,113.97468,h0_1000,26
10500,1,1643,0,116.49904,h0_1000,26
10500,2,2006,0,118.1892,h0_1000,26
10500,3,2219,0,115.9253,h0_1000,26
10500,4,2043,0,114.251884,h0_1000,26
10750,1,413,0,117.34063,h0_1000,26
10750,2,480,0,118.83204,h0_1000,26
10750,3,528,0,117.32445,h0_1000,26
10750,4,455,0,115.00262,h0_1000,26
0,1,16112,6756,17.527191,g1_200ctl,2
0,2,15448,5495,19.652771,g1_200ctl,2
0,3,14490,4415,22.467102,g1_200ctl,2
0,4,13719,3820,23.63111,g1_200ctl,2
250,1,17753,8130,15.307834,g1_200ctl,2
250,2,16534,5937,18.460024,g1_200ctl,2
250,3,15123,4353,22.200243,g1_200ctl,2
250,4,13619,3000,25.874804,g1_200ctl,2
500,1,19122,9628,13.020992,g1_200ctl,2
500,2,17478,6757,16.88873,g1_200ctl,2
500,3,14375,3289,24.015467,g1_200ctl,2
500,4,12482,1981,29.436907,g1_200ctl,2
750,1,20969,12497,10.040252,g1_200ctl,2
750,2,17687,6475,16.783491,g1_200ctl,2
750,3,13121,2190,26.502182,g1_200ctl,2
750,4,11013,1008,35.1017,g1_200ctl,2
