t,wait,veh,route,link,pos
2544.0,45.0,8939,1113 - 3,329,113.0
2549.0,45.0,19441,1136 - 1,32,1021.1
2563.0,45.0,16865,1124 - 1,66,2652.5
2569.0,45.0,12060,1113 - 3,329,103.0
2585.0,45.0,15245,1159 - 1,310,85.8
2596.0,45.0,5711,1113 - 3,329,113.0
2598.0,45.0,9196,1113 - 3,329,108.0
2601.0,45.0,10374,1140 - 1,71,68.4
2612.0,45.0,17325,1124 - 1,66,2652.5
2620.0,45.0,12751,1113 - 3,329,103.0
2645.0,45.0,8843,1113 - 3,329,113.0
2651.0,45.0,20327,1136 - 1,32,1021.1
2660.0,45.0,17253,1124 - 1,66,2652.5
2670.0,45.0,15207,1159 - 1,310,85.8
2670.0,45.0,18162,1142 - 2,80,378.8
2673.0,45.0,21037,1157 - 3,117,376.8
2675.0,45.0,13201,1113 - 3,329,103.0
2679.0,45.0,6891,1137 - 3,31,729.9
2694.0,45.0,9328,1113 - 3,329,108.0
2700.0,45.0,20133,1136 - 1,32,1021.1
2709.0,45.0,17416,1124 - 1,66,2652.5
2718.0,45.0,15479,1159 - 1,310,85.8
2721.0,45.0,21059,1157 - 3,117,376.8
2724.0,45.0,14087,1113 - 3,329,103.0
2740.0,45.0,15846,1113 - 2,321,90.3
2743.0,45.0,9099,1113 - 3,329,108.0
2746.0,45.0,3871,1113 - 3,329,113.0
2751.0,45.0,20336,1136 - 1,32,1021.1
2766.0,45.0,15885,1159 - 1,310,85.8
2770.0,45.0,21068,1157 - 3,117,376.8
2772.0,45.0,14412,1113 - 3,329,103.0
2773.0,45.0,17780,1124 - 1,66,2652.5
2790.0,45.0,13502,1113 - 1,321,90.3
2792.0,45.0,10815,1113 - 3,329,108.0
2795.0,45.0,6661,1113 - 3,329,113.0
2808.0,45.0,20541,1136 - 1,32,1021.1
2819.0,45.0,21363,1157 - 3,117,376.8
2821.0,45.0,5958,1137 - 3,31,729.9
2824.0,45.0,18147,1124 - 1,66,2652.5
2824.0,45.0,18258,1159 - 1,310,93.3
2834.0,45.0,19665,1142 - 1,80,372.5
2839.0,45.0,15992,1113 - 1,321,90.3
2839.0,60.0,12817,1130 - 3,2,2007.4
2840.0,45.0,13928,1113 - 3,329,108.0
2842.0,45.0,14846,1113 - 3,329,103.0
2843.0,45.0,7491,1113 - 3,329,113.0
2856.0,45.0,20565,1136 - 1,32,1021.1
2871.0,45.0,21960,1157 - 3,117,376.8
2873.0,45.0,18110,1159 - 1,310,93.3
2882.0,45.0,17439,1159 - 1,310,85.8
2889.0,45.0,9226,1113 - 3,329,108.0
2890.0,45.0,19906,1113 - 2,321,90.3
2892.0,45.0,5194,1113 - 3,329,113.0
2893.0,45.0,15256,1113 - 3,329,103.0
2914.0,45.0,20719,1136 - 1,32,1021.1
2920.0,45.0,22024,1157 - 3,117,376.8
2920.0,60.0,15557,1130 - 3,2,1999.9
2930.0,45.0,17568,1159 - 1,310,85.8
2932.0,45.0,18651,1124 - 1,66,2652.5
2938.0,45.0,12155,1113 - 3,329,108.0
2939.0,45.0,17639,1113 - 3,321,90.3
2941.0,45.0,2707,1113 - 3,329,113.0
2945.0,45.0,14439,1113 - 3,329,103.0
2963.0,45.0,20740,1136 - 1,32,1021.1
2975.0,45.0,8604,1159 - 1,310,93.3
2979.0,45.0,17853,1159 - 1,310,85.8
2981.0,45.0,18641,1124 - 1,66,2652.5
2986.0,45.0,9174,1113 - 3,329,108.0
2988.0,45.0,16099,1113 - 2,321,90.3
2989.0,45.0,9670,1113 - 3,329,113.0
3000.0,45.0,13908,1113 - 3,329,103.0
3024.0,45.0,17581,1159 - 1,310,93.3
3032.0,45.0,19206,1124 - 1,66,2652.5
3035.0,45.0,9091,1113 - 3,329,108.0
3037.0,45.0,16577,1113 - 3,321,90.3
3050.0,45.0,13366,1113 - 3,329,113.0
3050.0,45.0,22691,1157 - 3,117,376.8
3081.0,45.0,19181,1124 - 1,66,2652.5
3084.0,45.0,9614,1113 - 3,329,108.0
3099.0,45.0,7089,1113 - 3,329,113.0
3106.0,45.0,14339,1119 - 1,40,1250.7
3121.0,45.0,16141,1159 - 1,310,93.3
3129.0,45.0,19661,1159 - 1,310,85.8
3130.0,45.0,19354,1124 - 1,66,2652.5
3134.0,45.0,14225,1113 - 3,329,103.0
3138.0,45.0,16720,1113 - 3,321,90.3
3143.0,45.0,10214,1113 - 3,329,108.0
3170.0,45.0,18004,1159 - 1,310,93.3
3179.0,45.0,19635,1124 - 1,66,2652.5
3180.0,45.0,10613,1119 - 1,40,1250.7
3187.0,45.0,17135,1113 - 3,321,90.3
3191.0,45.0,14109,1113 - 3,329,108.0
3193.0,45.0,12522,1113 - 3,329,103.0
3196.0,45.0,6756,1113 - 3,329,113.0
3223.0,45.0,9306,1159 - 1,310,93.3
3228.0,45.0,19664,1124 - 1,66,2652.5
3236.0,45.0,21383,1119 - 1,40,1250.7
3242.0,45.0,16018,1113 - 3,329,103.0
3244.0,45.0,9474,1113 - 3,329,113.0
3246.0,45.0,17305,1113 - 3,321,90.3
3252.0,45.0,13640,1113 - 3,329,108.0
3256.0,45.0,16716,1140 - 1,71,73.4
3257.0,45.0,17453,1115 - 2,30,522.7
3258.0,45.0,23190,1140 - 1,71,68.4
3269.0,45.0,9162,1137 - 3,31,729.9
3277.0,45.0,19852,1124 - 1,66,2652.5
3278.0,45.0,20185,1159 - 1,310,93.3
3279.0,45.0,18882,1159 - 1,310,85.8
3282.0,45.0,22012,1136 - 1,32,1021.1
3285.0,45.0,22066,1119 - 1,40,1250.7
3295.0,45.0,21970,1113 - 3,321,90.3
3301.0,45.0,8746,1113 - 3,329,108.0
3305.0,45.0,17544,1113 - 3,329,103.0
3306.0,45.0,17214,1115 - 2,30,522.7
3320.0,45.0,12051,1137 - 3,31,729.9
3327.0,45.0,19365,1159 - 1,310,93.3
3330.0,45.0,20865,1159 - 1,310,85.8
3331.0,45.0,22078,1136 - 1,32,1021.1
3334.0,45.0,16862,1119 - 1,40,1250.7
3346.0,45.0,12596,1113 - 1,321,90.3
3350.0,45.0,10369,1113 - 3,329,113.0
3350.0,45.0,9556,1113 - 3,329,108.0
3354.0,45.0,24802,1138 - 2,71,76.2
3356.0,45.0,25594,1157 - 3,117,376.8
3357.0,45.0,17957,1113 - 3,329,103.0
3371.0,45.0,15345,1137 - 3,31,729.9
3376.0,45.0,20402,1149 - 1,87,58.5
3376.0,45.0,20646,1124 - 1,66,2652.5
3380.0,45.0,22071,1136 - 1,32,1021.1
3383.0,45.0,13693,1119 - 1,40,1250.7
3395.0,45.0,18326,1113 - 3,321,90.3
3398.0,45.0,8065,1113 - 3,329,113.0
3403.0,45.0,20352,1115 - 2,30,522.7
3407.0,45.0,15911,1113 - 3,329,103.0
3408.0,45.0,25841,1157 - 3,117,376.8
3419.0,45.0,12111,1137 - 3,31,729.9
3425.0,45.0,20603,1124 - 1,66,2652.5
3425.0,45.0,20638,1159 - 1,310,93.3
3431.0,45.0,15139,1119 - 1,40,1250.7
3445.0,45.0,22663,1136 - 1,32,1021.1
3446.0,45.0,11620,1113 - 3,329,113.0
3448.0,45.0,12283,1113 - 3,329,108.0
3456.0,45.0,16501,1113 - 3,329,103.0
3473.0,45.0,19619,1159 - 1,310,93.3
3475.0,45.0,3169,1137 - 3,31,729.9
3476.0,45.0,20219,1159 - 1,310,85.8
3479.0,45.0,14686,1119 - 1,40,1250.7
3494.0,45.0,22647,1136 - 1,32,1021.1
3494.0,45.0,9062,1113 - 3,329,113.0
3496.0,45.0,14038,1113 - 3,329,108.0
3497.0,45.0,22727,1115 - 2,30,522.7
3505.0,45.0,15763,1113 - 3,329,103.0
3527.0,45.0,21078,1124 - 1,66,2652.5
3536.0,45.0,17176,1119 - 1,40,1250.7
3542.0,45.0,10767,1113 - 3,329,113.0
3542.0,45.0,22755,1136 - 1,32,1021.1
3553.0,45.0,18720,1113 - 3,329,103.0
3557.0,45.0,10012,1113 - 3,329,108.0
3563.0,45.0,11037,1137 - 3,31,729.9
3569.0,45.0,21408,1159 - 1,310,93.3
3576.0,45.0,20910,1124 - 1,66,2652.5
3585.0,45.0,14188,1119 - 1,40,1250.7
3591.0,45.0,22809,1136 - 1,32,1021.1
3602.0,45.0,16566,1113 - 3,329,103.0
3611.0,45.0,14559,1113 - 3,329,108.0
3618.0,45.0,22274,1159 - 1,310,93.3
3624.0,45.0,22981,1137 - 3,31,729.9
3648.0,45.0,4521,1113 - 3,329,113.0
3650.0,45.0,21035,1119 - 1,40,1250.7
3652.0,45.0,23147,1159 - 1,310,85.8
3653.0,45.0,16029,1113 - 1,329,110.5
3675.0,45.0,21706,1124 - 1,66,2652.5
3680.0,45.0,22972,1136 - 1,32,1021.1
3696.0,45.0,10710,1113 - 3,329,113.0
3698.0,45.0,9947,1113 - 3,329,108.0
3699.0,45.0,16589,1119 - 1,40,1250.7
3701.0,45.0,15197,1113 - 3,329,103.0
3724.0,45.0,21819,1124 - 1,66,2652.5
3736.0,45.0,23722,1159 - 1,310,93.3
3746.0,45.0,10568,1113 - 3,329,108.0
3750.0,45.0,15475,1113 - 3,329,103.0
3750.0,45.0,20556,1119 - 1,40,1250.7
3785.0,45.0,23735,1159 - 1,310,93.3
3796.0,45.0,10538,1113 - 3,329,113.0
3797.0,45.0,10020,1113 - 3,329,108.0
3799.0,45.0,19082,1113 - 3,329,103.0
3803.0,45.0,27283,1123 - 2,52,460.5
3828.0,45.0,22077,1124 - 1,66,2652.5
3837.0,45.0,17736,1119 - 1,40,1250.7
3845.0,45.0,10768,1113 - 3,329,113.0
3846.0,45.0,8745,1113 - 3,329,108.0
3852.0,45.0,24760,1113 - 1,321,90.3
3871.0,45.0,25647,1159 - 1,310,93.3
3877.0,45.0,22302,1124 - 1,66,2652.5
3886.0,45.0,17012,1119 - 1,40,1250.7
3896.0,45.0,10776,1113 - 3,329,108.0
3897.0,45.0,25280,1136 - 1,32,1021.1
3901.0,45.0,26402,1113 - 2,321,90.3
3903.0,45.0,17054,1137 - 3,31,729.9
3919.0,45.0,23323,1159 - 1,310,93.3
3926.0,45.0,22372,1124 - 1,66,2652.5
3935.0,45.0,26675,1119 - 1,40,1250.7
3944.0,45.0,14781,1113 - 3,329,108.0
3946.0,45.0,16757,1113 - 3,329,103.0
3946.0,45.0,6948,1113 - 3,329,113.0
3949.0,45.0,25357,1136 - 1,32,1021.1
3953.0,45.0,25087,1159 - 1,310,85.8
3975.0,45.0,22439,1124 - 1,66,2652.5
3981.0,45.0,20031,1156 - 1,107,476.1
3989.0,45.0,21120,1113 - 3,321,90.3
3993.0,45.0,14634,1113 - 3,329,108.0
3995.0,45.0,6315,1113 - 3,329,113.0
3998.0,45.0,25392,1136 - 1,32,1021.1
4003.0,45.0,26660,1115 - 2,30,522.7
4017.0,45.0,24468,1159 - 1,310,93.3
4024.0,45.0,22433,1124 - 1,66,2652.5
4030.0,45.0,17140,1156 - 1,107,476.1
4039.0,45.0,13017,1113 - 3,321,90.3
4047.0,45.0,25322,1136 - 1,32,1021.1
4052.0,45.0,26912,1115 - 2,30,522.7
4056.0,45.0,14800,1113 - 3,329,108.0
4066.0,45.0,25378,1159 - 1,310,93.3
4072.0,45.0,27679,1119 - 1,40,1250.7
4073.0,45.0,23300,1159 - 1,310,85.8
4092.0,45.0,29872,1138 - 2,71,76.2
4099.0,45.0,4543,1113 - 3,329,113.0
4104.0,45.0,16235,1113 - 3,329,108.0
4105.0,45.0,25730,1136 - 1,32,1021.1
4121.0,45.0,22705,1124 - 1,66,2652.5
4121.0,45.0,27038,1119 - 1,40,1250.7
