link,grp,posbin,L1_share_g1_200ctl,L1_share_h0_1000,L1_share_h11_1000ctl,L1_share_nc200,rows_g1_200ctl,rows_h0_1000,rows_h11_1000ctl,rows_nc200,speed_g1_200ctl,speed_h0_1000,speed_h11_1000ctl,speed_nc200,stop_share_g1_200ctl,stop_share_h0_1000,stop_share_h11_1000ctl,stop_share_nc200
31,ramp,1700,0.0,0.0,0.047,0.0,9.0,1.0,43.0,3.0,49.597,45.17,42.684,51.883,0.0,0.0,0.0,0.0
31,ramp,1800,0.0,0.0,0.021,0.0,8.0,2.0,48.0,3.0,44.811,43.395,41.998,51.317,0.0,0.0,0.0,0.0
31,ramp,1900,0.0,0.0,0.062,0.0,7.0,1.0,32.0,2.0,52.659,45.89,41.679,59.71,0.0,0.0,0.0,0.0
31,removed_here,0,0.267,,0.0,,15.0,,3.0,,51.885,,48.51,,0.0,,0.0,
31,removed_here,100,0.312,,0.0,,16.0,,3.0,,52.739,,59.46,,0.0,,0.0,
31,removed_here,200,0.312,,0.0,,16.0,,3.0,,49.633,,55.97,,0.0,,0.0,
31,removed_here,300,0.118,,0.0,,17.0,,5.0,,51.333,,25.574,,0.0,,0.0,
31,removed_here,400,0.0,,0.0,,16.0,,18.0,,51.834,,0.0,,0.0,,1.0,
31,removed_here,500,0.0,,,,15.0,,,,45.899,,,,0.0,,,
31,removed_here,600,0.0,,,,29.0,,,,28.19,,,,0.0,,,
31,removed_here,700,0.0,,,,145.0,,,,1.494,,,,0.917,,,
32,end_sim_here,0,0.427,0.326,0.387,0.356,131.0,46.0,11258.0,45.0,41.563,42.196,2.795,42.663,0.0,0.0,0.873,0.0
32,end_sim_here,100,0.432,0.364,0.396,0.381,139.0,44.0,14730.0,42.0,40.628,41.039,1.987,41.614,0.0,0.0,0.897,0.0
32,end_sim_here,200,0.397,0.31,0.419,0.333,131.0,42.0,15968.0,39.0,40.611,41.015,1.612,41.32,0.0,0.0,0.907,0.0
32,end_sim_here,300,0.426,0.385,0.425,0.395,129.0,39.0,16624.0,38.0,40.588,41.094,1.36,41.839,0.0,0.0,0.914,0.0
32,end_sim_here,400,0.403,0.297,0.413,0.343,129.0,37.0,16829.0,35.0,40.878,41.272,1.136,41.731,0.0,0.0,0.924,0.0
32,end_sim_here,500,0.409,0.297,0.403,0.324,127.0,37.0,16208.0,34.0,40.146,40.207,1.007,40.957,0.0,0.0,0.929,0.0
32,end_sim_here,600,0.417,0.368,0.407,0.382,127.0,38.0,14988.0,34.0,40.724,40.66,0.863,41.519,0.0,0.0,0.938,0.0
32,end_sim_here,700,0.38,0.343,0.406,0.324,129.0,35.0,15360.0,34.0,40.684,40.825,0.629,41.205,0.0,0.0,0.955,0.0
32,end_sim_here,800,0.468,0.273,0.441,0.4,1020.0,33.0,9639.0,30.0,4.273,40.568,0.645,41.207,0.853,0.0,0.951,0.0
32,end_sim_here,900,0.483,0.345,0.442,0.333,2184.0,29.0,6715.0,27.0,1.141,41.103,0.453,41.06,0.915,0.0,0.964,0.0
32,end_sim_here,1000,0.51,0.294,0.482,0.29,157.0,34.0,1688.0,31.0,3.413,40.689,0.098,41.048,0.854,0.0,0.991,0.0
32,end_sim_here,1100,0.286,0.28,,0.37,7.0,25.0,,27.0,38.701,40.311,,41.52,0.0,0.0,,0.0
32,end_sim_here,1200,0.75,0.484,0.778,0.516,48.0,514.0,18.0,479.0,51.708,9.959,55.99,10.871,0.0,0.584,0.0,0.58
32,end_sim_here,1300,0.443,0.351,0.167,0.343,106.0,4331.0,36.0,4707.0,62.855,3.039,60.813,2.958,0.0,0.83,0.0,0.827
32,end_sim_here,1400,0.382,0.359,0.095,0.351,377.0,4064.0,42.0,4181.0,19.167,2.662,50.093,2.701,0.419,0.839,0.19,0.835
32,end_sim_here,1500,0.256,0.328,0.06,0.307,1341.0,2950.0,134.0,3072.0,5.88,3.166,17.323,3.305,0.696,0.827,0.56,0.82
32,end_sim_here,1600,0.245,0.292,0.033,0.288,1233.0,2095.0,215.0,2230.0,5.749,3.457,8.105,3.459,0.726,0.85,0.716,0.833
32,end_sim_here,1700,0.228,0.271,0.014,0.254,861.0,1481.0,207.0,1425.0,6.247,3.534,10.221,3.775,0.704,0.835,0.676,0.811
32,end_sim_here,1800,0.253,0.233,0.013,0.094,411.0,699.0,301.0,799.0,10.055,5.324,6.323,5.117,0.574,0.755,0.741,0.751
32,end_sim_here,1900,0.232,0.119,0.079,0.158,293.0,293.0,291.0,349.0,5.873,5.115,4.107,4.324,0.765,0.802,0.825,0.828
32,other,0,0.319,0.31,0.244,0.331,279.0,274.0,266.0,269.0,41.898,41.703,37.752,41.95,0.0,0.0,0.015,0.0
32,other,100,0.328,0.39,0.281,0.34,293.0,277.0,295.0,282.0,40.786,40.742,33.877,40.823,0.0,0.0,0.034,0.0
32,other,200,0.352,0.381,0.247,0.367,293.0,278.0,288.0,281.0,40.925,40.611,34.285,41.021,0.0,0.0,0.01,0.0
32,other,300,0.337,0.389,0.258,0.349,291.0,285.0,298.0,281.0,40.748,40.537,33.737,40.79,0.0,0.0,0.017,0.0
32,other,400,0.326,0.398,0.435,0.34,279.0,279.0,430.0,268.0,40.918,40.839,23.269,40.97,0.0,0.0,0.253,0.0
32,other,500,0.327,0.355,0.312,0.339,300.0,273.0,544.0,289.0,40.564,40.342,17.981,40.666,0.0,0.0,0.386,0.0
32,other,600,0.293,0.335,0.294,0.304,300.0,284.0,595.0,289.0,40.642,40.491,17.028,40.703,0.0,0.0,0.434,0.0
32,other,700,0.316,0.335,0.242,0.33,282.0,278.0,603.0,270.0,40.696,40.607,16.969,40.718,0.0,0.0,0.436,0.0
32,other,800,0.38,0.325,0.361,0.386,303.0,292.0,898.0,293.0,40.515,40.346,11.31,40.565,0.0,0.0,0.606,0.0
32,other,900,0.42,0.322,0.289,0.383,324.0,283.0,1440.0,277.0,35.971,40.325,6.808,40.589,0.074,0.0,0.751,0.0
32,other,1000,0.408,0.251,0.235,0.404,321.0,267.0,439.0,277.0,36.958,41.064,23.305,40.971,0.087,0.0,0.369,0.0
32,other,1100,0.401,0.277,0.18,0.417,294.0,285.0,245.0,283.0,41.032,41.058,41.387,41.127,0.0,0.0,0.0,0.0
32,other,1200,0.737,0.495,0.691,0.532,971.0,2053.0,841.0,1967.0,45.435,18.122,50.16,19.192,0.005,0.402,0.008,0.371
32,other,1300,0.487,0.303,0.511,0.312,1899.0,20946.0,1744.0,19815.0,60.637,4.736,67.332,4.985,0.0,0.797,0.0,0.788
32,other,1400,0.39,0.319,0.404,0.337,5196.0,28155.0,3425.0,27431.0,22.206,3.547,35.125,3.643,0.479,0.822,0.353,0.818
32,other,1500,0.352,0.331,0.345,0.338,23331.0,30580.0,13126.0,30339.0,6.843,4.115,11.91,4.156,0.703,0.805,0.642,0.8
32,other,1600,0.331,0.324,0.332,0.33,28040.0,30891.0,18302.0,30708.0,6.9,4.756,10.09,4.758,0.714,0.797,0.679,0.793
32,other,1700,0.336,0.326,0.327,0.328,29301.0,32759.0,23689.0,32329.0,6.593,4.542,7.829,4.568,0.705,0.795,0.695,0.792
32,other,1800,0.315,0.32,0.322,0.329,31508.0,34783.0,30487.0,34498.0,6.119,4.223,6.063,4.251,0.726,0.805,0.736,0.805
32,other,1900,0.311,0.317,0.305,0.322,20034.0,22152.0,20265.0,21954.0,5.768,3.968,5.442,3.973,0.796,0.85,0.805,0.85
32,ramp,-100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.11,42.11,42.11,42.11,0.0,0.0,0.0,0.0
32,ramp,0,0.324,0.349,0.319,0.327,2288.0,2405.0,1642.0,2391.0,41.843,41.533,40.196,41.811,0.0,0.0,0.001,0.0
32,ramp,100,0.331,0.379,0.349,0.333,2376.0,2536.0,1758.0,2494.0,40.756,40.325,38.078,40.734,0.0,0.0,0.001,0.0
32,ramp,200,0.334,0.394,0.361,0.335,2394.0,2522.0,1769.0,2505.0,40.877,40.496,37.897,40.845,0.0,0.0,0.002,0.0
32,ramp,300,0.326,0.439,0.42,0.327,2373.0,2505.0,1847.0,2484.0,40.692,40.241,35.79,40.671,0.0,0.0,0.041,0.0
32,ramp,400,0.32,0.534,0.495,0.321,2406.0,2574.0,2833.0,2521.0,40.759,39.849,23.513,40.749,0.0,0.0,0.32,0.0
32,ramp,500,0.319,0.542,0.509,0.321,2395.0,2547.0,4554.0,2505.0,40.67,39.849,14.576,40.63,0.0,0.0,0.532,0.0
32,ramp,600,0.318,0.545,0.468,0.319,2397.0,2563.0,5988.0,2511.0,40.438,39.621,11.264,40.434,0.0,0.0,0.619,0.0
32,ramp,700,0.312,0.552,0.459,0.313,2385.0,2575.0,6818.0,2500.0,40.652,39.612,9.717,40.658,0.0,0.0,0.656,0.0
32,ramp,800,0.356,0.547,0.435,0.352,2415.0,2547.0,12377.0,2500.0,40.059,39.438,5.379,40.378,0.005,0.0,0.797,0.0
32,ramp,900,0.391,0.54,0.428,0.381,4276.0,2621.0,14624.0,2546.0,22.929,39.331,4.626,40.307,0.375,0.0,0.814,0.0
32,ramp,1000,0.391,0.718,0.491,0.37,2697.0,1183.0,4800.0,1168.0,16.968,39.633,6.959,40.49,0.519,0.0,0.756,0.0
32,ramp,1100,0.486,0.998,0.994,0.512,588.0,634.0,500.0,608.0,40.804,39.148,38.956,40.754,0.0,0.0,0.0,0.0
32,ramp,1200,0.967,0.998,0.997,0.986,748.0,1931.0,618.0,1772.0,37.387,13.446,35.264,14.721,0.004,0.524,0.028,0.511
32,ramp,1300,0.899,0.955,0.971,0.934,286.0,1139.0,206.0,1290.0,39.331,8.219,39.655,7.153,0.0,0.687,0.0,0.729
32,ramp,1400,0.037,0.0,0.0,0.466,27.0,68.0,10.0,116.0,35.75,3.701,23.19,2.963,0.074,0.794,0.3,0.81
32,ramp,1500,0.096,0.033,0.0,0.458,135.0,90.0,35.0,107.0,6.496,3.364,6.001,3.5,0.689,0.778,0.629,0.785
32,ramp,1600,0.19,0.253,0.0,0.347,105.0,87.0,39.0,72.0,7.924,3.395,5.943,5.078,0.676,0.839,0.718,0.708
32,ramp,1700,0.178,0.415,0.0,0.489,219.0,53.0,33.0,90.0,4.926,4.677,7.013,4.293,0.74,0.774,0.667,0.767
32,ramp,1800,0.143,0.234,0.0,0.263,105.0,94.0,16.0,95.0,9.396,3.409,12.608,3.758,0.59,0.809,0.188,0.779
32,ramp,1900,0.301,0.023,0.062,0.479,173.0,44.0,32.0,48.0,3.758,4.078,5.091,5.473,0.827,0.818,0.75,0.792
32,removed_here,0,0.0,,0.037,,7.0,,82.0,,43.509,,22.345,,0.0,,0.049,
32,removed_here,100,0.0,,0.0,,10.0,,122.0,,41.87,,15.789,,0.0,,0.0,
32,removed_here,200,0.0,,0.0,,7.0,,132.0,,40.48,,14.13,,0.0,,0.008,
32,removed_here,300,0.0,,0.0,,10.0,,129.0,,42.327,,14.461,,0.0,,0.008,
32,removed_here,400,0.0,,0.0,,10.0,,153.0,,41.49,,12.235,,0.0,,0.137,
32,removed_here,500,0.0,,0.0,,6.0,,307.0,,42.183,,5.763,,0.0,,0.56,
32,removed_here,600,0.0,,0.0,,9.0,,238.0,,42.482,,7.853,,0.0,,0.445,
32,removed_here,700,0.0,,0.0,,10.0,,324.0,,42.162,,5.618,,0.0,,0.596,
32,removed_here,800,0.0,,0.0,,9.0,,517.0,,39.591,,3.82,,0.0,,0.716,
32,removed_here,900,0.0,,0.0,,21.0,,1060.0,,13.786,,1.841,,0.143,,0.851,
32,removed_here,1000,0.0,,0.0,,75.0,,594.0,,1.174,,0.655,,0.907,,0.946,
32,removed_here,1200,0.5,0.25,1.0,,2.0,12.0,1.0,,23.695,7.321,53.75,,0.0,0.667,0.0,
32,removed_here,1300,0.0,0.0,0.0,,3.0,43.0,1.0,,51.263,4.953,78.17,,0.0,0.791,0.0,
32,removed_here,1400,0.0,0.0,0.0,,3.0,48.0,1.0,,44.25,4.426,78.86,,0.0,0.792,0.0,
32,removed_here,1500,0.0,0.0,,,14.0,57.0,,,10.934,2.82,,,0.5,0.825,,
32,removed_here,1600,0.0,0.0,0.0,,21.0,52.0,1.0,,7.729,4.928,77.82,,0.667,0.75,0.0,
32,removed_here,1700,0.0,0.023,0.0,,41.0,44.0,28.0,,3.074,5.183,2.843,,0.902,0.795,0.857,
32,removed_here,1800,0.0,0.449,0.0,,10.0,49.0,5.0,,12.742,4.434,21.082,,0.4,0.796,0.0,
32,removed_here,1900,0.0,0.344,0.0,,54.0,64.0,19.0,,1.116,1.389,1.991,,0.963,0.938,0.895,
68,end_sim_here,0,0.361,0.192,0.214,0.291,529.0,594.0,527.0,581.0,48.491,45.89,49.727,45.408,0.0,0.01,0.009,0.003
68,end_sim_here,100,0.317,0.164,0.131,0.268,511.0,585.0,512.0,628.0,51.174,45.988,51.41,45.467,0.0,0.021,0.002,0.01
68,end_sim_here,200,0.575,0.393,0.408,0.581,2791.0,2206.0,2142.0,2995.0,40.371,40.934,41.257,34.701,0.028,0.044,0.043,0.058
68,end_sim_here,300,0.315,0.159,0.164,0.354,3126.0,1920.0,1860.0,3411.0,52.932,66.286,67.725,44.109,0.04,0.001,0.0,0.104
68,end_sim_here,400,0.185,0.17,0.173,0.206,2128.0,1646.0,1569.0,1948.0,78.36,78.238,79.788,76.716,0.0,0.0,0.0,0.0
68,end_sim_here,500,0.3,0.288,0.3,0.302,2285.0,1787.0,1725.0,2004.0,86.175,87.867,88.474,87.979,0.0,0.0,0.0,0.0
68,end_sim_here,600,0.398,0.419,0.428,0.394,2952.0,2360.0,2374.0,2601.0,88.55,96.015,93.388,94.784,0.0,0.0,0.0,0.0
68,end_sim_here,700,0.35,0.357,0.373,0.338,2996.0,2358.0,2353.0,2607.0,91.428,98.103,95.399,97.11,0.0,0.0,0.0,0.0
68,end_sim_here,800,0.336,0.353,0.349,0.314,2911.0,2348.0,2329.0,2572.0,91.83,99.218,96.601,98.365,0.0,0.0,0.0,0.0
68,end_sim_here,900,0.33,0.337,0.345,0.306,2911.0,2284.0,2251.0,2528.0,92.236,99.743,97.059,98.597,0.0,0.0,0.0,0.0
68,end_sim_here,1000,0.322,0.329,0.327,0.306,2940.0,2305.0,2285.0,2569.0,92.301,99.95,97.124,98.276,0.0,0.0,0.0,0.0
68,end_sim_here,1100,0.311,0.32,0.329,0.289,2876.0,2298.0,2286.0,2526.0,92.458,99.629,97.098,97.672,0.0,0.0,0.0,0.0
68,end_sim_here,1200,0.303,0.321,0.326,0.298,2929.0,2300.0,2289.0,2584.0,92.517,98.938,97.426,96.797,0.0,0.0,0.0,0.0
68,end_sim_here,1300,0.305,0.314,0.32,0.29,2901.0,2349.0,2281.0,2627.0,92.328,99.257,97.285,96.834,0.0,0.0,0.0,0.0
68,end_sim_here,1400,0.298,0.312,0.319,0.288,2880.0,2295.0,2252.0,2566.0,92.121,98.367,97.72,95.102,0.0,0.0,0.0,0.0
68,end_sim_here,1500,0.285,0.308,0.319,0.286,2949.0,2337.0,2271.0,2642.0,91.92,98.374,97.66,95.293,0.0,0.0,0.0,0.0
68,end_sim_here,1600,0.289,0.303,0.314,0.285,2945.0,2318.0,2274.0,2683.0,91.982,97.975,98.127,93.749,0.0,0.0,0.0,0.0
68,end_sim_here,1700,0.285,0.305,0.317,0.278,2868.0,2340.0,2246.0,2627.0,91.824,97.696,97.452,93.223,0.0,0.0,0.0,0.0
68,end_sim_here,1800,0.271,0.3,0.305,0.279,2888.0,2375.0,2290.0,2667.0,92.322,98.391,97.939,94.271,0.0,0.0,0.0,0.0
68,end_sim_here,1900,0.275,0.294,0.31,0.279,2880.0,2241.0,2177.0,2609.0,93.737,99.563,98.257,96.174,0.0,0.0,0.0,0.0
68,end_sim_here,2000,0.251,0.357,0.34,0.295,439.0,412.0,415.0,414.0,107.512,116.252,112.9,113.915,0.0,0.0,0.0,0.0
68,ramp,0,0.351,0.714,0.71,0.346,2263.0,3459.0,3167.0,2372.0,47.391,30.095,32.909,44.238,0.002,0.063,0.072,0.005
68,ramp,100,0.325,0.946,0.944,0.356,1749.0,4697.0,4957.0,1975.0,49.857,18.056,16.973,42.968,0.003,0.151,0.231,0.032
68,ramp,200,0.655,0.97,0.968,0.57,2588.0,3934.0,4288.0,4111.0,32.262,20.581,18.842,19.721,0.079,0.162,0.198,0.238
68,ramp,300,0.457,0.972,0.946,0.299,2732.0,928.0,1072.0,4574.0,16.141,45.377,38.458,9.475,0.329,0.002,0.107,0.485
68,ramp,400,0.167,0.0,0.0,0.143,12.0,8.0,5.0,7.0,71.781,54.574,92.336,52.399,0.0,0.0,0.0,0.0
68,ramp,500,0.2,0.429,0.222,0.273,10.0,7.0,9.0,11.0,71.458,83.499,102.03,57.862,0.0,0.0,0.0,0.0
68,ramp,600,0.4,0.444,0.375,0.588,15.0,9.0,8.0,17.0,77.314,85.808,98.113,73.541,0.0,0.0,0.0,0.0
68,ramp,700,0.267,0.538,0.3,0.471,15.0,13.0,10.0,17.0,77.797,92.765,102.846,71.418,0.0,0.0,0.0,0.0
68,ramp,800,0.333,0.444,0.222,0.412,15.0,9.0,9.0,17.0,81.727,91.777,102.347,69.38,0.0,0.0,0.0,0.0
68,ramp,900,0.333,0.3,0.2,0.4,12.0,10.0,10.0,15.0,75.307,89.362,95.81,76.322,0.0,0.0,0.0,0.0
68,ramp,1000,0.286,0.417,0.1,0.412,14.0,12.0,10.0,17.0,81.609,92.809,109.077,76.865,0.0,0.0,0.0,0.0
68,ramp,1100,0.267,0.25,0.143,0.353,15.0,8.0,7.0,17.0,77.739,89.525,96.783,70.32,0.0,0.0,0.0,0.0
68,ramp,1200,0.286,0.417,0.273,0.4,14.0,12.0,11.0,15.0,80.104,93.763,100.373,86.733,0.0,0.0,0.0,0.0
68,ramp,1300,0.357,0.3,0.2,0.333,14.0,10.0,10.0,15.0,72.976,88.042,97.998,66.377,0.0,0.0,0.0,0.0
68,ramp,1400,0.214,0.222,0.25,0.444,14.0,9.0,8.0,18.0,77.169,94.096,97.835,77.662,0.0,0.0,0.0,0.0
68,ramp,1500,0.4,0.3,0.2,0.353,15.0,10.0,10.0,17.0,71.415,85.993,93.56,80.115,0.0,0.0,0.0,0.0
68,ramp,1600,0.231,0.333,0.111,0.25,13.0,12.0,9.0,12.0,80.445,95.065,105.34,60.105,0.0,0.0,0.0,0.0
68,ramp,1700,0.312,0.222,0.222,0.389,16.0,9.0,9.0,18.0,71.757,93.722,101.337,84.836,0.0,0.0,0.0,0.0
68,ramp,1800,0.267,0.3,0.3,0.312,15.0,10.0,10.0,16.0,77.452,87.194,109.64,63.755,0.0,0.0,0.0,0.0
68,ramp,1900,0.364,0.25,0.25,0.312,11.0,12.0,8.0,16.0,78.035,90.084,107.54,66.798,0.0,0.0,0.0,0.0
68,ramp,2000,0.5,1.0,1.0,0.0,2.0,1.0,1.0,1.0,92.015,111.34,113.02,51.14,0.0,0.0,0.0,0.0
68,removed_here,0,0.0,,,0.0,2.0,,,3.0,50.005,,,49.143,0.0,,,0.0
68,removed_here,100,0.0,,,0.0,1.0,,,3.0,75.46,,,56.607,0.0,,,0.0
68,removed_here,200,0.0,,,0.0,1.0,,,7.0,60.63,,,13.38,0.0,,,0.286
68,removed_here,300,0.0,,,0.0,27.0,,,52.0,0.773,,,1.919,0.926,,,0.846
69,end_sim_here,0,0.296,0.296,0.318,0.296,54.0,54.0,487.0,54.0,42.082,42.082,42.028,42.082,0.0,0.0,0.0,0.0
69,end_sim_here,100,0.3,0.3,0.317,0.3,50.0,50.0,499.0,50.0,41.069,41.069,40.943,41.069,0.0,0.0,0.0,0.0
69,end_sim_here,200,0.28,0.28,0.307,0.28,50.0,50.0,495.0,50.0,41.384,41.384,41.143,41.384,0.0,0.0,0.0,0.0
69,end_sim_here,300,0.255,0.255,0.31,0.255,51.0,51.0,494.0,51.0,41.124,41.124,41.038,41.124,0.0,0.0,0.0,0.0
69,end_sim_here,400,0.308,0.308,0.307,0.308,39.0,39.0,475.0,39.0,41.732,41.732,41.353,41.732,0.0,0.0,0.0,0.0
69,end_sim_here,500,0.293,0.293,0.306,0.293,41.0,41.0,494.0,41.0,41.361,41.361,41.165,41.361,0.0,0.0,0.0,0.0
69,end_sim_here,600,0.261,0.261,0.301,0.261,46.0,46.0,489.0,46.0,41.447,41.447,40.858,41.447,0.0,0.0,0.0,0.0
69,end_sim_here,700,0.267,0.367,0.756,0.267,30.0,30.0,1389.0,30.0,41.185,40.877,13.722,41.185,0.0,0.0,0.629,0.0
69,end_sim_here,800,0.323,0.656,0.886,0.323,31.0,32.0,4740.0,31.0,41.013,40.564,3.827,41.013,0.0,0.0,0.829,0.0
69,end_sim_here,900,0.28,0.625,0.88,0.28,25.0,24.0,5045.0,25.0,41.084,41.202,3.305,41.084,0.0,0.0,0.827,0.0
69,end_sim_here,1000,0.348,0.652,0.884,0.348,23.0,23.0,5241.0,23.0,40.417,40.932,2.84,40.417,0.0,0.0,0.842,0.0
69,end_sim_here,1100,0.333,0.667,0.853,0.333,18.0,18.0,5291.0,18.0,40.678,40.933,2.441,40.678,0.0,0.0,0.858,0.0
69,end_sim_here,1200,0.235,0.625,0.829,0.235,17.0,16.0,5678.0,17.0,41.51,41.216,1.902,41.51,0.0,0.0,0.89,0.0
69,end_sim_here,1300,0.385,0.714,0.736,0.385,13.0,14.0,5266.0,13.0,42.156,42.006,1.644,42.156,0.0,0.0,0.901,0.0
