start_sec,end_sec,link,initial_n,entry,normal_other_link_exit,absent,matched_native_removal,end_n,end_stopped,closure
3600,4500,70,2,206,200,0,0,8,0,0
3600,4500,71,22,336,333,1,0,24,23,0
3600,4500,121,11,487,491,0,0,7,0,0
3600,4500,123,30,564,0,554,0,40,0,0
3600,4500,127,187,348,364,0,0,171,149,0
3600,4500,321,0,174,163,0,0,11,0,0
3600,4500,322,25,159,141,0,0,43,38,0
3600,4500,325,35,141,142,0,0,34,29,0
3600,4500,326,47,140,140,0,0,47,38,0
3600,4500,329,41,139,106,23,0,51,50,0
3600,4500,10639,1,25,26,0,0,0,0,0
3600,4500,10681,2,45,45,0,0,2,0,0
3600,4500,10682,15,287,297,0,0,5,0,0
3600,4500,10643,15,136,148,0,0,3,2,0
3600,4500,10646,4,137,139,0,0,2,0,0
4500,5400,2,638,997,1041,0,0,594,139,0
4500,5400,40,3,61,62,0,0,2,0,0
4500,5400,66,21,46,52,0,0,15,1,0
4500,5400,68,0,207,207,0,0,0,0,0
4500,5400,69,13,76,77,0,0,12,0,0
4500,5400,70,8,161,166,0,0,3,0,0
4500,5400,71,24,271,279,0,0,16,15,0
4500,5400,121,7,482,487,0,0,2,0,0
4500,5400,123,40,510,0,519,0,31,0,0
4500,5400,127,171,351,353,0,0,169,154,0
4500,5400,321,11,119,125,0,0,5,0,0
4500,5400,322,43,126,139,0,0,30,28,0
4500,5400,325,34,139,138,0,0,35,30,0
4500,5400,326,47,136,136,0,0,47,38,0
4500,5400,329,51,135,120,22,0,44,42,0
4500,5400,10639,0,15,15,0,0,0,0,0
4500,5400,10681,2,38,40,0,0,0,0,0
4500,5400,10682,5,314,313,0,0,6,0,0
4500,5400,10643,3,107,108,0,0,2,0,0
4500,5400,10646,2,130,131,0,0,1,0,0
5400,6300,2,594,760,1172,0,0,182,7,0
5400,6300,40,2,74,70,0,0,6,0,0
5400,6300,66,15,55,58,0,0,12,1,0
5400,6300,68,0,190,190,0,0,0,0,0
5400,6300,69,12,81,77,0,0,16,0,0
5400,6300,70,3,153,156,0,0,0,0,0
5400,6300,71,16,291,286,0,0,21,17,0
5400,6300,121,2,493,490,0,0,5,0,0
5400,6300,123,31,463,0,465,0,29,0,0
5400,6300,127,169,349,362,0,0,156,137,0
5400,6300,321,5,86,83,0,0,8,0,0
5400,6300,322,30,83,110,0,0,3,0,0
5400,6300,325,35,114,120,0,0,29,27,0
5400,6300,326,47,121,115,0,0,53,46,0
5400,6300,329,44,116,102,18,0,40,37,0
5400,6300,10639,0,9,9,0,0,0,0,0
5400,6300,10681,0,28,28,0,0,0,0,0
5400,6300,10682,6,333,331,0,0,8,0,0
5400,6300,10643,2,148,146,0,0,4,0,0
5400,6300,10646,1,122,121,0,0,2,0,0
6300,7200,2,182,694,798,0,0,78,0,0
6300,7200,40,6,70,74,0,0,2,0,0
6300,7200,66,12,52,44,0,0,20,0,0
6300,7200,68,0,201,200,0,0,1,0,0
6300,7200,69,16,86,90,0,0,12,0,0
6300,7200,70,0,157,156,0,0,1,0,0
6300,7200,71,21,247,251,1,0,16,14,0
6300,7200,121,5,406,410,0,0,1,0,0
6300,7200,123,29,403,0,416,0,16,0,0
6300,7200,127,156,309,363,0,0,102,95,0
6300,7200,321,8,93,93,0,0,8,0,0
6300,7200,322,3,94,93,0,0,4,0,0
6300,7200,325,29,96,110,0,0,15,15,0
6300,7200,326,53,112,113,0,0,52,45,0
6300,7200,329,40,113,95,17,0,41,40,0
6300,7200,10639,0,13,13,0,0,0,0,0
6300,7200,10681,0,34,34,0,0,0,0,0
6300,7200,10682,8,232,240,0,0,0,0,0
6300,7200,10643,4,94,98,0,0,0,0,0
6300,7200,10646,2,131,131,0,0,2,0,0
7200,8100,2,78,677,676,0,0,79,0,0
7200,8100,40,2,52,53,0,0,1,0,0
7200,8100,66,20,57,65,0,0,12,0,0
7200,8100,68,1,192,193,0,0,0,0,0
7200,8100,69,12,92,90,0,0,14,0,0
7200,8100,70,1,146,145,0,0,2,0,0
7200,8100,71,16,213,207,0,0,22,22,0
7200,8100,121,1,339,338,0,0,2,0,0
7200,8100,123,16,342,0,335,0,23,0,0
7200,8100,127,102,239,299,0,0,42,34,0
7200,8100,321,8,97,96,0,0,9,0,0
7200,8100,322,4,96,89,0,0,11,7,0
7200,8100,325,15,86,87,0,0,14,11,0
7200,8100,326,52,91,111,0,0,32,28,0
7200,8100,329,41,110,100,13,0,38,35,0
7200,8100,10639,0,12,12,0,0,0,0,0
7200,8100,10681,0,34,33,0,0,1,0,0
7200,8100,10682,0,181,180,0,0,1,0,0
7200,8100,10643,0,79,78,0,0,1,0,0
7200,8100,10646,2,111,111,0,0,2,0,0
8100,8850,2,79,589,580,0,0,88,0,0
8100,8850,40,1,52,48,1,0,4,0,0
8100,8850,66,12,42,40,0,0,14,0,0
8100,8850,68,0,156,156,0,0,0,0,0
8100,8850,69,14,56,60,0,0,10,0,0
8100,8850,70,2,119,118,0,0,3,0,0
8100,8850,71,22,157,165,0,0,14,13,0
8100,8850,121,2,299,296,0,0,5,0,0
8100,8850,123,23,285,0,292,0,16,0,0
8100,8850,127,42,197,226,0,0,13,6,0
8100,8850,321,9,64,69,0,0,4,0,0
8100,8850,322,11,71,78,0,0,4,0,0
8100,8850,325,14,81,84,0,0,11,8,0
8100,8850,326,32,82,89,0,0,25,22,0
8100,8850,329,38,92,76,13,0,41,37,0
8100,8850,10639,0,16,16,0,0,0,0,0
8100,8850,10681,1,30,30,0,0,1,0,0
8100,8850,10682,1,173,173,0,0,1,0,0
8100,8850,10643,1,54,55,0,0,0,0,0
8100,8850,10646,2,95,94,0,0,3,0,0
