run,link,sim_sec,count,stopped_count,mean_speed_kph
reference,68,1590.0,14.0,1.0,39.113519
reference,68,1620.0,11.0,0.0,25.091965
reference,68,1650.0,6.0,0.0,9.223305
reference,68,1680.0,0.0,0.0,0.0
reference,68,1710.0,3.0,0.0,42.755614
reference,68,1740.0,12.0,0.0,52.68238
reference,68,1770.0,7.0,1.0,30.942059
reference,68,1800.0,6.0,3.0,8.33504
reference,68,1830.0,1.0,0.0,73.999505
reference,68,1860.0,2.0,0.0,37.249287
reference,68,1890.0,12.0,0.0,45.244831
reference,68,1920.0,10.0,0.0,28.149167
reference,68,1950.0,7.0,0.0,11.604022
reference,68,1980.0,0.0,0.0,0.0
reference,68,2010.0,2.0,0.0,42.38461
reference,68,2040.0,12.0,0.0,43.837126
reference,68,2070.0,9.0,0.0,34.306945
reference,68,2100.0,5.0,3.0,4.266691
reference,68,2130.0,2.0,0.0,55.499082
reference,68,2160.0,2.0,0.0,42.338389
reference,68,2190.0,11.0,0.0,56.694187
reference,68,2220.0,11.0,0.0,24.153619
reference,68,2250.0,10.0,3.0,9.018882
reference,68,2280.0,5.0,2.0,10.021724
reference,68,2310.0,3.0,0.0,44.864945
reference,68,2340.0,13.0,0.0,48.033497
reference,68,2370.0,9.0,0.0,24.291919
reference,68,2400.0,11.0,1.0,7.933682
reference,68,2430.0,6.0,0.0,11.381005
reference,68,2460.0,2.0,0.0,37.303388
reference,68,2490.0,10.0,0.0,55.972042
reference,68,2520.0,13.0,1.0,14.045285
reference,68,2550.0,7.0,0.0,13.490414
reference,121,900.0,12.0,0.0,24.527312
reference,121,930.0,8.0,1.0,48.520042
reference,121,960.0,3.0,0.0,72.285915
reference,121,990.0,14.0,0.0,37.420441
reference,121,1020.0,14.0,0.0,17.160719
reference,121,1050.0,14.0,0.0,16.027978
reference,121,1080.0,11.0,1.0,23.829911
reference,121,1110.0,3.0,0.0,40.031758
reference,121,1140.0,14.0,0.0,44.201359
reference,121,1170.0,15.0,1.0,21.893963
reference,121,1200.0,16.0,0.0,18.999975
reference,121,1230.0,16.0,2.0,25.150472
reference,121,1260.0,11.0,0.0,17.233895
reference,121,1290.0,18.0,1.0,25.855398
reference,121,1320.0,19.0,0.0,26.554687
reference,121,1350.0,12.0,0.0,29.811225
reference,121,1380.0,3.0,0.0,62.765584
reference,121,1410.0,4.0,0.0,83.914144
reference,121,1440.0,15.0,0.0,36.041564
reference,121,1470.0,16.0,0.0,22.205871
reference,121,1500.0,15.0,0.0,21.592676
reference,121,1530.0,12.0,1.0,23.743956
reference,121,1560.0,4.0,0.0,40.162456
reference,121,1590.0,11.0,1.0,30.664391
reference,121,1620.0,15.0,1.0,22.46104
reference,121,1650.0,16.0,0.0,23.153053
reference,121,1680.0,14.0,2.0,19.261101
reference,121,1710.0,6.0,0.0,36.93888
reference,121,1740.0,13.0,0.0,37.390788
