physical_link,inside,ttt_veh_h,slow_veh_h
10112,True,0.7227777777777833,0.31472222222222124
10113,False,0.13777777777777514,0
10115,False,0.022777777777777775,0
10116,True,0.24083333333332657,0
10117,True,0.14666666666666378,0
10118,True,4.5508333333334585,0.0005555555555555556
10119,True,0.6251388888888956,0.0008333333333333334
10121,False,0.3161111111111097,0.0011111111111111111
10122,False,0.36972222222222223,0
10124,True,0.5536111111111143,0
10125,False,9.705277777777681,6.4583333333332495
10128,False,1.0002777777777918,0
10129,False,8.179305555555656,7.160972222222159
10131,False,0.4447222222222257,0.005277777777777778
10133,False,7.3376388888888835,6.14861111111114
10135,False,14.151388888888965,11.500833333333269
10136,False,0.6861111111111162,0
10141,False,0.2055555555555507,0
10142,False,0.1772222222222175,0
10143,False,0.08111111111111055,0
10144,False,0.28277777777777546,0
10146,False,1.033055555555582,0
10150,False,0.3591666666666707,0
10151,False,0.1613888888888849,0
10152,False,1.7416666666667622,0.074722222222222
10153,False,0.5475000000000076,0
10158,False,0.2572222222222158,0.009722222222222219
10159,False,0.3554166666666699,0.2338888888888864
10163,False,0.26749999999999524,0.0005555555555555556
10165,False,0.246111111111104,0.005
10166,False,0.1963888888888844,0.06638888888888905
10167,False,0.668055555555559,0
10168,False,0.1347222222222195,0
10169,False,0.30083333333332907,0
10170,False,0.04611111111111121,0.009999999999999988
10171,False,0.12499999999999765,0.001388888888888889
10173,False,0.36500000000000066,0
10174,False,0.2761111111111069,0
10179,True,0.9122222222222408,0.3511111111111104
10181,True,0.21166666666666203,0.001388888888888889
10182,True,0.07083333333333322,0
10183,True,0.3669444444444462,0
10184,True,0.24722222222221615,0
10186,True,0.22916666666666136,0
10187,True,0.46777777777778395,0.0008333333333333334
10189,True,0.674722222222237,0
10190,True,0.9463888888888937,0
10191,True,1.2769444444444797,0
10192,True,0.7072222222222405,0
10193,True,0.4038888888888932,0
10194,True,0.05416666666666687,0
10195,True,0.2558333333333274,0.0025
10197,False,0.7738888888888867,0
10198,False,0.19972222222221817,0
10199,True,0.033611111111111175,0
102,False,12.97958333333325,6.549861111110657
10200,True,1.4913888888888907,0
10201,True,0.11833333333333206,0
10202,True,0.483888888888892,0
10203,False,0.12055555555555478,0
10204,True,0.1044444444444431,0
10205,False,1.210277777777794,0
10206,True,0.23555555555555086,0
10207,False,0.07083333333333323,0
10208,True,0.2166666666666619,0
10209,True,0.4745833333333446,0
10210,True,0.09888888888888757,0.0002777777777777778
10211,True,0.4211111111111188,0.048333333333333325
10212,True,0.4108333333333407,0.001388888888888889
10214,True,0.01194444444444442,0
10215,True,0.4288888888889083,0.15416666666666395
10216,True,0.7984722222222439,0.0011111111111111111
10218,True,0.29694444444444346,0
10223,True,0.10805555555555392,0.044166666666666785
10224,True,0.018055555555555526,0.0005555555555555556
10225,False,0.1852777777777744,0
10226,False,0.09833333333333254,0
10227,False,0.02388888888888889,0
10228,False,0.040000000000000105,0.0002777777777777778
10229,False,0.028055555555555577,0
10230,False,0.027222222222222252,0
10231,True,0.20222222222221786,0
10232,True,0.011388888888888869,0
10233,True,0.17638888888888524,0
10234,True,0.0005555555555555556,0
10235,True,0.3643055555555564,0
10236,True,0.025277777777777774,0
10237,False,0.061944444444444635,0
10238,True,0.18722222222221818,0
10239,True,0.08861111111111071,0
10240,True,0.0422222222222223,0
10241,False,0.15944444444444192,0
10242,True,0.16666666666666444,0
10243,True,0.06972222222222219,0
10244,True,0.6502777777777853,0.0011111111111111111
10245,True,0.036111111111111156,0
10246,False,0.01805555555555552,0
10247,True,0.13638888888888648,0
10248,True,0.38888888888889,0
10249,True,0.4477777777777791,0
10250,False,0.0497222222222224,0
10251,True,0.011944444444444424,0
10252,True,0.001388888888888889,0
10253,False,0.010277777777777764,0
10254,False,0.009444444444444436,0
10255,True,0.02888888888888893,0
10256,True,0.0641666666666668,0.014444444444444406
10257,True,0.043611111111111246,0
10258,True,0.023611111111111117,0
10259,True,0.050555555555555715,0.0016666666666666668
10260,True,0.1491666666666641,0
10263,True,0.07888888888888863,0
10265,True,0.14916666666666417,0
10266,False,0.12833333333333125,0.019722222222222224
10267,False,0.08916666666666591,0
10269,True,0.057777777777778004,0.0036111111111111114
10270,True,0.11249999999999871,0
10271,True,0.00916666666666666,0
10272,True,0.15416666666666376,0.12694444444444294
10273,True,0.008333333333333331,0
10274,True,0.008611111111111108,0
10275,True,0.03944444444444454,0
10277,True,0.12777777777777574,0
10278,True,0.008888888888888884,0
10280,True,1.466388888888933,0.9208333333333407
10281,True,0.362916666666665,0.22305555555555123
10282,True,0.6230555555555669,0
10283,False,0.1449999999999992,0
10284,True,0.0211111111111111,0
10285,False,0.5577777777777835,0
10286,True,0.16694444444444226,0
10287,True,0.16888888888888565,0.03194444444444442
10288,True,0.032500000000000064,0
10289,True,0.20111111111110608,0
10290,True,0.0036111111111111114,0
10291,True,0.156944444444442,0
10292,True,0.7491666666666759,0.0005555555555555556
10293,True,0.874166666666682,0
10294,True,0.02305555555555555,0
10295,False,0.01583333333333329,0
10296,True,0.04055555555555567,0.018055555555555526
10297,False,0.06388888888888901,0
10298,False,0.36777777777777526,0
10299,True,0.009999999999999988,0
103,False,6.024305555555416,0.0002777777777777778
10300,True,0.01555555555555551,0.01194444444444442
10301,True,0.14555555555555452,0.07388888888888896
10302,True,1.3716666666667108,0.05166666666666657
10303,True,0.0022222222222222222,0
10304,True,0.15388888888888563,0
10305,True,0.2672222222222164,0
10313,False,0.14527777777777443,0.0005555555555555556
10314,True,0.018611111111111085,0
10315,True,0.008333333333333331,0
10316,True,0.02222222222222222,0
10317,True,0.030833333333333386,0
10318,True,0.014722222222222182,0
10319,True,0.013611111111111077,0
10322,True,0.026666666666666693,0
10323,True,0.018611111111111085,0
10328,True,0.12249999999999793,0
10329,True,0.3291666666666665,0.05027777777777769
10330,True,0.0002777777777777778,0
10331,True,0.030277777777777827,0
10332,True,0.012222222222222197,0.0008333333333333334
10333,True,0.05305555555555574,0
10334,True,0.20583333333332895,0
10335,True,3.4620833333336756,3.357083333333656
10336,True,0.9902777777778312,0.9108333333333817
10337,True,0.23972222222221695,0.0022222222222222222
10341,False,0.01611111111111107,0
10342,True,0.039722222222222325,0
10343,True,0.6908333333333534,0.5780555555555608
10344,False,0.08416666666666626,0
10345,True,0.12416666666666457,0
10346,True,0.24694444444443786,0
10347,True,0.08472222222222171,0
10348,True,0.09916666666666567,0
10350,True,0.0347222222222223,0
10357,True,0.08916666666666584,0
10358,True,0.11305555555555453,0
10359,True,0.009999999999999988,0
10365,True,0.13805555555555366,0.050000000000000176
10366,True,0.03527777777777786,0
10367,True,0.16361111111110757,0
10368,True,0.04833333333333342,0
10369,True,0.056111111111111306,0
10370,True,0.14416666666666492,0
10371,False,0.05333333333333345,0
10372,True,0.15638888888888608,0
10373,True,0.12027777777777647,0
10374,True,0.1402777777777751,0
10375,True,0.02750000000000001,0
10376,True,0.2244444444444399,0
10377,True,0.04972222222222239,0
10378,True,0.025000000000000015,0
10379,True,0.26249999999999535,0.027499999999999962
10380,True,0.2580555555555505,0.03027777777777775
10381,True,0.075833333333333,0.026111111111111134
10385,True,0.583611111111127,0
10388,True,0.34111111111111053,0
10395,True,0.19166666666666235,0
10396,True,0.33361111111111397,0.07888888888888827
104,False,5.125000000000245,2.943611111111408
10401,True,0.15319444444444147,0
10402,True,0.18555555555555128,0
10403,True,0.2708333333333283,0
10408,True,0.19388888888888445,0
10409,True,0.19472222222221688,0.12944444444444178
10410,False,0.04750000000000016,0
10411,True,0.13583333333333114,0
10414,True,0.22305555555554996,0.0016666666666666668
10415,True,0.07166666666666652,0
10416,True,0.08361111111111064,0
10417,True,0.014444444444444406,0
10418,False,0.4436111111111116,0
10419,True,0.16444444444444212,0
10420,True,0.1874999999999959,0.0011111111111111111
10421,True,0.5927777777777774,0
10422,True,0.24472222222221746,0
10423,True,0.28472222222222,0.04083333333333341
10424,True,0.7105555555555578,0
10425,False,0.1047222222222215,0
10426,True,0.0291666666666667,0
10428,False,0.08722222222222142,0
10429,True,0.2213888888888839,0
10430,False,0.24416666666666056,0
10431,False,0.218611111111106,0
10432,False,0.1102777777777762,0
10433,False,0.06388888888888908,0
10434,False,0.19277777777777347,0
10436,False,0.2299999999999951,0
10437,False,0.09083333333333242,0.009999999999999988
10438,False,0.1041666666666655,0
10439,False,0.3258333333333343,0
10441,False,0.7775000000000267,0
10443,False,0.6477777777778041,0
10444,False,0.26777777777777334,0
10445,False,0.24499999999999286,0
10446,False,0.09444444444444336,0.009999999999999988
10447,False,0.38583333333333386,0.18749999999999728
10448,False,0.832777777777824,0.7100000000000214
10449,False,0.16638888888888498,0
10451,False,0.8388888888889231,0.025000000000000015
10452,False,0.18777777777777258,0.13861111111110805
10453,False,0.7280555555555875,0
10454,False,0.10916666666666505,0
10456,False,0.5150000000000139,0
10457,False,0.3813888888888894,0
10458,False,0.2749999999999946,0
10460,False,0.2852777777777778,0
10462,False,0.1711111111111068,0
10467,False,0.24749999999999495,0
10468,False,0.13277777777777527,0
10469,False,0.4616666666666849,0.020833333333333315
10470,False,0.22694444444443795,0
10471,False,0.14263888888888576,0
10472,False,0.3491666666666725,0
10474,False,0.17027777777777384,0
10475,False,0.2299999999999935,0
