sec,direction,cell,n,stopped,mean_speed_kph,speed_eligible_n_ge5
360,W,10,8,0,122.74249999999998,True
360,W,11,5,0,117.296,True
360,W,12,3,0,128.36666666666667,False
360,W,13,20,0,89.15799999999999,True
360,W,14,11,0,69.99454545454545,True
360,W,15,6,0,118.52833333333332,True
360,W,16,5,0,120.276,True
360,W,17,12,0,122.22500000000001,True
360,W,18,3,0,121.27,False
360,W,19,6,0,128.85333333333332,True
360,W,20,6,0,124.31000000000002,True
390,E,0,21,0,79.68047619047618,True
390,E,1,20,0,109.35249999999999,True
390,E,2,21,0,110.63047619047617,True
390,E,3,29,0,113.26448275862067,True
390,E,4,15,0,116.92533333333333,True
390,E,5,20,0,116.41900000000001,True
390,E,6,13,0,124.17307692307696,True
390,E,7,11,0,118.12181818181817,True
390,E,8,13,0,109.55846153846156,True
390,E,9,13,0,110.73538461538462,True
390,E,10,11,0,110.13727272727274,True
390,E,11,8,0,112.995,True
390,E,12,11,0,111.92181818181817,True
390,E,13,5,0,120.4,True
390,E,14,12,0,76.865,True
390,E,15,13,0,85.28307692307693,True
390,E,16,7,0,120.63857142857144,True
390,E,17,5,0,115.396,True
390,E,18,2,0,132.005,False
390,E,19,8,0,120.6325,True
390,E,20,4,0,117.3875,False
390,W,0,25,0,82.7224,True
390,W,1,13,0,117.9930769230769,True
390,W,2,23,0,116.44086956521741,True
390,W,3,23,0,111.65782608695653,True
390,W,4,18,0,114.91388888888888,True
390,W,5,11,0,112.78636363636362,True
390,W,6,8,0,124.66875,True
390,W,7,12,0,98.26666666666667,True
390,W,8,14,0,107.77428571428572,True
390,W,9,5,0,115.07000000000001,True
390,W,10,7,0,121.02571428571427,True
390,W,11,22,0,115.81681818181819,True
390,W,12,5,0,125.248,True
390,W,13,7,0,87.63857142857144,True
390,W,14,11,0,63.51636363636363,True
390,W,15,17,0,90.26470588235293,True
390,W,16,4,0,135.715,False
390,W,17,6,0,119.37666666666667,True
390,W,18,4,0,117.66499999999999,False
390,W,19,12,0,122.20333333333333,True
390,W,20,4,0,127.2125,False
420,E,0,15,0,82.70933333333336,True
420,E,1,16,0,117.49874999999999,True
420,E,2,14,0,115.26785714285714,True
420,E,3,17,0,115.39764705882352,True
420,E,4,23,0,114.10565217391306,True
420,E,5,27,0,115.8485185185185,True
420,E,6,16,0,115.26874999999998,True
420,E,7,21,0,112.40809523809523,True
420,E,8,12,0,117.95166666666667,True
420,E,9,12,0,93.78750000000001,True
420,E,10,11,0,111.42454545454547,True
420,E,11,12,0,120.66000000000001,True
420,E,12,8,0,121.61625,True
420,E,13,9,0,108.50222222222222,True
420,E,14,15,0,69.81466666666667,True
420,E,15,12,0,63.55500000000001,True
420,E,16,8,0,118.12624999999998,True
420,E,17,6,0,110.555,True
420,E,18,7,0,124.38714285714285,True
420,E,19,5,0,121.06400000000001,True
420,E,20,4,0,124.45500000000001,False
420,W,0,27,0,81.24740740740738,True
420,W,1,15,0,116.20133333333335,True
420,W,2,15,0,119.71933333333331,True
420,W,3,15,0,117.02333333333333,True
420,W,4,27,0,109.69703703703699,True
420,W,5,20,0,107.4115,True
420,W,6,17,0,119.38882352941178,True
420,W,7,7,0,81.70142857142856,True
420,W,8,7,0,121.94428571428571,True
420,W,9,13,0,114.70692307692308,True
420,W,10,12,0,121.92750000000001,True
420,W,11,6,0,90.98666666666666,True
420,W,12,7,0,113.44428571428571,True
420,W,13,12,0,100.29166666666664,True
420,W,14,12,0,82.48,True
420,W,15,10,0,76.899,True
420,W,16,6,0,113.35000000000001,True
420,W,17,12,0,122.71499999999999,True
420,W,18,3,0,128.63,False
420,W,19,6,0,122.01833333333332,True
420,W,20,9,0,118.76555555555557,True
450,E,0,18,0,81.27000000000001,True
450,E,1,12,0,115.71083333333331,True
450,E,2,12,0,115.80333333333336,True
450,E,3,15,0,117.11466666666665,True
450,E,4,13,0,117.29923076923077,True
450,E,5,22,0,117.66090909090909,True
450,E,6,18,0,119.41666666666667,True
450,E,7,29,0,110.64034482758619,True
450,E,8,15,0,114.12533333333334,True
450,E,9,16,0,112.00625000000002,True
450,E,10,15,0,99.19666666666667,True
450,E,11,5,0,106.70800000000001,True
450,E,12,11,0,123.39,True
450,E,13,11,0,120.81363636363636,True
450,E,14,6,0,81.72833333333334,True
450,E,15,18,0,59.50055555555556,True
450,E,16,7,0,94.3714285714286,True
450,E,17,7,0,120.11857142857143,True
450,E,18,7,0,118.42142857142856,True
450,E,19,6,0,108.06833333333333,True
450,E,20,9,0,120.56222222222225,True
450,W,0,18,0,94.18277777777779,True
450,W,1,20,0,113.351,True
450,W,2,16,0,113.57437499999999,True
450,W,3,17,0,118.12647058823529,True
450,W,4,15,0,117.26466666666666,True
450,W,5,17,0,113.92999999999999,True
450,W,6,29,0,99.5003448275862,True
450,W,7,14,0,94.89285714285714,True
450,W,8,14,0,116.91499999999998,True
450,W,9,3,0,115.75333333333333,False
450,W,10,8,0,118.58375,True
450,W,11,11,0,116.44363636363637,True
450,W,12,10,0,110.425,True
450,W,13,6,0,79.69833333333332,True
450,W,14,11,0,97.52272727272727,True
450,W,15,15,0,78.91,True
450,W,16,7,0,107.24285714285715,True
450,W,17,6,0,115.7,True
450,W,18,7,0,126.33,True
450,W,19,12,0,126.39166666666667,True
450,W,20,4,0,123.17499999999998,False
480,E,0,26,0,89.09307692307692,True
480,E,1,14,0,109.51714285714287,True
480,E,2,11,0,118.73818181818179,True
480,E,3,12,0,114.28166666666665,True
480,E,4,11,0,117.80363636363637,True
480,E,5,14,0,120.10642857142855,True
480,E,6,13,0,116.52615384615385,True
480,E,7,24,0,111.72333333333334,True
480,E,8,24,0,108.86666666666669,True
480,E,9,16,0,108.96500000000002,True
480,E,10,11,0,113.01181818181819,True
480,E,11,10,0,120.27799999999999,True
480,E,12,15,0,117.38400000000001,True
480,E,13,4,0,90.5625,False
480,E,14,8,0,101.04875,True
480,E,15,14,0,71.34071428571428,True
480,E,16,11,0,112.95,True
480,E,17,8,0,109.55,True
480,E,18,4,0,117.685,False
480,E,19,6,0,119.69333333333333,True
480,E,20,10,0,115.16499999999999,True
480,W,0,24,0,82.82791666666667,True
480,W,1,10,0,124.32700000000003,True
480,W,2,20,0,113.354,True
480,W,3,17,0,114.65705882352943,True
480,W,4,15,0,117.93466666666667,True
480,W,5,18,0,118.3661111111111,True
480,W,6,14,0,116.71,True
480,W,7,24,0,82.97208333333333,True
480,W,8,15,0,110.77533333333332,True
480,W,9,11,0,118.50727272727272,True
480,W,10,13,0,120.97230769230768,True
480,W,11,3,0,115.75333333333333,False
480,W,12,8,0,115.06125,True
480,W,13,14,0,98.4707142857143,True
480,W,14,11,0,91.60363636363637,True
480,W,15,8,0,78.58000000000001,True
480,W,16,13,0,112.83846153846154,True
480,W,17,9,0,117.21333333333334,True
480,W,18,5,0,122.08999999999999,True
480,W,19,7,0,123.19857142857141,True
480,W,20,7,0,126.74714285714285,True
510,E,0,24,0,87.50875000000002,True
510,E,1,16,0,120.42062500000002,True
510,E,2,18,0,118.01111111111112,True
510,E,3,13,0,119.21692307692307,True
510,E,4,10,0,118.68999999999998,True
510,E,5,14,0,119.15357142857144,True
510,E,6,10,0,115.202,True
510,E,7,16,0,117.20249999999999,True
510,E,8,20,0,112.73299999999999,True
510,E,9,15,0,89.29933333333335,True
510,E,10,12,0,118.94999999999997,True
510,E,11,11,0,114.93818181818182,True
510,E,12,12,0,116.1075,True
510,E,13,10,0,108.36600000000001,True
510,E,14,11,0,71.1,True
510,E,15,3,0,53.339999999999996,False
510,E,16,7,0,111.63428571428572,True
510,E,17,13,0,121.16230769230768,True
