sim_sec,veh_no,lane,pos_m,route_decision_no,route_no,route_decision_type,decision_vartype,route_vartype,type_vartype
604,"482","10621-2","160.224633782471","1129","1","STATIC",3,3,8
604,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
604,"1042","10621-1","807.247048192194",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
604,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
604,"1597","10621-2","799.034561903752",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
604,"2001","10621-2","204.67378943386","1129","1","STATIC",3,3,8
604,"2149","10621-1","933.787486990575",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
605,"13","56-3","445.204567131819","1129","1","STATIC",3,3,8
605,"72","57-1","316.102063321133","1129","3","STATIC",3,3,8
605,"286","10621-2","854.238327920217",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
605,"398","10621-1","237.84559270566","1129","1","STATIC",3,3,8
605,"482","10621-2","171.886607459554","1129","1","STATIC",3,3,8
605,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
605,"1042","10621-1","815.891338540193",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
605,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
605,"1597","10621-2","819.846175274434",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
605,"2001","10621-2","226.824671878624","1129","1","STATIC",3,3,8
606,"13","56-3","454.061362868246","1129","1","STATIC",3,3,8
606,"72","57-1","327.649797853352","1129","3","STATIC",3,3,8
606,"286","10621-2","874.672958453799",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
606,"398","10621-1","249.309486921475","1129","1","STATIC",3,3,8
606,"482","10621-2","183.422179734427","1129","1","STATIC",3,3,8
606,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
606,"1042","10621-1","824.29815300271",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
606,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
606,"1597","10621-2","841.62125858855",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
606,"2001","10621-2","250.362859249064","1129","1","STATIC",3,3,8
607,"13","56-3","463.11892549872","1129","1","STATIC",3,3,8
