input_no,time_int,start_sec,before_vph,volume_vph
1074,1-1,0,596.96,238.78400000000002
1074,1-2,900,852.8,341.12
1074,1-3,1800,895.44,358.17600000000004
1074,1-4,2700,767.52,307.008
1074,1-5,3600,596.96,238.78400000000002
1074,1-6,4500,426.4,170.56
1082,1-1,0,897.12,358.848
1082,1-2,900,1281.6,512.64
1082,1-3,1800,1345.68,538.272
1082,1-4,2700,1153.44,461.37600000000003
1082,1-5,3600,897.12,358.848
1082,1-6,4500,640.8,256.32
1083,1-1,0,280.0,112.0
1083,1-2,900,400.0,160.0
1083,1-3,1800,420.0,168.0
1083,1-4,2700,360.0,144.0
1083,1-5,3600,280.0,112.0
1083,1-6,4500,200.0,80.0
1085,1-1,0,280.0,112.0
1085,1-2,900,400.0,160.0
1085,1-3,1800,420.0,168.0
1085,1-4,2700,360.0,144.0
1085,1-5,3600,280.0,112.0
1085,1-6,4500,200.0,80.0
1086,1-1,0,196.0,78.4
1086,1-2,900,280.0,112.0
1086,1-3,1800,294.0,117.60000000000001
1086,1-4,2700,252.0,100.80000000000001
1086,1-5,3600,196.0,78.4
1086,1-6,4500,140.0,56.0
1087,1-1,0,196.0,78.4
1087,1-2,900,280.0,112.0
1087,1-3,1800,294.0,117.60000000000001
1087,1-4,2700,252.0,100.80000000000001
1087,1-5,3600,196.0,78.4
1087,1-6,4500,140.0,56.0
1091,1-1,0,112.0,44.800000000000004
1091,1-2,900,160.0,64.0
1091,1-3,1800,168.0,67.2
1091,1-4,2700,144.0,57.6
1091,1-5,3600,112.0,44.800000000000004
1091,1-6,4500,80.0,32.0
1092,1-1,0,42.0,16.8
1092,1-2,900,60.0,24.0
1092,1-3,1800,63.0,25.200000000000003
1092,1-4,2700,54.0,21.6
1092,1-5,3600,42.0,16.8
1092,1-6,4500,30.0,12.0
1093,1-1,0,42.0,16.8
1093,1-2,900,60.0,24.0
1093,1-3,1800,63.0,25.200000000000003
1093,1-4,2700,54.0,21.6
1093,1-5,3600,42.0,16.8
1093,1-6,4500,30.0,12.0
1095,1-1,0,168.0,67.2
1095,1-2,900,240.0,96.0
1095,1-3,1800,252.0,100.80000000000001
1095,1-4,2700,216.0,86.4
1095,1-5,3600,168.0,67.2
1095,1-6,4500,120.0,48.0
1096,1-1,0,56.0,22.400000000000002
1096,1-2,900,80.0,32.0
1096,1-3,1800,84.0,33.6
1096,1-4,2700,72.0,28.8
1096,1-5,3600,56.0,22.400000000000002
1096,1-6,4500,40.0,16.0
1097,1-1,0,112.0,44.800000000000004
1097,1-2,900,160.0,64.0
1097,1-3,1800,168.0,67.2
1097,1-4,2700,144.0,57.6
1097,1-5,3600,112.0,44.800000000000004
1097,1-6,4500,80.0,32.0
1098,1-1,0,5544.0,3233.8706399999996
1098,1-2,900,7920.0,4619.8152
1098,1-3,1800,8316.0,4850.80596
1098,1-4,2700,7128.0,4157.83368
1098,1-5,3600,5544.0,3233.8706399999996
1098,1-6,4500,3960.0,2309.9076
1099,1-1,0,5544.0,3233.8706399999996
1099,1-2,900,7920.0,4619.8152
1099,1-3,1800,8316.0,4850.80596
1099,1-4,2700,7128.0,4157.83368
1099,1-5,3600,5544.0,3233.8706399999996
1099,1-6,4500,3960.0,2309.9076
1100,1-1,0,566.16,226.464
1100,1-2,900,808.8,323.52
1100,1-3,1800,849.24,339.696
1100,1-4,2700,727.92,291.168
1100,1-5,3600,566.16,226.464
1100,1-6,4500,404.4,161.76
1101,1-1,0,934.0,373.6
1101,1-2,900,1333.0,533.2
1101,1-3,1800,1400.0,560.0
1101,1-4,2700,1200.0,480.0
1101,1-5,3600,934.0,373.6
1101,1-6,4500,667.0,266.8
1102,1-1,0,933.0,373.20000000000005
1102,1-2,900,1333.0,533.2
1102,1-3,1800,1400.0,560.0
1102,1-4,2700,1200.0,480.0
1102,1-5,3600,933.0,373.20000000000005
1102,1-6,4500,667.0,266.8
1103,1-1,0,168.0,67.2
1103,1-2,900,240.0,96.0
1103,1-3,1800,252.0,100.80000000000001
1103,1-4,2700,216.0,86.4
1103,1-5,3600,168.0,67.2
1103,1-6,4500,120.0,48.0
1104,1-1,0,56.0,22.400000000000002
1104,1-2,900,80.0,32.0
1104,1-3,1800,84.0,33.6
1104,1-4,2700,72.0,28.8
1104,1-5,3600,56.0,22.400000000000002
1104,1-6,4500,40.0,16.0
1105,1-1,0,566.16,226.464
1105,1-2,900,808.8,323.52
1105,1-3,1800,849.24,339.696
1105,1-4,2700,727.92,291.168
1105,1-5,3600,566.16,226.464
1105,1-6,4500,404.4,161.76
1106,1-1,0,566.16,226.464
1106,1-2,900,808.8,323.52
1106,1-3,1800,849.24,339.696
1106,1-4,2700,727.92,291.168
1106,1-5,3600,566.16,226.464
1106,1-6,4500,404.4,161.76
1107,1-1,0,566.16,226.464
1107,1-2,900,808.8,323.52
1107,1-3,1800,849.24,339.696
1107,1-4,2700,727.92,291.168
1107,1-5,3600,566.16,226.464
1107,1-6,4500,404.4,161.76
