# generated by scripts/derive_urban_exit_gate_map.py
# network=C:/Users/TRLAB/Desktop/찐찐막/VISSIM/network/real_world_gaepo_modi/modi_eval_rw_control_n4dr150_20260812.inpx sha256=37f1cc1fcafbec5affe3ed1f350b76ae89fb45b686b254b82e97f8db91476bbe
# config=C:/Users/TRLAB/Desktop/찐찐막/VISSIM/evaluation/configs/real_world_modi_pstack_distributed_core15n41legfix_20260812.json sha256=23350fb356688655176af2552e09bd40541546b0a7be0710d818e6fca1240b9e
# assignment=C:/Users/TRLAB/Desktop/찐찐막/VISSIM/outputs/link_player_assignment_20260805.json sha256=ba9c13ba9fe9e05c51866a50221a1054d73a3379315bf97c108a0552397eb01f
# leg rule: departure bearing from node centroid -> 8-way; radius=120 m
# no volume column by design - exits are sinks, throughput is whatever the signal passes
# expected_mapped=82
no,gate,status,leg,leg_source,model_node,link,out_link,lanes,len_m,bearing_deg,dist_to_node_m,name
98,out_SC9_E,mapped,E,link_geometry,SC9,98,SC9_E_out,2,84.4,102.3,66.3,
109,out_SC2004_N,mapped,N,link_geometry,SC2004,109,SC2004_N_out,4,368.4,340.3,29.0,
115,out_SC2005_N,mapped,N,link_geometry,SC2005,115,SC2005_N_out,4,382.4,339.5,32.3,
140,,leg_absent_at_node,SW,link_geometry,SC10,140,,1,23.9,242.9,15.4,
142,out_SC10_S,mapped,S,link_geometry,SC10,142,SC10_S_out,1,70.4,185.6,95.5,
165,out_SC17_E,mapped,E,link_geometry,SC17,165,SC17_E_out,1,43.4,71.2,13.7,
167,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC17,167,,1,28.8,220.3,15.8,
188,,leg_absent_at_node,SW,link_geometry,SC8,188,,1,184.9,226.7,8.8,
190,,leg_absent_at_node,NE,link_geometry,SC8,190,,1,27.5,47.1,9.2,
198,,unattributed_beyond_radius,,,,198,,1,107.1,,139.5,
202,,unattributed_beyond_radius,,,,202,,1,17.8,,205.1,
210,,leg_absent_at_node,NE,link_geometry,SC19,210,,1,125.0,44.5,6.5,
218,,leg_occupied_by_grid_neighbour,NE,link_geometry,SC3,218,,1,17.1,31.3,43.4,
221,,unattributed_beyond_radius,,,,221,,1,67.4,,139.7,
226,,leg_occupied_by_grid_neighbour,W,link_geometry,SC3,226,,1,30.9,276.3,57.4,
227,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC3,227,,1,14.0,218.0,63.3,
237,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC11,237,,1,41.5,238.7,105.8,
241,,unattributed_beyond_radius,,,,241,,1,57.5,,132.7,
243,,unattributed_beyond_radius,,,,243,,1,32.0,,141.1,
248,out_SC2_S,mapped,S,link_geometry,SC2,248,SC2_S_out,1,49.6,184.8,72.0,
250,out_SC2_W,mapped,W,link_geometry,SC2,250,SC2_W_out,1,30.8,269.1,44.0,
252,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC2,252,,1,26.5,243.1,116.5,
260,,leg_occupied_by_grid_neighbour,SE,link_geometry,SC5,260,,1,30.7,155.0,100.7,
261,,unattributed_beyond_radius,,,,261,,1,47.0,,128.8,
311,out_SC2005_S,mapped,S,link_geometry,SC2005,311,SC2005_S_out,1,60.2,168.0,78.5,
334,,unattributed_beyond_radius,,,,334,,1,31.2,,254.6,
342,,leg_absent_at_node,NE,link_geometry,SC15,342,,1,68.4,47.6,18.3,
344,,leg_absent_at_node,SW,link_geometry,SC15,344,,1,72.8,233.2,16.7,
356,,leg_absent_at_node,SE,link_geometry,SC9002,356,,1,22.7,155.5,11.7,
357,,leg_absent_at_node,NW,link_geometry,SC9002,357,,1,18.2,297.3,11.0,
361,,leg_occupied_by_grid_neighbour,E,link_geometry,SC9001,361,,1,21.4,101.0,81.3,
365,,leg_absent_at_node,SW,link_geometry,SC9001,365,,1,57.3,205.6,66.6,
371,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC2,371,,2,33.5,227.8,77.1,
380,,unattributed_beyond_radius,,,,380,,1,745.3,,166.8,
381,,leg_absent_at_node,SE,link_geometry,SC107,381,,1,90.6,157.0,89.1,
460,,unattributed_beyond_radius,,,,460,,1,33.3,,161.3,
463,out_SC9_W,mapped,W,link_geometry,SC9,463,SC9_W_out,1,83.5,278.1,91.8,
468,out_SC4_W,mapped,W,link_geometry,SC4,468,SC4_W_out,1,61.5,274.0,116.6,
470,,unattributed_beyond_radius,,,,470,,1,48.8,,133.7,
10001,,unattributed_beyond_radius,,,,10001,,2,17.5,,256.4,
10003,,unattributed_beyond_radius,,,,10003,,2,8.6,,389.2,
10004,,unattributed_beyond_radius,,,,10004,,1,6.8,,390.4,
10006,,unattributed_beyond_radius,,,,10006,,1,17.6,,256.4,
10007,,unattributed_beyond_radius,,,,10007,,1,35.1,,328.0,
10009,,unattributed_beyond_radius,,,,10009,,1,31.5,,328.0,
10010,,unattributed_beyond_radius,,,,10010,,2,45.9,,301.4,
10011,,unattributed_beyond_radius,,,,10011,,1,34.1,,301.4,
10012,,unattributed_beyond_radius,,,,10012,,1,24.0,,353.7,
10013,,unattributed_beyond_radius,,,,10013,,1,34.1,,353.7,
10014,,unattributed_beyond_radius,,,,10014,,1,36.1,,332.1,
10016,,unattributed_beyond_radius,,,,10016,,1,25.0,,332.1,
10018,,unattributed_beyond_radius,,,,10018,,2,30.4,,424.3,
10019,,unattributed_beyond_radius,,,,10019,,1,16.7,,424.0,
10020,,unattributed_beyond_radius,,,,10020,,1,25.2,,455.0,
10027,,unattributed_beyond_radius,,,,10027,,1,10.3,,142.0,
10028,out_SC4_W,mapped,W,link_geometry,SC4,10028,SC4_W_out,1,13.4,248.7,104.8,
10030,,unattributed_beyond_radius,,,,10030,,1,33.7,,140.5,
10031,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC4,10031,,1,31.7,233.0,109.1,
10033,,unattributed_beyond_radius,,,,10033,,1,20.3,,144.1,
10034,,unattributed_beyond_radius,,,,10034,,1,32.0,,301.4,
10044,,unattributed_beyond_radius,,,,10044,,4,16.2,,194.6,
10045,,unattributed_beyond_radius,,,,10045,,1,16.2,,194.8,
10048,out_SC106_S,mapped,S,link_geometry,SC106,10048,SC106_S_out,4,8.7,161.6,87.2,
10051,out_SC106_S,mapped,S,link_geometry,SC106,10051,SC106_S_out,4,44.2,176.4,24.3,
10053,,leg_absent_at_node,NE,link_geometry,SC106,10053,,2,34.3,63.6,22.9,
10056,out_SC106_E,mapped,E,link_geometry,SC106,10056,SC106_E_out,1,31.9,67.8,32.1,
10058,out_SC106_S,mapped,S,link_geometry,SC106,10058,SC106_S_out,1,42.8,163.1,25.5,
10059,,leg_absent_at_node,NE,link_geometry,SC106,10059,,2,54.6,63.6,30.9,
10061,out_SC106_S,mapped,S,link_geometry,SC106,10061,SC106_S_out,1,23.5,187.7,32.5,
10062,,unattributed_beyond_radius,,,,10062,,4,25.7,,418.4,
10064,out_SC102_N,mapped,N,link_geometry,SC102,10064,SC102_N_out,2,51.7,343.1,14.1,
10068,,unattributed_beyond_radius,,,,10068,,4,57.3,,280.0,
10069,,unattributed_beyond_radius,,,,10069,,1,47.6,,279.8,
10070,,unattributed_beyond_radius,,,,10070,,1,43.0,,280.2,
10072,,unattributed_beyond_radius,,,,10072,,1,47.0,,347.2,
10073,,unattributed_beyond_radius,,,,10073,,1,43.0,,347.6,
10074,,unattributed_beyond_radius,,,,10074,,1,54.7,,323.6,
10076,,unattributed_beyond_radius,,,,10076,,1,20.4,,324.0,
10077,,unattributed_beyond_radius,,,,10077,,1,55.9,,306.8,
10079,,unattributed_beyond_radius,,,,10079,,1,45.8,,306.9,
10090,out_SC104_N,mapped,N,link_geometry,SC104,10090,SC104_N_out,1,13.2,359.5,35.4,
10091,,leg_absent_at_node,NE,link_geometry,SC104,10091,,1,10.6,43.8,46.2,
10092,out_SC104_E,mapped,E,link_geometry,SC104,10092,SC104_E_out,1,8.8,87.3,36.2,
10095,out_SC103_N,mapped,N,link_geometry,SC103,10095,SC103_N_out,2,48.1,352.4,25.1,
10096,out_SC103_E,mapped,E,link_geometry,SC103,10096,SC103_E_out,1,16.6,96.4,27.8,
10099,out_SC104_E,mapped,E,link_geometry,SC104,10099,SC104_E_out,2,42.9,91.6,23.2,
10102,out_SC104_E,mapped,E,link_geometry,SC104,10102,SC104_E_out,3,47.1,96.3,29.5,
10111,,unattributed_beyond_radius,,,,10111,,2,32.1,,166.6,
10113,,unattributed_beyond_radius,,,,10113,,2,22.8,,238.9,
10120,out_SC104_N,mapped,N,link_geometry,SC104,10120,SC104_N_out,2,38.6,355.1,27.4,
10137,out_SC14_S,mapped,S,link_geometry,SC14,10137,SC14_S_out,1,37.5,188.9,17.2,
10138,out_SC14_S,mapped,S,link_geometry,SC14,10138,SC14_S_out,1,13.3,197.2,23.1,
10145,,leg_occupied_by_grid_neighbour,SE,link_geometry,SC9,10145,,1,19.8,145.9,55.6,
10147,,leg_occupied_by_grid_neighbour,SE,link_geometry,SC9,10147,,1,12.5,146.1,78.0,
10167,out_SC104_N,mapped,N,link_geometry,SC104,10167,SC104_N_out,4,43.5,15.1,30.4,
10169,out_SC103_E,mapped,E,link_geometry,SC103,10169,SC103_E_out,1,39.4,72.8,26.3,
10171,,leg_occupied_by_grid_neighbour,SE,link_geometry,SC104,10171,,1,18.3,120.1,48.7,
10173,out_SC103_E,mapped,E,link_geometry,SC103,10173,SC103_E_out,4,49.4,85.0,28.5,
10174,out_SC103_N,mapped,N,link_geometry,SC103,10174,SC103_N_out,1,40.5,341.4,27.9,
10177,out_SC103_N,mapped,N,link_geometry,SC103,10177,SC103_N_out,1,21.2,355.7,28.1,
10178,,unattributed_beyond_radius,,,,10178,,1,26.2,,168.0,
10217,,leg_absent_at_node,SW,link_geometry,SC10,10217,,1,20.9,240.8,12.0,
10219,,leg_absent_at_node,SW,link_geometry,SC10,10219,,1,16.5,240.9,17.2,
10222,out_SC10_S,mapped,S,link_geometry,SC10,10222,SC10_S_out,1,23.3,168.8,73.8,
10227,,leg_occupied_by_grid_neighbour,E,link_geometry,SC13,10227,,1,22.3,90.4,66.5,
10228,,leg_occupied_by_grid_neighbour,E,link_geometry,SC13,10228,,1,18.1,90.5,35.5,
10250,out_SC16_E,mapped,E,link_geometry,SC16,10250,SC16_E_out,1,30.2,69.3,19.5,
10253,out_SC16_E,mapped,E,link_geometry,SC16,10253,SC16_E_out,1,22.5,69.4,22.2,
10254,out_SC16_E,mapped,E,link_geometry,SC16,10254,SC16_E_out,1,36.5,69.4,19.2,
10262,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC17,10262,,1,15.1,204.8,10.4,
10264,out_SC17_E,mapped,E,link_geometry,SC17,10264,SC17_E_out,1,5.9,86.3,14.2,
10266,out_SC17_E,mapped,E,link_geometry,SC17,10266,SC17_E_out,1,23.6,86.4,11.7,
10267,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC17,10267,,1,24.6,205.9,15.0,
10279,,leg_occupied_by_grid_neighbour,NW,link_geometry,SC9,10279,,1,10.0,324.0,96.1,
10283,out_SC109_E,mapped,E,link_geometry,SC109,10283,SC109_E_out,3,26.5,95.3,9.9,
10285,out_SC109_E,mapped,E,link_geometry,SC109,10285,SC109_E_out,3,17.9,108.5,16.9,
10295,out_SC108_S,mapped,S,link_geometry,SC108,10295,SC108_S_out,1,19.3,195.9,31.2,
10297,out_SC108_S,mapped,S,link_geometry,SC108,10297,SC108_S_out,1,43.3,190.9,20.9,
10298,out_SC108_S,mapped,S,link_geometry,SC108,10298,SC108_S_out,1,51.1,196.5,42.5,
10306,,leg_absent_at_node,NE,link_geometry,SC8,10306,,1,16.1,46.0,9.1,
10307,,leg_absent_at_node,SW,link_geometry,SC8,10307,,1,9.8,231.8,10.4,
10312,,leg_absent_at_node,SW,link_geometry,SC8,10312,,1,16.3,231.9,10.4,
10313,,leg_absent_at_node,NE,link_geometry,SC8,10313,,1,12.5,46.0,10.9,
10320,,unattributed_beyond_radius,,,,10320,,1,13.0,,197.1,
10321,,unattributed_beyond_radius,,,,10321,,1,11.5,,214.3,
10326,,unattributed_beyond_radius,,,,10326,,1,13.9,,133.3,
10327,,unattributed_beyond_radius,,,,10327,,1,9.1,,143.3,
10338,out_SC19_N,mapped,N,link_geometry,SC19,10338,SC19_N_out,1,12.8,20.2,9.7,
10341,out_SC19_N,mapped,N,link_geometry,SC19,10341,SC19_N_out,1,15.6,20.7,11.4,
10344,,unattributed_beyond_radius,,,,10344,,2,11.5,,188.1,
10351,,leg_occupied_by_grid_neighbour,NE,link_geometry,SC3,10351,,1,9.1,48.1,51.3,
10352,,leg_occupied_by_grid_neighbour,NE,link_geometry,SC3,10352,,1,15.5,47.8,34.9,
10353,,unattributed_beyond_radius,,,,10353,,1,21.9,,159.4,
10361,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC3,10361,,1,12.6,245.8,64.0,
10362,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC3,10362,,1,17.1,246.1,42.6,
10363,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC3,10363,,1,22.5,228.5,44.3,
10383,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC11,10383,,1,16.6,216.1,114.4,
10384,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC11,10384,,1,12.0,216.1,97.0,
10386,,unattributed_beyond_radius,,,,10386,,1,15.6,,154.7,
10387,,unattributed_beyond_radius,,,,10387,,1,35.0,,154.7,
10389,,unattributed_beyond_radius,,,,10389,,1,26.0,,123.2,
10390,,unattributed_beyond_radius,,,,10390,,1,12.6,,123.0,
10399,,leg_occupied_by_grid_neighbour,NE,link_geometry,SC1,10399,,1,14.3,43.7,119.7,
10400,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC2,10400,,1,10.5,230.3,107.5,
10405,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC2,10405,,1,5.7,235.6,39.5,
10406,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC2,10406,,1,11.9,216.4,80.1,
10410,,leg_occupied_by_grid_neighbour,SE,link_geometry,SC5,10410,,1,10.3,138.4,93.1,
10412,,leg_occupied_by_grid_neighbour,SE,link_geometry,SC5,10412,,1,26.5,144.1,107.2,
10458,out_SC102_N,mapped,N,link_geometry,SC102,10458,SC102_N_out,1,32.9,338.9,46.8,
10462,out_SC102_N,mapped,N,link_geometry,SC102,10462,SC102_N_out,1,20.4,344.5,59.5,
10486,out_SC2005_S,mapped,S,link_geometry,SC2005,10486,SC2005_S_out,1,14.4,174.3,64.6,
10543,,unattributed_beyond_radius,,,,10543,,1,16.5,,238.4,
10548,,leg_absent_at_node,NE,link_geometry,SC15,10548,,1,17.8,37.1,14.7,
10549,,leg_absent_at_node,SW,link_geometry,SC15,10549,,1,16.5,240.4,17.0,
10551,,leg_absent_at_node,SW,link_geometry,SC15,10551,,1,28.1,240.5,17.6,
10552,,leg_absent_at_node,NE,link_geometry,SC15,10552,,1,28.6,37.1,21.2,
10576,out_SC9002_S,mapped,S,link_geometry,SC9002,10576,SC9002_S_out,1,6.6,181.4,10.6,
10577,,leg_absent_at_node,NW,link_geometry,SC9002,10577,,1,10.1,301.8,4.9,
10580,,leg_occupied_by_grid_neighbour,E,link_geometry,SC9001,10580,,1,14.6,86.7,88.7,
10581,,leg_occupied_by_grid_neighbour,E,link_geometry,SC9001,10581,,1,12.3,86.7,70.5,
10587,,leg_occupied_by_grid_neighbour,W,link_geometry,SC9001,10587,,1,33.2,250.0,42.7,
10589,,leg_occupied_by_grid_neighbour,W,link_geometry,SC9001,10589,,1,25.4,249.9,84.9,
10594,,leg_absent_at_node,SE,link_geometry,SC107,10594,,2,46.2,142.9,29.3,
10597,,unattributed_beyond_radius,,,,10597,,2,41.6,,276.9,
10606,,unattributed_beyond_radius,,,,10606,,1,4.0,,163.1,
10607,,leg_absent_at_node,SE,link_geometry,SC107,10607,,1,21.3,150.4,53.2,
10616,,leg_occupied_by_grid_neighbour,SW,link_geometry,SC107,10616,,1,13.8,222.7,101.0,
10620,,leg_absent_at_node,SE,link_geometry,SC107,10620,,2,36.3,154.6,21.5,
10626,out_SC1004_S,mapped,S,link_geometry,SC1004,10626,SC1004_S_out,3,65.5,164.5,36.7,
10630,,leg_absent_at_node,SE,link_geometry,SC1004,10630,,1,58.4,152.5,35.0,
10642,out_SC1004_S,mapped,S,link_geometry,SC1004,10642,SC1004_S_out,1,68.0,160.2,77.1,
10717,out_SC2001_N,mapped,N,link_geometry,SC2001,10717,SC2001_N_out,1,41.3,353.7,22.5,
10719,out_SC2001_W,mapped,W,link_geometry,SC2001,10719,SC2001_W_out,1,37.8,258.0,22.1,
10720,out_SC2001_W,mapped,W,link_geometry,SC2001,10720,SC2001_W_out,2,38.0,273.1,20.9,
10724,out_SC2001_N,mapped,N,link_geometry,SC2001,10724,SC2001_N_out,1,32.5,344.4,20.1,
10725,out_SC2001_N,mapped,N,link_geometry,SC2001,10725,SC2001_N_out,1,21.9,355.0,26.0,
10727,out_SC2001_W,mapped,W,link_geometry,SC2001,10727,SC2001_W_out,1,20.7,276.0,24.5,
10730,out_SC2002_N,mapped,N,link_geometry,SC2002,10730,SC2002_N_out,2,51.2,3.8,27.6,
10734,out_SC2002_N,mapped,N,link_geometry,SC2002,10734,SC2002_N_out,1,22.0,13.2,35.1,
10738,out_SC2002_N,mapped,N,link_geometry,SC2002,10738,SC2002_N_out,1,46.9,352.3,28.0,
10744,out_SC2003_N,mapped,N,link_geometry,SC2003,10744,SC2003_N_out,2,45.8,5.7,19.4,
10745,out_SC2003_N,mapped,N,link_geometry,SC2003,10745,SC2003_N_out,1,24.7,9.2,26.3,
10748,out_SC2004_N,mapped,N,link_geometry,SC2004,10748,SC2004_N_out,1,43.7,344.9,24.0,
10749,out_SC2004_N,mapped,N,link_geometry,SC2004,10749,SC2004_N_out,2,57.6,353.5,25.6,
10754,out_SC2004_N,mapped,N,link_geometry,SC2004,10754,SC2004_N_out,1,30.5,2.9,33.7,
10758,out_SC2005_N,mapped,N,link_geometry,SC2005,10758,SC2005_N_out,3,65.8,350.4,31.8,
10762,out_SC2005_N,mapped,N,link_geometry,SC2005,10762,SC2005_N_out,1,33.9,356.5,40.0,
10769,out_SC2005_N,mapped,N,link_geometry,SC2005,10769,SC2005_N_out,1,55.6,338.8,39.9,
1220000803,,leg_absent_at_node,NE,link_geometry,SC109,1220000803,,4,335.3,50.7,16.4,
1220001100,out_SC106_S,mapped,S,link_geometry,SC106,1220001100,SC106_S_out,4,66.8,161.8,22.4,
1220002302,out_SC104_N,mapped,N,link_geometry,SC104,1220002302,SC104_N_out,5,138.8,340.6,17.3,
1220006801,,unattributed_beyond_radius,,,,1220006801,,2,210.6,,235.6,
1220011300,out_SC16_E,mapped,E,link_geometry,SC16,1220011300,SC16_E_out,1,274.5,68.2,17.5,
1220013000,,leg_absent_at_node,SE,link_geometry,SC13,1220013000,,1,53.3,125.0,52.0,
1220017300,,leg_absent_at_node,NE,link_geometry,SC106,1220017300,,2,164.9,67.3,23.9,
1220023201,out_SC102_N,mapped,N,link_geometry,SC102,1220023201,SC102_N_out,3,114.5,340.1,64.9,
1220024301,out_SC103_E,mapped,E,link_geometry,SC103,1220024301,SC103_E_out,4,121.4,70.6,21.4,
1220024901,out_SC103_N,mapped,N,link_geometry,SC103,1220024901,SC103_N_out,3,159.2,338.1,23.9,
1220042200,,leg_absent_at_node,SE,link_geometry,SC107,1220042200,,2,901.2,142.1,13.6,
1220044400,,leg_absent_at_node,SE,link_geometry,SC108,1220044400,,2,692.6,142.0,18.4,
1220061100,out_SC104_E,mapped,E,link_geometry,SC104,1220061100,SC104_E_out,3,714.4,70.0,21.6,
