win,dest,lg,n,n_stop,run
1050,under,L2p,94,0,nc_lcd200
1200,RFW,L1,454,0,nc_lcd200
1200,RFW,L2p,1200,1,nc_lcd200
1200,to70,L1,185,0,nc_lcd200
1200,to70,L2p,199,0,nc_lcd200
1200,to71,L1,33,0,nc_lcd200
1200,to71,L2p,45,0,nc_lcd200
1200,under,L1,15,0,nc_lcd200
1200,under,L2p,132,0,nc_lcd200
1350,RFW,L1,432,2,nc_lcd200
1350,RFW,L2p,1042,11,nc_lcd200
1350,to70,L1,58,0,nc_lcd200
1350,to70,L2p,173,4,nc_lcd200
1350,to71,L1,26,0,nc_lcd200
1350,to71,L2p,29,0,nc_lcd200
1350,under,L1,2,0,nc_lcd200
1350,under,L2p,146,0,nc_lcd200
1500,RFW,L1,392,0,nc_lcd200
1500,RFW,L2p,923,0,nc_lcd200
1500,to70,L1,122,0,nc_lcd200
1500,to70,L2p,175,0,nc_lcd200
1500,to71,L2p,6,0,nc_lcd200
1500,under,L1,5,0,nc_lcd200
1500,under,L2p,140,0,nc_lcd200
1650,RFW,L1,373,0,nc_lcd200
1650,RFW,L2p,732,0,nc_lcd200
1650,to70,L1,132,0,nc_lcd200
1650,to70,L2p,287,0,nc_lcd200
1650,to71,L2p,4,0,nc_lcd200
1650,under,L1,9,0,nc_lcd200
1650,under,L2p,111,0,nc_lcd200
1800,RFW,L1,414,1,nc_lcd200
1800,RFW,L2p,850,2,nc_lcd200
1800,to70,L1,242,0,nc_lcd200
1800,to70,L2p,326,1,nc_lcd200
1800,to71,L2p,41,0,nc_lcd200
1800,under,L2p,103,0,nc_lcd200
1950,RFW,L1,453,0,nc_lcd200
1950,RFW,L2p,1008,0,nc_lcd200
1950,to70,L1,159,0,nc_lcd200
1950,to70,L2p,275,0,nc_lcd200
1950,to71,L1,23,0,nc_lcd200
1950,to71,L2p,34,0,nc_lcd200
1950,under,L2p,194,0,nc_lcd200
2100,RFW,L1,395,2,nc_lcd200
2100,RFW,L2p,852,2,nc_lcd200
2100,to70,L1,154,0,nc_lcd200
2100,to70,L2p,272,0,nc_lcd200
2100,to71,L1,1,0,nc_lcd200
2100,under,L1,14,0,nc_lcd200
2100,under,L2p,31,0,nc_lcd200
2250,RFW,L1,443,0,nc_lcd200
2250,RFW,L2p,763,1,nc_lcd200
2250,to70,L1,107,0,nc_lcd200
2250,to70,L2p,274,0,nc_lcd200
2250,to71,L2p,10,0,nc_lcd200
2250,under,L1,27,0,nc_lcd200
2250,under,L2p,76,0,nc_lcd200
2400,RFW,L1,519,3,nc_lcd200
2400,RFW,L2p,993,4,nc_lcd200
2400,to70,L1,70,0,nc_lcd200
2400,to70,L2p,228,1,nc_lcd200
2400,to71,L1,15,0,nc_lcd200
2400,to71,L2p,60,0,nc_lcd200
2400,under,L1,17,0,nc_lcd200
2400,under,L2p,220,0,nc_lcd200
2550,RFW,L1,495,1,nc_lcd200
2550,RFW,L2p,1043,1,nc_lcd200
2550,to70,L1,91,1,nc_lcd200
2550,to70,L2p,161,0,nc_lcd200
2550,to71,L1,16,0,nc_lcd200
2550,to71,L2p,7,0,nc_lcd200
2550,under,L1,22,0,nc_lcd200
2550,under,L2p,178,0,nc_lcd200
2700,RFW,L1,531,0,nc_lcd200
2700,RFW,L2p,975,0,nc_lcd200
2700,to70,L1,68,0,nc_lcd200
2700,to70,L2p,235,0,nc_lcd200
2700,to71,L2p,59,0,nc_lcd200
2700,under,L2p,138,0,nc_lcd200
2850,RFW,L1,478,1,nc_lcd200
2850,RFW,L2p,863,0,nc_lcd200
2850,to70,L1,30,0,nc_lcd200
2850,to70,L2p,135,0,nc_lcd200
2850,to71,L1,13,0,nc_lcd200
2850,to71,L2p,23,0,nc_lcd200
2850,under,L1,14,0,nc_lcd200
2850,under,L2p,47,0,nc_lcd200
3000,RFW,L1,362,0,nc_lcd200
3000,RFW,L2p,914,1,nc_lcd200
3000,to70,L1,113,0,nc_lcd200
3000,to70,L2p,228,0,nc_lcd200
3000,to71,L1,29,0,nc_lcd200
3000,to71,L2p,21,0,nc_lcd200
3000,under,L2p,69,0,nc_lcd200
3150,RFW,L1,375,1,nc_lcd200
3150,RFW,L2p,730,1,nc_lcd200
3150,to70,L1,112,0,nc_lcd200
3150,to70,L2p,257,0,nc_lcd200
3150,to71,L1,7,0,nc_lcd200
3150,to71,L2p,15,0,nc_lcd200
3150,under,L1,3,0,nc_lcd200
3150,under,L2p,28,0,nc_lcd200
3300,RFW,L1,340,0,nc_lcd200
3300,RFW,L2p,799,1,nc_lcd200
3300,to70,L1,97,0,nc_lcd200
3300,to70,L2p,161,0,nc_lcd200
3300,to71,L2p,19,0,nc_lcd200
3300,under,L1,27,0,nc_lcd200
3300,under,L2p,109,0,nc_lcd200
3450,RFW,L1,367,0,nc_lcd200
3450,RFW,L2p,912,0,nc_lcd200
3450,to70,L1,57,0,nc_lcd200
3450,to70,L2p,137,0,nc_lcd200
3450,to71,L2p,13,0,nc_lcd200
3450,under,L2p,75,0,nc_lcd200
3600,RFW,L1,326,1,nc_lcd200
3600,RFW,L2p,533,0,nc_lcd200
3600,to70,L1,69,0,nc_lcd200
3600,to70,L2p,192,1,nc_lcd200
3600,to71,L1,8,0,nc_lcd200
3600,to71,L2p,21,0,nc_lcd200
3600,under,L2p,17,0,nc_lcd200
3750,RFW,L1,298,0,nc_lcd200
3750,RFW,L2p,736,0,nc_lcd200
3750,to70,L1,48,0,nc_lcd200
3750,to70,L2p,109,0,nc_lcd200
3750,to71,L2p,9,0,nc_lcd200
3750,under,L2p,61,0,nc_lcd200
3900,RFW,L1,294,0,nc_lcd200
3900,RFW,L2p,500,0,nc_lcd200
3900,to70,L1,69,0,nc_lcd200
3900,to70,L2p,183,0,nc_lcd200
3900,to71,L1,7,0,nc_lcd200
3900,to71,L2p,13,0,nc_lcd200
3900,under,L2p,33,0,nc_lcd200
4050,RFW,L1,212,0,nc_lcd200
4050,RFW,L2p,450,0,nc_lcd200
4050,to70,L1,72,0,nc_lcd200
4050,to70,L2p,103,0,nc_lcd200
4050,to71,L2p,1,0,nc_lcd200
4050,under,L2p,69,0,nc_lcd200
4200,RFW,L1,247,0,nc_lcd200
4200,RFW,L2p,507,0,nc_lcd200
4200,to70,L1,59,0,nc_lcd200
4200,to70,L2p,118,0,nc_lcd200
4200,to71,L1,7,0,nc_lcd200
4200,to71,L2p,40,0,nc_lcd200
4200,under,L2p,99,0,nc_lcd200
4350,RFW,L1,284,0,nc_lcd200
4350,RFW,L2p,635,0,nc_lcd200
4350,to70,L1,112,0,nc_lcd200
4350,to70,L2p,97,0,nc_lcd200
4350,to71,L2p,53,0,nc_lcd200
4350,under,L1,2,0,nc_lcd200
4350,under,L2p,73,0,nc_lcd200
