win,dest,lg,n,n_stop,run
2400,RFW,L1,1012,0,h0
2400,RFW,L2p,563,0,h0
2400,to70,L1,184,0,h0
2400,to70,L2p,129,0,h0
2400,to71,L1,15,0,h0
2400,to71,L2p,53,0,h0
2400,under,L1,19,0,h0
2400,under,L2p,218,0,h0
2550,RFW,L1,1065,0,h0
2550,RFW,L2p,565,0,h0
2550,to70,L1,134,0,h0
2550,to70,L2p,133,0,h0
2550,to71,L1,8,0,h0
2550,to71,L2p,14,0,h0
2550,under,L1,24,0,h0
2550,under,L2p,176,0,h0
2700,RFW,L1,1042,0,h0
2700,RFW,L2p,538,0,h0
2700,to70,L1,166,0,h0
2700,to70,L2p,142,0,h0
2700,to71,L2p,59,0,h0
2700,under,L2p,137,0,h0
2850,RFW,L1,1056,0,h0
2850,RFW,L2p,394,0,h0
2850,to70,L1,85,0,h0
2850,to70,L2p,96,0,h0
2850,to71,L1,12,0,h0
2850,to71,L2p,24,0,h0
2850,under,L1,14,0,h0
2850,under,L2p,47,0,h0
3000,RFW,L1,837,1,h0
3000,RFW,L2p,500,0,h0
3000,to70,L1,134,0,h0
3000,to70,L2p,214,0,h0
3000,to71,L1,28,0,h0
3000,to71,L2p,23,0,h0
3000,under,L2p,69,0,h0
3150,RFW,L1,873,0,h0
3150,RFW,L2p,372,0,h0
3150,to70,L1,175,0,h0
3150,to70,L2p,218,0,h0
3150,to71,L1,3,0,h0
3150,to71,L2p,19,0,h0
3150,under,L1,1,0,h0
3150,under,L2p,30,0,h0
3300,RFW,L1,806,0,h0
3300,RFW,L2p,437,0,h0
3300,to70,L1,187,0,h0
3300,to70,L2p,95,0,h0
3300,to71,L2p,19,0,h0
3300,under,L1,32,0,h0
3300,under,L2p,105,0,h0
3450,RFW,L1,909,0,h0
3450,RFW,L2p,427,0,h0
3450,to70,L1,73,0,h0
3450,to70,L2p,124,0,h0
3450,to71,L2p,13,0,h0
3450,under,L1,1,0,h0
3450,under,L2p,74,0,h0
3600,RFW,L1,635,0,h0
3600,RFW,L2p,257,0,h0
3600,to70,L1,141,0,h0
3600,to70,L2p,123,0,h0
3600,to71,L1,8,0,h0
3600,to71,L2p,21,0,h0
3600,under,L2p,17,0,h0
3750,RFW,L1,631,0,h0
3750,RFW,L2p,442,0,h0
3750,to70,L1,102,0,h0
3750,to70,L2p,60,0,h0
3750,to71,L2p,9,0,h0
