link,nc_lcd200,g1_lcd200,h0,h11,b0,d_g1_200,d_h11_1000,d_b0_1000,d_nc_1000v200
1220007101,6.9,7.9,7.2,8.1,7.5,1.0,0.9,0.3,0.3
10336,0.1,1.1,0.1,1.0,0.9,1.0,0.9,0.9,-0.0
1220014000,1.6,2.5,1.6,2.6,2.5,1.0,1.0,0.9,0.0
1210012600,4.6,5.5,4.8,8.3,5.3,1.0,3.5,0.6,0.2
1210008703,2.6,3.6,2.6,3.6,2.8,1.0,1.0,0.2,0.1
408,7.7,8.7,7.7,7.8,7.9,1.0,0.1,0.3,-0.1
10645,4.8,5.7,4.7,4.8,5.6,0.9,0.1,0.9,-0.0
1220006503,6.5,7.4,6.2,7.1,7.0,0.9,0.9,0.8,-0.3
10682,17.9,18.8,24.8,25.7,23.3,0.9,0.9,-1.4,6.9
10526,2.9,3.7,2.6,3.0,2.2,0.8,0.4,-0.4,-0.3
1220008402,4.4,5.3,4.9,5.0,4.5,0.8,0.0,-0.4,0.5
1220015000,6.5,7.2,6.1,7.1,7.6,0.8,1.0,1.5,-0.4
68,85.7,86.4,76.2,75.5,77.5,0.7,-0.7,1.3,-9.6
107,10.2,10.9,10.3,11.7,11.6,0.7,1.4,1.3,0.1
10419,0.7,1.3,0.1,1.5,0.1,0.6,1.3,0.0,-0.5
1220008501,6.6,7.2,6.5,7.2,7.0,0.6,0.7,0.6,-0.1
182,7.5,8.1,7.6,8.2,8.3,0.6,0.7,0.7,0.0
1220008302,2.2,2.8,2.6,2.8,3.0,0.6,0.2,0.4,0.3
426,3.0,3.6,3.1,3.5,3.5,0.5,0.4,0.4,0.1
10487,3.2,3.7,3.5,1.9,3.7,0.5,-1.6,0.2,0.3
10638,7.1,7.6,7.3,31.5,34.9,0.5,24.1,27.6,0.2
10479,4.0,4.5,4.1,4.4,4.4,0.5,0.3,0.3,0.1
10502,0.3,0.8,0.4,0.8,0.8,0.5,0.4,0.4,0.1
10503,0.3,0.9,0.4,1.4,1.2,0.5,1.0,0.8,0.0
102,13.0,13.5,12.9,13.2,12.7,0.5,0.3,-0.2,-0.1
1220024801,23.4,23.8,23.9,24.2,24.2,0.4,0.3,0.3,0.5
1220022604,14.3,14.7,14.2,14.7,15.0,0.4,0.5,0.9,-0.1
1220042200,23.9,24.3,24.2,23.7,23.5,0.4,-0.6,-0.7,0.4
423,1.9,2.3,1.9,2.2,2.2,0.4,0.2,0.3,0.1
118,5.6,6.0,5.7,6.3,6.7,0.4,0.6,1.0,0.1
10621,14.2,14.6,13.9,12.2,12.8,0.4,-1.7,-1.2,-0.3
259,0.4,0.8,0.3,0.8,0.8,0.4,0.4,0.4,-0.0
1220008701,0.4,0.9,0.5,0.7,0.8,0.4,0.2,0.3,0.0
1220013700,1.4,1.7,1.5,1.6,1.7,0.4,0.1,0.2,0.1
10683,0.7,1.1,0.7,1.2,0.7,0.4,0.5,0.0,0.0
1220007402,2.2,2.5,2.1,2.3,2.6,0.4,0.2,0.4,-0.0
1220006403,5.6,6.0,5.5,5.7,5.5,0.4,0.2,-0.0,-0.1
10343,0.7,1.1,0.8,1.1,0.8,0.4,0.2,0.0,0.1
104,4.8,5.2,5.0,4.5,5.0,0.4,-0.5,-0.0,0.2
412,4.3,4.7,4.2,4.4,4.3,0.4,0.1,0.1,-0.1
1220021204,11.3,11.6,11.3,17.3,11.6,0.3,6.0,0.3,-0.0
358,1.6,1.9,1.5,1.7,1.6,0.3,0.2,0.1,-0.1
367,1.3,1.6,1.4,1.7,1.7,0.3,0.4,0.4,0.0
1220008301,1.2,1.5,1.3,1.4,1.6,0.3,0.2,0.3,0.0
1210014303,6.5,6.8,6.6,5.4,5.0,0.3,-1.3,-1.6,0.1
58,6.7,7.0,6.6,6.5,6.7,0.3,-0.2,0.0,-0.0
1210015700,2.9,3.2,2.8,3.3,3.3,0.3,0.4,0.4,-0.1
109,7.1,7.3,7.1,7.2,7.2,0.3,0.1,0.1,0.0
10280,0.8,1.1,0.8,1.1,0.8,0.3,0.4,0.0,-0.0
113,5.8,6.2,6.2,6.1,6.0,0.3,-0.1,-0.2,0.4
173,7.5,7.9,7.5,7.0,6.6,0.3,-0.5,-0.9,-0.0
56,8.2,8.5,8.0,6.9,7.4,0.3,-1.1,-0.6,-0.2
1210021304,15.5,15.8,15.7,16.1,15.1,0.3,0.4,-0.6,0.2
10281,0.1,0.4,0.2,0.4,0.4,0.2,0.2,0.3,0.1
1220012002,0.4,0.5,0.4,0.4,0.6,0.2,0.1,0.2,-0.0
10129,2.3,2.5,2.1,4.7,3.7,0.2,2.6,1.5,-0.2
10380,0.2,0.4,0.2,0.4,0.4,0.2,0.2,0.2,0.0
10409,0.1,0.3,0.1,0.3,0.3,0.2,0.2,0.2,-0.0
245,0.3,0.5,0.3,0.5,0.5,0.2,0.2,0.2,0.0
10661,1.5,1.6,1.4,1.5,1.4,0.2,0.1,-0.0,-0.0
