link,veh_h_h0,stop_veh_h_h0,veh_h_h11,stop_veh_h_h11,veh_h_b0,stop_veh_h_b0,dTTT_h11,dTTT_b0,dStop_h11,dStop_b0
1210021304,15.7,12.0,16.1,12.4,15.1,11.6,0.4,-0.6,0.4,-0.4
1210015700,2.8,2.1,3.3,2.5,3.3,2.5,0.4,0.4,0.4,0.4
1220011300,0.2,0.0,0.7,0.0,0.4,0.0,0.4,0.1,0.0,0.0
10502,0.4,0.4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4
10081,0.6,0.0,1.0,0.3,0.6,0.0,0.3,0.0,0.3,0.0
1220024801,23.9,19.2,24.2,19.5,24.2,19.5,0.3,0.3,0.3,0.3
1210009502,0.3,0.0,0.6,0.3,0.4,0.2,0.3,0.2,0.3,0.1
10550,1.4,0.1,1.7,0.4,1.4,0.0,0.3,-0.0,0.3,-0.1
10451,1.1,0.2,1.3,0.5,1.0,0.2,0.3,-0.0,0.2,-0.0
10553,0.2,0.1,0.5,0.3,0.2,0.0,0.3,-0.1,0.3,-0.1
10479,4.1,0.0,4.4,0.0,4.4,0.0,0.3,0.3,0.0,0.0
102,12.9,6.6,13.2,6.8,12.7,6.6,0.3,-0.2,0.2,-0.1
1220018403,6.3,0.0,6.4,0.1,6.4,0.0,0.2,0.1,0.0,0.0
1220006403,5.5,0.0,5.7,0.0,5.5,0.0,0.2,-0.0,0.0,-0.0
1220018402,0.6,0.0,0.7,0.2,0.6,0.0,0.2,-0.0,0.2,0.0
1220008701,0.5,0.1,0.7,0.2,0.8,0.3,0.2,0.3,0.2,0.2
1220008301,1.3,0.3,1.4,0.3,1.6,0.4,0.2,0.3,0.1,0.1
88,6.3,3.0,6.5,3.1,6.4,2.9,0.2,0.1,0.1,-0.1
10179,1.2,0.6,1.4,0.8,1.5,0.9,0.2,0.3,0.2,0.2
10287,0.1,0.0,0.3,0.2,0.3,0.1,0.2,0.2,0.2,0.1
10281,0.2,0.1,0.4,0.3,0.4,0.3,0.2,0.3,0.2,0.2
423,1.9,0.0,2.2,0.0,2.2,0.0,0.2,0.3,0.0,0.0
10343,0.8,0.7,1.1,0.9,0.8,0.7,0.2,0.0,0.2,-0.0
1220007402,2.1,0.4,2.3,0.7,2.6,0.9,0.2,0.4,0.3,0.4
1220008302,2.6,0.8,2.8,0.9,3.0,1.0,0.2,0.4,0.1,0.2
10619,0.5,0.0,0.7,0.0,0.7,0.0,0.2,0.2,0.0,0.0
278,2.8,0.0,3.0,0.2,2.7,0.0,0.2,-0.0,0.2,0.0
358,1.5,0.3,1.7,0.4,1.6,0.3,0.2,0.1,0.2,0.1
298,10.1,7.4,10.3,7.6,10.0,7.3,0.2,-0.1,0.2,-0.0
213,1.0,0.4,1.2,0.5,1.1,0.4,0.2,0.1,0.2,0.1
10559,2.0,0.9,2.1,1.0,2.1,0.9,0.2,0.1,0.1,0.0
245,0.3,0.0,0.5,0.2,0.5,0.1,0.2,0.2,0.1,0.1
10409,0.1,0.0,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2
10380,0.2,0.0,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.2
1220013700,1.5,0.4,1.6,0.5,1.7,0.6,0.1,0.2,0.1,0.1
61,9.0,0.0,9.2,0.0,8.8,0.0,0.1,-0.2,0.0,0.0
