win,n,n_stop,spd,n_L1,n_stop_L1,spd_L1,zone,run
4650,234.3,174.8,4.3,74.6,68.0,1.2,10481_to32,nc_lcd200
4800,240.4,185.5,3.6,71.1,64.0,1.8,10481_to32,nc_lcd200
4950,232.6,178.6,4.4,66.5,56.9,2.5,10481_to32,nc_lcd200
5100,242.2,184.7,4.0,65.3,55.0,2.8,10481_to32,nc_lcd200
5250,251.9,203.4,3.4,71.5,63.1,1.8,10481_to32,nc_lcd200
150,5.0,0.0,102.2,2.3,0.0,87.6,10483_to31,nc_lcd200
300,12.5,0.0,111.2,4.6,0.0,99.5,10483_to31,nc_lcd200
450,13.2,0.0,109.4,5.0,0.0,96.0,10483_to31,nc_lcd200
600,12.0,0.1,110.8,4.7,0.0,104.4,10483_to31,nc_lcd200
750,13.1,0.0,106.1,5.7,0.0,94.1,10483_to31,nc_lcd200
900,15.1,0.3,101.0,6.5,0.2,85.7,10483_to31,nc_lcd200
1050,15.9,0.0,104.8,6.1,0.0,90.1,10483_to31,nc_lcd200
1200,18.8,0.1,103.1,6.7,0.1,85.6,10483_to31,nc_lcd200
1350,16.6,0.1,96.8,7.8,0.1,79.6,10483_to31,nc_lcd200
1500,12.2,0.0,104.4,4.9,0.0,90.3,10483_to31,nc_lcd200
1650,17.4,0.6,88.7,8.4,0.5,69.9,10483_to31,nc_lcd200
1800,13.3,0.5,86.7,5.8,0.4,71.0,10483_to31,nc_lcd200
1950,29.4,14.6,37.2,12.2,7.6,19.3,10483_to31,nc_lcd200
2100,32.1,18.2,30.0,13.2,7.5,19.9,10483_to31,nc_lcd200
2250,34.8,22.1,25.6,13.9,10.6,10.5,10483_to31,nc_lcd200
2400,35.7,17.7,29.4,14.2,7.7,20.1,10483_to31,nc_lcd200
2550,36.7,23.0,21.8,14.9,11.4,11.2,10483_to31,nc_lcd200
2700,36.2,22.6,25.5,15.2,9.9,20.5,10483_to31,nc_lcd200
2850,33.0,20.5,25.3,14.8,11.4,12.6,10483_to31,nc_lcd200
3000,38.5,21.7,21.8,16.2,9.9,20.6,10483_to31,nc_lcd200
3150,34.8,18.5,24.1,13.5,8.2,19.5,10483_to31,nc_lcd200
3300,38.0,23.1,21.5,15.7,10.9,14.6,10483_to31,nc_lcd200
3450,42.7,25.4,22.4,16.0,9.7,22.5,10483_to31,nc_lcd200
3600,40.1,26.6,20.4,14.4,10.4,12.8,10483_to31,nc_lcd200
3750,41.3,28.3,17.7,14.2,10.6,12.5,10483_to31,nc_lcd200
3900,46.7,30.5,19.0,14.6,10.3,15.3,10483_to31,nc_lcd200
4050,49.7,35.3,13.0,15.4,12.3,8.3,10483_to31,nc_lcd200
4200,49.9,33.7,17.9,15.0,10.4,17.3,10483_to31,nc_lcd200
4350,43.9,30.1,13.0,13.7,9.4,15.3,10483_to31,nc_lcd200
4500,46.8,31.7,14.4,14.7,11.2,12.8,10483_to31,nc_lcd200
4650,48.9,28.2,19.1,16.3,11.2,16.9,10483_to31,nc_lcd200
4800,45.5,31.1,13.8,14.2,10.4,12.3,10483_to31,nc_lcd200
4950,46.2,32.1,17.1,13.2,9.8,11.9,10483_to31,nc_lcd200
5100,47.5,32.5,14.6,13.1,8.9,16.4,10483_to31,nc_lcd200
5250,50.0,35.3,15.8,14.5,11.1,14.2,10483_to31,nc_lcd200
150,8.1,0.0,119.1,2.3,0.0,118.9,10638_to70,nc_lcd200
300,13.9,0.0,115.5,3.5,0.0,105.9,10638_to70,nc_lcd200
450,21.4,0.5,90.8,6.0,0.0,85.5,10638_to70,nc_lcd200
600,19.1,0.1,98.7,5.3,0.0,85.3,10638_to70,nc_lcd200
750,20.2,0.3,94.0,5.8,0.0,77.1,10638_to70,nc_lcd200
900,20.0,0.0,100.2,5.8,0.0,82.9,10638_to70,nc_lcd200
1050,21.9,0.0,98.7,6.7,0.0,82.6,10638_to70,nc_lcd200
1200,26.4,0.4,89.0,7.7,0.1,68.4,10638_to70,nc_lcd200
1350,19.5,0.0,105.7,5.3,0.0,94.5,10638_to70,nc_lcd200
1500,18.6,0.1,97.1,5.8,0.0,85.7,10638_to70,nc_lcd200
1650,24.4,0.2,90.1,7.4,0.0,68.1,10638_to70,nc_lcd200
1800,22.0,0.2,94.3,7.3,0.0,74.4,10638_to70,nc_lcd200
1950,20.4,0.0,98.0,6.7,0.0,80.8,10638_to70,nc_lcd200
2100,20.6,0.2,93.9,6.3,0.0,72.7,10638_to70,nc_lcd200
2250,25.5,1.2,79.6,8.0,0.1,69.5,10638_to70,nc_lcd200
2400,23.4,0.6,84.6,7.2,0.2,69.6,10638_to70,nc_lcd200
2550,18.7,0.1,97.7,5.9,0.0,86.0,10638_to70,nc_lcd200
2700,19.5,0.2,91.2,6.3,0.0,74.1,10638_to70,nc_lcd200
2850,17.5,0.5,89.3,5.7,0.1,76.5,10638_to70,nc_lcd200
3000,14.2,0.0,99.1,5.0,0.0,81.0,10638_to70,nc_lcd200
3150,16.1,0.0,96.1,5.4,0.0,83.0,10638_to70,nc_lcd200
3300,16.5,0.0,95.6,5.4,0.0,73.9,10638_to70,nc_lcd200
3450,17.3,0.0,101.1,5.5,0.0,85.9,10638_to70,nc_lcd200
3600,20.9,0.1,93.5,6.4,0.0,78.5,10638_to70,nc_lcd200
3750,21.6,0.2,90.3,6.5,0.0,73.7,10638_to70,nc_lcd200
3900,20.5,0.2,94.0,6.6,0.0,75.5,10638_to70,nc_lcd200
4050,17.0,0.2,98.4,4.8,0.0,78.2,10638_to70,nc_lcd200
4200,14.7,0.1,98.2,5.2,0.0,81.0,10638_to70,nc_lcd200
4350,15.5,0.1,100.6,4.8,0.0,79.0,10638_to70,nc_lcd200
4500,15.6,0.0,97.2,5.1,0.0,80.7,10638_to70,nc_lcd200
4650,16.1,0.0,104.7,4.6,0.0,86.4,10638_to70,nc_lcd200
4800,15.5,0.0,101.3,4.6,0.0,86.8,10638_to70,nc_lcd200
4950,17.4,0.0,102.5,4.7,0.0,85.3,10638_to70,nc_lcd200
5100,16.6,0.0,100.8,4.6,0.0,81.9,10638_to70,nc_lcd200
5250,18.8,0.7,89.9,6.2,0.2,79.9,10638_to70,nc_lcd200
150,11.4,0.0,117.9,4.2,0.0,117.7,10645_to68,nc_lcd200
300,16.2,0.0,116.1,5.9,0.0,111.4,10645_to68,nc_lcd200
450,22.1,0.5,104.6,7.6,0.0,107.0,10645_to68,nc_lcd200
600,19.5,0.1,108.4,6.8,0.0,103.4,10645_to68,nc_lcd200
750,19.4,0.3,108.5,6.8,0.0,104.1,10645_to68,nc_lcd200
900,20.7,0.0,111.3,8.0,0.0,107.6,10645_to68,nc_lcd200
1050,23.0,0.0,108.4,8.2,0.0,102.0,10645_to68,nc_lcd200
1200,21.3,0.2,109.8,5.9,0.0,106.8,10645_to68,nc_lcd200
1350,20.3,0.0,112.5,7.0,0.0,109.9,10645_to68,nc_lcd200
1500,18.3,0.0,113.2,6.3,0.0,111.8,10645_to68,nc_lcd200
1650,21.7,0.2,108.0,7.6,0.0,100.3,10645_to68,nc_lcd200
1800,20.8,0.2,108.7,7.9,0.0,102.4,10645_to68,nc_lcd200
1950,20.1,0.0,110.8,6.8,0.0,106.0,10645_to68,nc_lcd200
2100,22.5,0.2,103.7,8.4,0.0,96.3,10645_to68,nc_lcd200
2250,21.2,1.1,101.1,7.7,0.1,99.9,10645_to68,nc_lcd200
2400,21.1,0.4,103.3,7.2,0.1,102.3,10645_to68,nc_lcd200
2550,17.3,0.0,114.8,6.7,0.0,112.7,10645_to68,nc_lcd200
2700,17.1,0.1,109.3,6.2,0.0,105.3,10645_to68,nc_lcd200
2850,16.2,0.3,109.6,5.2,0.0,113.4,10645_to68,nc_lcd200
3000,13.7,0.0,117.1,5.5,0.0,114.7,10645_to68,nc_lcd200
3150,15.4,0.0,115.4,6.3,0.0,112.7,10645_to68,nc_lcd200
3300,15.1,0.0,114.3,5.6,0.0,109.5,10645_to68,nc_lcd200
3450,15.9,0.0,115.7,5.7,0.0,112.7,10645_to68,nc_lcd200
3600,19.2,0.1,112.7,6.6,0.0,109.8,10645_to68,nc_lcd200
3750,21.8,0.2,103.5,7.9,0.0,100.3,10645_to68,nc_lcd200
3900,20.3,0.1,107.0,7.2,0.0,100.4,10645_to68,nc_lcd200
4050,15.3,0.2,114.0,4.6,0.0,112.6,10645_to68,nc_lcd200
4200,13.8,0.1,115.1,5.2,0.0,115.8,10645_to68,nc_lcd200
4350,15.2,0.1,113.0,5.1,0.0,110.8,10645_to68,nc_lcd200
4500,13.8,0.0,116.2,4.8,0.0,112.3,10645_to68,nc_lcd200
4650,15.7,0.0,116.3,5.4,0.0,113.6,10645_to68,nc_lcd200
4800,16.4,0.0,110.9,6.0,0.0,108.7,10645_to68,nc_lcd200
4950,17.0,0.0,112.6,5.4,0.0,110.6,10645_to68,nc_lcd200
5100,15.2,0.0,114.0,3.9,0.0,113.5,10645_to68,nc_lcd200
5250,16.5,0.5,110.1,6.3,0.0,114.5,10645_to68,nc_lcd200
0,4.5,0.0,119.9,1.9,0.0,118.5,10491_to32,nc_lcd200
150,22.2,0.0,108.6,9.0,0.0,98.6,10491_to32,nc_lcd200
300,29.4,0.6,81.8,11.3,0.2,70.6,10491_to32,nc_lcd200
450,31.1,0.1,89.9,12.1,0.1,73.0,10491_to32,nc_lcd200
600,28.3,0.3,95.0,10.9,0.0,90.7,10491_to32,nc_lcd200
750,38.6,1.0,72.8,16.3,0.8,49.5,10491_to32,nc_lcd200
900,35.0,0.9,77.2,14.5,0.5,60.0,10491_to32,nc_lcd200
1050,33.5,0.2,86.0,13.5,0.2,65.8,10491_to32,nc_lcd200
1200,39.3,1.9,64.5,18.3,1.7,38.4,10491_to32,nc_lcd200
1350,35.0,0.9,68.2,18.8,0.9,44.1,10491_to32,nc_lcd200
1500,37.3,1.3,70.8,17.3,1.1,46.5,10491_to32,nc_lcd200
1650,36.1,0.4,79.9,14.5,0.4,55.4,10491_to32,nc_lcd200
1800,30.5,0.3,83.4,12.6,0.3,64.5,10491_to32,nc_lcd200
1950,34.0,0.3,70.5,16.2,0.3,47.5,10491_to32,nc_lcd200
2100,40.5,6.8,61.0,24.0,6.8,32.7,10491_to32,nc_lcd200
2250,49.0,12.7,45.1,32.3,12.6,19.1,10491_to32,nc_lcd200
2400,62.3,22.7,36.9,41.8,22.7,13.0,10491_to32,nc_lcd200
2550,56.5,20.3,33.6,37.8,19.9,13.0,10491_to32,nc_lcd200
2700,51.5,16.0,35.5,36.7,15.9,15.6,10491_to32,nc_lcd200
2850,43.5,10.4,43.2,30.5,10.4,21.5,10491_to32,nc_lcd200
3000,46.8,10.5,41.6,29.5,10.3,20.1,10491_to32,nc_lcd200
3150,31.5,2.5,65.3,18.0,2.5,40.3,10491_to32,nc_lcd200
3300,36.1,5.3,58.3,21.7,5.3,32.9,10491_to32,nc_lcd200
3450,37.8,3.5,61.9,20.0,3.5,37.3,10491_to32,nc_lcd200
3600,40.8,5.6,59.4,21.5,5.5,34.4,10491_to32,nc_lcd200
3750,56.4,15.6,41.8,35.3,15.6,16.5,10491_to32,nc_lcd200
3900,60.5,26.7,32.3,42.2,26.6,10.6,10491_to32,nc_lcd200
4050,45.1,11.1,46.7,29.5,11.0,22.3,10491_to32,nc_lcd200
4200,53.6,21.2,34.2,38.8,21.2,13.4,10491_to32,nc_lcd200
4350,45.9,10.6,45.1,27.6,10.2,22.5,10491_to32,nc_lcd200
4500,35.1,3.7,59.8,21.2,3.7,35.6,10491_to32,nc_lcd200
4650,40.0,5.1,59.6,22.4,5.1,34.6,10491_to32,nc_lcd200
4800,40.8,8.7,53.7,24.6,8.6,28.7,10491_to32,nc_lcd200
4950,42.9,9.2,53.6,26.6,9.0,25.6,10491_to32,nc_lcd200
5100,43.1,8.7,51.2,27.9,8.7,26.2,10491_to32,nc_lcd200
5250,53.2,17.3,41.0,34.9,17.2,15.4,10491_to32,nc_lcd200
0,5.8,0.0,117.8,2.5,0.0,113.9,10479_to31,nc_lcd200
150,24.2,0.0,107.3,10.7,0.0,100.1,10479_to31,nc_lcd200
300,33.3,0.6,84.8,13.9,0.2,74.4,10479_to31,nc_lcd200
450,33.0,0.2,87.6,14.4,0.2,71.3,10479_to31,nc_lcd200
600,29.3,0.0,100.0,12.3,0.0,92.3,10479_to31,nc_lcd200
750,45.2,1.4,69.1,20.2,1.3,47.9,10479_to31,nc_lcd200
900,30.2,0.3,91.4,12.3,0.1,79.1,10479_to31,nc_lcd200
1050,42.5,1.8,77.1,18.6,1.8,56.6,10479_to31,nc_lcd200
1200,53.9,5.6,49.0,28.5,5.4,26.3,10479_to31,nc_lcd200
1350,43.2,2.1,58.3,23.9,2.1,36.7,10479_to31,nc_lcd200
1500,47.6,2.8,59.8,22.8,2.6,41.6,10479_to31,nc_lcd200
1650,45.4,0.8,67.0,20.9,0.8,45.2,10479_to31,nc_lcd200
1800,39.2,1.5,68.7,19.2,1.5,49.3,10479_to31,nc_lcd200
1950,48.4,2.7,52.7,25.0,2.5,33.9,10479_to31,nc_lcd200
2100,43.3,1.5,63.4,21.6,1.4,42.5,10479_to31,nc_lcd200
2250,50.3,6.6,48.5,28.8,6.6,25.6,10479_to31,nc_lcd200
2400,59.1,12.3,42.1,35.6,12.3,19.8,10479_to31,nc_lcd200
2550,71.2,26.3,26.2,47.9,26.2,9.4,10479_to31,nc_lcd200
2700,72.4,19.9,27.9,44.6,19.7,12.4,10479_to31,nc_lcd200
2850,70.9,23.8,27.8,43.5,23.1,13.7,10479_to31,nc_lcd200
3000,70.2,18.2,31.0,42.0,17.9,14.3,10479_to31,nc_lcd200
3150,59.4,14.3,37.4,36.6,14.0,20.6,10479_to31,nc_lcd200
3300,49.8,5.8,47.7,27.9,5.8,28.9,10479_to31,nc_lcd200
3450,49.8,3.9,51.1,25.8,3.8,32.5,10479_to31,nc_lcd200
3600,41.1,1.4,65.3,19.1,1.4,47.1,10479_to31,nc_lcd200
3750,50.7,6.1,51.3,28.1,6.1,28.1,10479_to31,nc_lcd200
3900,68.8,24.6,29.6,45.3,24.5,10.3,10479_to31,nc_lcd200
4050,60.8,15.3,37.2,36.5,15.2,19.0,10479_to31,nc_lcd200
4200,66.7,21.5,29.8,43.1,21.2,12.3,10479_to31,nc_lcd200
4350,67.5,19.7,31.0,40.8,19.0,13.6,10479_to31,nc_lcd200
4500,56.1,8.5,42.2,30.8,8.1,25.8,10479_to31,nc_lcd200
4650,47.3,3.7,53.3,25.6,3.7,33.5,10479_to31,nc_lcd200
4800,43.8,3.7,56.9,24.4,3.7,36.0,10479_to31,nc_lcd200
4950,45.5,5.2,54.8,26.8,5.0,30.6,10479_to31,nc_lcd200
5100,41.5,2.9,56.8,24.2,2.9,36.5,10479_to31,nc_lcd200
5250,60.2,14.0,39.2,35.0,14.0,17.3,10479_to31,nc_lcd200
0,1.6,0.0,124.6,0.5,0.0,124.7,10643_to70,g1_lcd200
150,23.1,0.0,108.7,8.9,0.0,101.3,10643_to70,g1_lcd200
300,33.2,0.6,83.8,14.1,0.5,70.0,10643_to70,g1_lcd200
450,26.8,0.1,100.9,10.2,0.1,90.0,10643_to70,g1_lcd200
600,26.5,0.5,99.1,11.2,0.5,87.4,10643_to70,g1_lcd200
750,30.7,0.2,94.6,11.7,0.1,82.5,10643_to70,g1_lcd200
900,37.2,0.7,72.8,15.1,0.6,58.4,10643_to70,g1_lcd200
1050,42.0,1.5,80.6,16.3,1.3,60.2,10643_to70,g1_lcd200
1200,76.5,10.1,35.2,34.3,8.8,18.0,10643_to70,g1_lcd200
1350,71.9,17.7,32.5,39.4,17.2,14.9,10643_to70,g1_lcd200
1500,69.0,8.2,39.3,31.6,7.4,22.1,10643_to70,g1_lcd200
1650,75.3,14.1,30.9,39.2,13.5,14.6,10643_to70,g1_lcd200
1800,98.4,37.9,20.6,57.4,36.8,6.0,10643_to70,g1_lcd200
1950,103.6,38.6,18.9,57.2,36.3,6.0,10643_to70,g1_lcd200
2100,104.8,37.6,20.3,57.0,36.1,5.7,10643_to70,g1_lcd200
2250,110.3,40.9,17.7,57.7,37.1,5.3,10643_to70,g1_lcd200
2400,112.9,46.9,16.0,58.3,41.1,4.3,10643_to70,g1_lcd200
2550,118.3,50.2,16.4,59.6,45.5,3.4,10643_to70,g1_lcd200
2700,124.4,50.4,16.3,59.9,44.9,3.3,10643_to70,g1_lcd200
2850,120.7,57.1,14.6,62.1,48.7,3.1,10643_to70,g1_lcd200
3000,108.6,37.2,18.6,55.1,34.0,5.9,10643_to70,g1_lcd200
3150,100.8,33.2,19.6,52.0,29.4,6.8,10643_to70,g1_lcd200
3300,100.0,31.3,20.5,48.8,28.6,7.6,10643_to70,g1_lcd200
3450,92.2,27.0,23.0,44.5,24.2,9.2,10643_to70,g1_lcd200
3600,85.1,20.3,26.6,42.2,18.7,10.2,10643_to70,g1_lcd200
3750,81.7,23.3,26.2,44.1,22.4,10.6,10643_to70,g1_lcd200
3900,74.8,13.0,30.1,37.9,12.6,15.2,10643_to70,g1_lcd200
4050,79.0,16.9,29.4,39.7,14.7,14.2,10643_to70,g1_lcd200
4200,84.0,24.7,26.0,45.3,23.7,9.3,10643_to70,g1_lcd200
4350,81.7,20.5,25.7,41.2,18.3,11.3,10643_to70,g1_lcd200
4500,91.2,27.5,24.1,47.9,26.1,9.0,10643_to70,g1_lcd200
4650,92.7,29.2,22.8,47.4,26.6,9.4,10643_to70,g1_lcd200
4800,90.6,20.9,26.8,44.3,19.8,10.9,10643_to70,g1_lcd200
4950,88.2,21.3,27.3,44.4,20.1,11.8,10643_to70,g1_lcd200
5100,66.2,8.7,42.9,30.0,8.5,25.4,10643_to70,g1_lcd200
5250,61.1,5.6,43.8,26.9,4.7,25.9,10643_to70,g1_lcd200
0,0.9,0.0,129.3,0.3,0.0,126.8,10682_to68,g1_lcd200
150,22.0,0.1,102.1,9.6,0.1,89.7,10682_to68,g1_lcd200
300,28.5,0.7,84.2,14.0,0.6,65.4,10682_to68,g1_lcd200
450,36.1,3.5,71.7,19.3,3.4,46.6,10682_to68,g1_lcd200
600,27.0,1.4,84.7,13.3,1.4,61.3,10682_to68,g1_lcd200
750,37.1,1.8,71.4,18.2,1.7,47.4,10682_to68,g1_lcd200
900,43.5,4.4,56.8,23.9,4.4,30.4,10682_to68,g1_lcd200
1050,64.7,9.4,44.9,32.7,8.9,21.2,10682_to68,g1_lcd200
1200,60.8,10.8,43.6,34.3,10.7,18.5,10682_to68,g1_lcd200
1350,38.7,3.2,59.7,23.5,3.2,33.6,10682_to68,g1_lcd200
1500,48.3,6.0,50.4,28.8,5.9,24.7,10682_to68,g1_lcd200
1650,71.3,26.3,27.7,48.1,26.2,9.2,10682_to68,g1_lcd200
1800,64.4,18.5,32.1,40.6,17.9,12.6,10682_to68,g1_lcd200
1950,52.5,14.5,33.0,37.1,14.4,16.0,10682_to68,g1_lcd200
2100,67.8,21.7,30.5,45.5,21.6,11.2,10682_to68,g1_lcd200
2250,65.2,18.4,29.2,43.4,18.4,12.4,10682_to68,g1_lcd200
2400,62.8,21.6,25.7,45.0,21.4,11.1,10682_to68,g1_lcd200
2550,75.1,33.4,23.1,52.9,33.2,7.4,10682_to68,g1_lcd200
2700,79.8,28.9,24.4,50.9,28.4,8.3,10682_to68,g1_lcd200
2850,66.1,23.7,26.6,43.3,23.2,11.4,10682_to68,g1_lcd200
3000,58.5,15.1,31.2,39.4,14.9,14.3,10682_to68,g1_lcd200
