link,seg,w900,veh_h,spd,stop_veh_h,run
26,8500,3600,4.1,110.2,0.0,nc_lcd200
26,8500,4500,3.4,116.4,0.0,nc_lcd200
26,9000,0,2.4,116.3,0.0,nc_lcd200
26,9000,900,4.6,113.8,0.0,nc_lcd200
26,9000,1800,4.4,114.7,0.0,nc_lcd200
26,9000,2700,4.0,113.9,0.0,nc_lcd200
26,9000,3600,3.9,114.4,0.0,nc_lcd200
26,9000,4500,3.3,118.1,0.0,nc_lcd200
26,9500,0,2.3,117.4,0.0,nc_lcd200
26,9500,900,4.6,114.5,0.0,nc_lcd200
26,9500,1800,4.4,115.5,0.0,nc_lcd200
26,9500,2700,3.9,115.7,0.0,nc_lcd200
26,9500,3600,3.9,115.6,0.0,nc_lcd200
26,9500,4500,3.3,118.4,0.0,nc_lcd200
26,10000,0,2.2,117.7,0.0,nc_lcd200
26,10000,900,4.5,114.5,0.0,nc_lcd200
26,10000,1800,4.4,115.7,0.0,nc_lcd200
26,10000,2700,3.9,115.3,0.0,nc_lcd200
26,10000,3600,4.0,115.6,0.0,nc_lcd200
26,10000,4500,3.3,117.9,0.0,nc_lcd200
26,10500,0,1.3,118.2,0.0,nc_lcd200
26,10500,900,2.7,115.4,0.0,nc_lcd200
26,10500,1800,2.8,115.8,0.0,nc_lcd200
26,10500,2700,2.4,115.8,0.0,nc_lcd200
26,10500,3600,2.5,115.9,0.0,nc_lcd200
26,10500,4500,2.0,118.1,0.0,nc_lcd200
74,-500,0,0.0,26.0,0.0,nc_lcd200
74,-500,900,0.0,17.2,0.0,nc_lcd200
74,-500,1800,0.0,7.1,0.0,nc_lcd200
74,-500,2700,0.0,3.7,0.0,nc_lcd200
74,-500,3600,0.0,4.0,0.0,nc_lcd200
74,-500,4500,0.0,2.7,0.0,nc_lcd200
74,0,0,8.8,76.8,0.0,nc_lcd200
74,0,900,14.2,63.1,0.1,nc_lcd200
74,0,1800,24.8,31.1,5.1,nc_lcd200
74,0,2700,42.1,11.7,17.8,nc_lcd200
74,0,3600,49.1,8.3,25.3,nc_lcd200
74,0,4500,45.4,10.1,21.2,nc_lcd200
74,500,0,6.2,106.3,0.0,nc_lcd200
74,500,900,9.1,96.8,0.0,nc_lcd200
74,500,1800,25.2,28.2,6.5,nc_lcd200
74,500,2700,42.9,11.1,18.8,nc_lcd200
74,500,3600,48.6,8.4,24.4,nc_lcd200
74,500,4500,44.3,10.5,19.9,nc_lcd200
74,1000,0,5.7,112.5,0.0,nc_lcd200
74,1000,900,10.1,87.0,0.1,nc_lcd200
74,1000,1800,28.1,23.6,8.4,nc_lcd200
74,1000,2700,44.6,10.1,20.8,nc_lcd200
74,1000,3600,48.4,8.6,24.4,nc_lcd200
74,1000,4500,44.1,10.6,19.8,nc_lcd200
74,1500,0,5.5,112.9,0.0,nc_lcd200
74,1500,900,9.7,89.4,0.0,nc_lcd200
74,1500,1800,33.4,18.2,11.2,nc_lcd200
74,1500,2700,45.6,9.6,22.0,nc_lcd200
74,1500,3600,47.2,9.1,23.3,nc_lcd200
74,1500,4500,44.4,10.4,20.2,nc_lcd200
74,2000,0,5.5,113.6,0.0,nc_lcd200
74,2000,900,8.9,95.0,0.1,nc_lcd200
74,2000,1800,37.0,15.1,12.8,nc_lcd200
74,2000,2700,47.1,9.0,23.0,nc_lcd200
74,2000,3600,46.1,9.4,22.4,nc_lcd200
74,2000,4500,44.0,10.5,19.7,nc_lcd200
74,2500,0,2.1,114.0,0.0,nc_lcd200
74,2500,900,4.3,74.7,0.3,nc_lcd200
74,2500,1800,14.9,13.9,5.3,nc_lcd200
74,2500,2700,18.6,8.6,9.6,nc_lcd200
74,2500,3600,17.8,9.7,8.4,nc_lcd200
74,2500,4500,17.1,10.5,7.6,nc_lcd200
2,0,0,5.2,113.6,0.0,g1_lcd200
2,0,900,13.3,58.0,2.0,g1_lcd200
2,0,1800,37.6,14.2,13.7,g1_lcd200
2,0,2700,41.9,11.3,18.0,g1_lcd200
2,0,3600,36.6,14.8,12.5,g1_lcd200
2,0,4500,36.1,15.6,12.0,g1_lcd200
2,500,0,5.1,114.1,0.0,g1_lcd200
2,500,900,18.8,39.3,3.8,g1_lcd200
2,500,1800,39.8,13.0,16.0,g1_lcd200
2,500,2700,40.0,12.2,17.5,g1_lcd200
2,500,3600,36.6,15.2,12.4,g1_lcd200
2,500,4500,35.0,16.7,11.2,g1_lcd200
2,1000,0,5.7,101.9,0.0,g1_lcd200
2,1000,900,18.0,38.0,3.0,g1_lcd200
2,1000,1800,32.5,15.3,12.9,g1_lcd200
2,1000,2700,32.7,15.2,12.8,g1_lcd200
2,1000,3600,26.2,21.0,7.2,g1_lcd200
2,1000,4500,26.0,23.4,6.8,g1_lcd200
2,1500,0,6.3,82.1,0.3,g1_lcd200
