no,name,lanes,len_m,lnChg,from_lane,from_pos,to_lane,to_pos
10058,,1,43,1000,1220017202 2,164.0,1220001100 4,0.0
10059,,2,55,1000,1210015700 1,169.0,1220017300 1,0.0
10060,,1,48,1000,1210015700 2,169.0,1220001602 4,0.0
10061,,1,23,1000,1210015700 1,167.0,1220001100 1,0.0
10062,,4,26,1000,44 1,82.0,45 1,0.0
10063,,1,16,1000,1220020904 1,174.0,1210019201 1,0.0
10064,,2,52,1000,1220019303 1,54.0,1220023201 1,0.0
10065,,1,40,1000,1220019303 3,55.0,1220020804 4,1.0
10066,,4,25,1000,42 1,156.0,41 1,1.0
10067,,1,25,1000,42 4,156.0,41 5,1.0
10068,,4,57,1000,34 1,70.0,44 1,1.0
10069,,1,48,1000,34 5,70.0,51 1,0.0
10070,,1,43,1000,34 1,70.0,49 1,0.0
10071,,4,58,1000,41 1,73.0,35 1,1.0
10072,,1,47,1000,41 5,73.0,49 1,0.0
10073,,1,43,1000,41 1,73.0,51 1,0.0
10074,,1,55,1000,48 1,109.0,51 1,0.0
10075,,1,45,1000,48 1,109.0,35 4,1.0
10076,,1,20,1000,48 1,108.0,44 1,0.0
10077,,1,56,1000,50 1,113.0,49 1,1.0
10078,,1,24,1000,50 1,113.0,35 1,1.0
10079,,1,46,1000,50 1,113.0,44 4,1.0
10080,,4,30,1000,54 1,41.0,53 1,0.0
10081,,4,13,1000,55 1,471.0,54 1,0.0
10082,,5,17,1000,53 1,37.0,1220061200 1,2.0
10083,,5,20,1000,53 1,36.0,1220061200 2,4.0
10084,,4,33,1000,54 1,39.0,53 2,1.0
10085,,4,12,1000,60 1,254.0,59 1,0.0
10086,,4,15,1000,59 1,36.0,1220002202 1,1.0
10087,,1,15,1000,59 4,36.0,1220002202 5,0.0
10088,,1,14,1000,1220002202 1,111.0,63 1,0.0
10089,,1,22,1000,1220019303 1,54.0,1220022601 1,1.0
10090,,1,13,1000,64 1,20.0,1220002302 1,26.0
10091,,1,11,1000,1220061200 1,84.0,64 1,1.0
10092,,1,9,1000,65 1,15.0,1220061100 1,20.0
10093,,1,36,1000,1220022501 5,64.0,1210019201 3,1.0
10094,,2,52,1000,1220023101 1,108.0,1210019201 1,0.0
10095,,2,48,1000,1210021904 2,152.0,1220024901 1,1.0
10096,,1,17,1000,1210021904 1,151.0,1220024301 1,1.0
10097,,2,40,1000,1210021904 4,151.0,1220022504 3,1.0
10098,,1,23,1000,1220022604 1,82.0,1220021803 1,2.0
10099,,2,43,1000,1220002202 5,129.0,1220061100 2,0.0
10100,,3,51,1000,1220024801 1,155.0,1220021803 1,2.0
10101,,1,38,1000,1220024201 5,123.0,1220021803 3,2.0
10102,,3,47,1000,1210021304 1,132.0,1220061100 1,0.0
10103,,2,55,1000,1220043200 2,16.0,1220000402 3,1.0
10104,,1,1,1000,1210008303 1,72.0,17 1,0.0
10105,,1,5,1000,17 1,7.0,1220008603 1,9.0
10106,,1,1,1000,18 1,7.0,1220008603 2,5.0
10107,,1,22,1000,1210012001 2,12.0,18 1,1.0
10108,,1,1,1000,1210008703 1,11.0,19 1,0.0
10109,,1,7,1000,19 1,9.0,1220012101 1,1.0
10110,,1,14,1000,383 1,55.0,1220000402 1,47.0
10111,,2,32,1000,1220000402 1,145.0,20 1,1.0
10112,,2,20,1000,21 1,168.0,174 1,75.0
10113,,2,23,1000,1220000502 1,335.0,22 1,2.0
10114,,2,25,1000,43 1,93.0,407 1,1.0
10115,,4,1,1000,1220021301 1,142.0,1220021303 1,0.0
10116,,2,16,1000,1220011101 1,390.0,1220011103 1,0.0
10117,,2,13,1000,1220011003 1,141.0,1220011001 1,0.0
10118,,2,136,1000,32 1,1961.0,30 2,2.0
10119,,2,131,1000,29 2,538.0,31 1,2.0
10120,,2,39,1000,1210021304 4,133.0,1220002302 4,0.0
10121,,1,62,1000,37 1,501.0,31 1,3.0
10122,,1,101,1000,29 1,537.0,38 1,48.0
10123,,1,19,1000,1210021304 1,131.0,1220001900 1,0.0
10124,,2,69,1000,37 1,537.0,39 2,4.0
10125,,4,50,1000,1220061200 1,102.0,1220021204 1,1.0
10126,,2,43,1000,1220061200 5,103.0,1220001900 3,1.0
10127,,1,17,1000,63 1,14.0,1220021204 1,26.0
10128,,4,48,1000,1220002202 1,130.0,1220001900 1,1.0
10129,,4,12,1000,1220021203 1,199.0,1220021201 1,1.0
10130,,1,12,1000,1220021203 4,200.0,1220021201 5,1.0
10131,,4,20,1000,1220021304 1,113.0,1210021304 1,1.0
10132,,1,21,1000,1220021304 4,113.0,1210021304 5,1.0
10133,,4,14,1000,1220021204 1,155.0,1210021204 1,0.0
10134,,1,14,1000,1220021204 4,156.0,1210021204 5,0.0
10135,,4,32,1000,1210021204 1,95.0,1220021203 1,3.0
10136,,4,32,1000,1220021303 1,132.0,1220021304 1,1.0
10137,,1,38,1000,1210021204 5,93.0,92 2,1.0
10138,,1,13,1000,1220021303 1,131.0,92 1,0.0
10139,,2,30,1000,91 1,42.0,1220021203 3,6.0
10140,,1,21,1000,91 1,34.0,1220021304 1,0.0
10141,,3,7,1000,1220021902 1,26.0,94 2,0.0
10142,,1,10,1000,1220021201 1,54.0,96 1,0.0
10143,,1,6,1000,96 1,33.0,94 1,0.0
10144,,3,24,1000,1220021802 1,119.0,1220021801 1,1.0
10145,,1,20,1000,1220021802 4,119.0,98 2,0.0
10146,,4,22,1000,94 1,104.0,1220021903 1,0.0
10147,,1,12,1000,94 1,104.0,98 1,1.0
10148,,1,12,1000,97 1,76.0,1220021903 1,1.0
10149,,1,32,1000,97 2,79.0,1220021801 3,0.0
10150,,4,12,1000,1220021904 1,17.0,1210021904 1,2.0
10151,,1,10,1000,1220021904 4,18.0,1210021904 5,1.0
10152,,4,35,1000,1220021903 1,116.0,1220021904 1,1.0
10153,,3,37,1000,1220021803 1,179.0,1220021802 1,6.0
10154,,3,23,1000,105 1,98.0,1220024201 2,1.0
10155,,1,22,1000,105 3,98.0,1220024201 5,0.0
10156,,3,9,1000,106 1,75.0,105 1,1.0
10157,,1,8,1000,106 3,75.0,105 4,0.0
10158,,3,16,1000,113 1,250.0,1220024801 1,2.0
10159,,1,14,1000,113 3,250.0,1220024801 4,0.0
10160,,3,14,1000,111 1,130.0,110 1,1.0
10161,,1,15,1000,111 3,129.0,110 4,0.0
10162,,3,26,1000,110 1,63.0,106 1,0.0
10163,,3,12,1000,1220022504 2,102.0,114 2,0.0
10164,,1,12,1000,1220022504 4,102.0,114 5,0.0
10165,,4,18,1000,116 1,48.0,1220022604 1,1.0
10166,,1,18,1000,116 4,47.0,1220022604 5,0.0
10167,,4,44,1000,1220002001 1,150.0,1220002302 1,1.0
10168,,1,16,1000,1220024801 1,155.0,1220022504 1,0.0
10169,,1,39,1000,1220024801 4,156.0,1220024301 4,1.0
10170,,2,46,1000,1220002001 5,150.0,1220021204 3,1.0
10171,,1,18,1000,1220002001 1,132.0,65 1,0.0
10172,,1,15,1000,459 1,32.0,1210018504 1,0.0
10173,,4,49,1000,1220022604 1,81.0,1220024301 1,1.0
10174,,1,41,1000,1220022604 5,81.0,1220024901 3,1.0
10175,,1,33,1000,459 1,38.0,1220018403 4,1.0
10176,,4,42,1000,1220024201 1,123.0,1220022504 1,1.0
10177,,1,28,1000,1220024201 1,114.0,1220024901 1,1.0
10178,,1,26,1000,118 5,38.0,460 1,1.0
10179,,4,12,1000,1220018404 1,127.0,118 1,1.0
10180,,1,12,1000,1220018404 4,127.0,118 5,1.0
10181,,4,13,1000,1210018504 1,55.0,1220018504 1,0.0
10182,,1,13,1000,1210018504 4,55.0,1220018504 5,0.0
10183,,4,9,1000,1220018403 1,146.0,1220018402 1,1.0
10184,,4,12,1000,1220018503 1,9.0,122 1,0.0
10185,,1,12,1000,1220018503 4,10.0,122 5,0.0
10186,,4,10,1000,1220018502 1,99.0,1220018503 1,0.0
10187,,4,12,1000,1220018402 1,14.0,121008402 1,0.0
10188,,1,12,1000,1220018402 4,14.0,121008402 5,0.0
10189,,4,30,1000,122 1,124.0,1210018504 1,0.0
10190,,4,23,1000,118 1,38.0,1220018403 1,0.0
10191,,4,31,1000,121008402 1,75.0,1210018401 1,1.0
10192,,4,32,1000,128 1,62.0,1220018502 1,1.0
10193,,4,11,1000,1210018401 1,75.0,1220018401 1,1.0
10194,,1,12,1000,1210018401 4,75.0,1220018401 5,1.0
10195,,4,12,1000,1220018501 1,181.0,128 1,1.0
10196,,1,11,1000,1220018501 4,182.0,128 5,1.0
10197,,4,49,1000,1220018504 1,97.0,1220021301 1,0.0
10198,,1,36,1000,1220018504 5,97.0,1220021902 3,0.0
10199,,1,21,1000,1220018504 1,95.0,1220018202 1,3.0
10200,,4,46,1000,1220021201 1,69.0,1220018404 1,1.0
10201,,1,47,1000,1220021201 5,69.0,1220018202 3,1.0
10202,,3,58,1000,1220021801 1,121.0,1220018202 1,1.0
10203,,1,44,1000,1220021801 4,122.0,1220021301 4,0.0
10204,,1,26,1000,1220021801 1,121.0,1220018404 1,1.0
10205,,3,48,1000,1210018302 1,143.0,1220021902 1,1.0
10206,,1,42,1000,1210018302 4,143.0,1220018404 4,0.0
10207,,1,26,1000,1210018302 1,143.0,1220021301 1,0.0
10208,,3,19,1000,1220018202 1,146.0,1210018202 1,1.0
10209,,3,18,1000,1220018302 1,91.0,1210018302 1,0.0
10210,,1,18,1000,1220018302 3,91.0,1210018302 4,1.0
10211,,3,17,1000,136 1,20.0,1220018301 1,0.0
10212,,3,20,1000,1220015100 1,234.0,136 1,1.0
10213,,1,19,1000,1220015100 3,234.0,136 4,0.0
10214,,1,17,1000,136 4,20.0,1220018301 4,0.0
10215,,1,19,1000,138 1,130.0,1220018301 1,0.0
10216,,3,23,1000,1220018301 1,38.0,1220018302 1,1.0
10217,,1,21,1000,1220018301 4,36.0,140 1,0.0
10218,,3,24,1000,1210018202 1,90.0,1220018201 1,2.0
10219,,1,16,1000,1210018202 1,90.0,140 1,0.0
10220,,1,27,1000,141 1,23.0,1220018302 3,0.0
10221,,1,13,1000,141 1,20.0,1220018201 1,3.0
10222,,1,23,1000,1220018201 1,64.0,142 1,1.0
10223,,3,5,1000,1220018201 1,287.0,1220015000 1,0.0
10224,,1,7,1000,1220018201 3,286.0,1220015000 4,1.0
10225,,2,29,1000,1210015600 1,145.0,1220013600 1,1.0
10226,,2,31,1000,1220013700 1,221.0,1220015700 1,0.0
10227,,1,22,1000,1210015600 2,145.0,1220013000 1,0.0
10228,,1,18,1000,1220013700 1,220.0,1220013000 1,0.0
10229,,1,23,1000,1220013100 1,277.0,1220013600 2,1.0
10230,,1,16,1000,1220013100 1,277.0,1220015700 1,0.0
10231,,3,14,1000,1220012700 1,162.0,1210012700 1,0.0
10232,,1,15,1000,1220012700 3,162.0,1210012700 4,1.0
10233,,3,14,1000,1220012600 1,168.0,1210012600 1,1.0
10234,,1,14,1000,1220012600 3,169.0,1210012600 4,0.0
10235,,3,36,1000,1220015000 1,30.0,1220012600 1,0.0
10236,,1,22,1000,1220015000 1,29.0,1220012003 1,1.0
10237,,1,38,1000,1220015000 4,30.0,1220013700 2,1.0
10238,,2,61,1000,1220013600 1,217.0,1220012003 1,0.0
10239,,1,31,1000,1220013600 1,216.0,1220015100 1,7.0
10240,,1,45,1000,1220013600 2,217.0,1220012600 3,0.0
10241,,2,58,1000,1220012103 1,111.0,1220013700 1,1.0
10242,,1,39,1000,1220012103 2,111.0,1220015100 3,6.0
10243,,1,29,1000,1220012103 1,110.0,1220012600 1,1.0
10244,,3,43,1000,1210012700 1,136.0,1220015100 1,7.0
10245,,1,42,1000,1210012700 4,137.0,1220012003 2,1.0
10246,,1,28,1000,1210012700 1,136.0,1220013700 1,1.0
10247,,3,11,1000,1220009503 1,127.0,1210009503 1,1.0
10248,,3,34,1000,1210012600 1,130.0,1220009403 1,0.0
10249,,3,32,1000,1210009503 1,68.0,1220012700 1,1.0
10250,,1,30,1000,1210012600 4,130.0,1220011300 1,1.0
10251,,1,28,1000,1210009503 4,67.0,1220009600 1,0.0
10252,,1,26,1000,1210012600 1,130.0,1220009600 1,1.0
10253,,1,23,1000,1210009503 1,67.0,1220011300 1,0.0
10254,,1,36,1000,1210009700 1,180.0,1220011300 1,0.0
10255,,1,14,1000,1210009700 1,178.0,1220009403 1,1.0
10256,,1,30,1000,1210009700 1,179.0,1220012700 3,1.0
10257,,1,37,1000,1220011200 1,275.0,1220009600 1,1.0
10258,,1,14,1000,1220011200 1,275.0,1220012700 1,1.0
10259,,1,29,1000,1220011200 1,275.0,1220009403 3,0.0
10260,,3,11,1000,1220009403 1,91.0,1210009403 1,1.0
10261,,1,11,1000,1220009403 3,91.0,1210009403 4,0.0
10262,,1,15,1000,1210009502 4,51.0,167 1,2.0
10263,,3,14,1000,1210009502 1,50.0,1220009503 1,1.0
10264,,1,6,1000,1210009502 1,51.0,165 1,0.0
10265,,3,22,1000,1210009403 1,100.0,1220009402 1,7.0
10266,,1,24,1000,1210009403 4,100.0,165 1,0.0
10267,,1,25,1000,1210009403 1,101.0,167 1,4.0
10268,,1,8,1000,166 1,25.0,1220009402 1,15.0
10269,,1,7,1000,164 1,43.0,1220009503 1,0.0
10270,,3,17,1000,1220009402 1,80.0,168 1,0.0
10271,,1,5,1000,168 1,102.0,170 1,0.0
10272,,3,4,1000,168 2,103.0,1210009402 1,0.0
10273,,1,9,1000,172 1,10.0,1220009502 1,17.0
10274,,1,8,1000,1220000704 1,314.0,172 1,1.0
10275,,3,9,1000,1220009502 1,155.0,1210009502 1,0.0
10276,,1,10,1000,1220009502 3,155.0,1210009502 4,0.0
10277,,4,8,1000,1220000502 1,460.0,176 1,0.0
10278,,1,8,1000,1220000502 4,460.0,176 5,0.0
10279,,1,10,1000,1220021803 1,179.0,463 1,0.0
10280,,3,13,1000,174 1,500.0,173 1,0.0
10281,,1,13,1000,174 4,500.0,173 4,1.0
10282,,4,22,1000,1220000704 1,334.0,1220000502 1,0.0
10283,,3,27,1000,1210009402 1,22.0,1220000803 2,4.0
10284,,1,12,1000,170 1,22.0,1220000502 1,19.0
10285,,3,18,1000,173 1,30.0,1220000803 1,1.0
10286,,2,27,1000,173 4,29.0,1220009502 2,0.0
10287,,4,8,1000,182 1,484.0,183 1,0.0
10288,,1,8,1000,182 4,484.0,183 5,1.0
10289,,4,10,1000,1220000402 1,509.0,178 1,0.0
10290,,1,9,1000,1220000402 4,510.0,178 5,0.0
10291,,4,9,1000,1220000300 1,27.0,182 1,0.0
10292,,4,37,1000,176 1,89.0,1220000300 1,0.0
10293,,4,38,1000,178 1,67.0,1220000600 1,0.0
10294,,1,44,1000,178 5,67.0,1220007501 2,1.0
10295,,1,19,1000,178 1,67.0,1220044400 1,1.0
10296,,1,34,1000,176 1,87.0,1220007501 1,1.0
10297,,1,43,1000,176 5,89.0,1220044400 2,0.0
10298,,1,51,1000,1220007401 1,146.0,1220044400 1,0.0
10299,,1,24,1000,1220007401 1,146.0,1220000300 1,13.0
10300,,1,43,1000,1220007401 2,146.0,1220000600 4,1.0
10301,,1,34,1000,1220044500 2,690.0,1220000300 4,0.0
10302,,2,54,1000,1220044500 1,690.0,1220007501 1,1.0
10303,,1,17,1000,1220044500 1,690.0,1220000600 1,0.0
10304,,2,20,1000,1220007402 1,210.0,1220007401 1,1.0
10305,,2,19,1000,1220007501 1,147.0,1220007502 1,0.0
10306,,1,16,1000,1220007402 2,211.0,190 1,1.0
10307,,1,10,1000,1220007402 1,211.0,188 1,0.0
10308,,1,10,1000,187 1,182.0,1220007401 1,0.0
10309,,1,18,1000,187 1,183.0,1220007502 2,1.0
10310,,1,20,1000,189 1,26.0,1220007401 2,0.0
10311,,1,10,1000,189 1,25.0,1220007502 1,1.0
10312,,1,16,1000,1220007501 2,147.0,188 1,0.0
10313,,1,12,1000,1220007501 1,148.0,190 1,1.0
10314,,1,7,1000,199 1,243.0,194 1,0.0
10315,,1,4,1000,196 1,91.0,200 1,0.0
10316,,1,15,1000,1220009600 1,180.0,199 1,0.0
10317,,1,17,1000,200 1,244.0,1210009700 1,1.0
10318,,1,8,1000,201 1,17.0,1210009700 1,1.0
10319,,1,14,1000,201 1,17.0,199 1,1.0
10320,,1,13,1000,1220009600 1,180.0,202 1,0.0
10321,,1,12,1000,200 1,244.0,202 1,1.0
10322,,1,10,1000,194 1,91.0,1210009600 1,0.0
10323,,1,10,1000,1220009700 1,120.0,196 1,0.0
10324,,1,9,1000,197 1,106.0,1210009600 1,0.0
10325,,1,13,1000,197 1,106.0,196 1,0.0
10326,,1,14,1000,1220009700 1,120.0,198 1,0.0
10327,,1,9,1000,194 1,91.0,198 1,1.0
10328,,2,21,1000,1220008601 1,36.0,1220007402 1,0.0
10329,,2,22,1000,1220007502 1,211.0,1220008701 1,1.0
10330,,1,19,1000,1220008601 2,35.0,1220009700 1,0.0
10331,,1,16,1000,1220007502 1,211.0,1220009700 1,0.0
10332,,1,13,1000,1210009600 1,118.0,1220008701 1,1.0
10333,,1,23,1000,1210009600 1,120.0,1220007402 2,0.0
