t,total,stopped,fw_spd,ramp_R_D_W,ramp_R_D_E,ramp_R_F_W,ramp_R_F_E,ramp_D,ramp_F,obs_n_32,obs_stop_32,full_n_32,full_stop_32,obs_n_69,obs_stop_69,full_n_69,full_stop_69,obs_n_70,obs_stop_70,full_n_70,full_stop_70,obs_n_420,obs_stop_420,full_n_420,full_stop_420,obs_n_31,obs_stop_31,full_n_31,full_stop_31,obs_n_30,obs_stop_30,full_n_30,full_stop_30,far_10482,far_10480,far_10639,far_10681,meter_R_D_W,meter_R_F_W,meter_R_D_E,meter_R_F_E,leader_ramp_queue_veh,leader_search_ramp_queue_stress,leader_ramp_queue_penalty
2100,5600,2046,41.155461,12,6,24,1,18,25,170,66,170.0,66.0,,,65.0,0.0,,,11.0,0.0,107,60,107.0,60.0,,,24.0,0.0,29,6,29.0,6.0,837.404941,253.965851,440.077864,304.809918,0.0,727.7446078547703,474.8369280968199,237.41846404840993,179.21532450518762,0.06908301238529739,0.0
2250,5970,2308,34.909094,69,10,73,7,79,80,168,66,168.0,66.0,,,57.0,0.0,,,6.0,0.0,99,61,99.0,61.0,,,48.0,0.0,29,2,29.0,2.0,840.550707,224.157836,265.742578,260.697582,0.0,1371.2337407049613,1057.3052160791988,211.4610432158397,392.0933113809399,0.2510576820029403,0.0
2400,6271,2386,31.996779,116,7,27,7,123,34,166,70,166.0,70.0,,,62.0,0.0,,,14.0,0.0,116,75,116.0,75.0,,,32.0,0.0,25,1,25.0,1.0,325.079285,55.91908,315.318609,430.693552,300.0,1671.2337407049613,1357.3052160791988,511.4610432158397,365.64838526503524,0.25510762682716875,0.0
2550,6515,2590,29.925731,112,7,24,4,119,28,175,66,175.0,66.0,,,75.0,0.0,,,7.0,2.0,151,107,151.0,107.0,,,41.0,0.0,39,4,39.0,4.0,572.637456,299.578944,301.836692,266.266374,600.0,1800.0,1657.3052160791988,811.4610432158397,270.0277696236923,0.23939940491422465,0.0
2700,6547,2599,29.979189,107,9,29,3,116,32,183,79,183.0,79.0,,,64.0,0.0,,,16.0,2.0,170,126,170.0,126.0,,,37.0,0.0,31,4,31.0,4.0,740.730775,309.955125,224.184136,273.532575,900.0,1800.0,1800.0,1111.4610432158397,182.28559590721366,0.2412722584779869,0.0
2850,6627,2657,30.941166,80,6,30,6,86,36,169,65,169.0,65.0,,,63.0,0.0,,,15.0,0.0,175,133,175.0,133.0,,,35.0,0.0,44,7,44.0,7.0,1267.367249,351.487812,114.328723,225.209002,1200.0,1800.0,1800.0,1411.4610432158397,51.38825265162475,0.19678307919856594,0.0
3000,6606,2779,29.951451,21,9,39,1,30,40,148,62,148.0,62.0,,,51.0,0.0,,,13.0,5.0,199,152,199.0,152.0,,,50.0,0.0,36,2,36.0,2.0,1833.699497,290.100046,272.524669,278.790998,1500.0,1800.0,1800.0,1711.4610432158397,0.0,0.11200427212165608,0.0
3150,6593,2818,29.799424,8,8,29,2,16,31,155,55,155.0,55.0,,,53.0,0.0,,,12.0,3.0,204,151,204.0,151.0,,,31.0,0.0,37,5,37.0,5.0,557.538419,356.478539,132.521249,189.570178,1800.0,1800.0,1800.0,1800.0,0.0,0.07584292806829372,0.0
3300,6646,2820,28.691944,6,10,23,5,16,28,162,54,162.0,54.0,,,51.0,0.0,,,20.0,10.0,202,147,202.0,147.0,,,35.0,0.0,39,10,39.0,10.0,941.105715,415.389896,277.618106,278.103498,1800.0,1800.0,1800.0,1800.0,0.0,0.07336244733550804,0.0
3450,6578,2859,29.987306,8,6,35,2,14,37,153,52,153.0,52.0,,,52.0,0.0,,,28.0,15.0,194,143,194.0,143.0,,,46.0,0.0,56,17,56.0,17.0,726.228533,346.966871,293.648643,372.326324,1800.0,1800.0,1800.0,1800.0,0.0,0.07994251372927781,0.0
3600,6737,2972,30.459474,8,12,38,1,20,39,223,147,223.0,147.0,,,48.0,0.0,,,30.0,5.0,186,148,186.0,148.0,,,33.0,0.0,29,5,29.0,5.0,887.032677,168.0,140.828253,312.0,1800.0,1800.0,1800.0,1800.0,0.0,0.09610211246504566,0.0
3750,6481,2798,32.022937,4,5,15,1,9,16,181,88,181.0,88.0,,,32.0,0.0,,,32.0,13.0,207,158,207.0,158.0,,,35.0,0.0,29,3,29.0,3.0,958.40666,240.0,181.448342,298.570728,0.0,656.1753696892572,391.9123151553714,391.9123151553714,117.42182595653692,0.040885997851219276,0.0
3900,6428,2916,31.612986,40,6,25,0,46,25,161,72,161.0,72.0,,,54.0,0.0,,,20.0,2.0,219,175,219.0,175.0,,,47.0,0.0,35,1,35.0,1.0,537.52679,200.898207,192.0,325.429272,0.0,1215.3346374879486,1424.6653625120514,0.0,234.28530103898993,0.11457997898029965,0.0
4050,6315,3009,30.041777,80,9,32,17,89,49,140,54,140.0,54.0,,,22.0,0.0,,,28.0,12.0,228,174,228.0,174.0,,,31.0,0.0,37,3,37.0,3.0,439.706148,55.309374,121.033939,230.595871,300.0,1515.3346374879486,1724.6653625120514,300.0,329.4839077375693,0.22429665886134,0.0
4200,6308,2894,31.250663,62,5,20,2,67,22,148,61,148.0,61.0,,,31.0,0.0,,,17.0,5.0,236,197,236.0,197.0,,,33.0,0.0,36,2,36.0,2.0,520.149036,328.490946,212.126613,225.404129,0.0,724.2481221896494,357.8759389051753,357.8759389051753,317.85504017170746,0.14432444538236636,0.0
4350,6334,2941,31.22663,91,20,24,2,111,26,139,52,139.0,52.0,,,42.0,0.0,,,20.0,10.0,246,215,246.0,215.0,,,43.0,6.0,50,11,50.0,11.0,273.072938,47.031582,137.832482,270.166698,0.0,900.5410451824232,899.4589548175768,0.0,427.77174175195734,0.23110188578201082,0.0
4500,6365,3071,30.599819,114,21,34,19,135,53,207,149,207.0,149.0,,,41.0,0.0,,,19.0,2.0,238,187,238.0,187.0,,,42.0,11.0,30,6,30.0,6.0,215.297227,0.0,119.61563,255.261851,0.0,923.2977810906021,730.585182424498,146.1170364848997,556.7251155651543,0.31287864269438104,0.0
4650,6276,3081,31.095669,140,24,37,3,164,40,176,102,176.0,102.0,,,26.0,0.0,,,19.0,11.0,248,209,248.0,209.0,,,51.0,19.0,58,29,58.0,29.0,67.353571,0.0,184.505473,218.57145,0.0,1627.3515922004492,1372.648407799551,0.0,572.1668465543081,0.3403077730470224,0.0
4800,6238,3066,30.727691,140,3,11,18,143,29,187,112,187.0,112.0,,,27.0,0.0,,,23.0,4.0,260,229,260.0,229.0,,,53.0,26.0,80,38,80.0,38.0,0.0,0.0,188.371738,136.259244,300.0,1800.0,1672.648407799551,300.0,476.7173447293636,0.28026032166357334,0.0
4950,6161,2971,32.818387,117,6,10,8,123,18,238,178,238.0,178.0,,,23.0,0.0,,,25.0,5.0,260,218,260.0,218.0,,,49.0,15.0,66,34,66.0,34.0,512.813802,293.294834,201.391812,127.740756,0.0,695.555959464493,372.2220202677535,372.2220202677535,471.2108946123167,0.23176358248128845,0.0
5100,6216,3093,33.412344,140,18,19,2,158,21,205,130,205.0,130.0,,,23.0,0.0,,,9.0,1.0,263,226,263.0,226.0,,,49.0,25.0,100,65,100.0,65.0,208.227276,34.088971,129.746018,207.914263,0.0,873.7513603603418,926.2486396396583,0.0,566.7535671301162,0.2994029946312164,0.0
5250,6069,3004,37.905797,140,15,13,16,155,29,207,133,207.0,133.0,,,29.0,0.0,,,9.0,0.0,260,228,260.0,228.0,,,55.0,29.0,117,76,117.0,76.0,0.0,0.0,94.866737,205.71336,137.71258150218992,688.5629075109496,673.7245109868605,0.0,603.668423002955,0.30684886010932105,0.0
5400,6041,2927,39.007536,117,24,30,38,141,68,195,105,195.0,105.0,,,32.0,0.0,,,6.0,0.0,258,218,258.0,218.0,,,44.0,12.0,151,103,151.0,103.0,517.698677,311.019905,138.898769,288.932362,0.0,1477.9820334062133,1222.0179665937867,0.0,643.8797684231245,0.34971262850950885,0.0
