time_s,network_n,FW_E_n,FW_W_n
1200.1,3937,792,580
1205.1,3956,801,588
1210.1,3978,811,591
1215.1,3987,816,594
1220.1,3979,819,587
1225.1,3998,825,581
1230.1,4000,821,582
1235.1,4008,816,588
1240.1,4017,825,594
1245.1,4018,824,603
1250.1,4022,825,608
1255.1,4020,830,605
1260.1,4034,829,609
1265.1,4043,838,609
1270.1,4056,844,608
1275.1,4085,844,610
1280.1,4095,848,616
1285.1,4107,861,623
1290.1,4124,872,626
1295.1,4134,879,626
1300.1,4164,883,632
1305.1,4190,896,631
1310.1,4201,909,624
1315.1,4205,911,624
1320.1,4235,914,630
1325.1,4243,913,634
1330.1,4254,910,639
1335.1,4278,915,631
1340.1,4292,915,628
1345.1,4300,917,620
1350.1,4306,917,621
1355.1,4311,921,615
1360.1,4313,920,612
1365.1,4306,921,616
1370.1,4320,923,620
1375.1,4320,927,628
1380.1,4326,936,631
1385.1,4346,936,637
1390.1,4361,935,640
1395.1,4357,936,638
1400.1,4378,943,643
1405.1,4375,942,649
1410.1,4370,942,647
1415.1,4381,945,644
1420.1,4391,945,650
1425.1,4403,943,651
1430.1,4423,942,650
1435.1,4431,942,648
1440.1,4436,944,643
1445.1,4444,949,639
1450.1,4461,954,641
1455.1,4473,951,638
1460.1,4481,951,640
1465.1,4483,964,641
1470.1,4485,971,637
1475.1,4489,980,634
1480.1,4508,983,634
1485.1,4507,982,635
1490.1,4505,985,629
1495.1,4510,988,628
1500.1,4505,991,630
1505.1,4511,1002,627
1510.1,4527,1000,632
1515.1,4530,998,631
1520.1,4531,995,630
1525.1,4550,994,634
1530.1,4570,999,639
1535.1,4590,1003,650
1540.1,4594,1010,649
1545.1,4592,1014,647
1550.1,4613,1020,651
1555.1,4610,1021,657
1560.1,4610,1015,668
1565.1,4609,1012,667
1570.1,4623,1009,662
1575.1,4612,1005,656
1580.1,4618,1008,657
1585.1,4636,1011,653
1590.1,4657,1007,658
1595.1,4665,1006,657
1600.1,4671,1002,654
1605.1,4682,1004,650
1610.1,4689,1002,648
1615.1,4704,1008,649
1620.1,4724,1004,656
1625.1,4732,1002,662
1630.1,4733,999,669
1635.1,4736,1002,667
1640.1,4745,998,660
1645.1,4761,1000,659
1650.1,4762,997,657
1655.1,4769,1002,663
1660.1,4783,993,666
1665.1,4792,996,663
1670.1,4798,997,657
1675.1,4804,993,662
1680.1,4812,994,660
1685.1,4822,1001,658
1690.1,4814,1003,651
1695.1,4813,1002,655
1700.1,4822,1009,659
1705.1,4811,1007,659
1710.1,4822,1007,660
1715.1,4828,1009,650
1720.1,4843,1018,652
1725.1,4848,1019,648
1730.1,4838,1020,648
1735.1,4852,1020,657
1740.1,4874,1022,656
1745.1,4882,1017,655
1750.1,4886,1015,650
1755.1,4883,1014,652
1760.1,4881,1013,655
1765.1,4872,1008,660
1770.1,4877,1007,659
1775.1,4881,1010,658
1780.1,4879,1003,668
1785.1,4886,997,665
1790.1,4896,1003,664
1795.1,4905,1006,667
1800.1,4906,1013,658
1805.1,4902,1019,642
1810.1,4907,1030,632
1815.1,4911,1035,637
1820.1,4915,1029,640
1825.1,4928,1025,645
1830.1,4936,1026,645
1835.1,4952,1023,651
1840.1,4959,1021,660
1845.1,4955,1016,656
1850.1,4943,1015,651
1855.1,4944,1014,644
1860.1,4933,1006,636
1865.1,4941,1005,644
1870.1,4934,1003,646
1875.1,4952,1004,655
1880.1,4964,1016,663
1885.1,4965,1023,664
1890.1,4992,1028,671
1895.1,5007,1026,663
1900.1,5021,1035,660
1905.1,5046,1047,656
1910.1,5050,1052,646
1915.1,5034,1054,642
1920.1,5042,1052,631
1925.1,5047,1058,631
1930.1,5037,1058,629
1935.1,5034,1057,626
1940.1,5050,1057,629
1945.1,5046,1053,627
1950.1,5029,1047,620
1955.1,5018,1048,611
1960.1,5029,1046,614
1965.1,5045,1052,616
1970.1,5048,1052,621
1975.1,5053,1055,630
1980.1,5074,1063,631
1985.1,5088,1064,635
1990.1,5101,1069,642
1995.1,5097,1074,646
2000.1,5108,1077,645
2005.1,5101,1074,646
2010.1,5106,1074,642
2015.1,5105,1069,637
2020.1,5103,1067,627
2025.1,5113,1060,627
2030.1,5122,1056,626
2035.1,5129,1054,629
2040.1,5134,1050,636
2045.1,5143,1048,643
2050.1,5156,1040,647
2055.1,5170,1041,652
2060.1,5173,1037,652
2065.1,5173,1031,642
2070.1,5171,1021,644
2075.1,5180,1022,644
2080.1,5182,1024,639
2085.1,5175,1029,644
2090.1,5154,1030,639
2095.1,5145,1033,640
2100.1,5136,1030,641
2105.1,5131,1035,641
2110.1,5141,1038,639
2115.1,5142,1036,640
2120.1,5157,1031,640
2125.1,5164,1038,635
2130.1,5183,1041,632
2135.1,5184,1039,636
2140.1,5198,1039,638
2145.1,5195,1038,640
2150.1,5205,1033,644
2155.1,5223,1039,643
2160.1,5227,1036,648
2165.1,5229,1029,643
2170.1,5246,1031,649
2175.1,5255,1031,647
2180.1,5261,1031,639
2185.1,5239,1033,643
2190.1,5256,1036,639
2195.1,5269,1034,645
2200.1,5288,1032,647
2205.1,5287,1031,644
2210.1,5292,1032,643
2215.1,5284,1038,642
2220.1,5293,1031,643
2225.1,5299,1030,646
2230.1,5302,1027,642
2235.1,5309,1028,649
2240.1,5312,1019,659
2245.1,5300,1026,667
2250.1,5266,1021,674
2255.1,5265,1026,688
2260.1,5263,1032,684
2265.1,5262,1035,689
2270.1,5265,1038,686
2275.1,5248,1033,679
2280.1,5252,1035,669
2285.1,5252,1039,667
2290.1,5249,1038,662
2295.1,5241,1035,662
2300.1,5242,1032,662
2305.1,5250,1029,667
2310.1,5251,1030,670
2315.1,5263,1032,680
2320.1,5271,1037,679
2325.1,5295,1037,682
2330.1,5309,1035,678
2335.1,5323,1037,677
2340.1,5319,1040,679
2345.1,5326,1037,678
2350.1,5341,1037,685
2355.1,5349,1040,687
2360.1,5365,1042,692
2365.1,5368,1038,689
2370.1,5372,1037,689
2375.1,5377,1037,691
2380.1,5389,1036,689
2385.1,5391,1039,694
2390.1,5379,1043,686
2395.1,5363,1039,685
2400.1,5349,1040,682
2405.1,5319,1036,681
2410.1,5316,1035,680
2415.1,5289,1038,682
2420.1,5268,1041,680
2425.1,5258,1037,686
2430.1,5244,1038,688
2435.1,5254,1044,684
2440.1,5240,1040,679
2445.1,5225,1041,670
2450.1,5220,1045,660
2455.1,5211,1045,658
2460.1,5218,1049,657
2465.1,5239,1057,660
2470.1,5256,1053,663
2475.1,5279,1052,665
2480.1,5299,1054,669
2485.1,5313,1052,667
2490.1,5328,1044,677
2495.1,5339,1040,679
2500.1,5352,1037,681
2505.1,5367,1037,688
2510.1,5369,1031,693
2515.1,5373,1030,685
2520.1,5391,1031,683
2525.1,5393,1033,681
2530.1,5388,1030,675
2535.1,5386,1027,673
2540.1,5380,1030,663
2545.1,5356,1025,655
2550.1,5326,1016,661
2555.1,5307,1026,667
2560.1,5305,1026,672
2565.1,5298,1021,678
2570.1,5298,1028,678
2575.1,5312,1027,677
2580.1,5297,1032,665
2585.1,5287,1029,660
2590.1,5269,1031,658
2595.1,5249,1033,662
2600.1,5259,1030,669
2605.1,5260,1032,672
2610.1,5262,1033,673
2615.1,5271,1034,679
2620.1,5286,1028,690
2625.1,5309,1029,697
2630.1,5325,1036,704
2635.1,5338,1045,712
2640.1,5343,1039,717
2645.1,5351,1036,712
2650.1,5348,1035,702
2655.1,5353,1030,701
2660.1,5367,1029,692
2665.1,5363,1025,685
2670.1,5383,1022,690
2675.1,5384,1025,689
2680.1,5404,1025,689
2685.1,5417,1024,690
2690.1,5423,1025,694
2695.1,5423,1034,699
2700.1,5409,1034,696
2705.1,5409,1033,698
2710.1,5415,1033,691
2715.1,5402,1035,695
2720.1,5384,1031,697
2725.1,5376,1034,706
2730.1,5380,1032,708
2735.1,5368,1028,706
2740.1,5356,1031,700
2745.1,5334,1029,701
2750.1,5312,1038,705
2755.1,5303,1037,700
2760.1,5301,1043,697
2765.1,5314,1042,695
2770.1,5314,1047,687
2775.1,5317,1044,679
2780.1,5336,1047,685
2785.1,5348,1050,689
2790.1,5351,1055,684
2795.1,5373,1064,685
2800.1,5376,1070,681
2805.1,5380,1070,680
2810.1,5384,1074,688
2815.1,5376,1079,685
2820.1,5375,1077,682
2825.1,5379,1072,683
2830.1,5383,1067,684
2835.1,5390,1066,691
2840.1,5382,1059,691
2845.1,5383,1061,696
2850.1,5363,1054,697
2855.1,5359,1063,693
2860.1,5357,1066,700
2865.1,5352,1075,700
2870.1,5340,1079,706
2875.1,5354,1083,705
2880.1,5329,1084,703
2885.1,5310,1073,704
2890.1,5297,1077,702
2895.1,5282,1076,700
2900.1,5268,1078,701
2905.1,5260,1078,704
2910.1,5250,1075,709
2915.1,5250,1075,715
2920.1,5256,1075,716
2925.1,5279,1073,713
2930.1,5281,1073,719
2935.1,5299,1071,728
2940.1,5307,1074,727
2945.1,5313,1079,724
2950.1,5329,1079,719
2955.1,5351,1077,718
2960.1,5358,1075,712
2965.1,5346,1072,711
2970.1,5363,1080,712
2975.1,5358,1084,711
2980.1,5355,1086,707
2985.1,5342,1078,696
2990.1,5332,1077,684
2995.1,5330,1076,676
3000.1,5315,1069,675
3005.1,5309,1071,675
3010.1,5287,1070,674
3015.1,5266,1070,667
3020.1,5256,1069,665
3025.1,5249,1079,660
3030.1,5250,1087,656
3035.1,5242,1088,658
3040.1,5240,1088,658
3045.1,5222,1090,667
3050.1,5198,1093,669
3055.1,5181,1095,665
3060.1,5197,1095,667
3065.1,5185,1092,672
3070.1,5181,1085,672
3075.1,5194,1087,671
3080.1,5196,1093,676
3085.1,5206,1101,676
3090.1,5207,1106,684
3095.1,5218,1105,684
3100.1,5225,1104,681
3105.1,5240,1102,685
3110.1,5250,1101,685
3115.1,5252,1101,681
3120.1,5268,1104,677
3125.1,5289,1112,674
3130.1,5298,1112,674
3135.1,5306,1115,676
3140.1,5308,1116,670
3145.1,5297,1115,667
3150.1,5281,1110,666
3155.1,5273,1103,666
3160.1,5266,1110,666
3165.1,5265,1114,661
3170.1,5271,1117,671
3175.1,5253,1119,674
3180.1,5238,1124,679
3185.1,5231,1130,686
3190.1,5223,1128,682
3195.1,5198,1127,684
3200.1,5187,1131,688
3205.1,5169,1130,696
3210.1,5143,1129,695
3215.1,5127,1132,683
3220.1,5128,1133,677
3225.1,5134,1131,680
3230.1,5134,1131,684
3235.1,5116,1124,677
3240.1,5128,1120,683
3245.1,5131,1121,686
3250.1,5154,1114,692
3255.1,5172,1116,687
3260.1,5187,1115,677
3265.1,5205,1118,674
3270.1,5211,1117,669
3275.1,5214,1124,661
3280.1,5226,1127,657
3285.1,5227,1125,659
3290.1,5223,1120,662
3295.1,5228,1119,661
3300.1,5222,1118,665
3305.1,5216,1112,660
3310.1,5212,1117,659
3315.1,5212,1114,659
3320.1,5215,1119,658
3325.1,5216,1125,661
3330.1,5204,1131,661
3335.1,5198,1138,657
