sim_sec,urban_state_vehicles,urban_state_aligned_accumulation_veh,urban_state_aligned_production_veh_km_h,urban_state_aligned_mean_speed_kph,urban_core_accumulation_veh,urban_core_production_veh_km_h,urban_core_mean_speed_kph,total_vehicles,stopped_vehicles
3000.0,2614.0,2614.0,55702.45378400002,21.30927841775058,2614.0,55702.45378400002,21.30927841775058,4522.0,1316.0
3060.0,2573.0,2573.0,57489.00525600001,22.343181211037702,2573.0,57489.00525600001,22.343181211037702,4466.0,1224.0
3120.0,2580.0,2580.0,59776.487328999996,23.169181135271316,2580.0,59776.487328999996,23.169181135271316,4532.0,1221.0
3180.0,2585.0,2585.0,59597.08759800003,23.054966188781442,2585.0,59597.08759800003,23.054966188781442,4541.0,1187.0
3240.0,2583.0,2583.0,60042.49466300001,23.24525538637244,2583.0,60042.49466300001,23.24525538637244,4570.0,1196.0
3300.0,2635.0,2635.0,59033.66326400002,22.40366727286528,2635.0,59033.66326400002,22.40366727286528,4645.0,1341.0
3360.0,2641.0,2641.0,59353.14461099997,22.473738966679274,2641.0,59353.14461099997,22.473738966679274,4662.0,1312.0
3420.0,2638.0,2638.0,59798.12570999994,22.667977903714913,2638.0,59798.12570999994,22.667977903714913,4659.0,1288.0
3480.0,2632.0,2631.0,51637.771548,19.62667105587229,2631.0,51637.771548,19.62667105587229,4698.0,1457.0
3540.0,2586.0,2586.0,60902.29754100001,23.550772444315548,2586.0,60902.29754100001,23.550772444315548,4693.0,1252.0
3600.0,2631.0,2631.0,57549.666165999995,21.873685353857848,2631.0,57549.666165999995,21.873685353857848,4757.0,1387.0
3660.0,2578.0,2578.0,52980.03205600002,20.550827019394887,2578.0,52980.03205600002,20.550827019394887,4727.0,1367.0
3720.0,2502.0,2502.0,53887.70995700001,21.53785369984013,2502.0,53887.70995700001,21.53785369984013,4690.0,1286.0
3780.0,2489.0,2489.0,53370.212795999985,21.44243181840096,2489.0,53370.212795999985,21.44243181840096,4725.0,1394.0
3840.0,2481.0,2481.0,53513.38954400008,21.56928236356311,2481.0,53513.38954400008,21.56928236356311,4656.0,1357.0
3900.0,2464.0,2464.0,52338.98026800003,21.2414692646104,2464.0,52338.98026800003,21.2414692646104,4632.0,1346.0
3960.0,2436.0,2435.0,43830.68360899998,18.000280742915802,2435.0,43830.68360899998,18.000280742915802,4621.0,1461.0
4020.0,2404.0,2404.0,54494.63128300002,22.66831584151415,2404.0,54494.63128300002,22.66831584151415,4635.0,1262.0
4080.0,2402.0,2402.0,49650.271541999966,20.67038781931722,2402.0,49650.271541999966,20.67038781931722,4618.0,1345.0
4140.0,2391.0,2391.0,50153.71392999995,20.976040957758237,2391.0,50153.71392999995,20.976040957758237,4550.0,1329.0
4200.0,2401.0,2401.0,50133.663056,20.880326137442733,2401.0,50133.663056,20.880326137442733,4594.0,1344.0
4260.0,2355.0,2355.0,45448.34261200001,19.29865928322718,2355.0,45448.34261200001,19.29865928322718,4530.0,1402.0
4320.0,2342.0,2342.0,49552.366040999994,21.158140922715624,2342.0,49552.366040999994,21.158140922715624,4555.0,1302.0
4380.0,2360.0,2360.0,48825.124818,20.68861221101695,2360.0,48825.124818,20.68861221101695,4599.0,1314.0
4440.0,2386.0,2386.0,48711.07295600001,20.415370056999166,2386.0,48711.07295600001,20.415370056999166,4599.0,1341.0
4500.0,2312.0,2312.0,48182.242014,20.84007007525952,2312.0,48182.242014,20.84007007525952,4511.0,1328.0
