sim_sec,urban_state_vehicles,urban_state_aligned_accumulation_veh,urban_state_aligned_production_veh_km_h,urban_state_aligned_mean_speed_kph,urban_core_accumulation_veh,urban_core_production_veh_km_h,urban_core_mean_speed_kph,total_vehicles,stopped_vehicles
2640.0,2644.0,2644.0,57331.337891999996,21.683561986384266,2474.0,45316.910211999995,18.31726362651576,3819.0,1364.0
2700.0,2736.0,2736.0,64102.91338499999,23.429427406798244,2564.0,52246.534736999994,20.376963625975037,3892.0,1293.0
2760.0,2713.0,2713.0,62539.724854000015,23.05187056911169,2548.0,51104.68645900002,20.056784324568294,3852.0,1345.0
2820.0,2761.0,2761.0,59812.52931300002,21.66335723035133,2572.0,47773.74433800002,18.57455067573873,3890.0,1349.0
2880.0,2713.0,2713.0,64153.73044400001,23.64678600958349,2547.0,53818.92518600001,21.130320057322344,3774.0,1231.0
2940.0,2709.0,2709.0,60128.77261700003,22.19592935289776,2527.0,48868.59441500002,19.338581090225574,3716.0,1294.0
3000.0,2666.0,2666.0,54039.860710999994,20.27001527044261,2461.0,41599.442065999996,16.90347097358797,3643.0,1401.0
3060.0,2605.0,2605.0,63648.20119400001,24.433090669481768,2419.0,51968.351096000006,21.483402685407196,3561.0,1214.0
3120.0,2604.0,2604.0,52515.116385000016,20.167095385944705,2409.0,40565.535885000005,16.83915976961395,3543.0,1382.0
3180.0,2600.0,2600.0,63117.794867,24.27607494884615,2404.0,50860.241615,21.156506495424292,3616.0,1125.0
3240.0,2624.0,2624.0,55209.986149,21.040391062881096,2425.0,43270.63011299999,17.843558809484534,3648.0,1347.0
3300.0,2621.0,2621.0,49320.86572500003,18.817575629530726,2413.0,35994.854429,14.917055295897223,3617.0,1524.0
3360.0,2607.0,2607.0,60500.129354,23.20680067280399,2430.0,48548.073551,19.978631090946504,3623.0,1299.0
3420.0,2639.0,2639.0,53947.140071000045,20.442266036756365,2474.0,42783.83176100004,17.293383896928066,3578.0,1469.0
3480.0,2566.0,2566.0,50189.09934800001,19.559274882307097,2439.0,40016.124647000004,16.40677517302173,3585.0,1434.0
3540.0,2600.0,2600.0,58180.58278599996,22.3771472253846,2466.0,48345.34605999997,19.60476320356852,3590.0,1286.0
3600.0,2652.0,2652.0,53176.390982,20.051429480392155,2514.0,43067.712134,17.131150411296737,3612.0,1480.0
3660.0,2561.0,2561.0,54505.611117,21.282940693869584,2430.0,44903.243259,18.478700929629632,3441.0,1324.0
3720.0,2549.0,2549.0,46618.12069700003,18.28878803334642,2418.0,37324.96144000002,15.43629505376345,3404.0,1479.0
3780.0,2486.0,2486.0,44126.85606099997,17.75014322646821,2389.0,35972.44785299999,15.057533634575131,3326.0,1484.0
3840.0,2479.0,2479.0,49399.54467399998,19.927206403388457,2383.0,41962.51222599998,17.609111299202677,3219.0,1334.0
3900.0,2429.0,2429.0,42694.39220599999,17.576942036228896,2345.0,35956.52263399998,15.33327191215351,3115.0,1433.0
3960.0,2394.0,2394.0,42916.98371699998,17.926893783208012,2293.0,35464.61862400001,15.466471270824252,3082.0,1446.0
4020.0,2360.0,2360.0,40139.55429500003,17.008285718220353,2253.0,32398.427542000027,14.380127626276089,3038.0,1412.0
4080.0,2349.0,2349.0,42166.64126400002,17.950890278416356,2223.0,33665.30156400001,15.14408527395412,2992.0,1412.0
4140.0,2398.0,2398.0,51506.595193,21.47898048081735,2250.0,40896.273765,18.176121673333334,3005.0,1290.0
4200.0,2317.0,2317.0,40563.13675299999,17.506748706517044,2213.0,31599.889368999986,14.279208933122451,2959.0,1416.0
4260.0,2312.0,2312.0,42955.21958999999,18.57924722750865,2200.0,34004.982070000005,15.456810031818184,2972.0,1343.0
4320.0,2346.0,2346.0,42711.103243,18.205926361040067,2245.0,34562.70180099999,15.395412828953225,2982.0,1402.0
4380.0,2336.0,2336.0,41364.24312400001,17.707295857876716,2238.0,34236.64442199999,15.29787507685433,2939.0,1381.0
4440.0,2301.0,2301.0,39773.54668899999,17.28533102520643,2185.0,31671.858333000022,14.495129671853556,2901.0,1397.0
4500.0,2278.0,2278.0,39513.34382499998,17.345629422739236,2188.0,32844.11405499997,15.011021048903094,2878.0,1390.0
