sim_sec,urban_state_vehicles,urban_state_aligned_accumulation_veh,urban_state_aligned_production_veh_km_h,urban_state_aligned_mean_speed_kph,urban_core_accumulation_veh,urban_core_production_veh_km_h,urban_core_mean_speed_kph,total_vehicles,stopped_vehicles
2580.0,3891.0,3891.0,81102.04088100001,20.843495471858137,3891.0,81102.04088100001,20.843495471858137,5158.0,1841.0
2640.0,4006.0,4006.0,79270.367285,19.787909956315527,4006.0,79270.367285,19.787909956315527,5211.0,1867.0
2700.0,4100.0,4100.0,79627.74645399993,19.421401574146326,4100.0,79627.74645399993,19.421401574146326,5275.0,1980.0
2760.0,4057.0,4057.0,79687.56682099999,19.64199330071481,4057.0,79687.56682099999,19.64199330071481,5268.0,1931.0
2820.0,4041.0,4041.0,74331.99205399993,18.39445485127442,4041.0,74331.99205399993,18.39445485127442,5259.0,2015.0
2880.0,4076.0,4076.0,78452.753359,19.24748610377821,4076.0,78452.753359,19.24748610377821,5277.0,2038.0
2940.0,4010.0,4010.0,75324.11682099997,18.784069032668324,4010.0,75324.11682099997,18.784069032668324,5179.0,2012.0
3000.0,4036.0,4036.0,66350.41619799998,16.43964722447968,4036.0,66350.41619799998,16.43964722447968,5187.0,2243.0
3060.0,4040.0,4040.0,72165.32727699995,17.86270477153464,4040.0,72165.32727699995,17.86270477153464,5196.0,2077.0
3120.0,4128.0,4128.0,72990.219269,17.681739164001936,4128.0,72990.219269,17.681739164001936,5267.0,2158.0
3180.0,4122.0,4122.0,75171.74369999999,18.236716084425034,4122.0,75171.74369999999,18.236716084425034,5176.0,2056.0
3240.0,4068.0,4068.0,72642.21881800002,17.856985943461165,4068.0,72642.21881800002,17.856985943461165,5082.0,2064.0
3300.0,4123.0,4123.0,65901.19251200004,15.983796389037119,4123.0,65901.19251200004,15.983796389037119,5205.0,2329.0
3360.0,4116.0,4116.0,72742.63214899998,17.673137062439256,4116.0,72742.63214899998,17.673137062439256,5175.0,2161.0
3420.0,4180.0,4180.0,72865.65506800002,17.431974896650722,4180.0,72865.65506800002,17.431974896650722,5208.0,2249.0
3480.0,4241.0,4241.0,63595.28869400002,14.995352203253953,4241.0,63595.28869400002,14.995352203253953,5306.0,2490.0
3540.0,4173.0,4173.0,77110.64050899995,18.478466453151196,4173.0,77110.64050899995,18.478466453151196,5259.0,2103.0
3600.0,4254.0,4253.0,66561.889114,15.650573504349872,4253.0,66561.889114,15.650573504349872,5354.0,2421.0
3660.0,4176.0,4176.0,61978.961996000005,14.841705458812262,4176.0,61978.961996000005,14.841705458812262,5182.0,2378.0
3720.0,4123.0,4123.0,67723.075929,16.425679342469074,4123.0,67723.075929,16.425679342469074,5096.0,2268.0
3780.0,4121.0,4121.0,62522.87018000001,15.17177145838389,4121.0,62522.87018000001,15.17177145838389,5068.0,2470.0
3840.0,4020.0,4020.0,65657.22643899998,16.332643392786064,4020.0,65657.22643899998,16.332643392786064,4913.0,2214.0
3900.0,3994.0,3994.0,56596.46289099998,14.1703712796695,3994.0,56596.46289099998,14.1703712796695,4843.0,2413.0
3960.0,3991.0,3991.0,51616.48152600001,12.933220126785269,3991.0,51616.48152600001,12.933220126785269,4782.0,2467.0
4020.0,3900.0,3900.0,60214.87316100001,15.43971106692308,3900.0,60214.87316100001,15.43971106692308,4692.0,2226.0
4080.0,3940.0,3940.0,60577.76017799999,15.375066035025378,3940.0,60577.76017799999,15.375066035025378,4704.0,2344.0
4140.0,3895.0,3895.0,63792.0008,16.377920616174585,3895.0,63792.0008,16.377920616174585,4653.0,2117.0
4200.0,3891.0,3891.0,60055.821396999985,15.434546748136722,3891.0,60055.821396999985,15.434546748136722,4679.0,2268.0
4260.0,3892.0,3892.0,53923.58254700001,13.85498009943474,3892.0,53923.58254700001,13.85498009943474,4691.0,2396.0
4320.0,3813.0,3813.0,60312.96560599999,15.81771980225544,3813.0,60312.96560599999,15.81771980225544,4614.0,2231.0
4380.0,3830.0,3830.0,57805.52548399995,15.092826497127923,3830.0,57805.52548399995,15.092826497127923,4585.0,2301.0
4440.0,3802.0,3802.0,51744.906428999995,13.609917524723828,3802.0,51744.906428999995,13.609917524723828,4553.0,2354.0
4500.0,3762.0,3762.0,54525.03960800001,14.493630943115367,3762.0,54525.03960800001,14.493630943115367,4536.0,2356.0
