simsec,sc,states
20,108,RGRRRGRR
20,109,RGRRRGRR
20,1001,RRRGRRRG
20,1002,RRRGRRRG
20,1003,RRRGRRRG
20,1004,RRRGRRRG
20,1005,RRRGRRRG
21,1,GRRRGRRR
21,5,RRGRRRGRRGRRRGRRRRRGRRRG
21,6,RGRRRGRR
21,11,RRRGRRRG
21,12,RGRRRGRR
21,101,GRRRGRRR
21,105,RRGRRRGR
21,107,RGRRRGRR
21,108,RGRRRGRR
21,109,RGRRRGRR
21,1001,RRRGRRRG
21,1002,RRRGRRRG
21,1003,RRRGRRRG
21,1004,RRRGRRRG
21,1005,RRRGRRRG
22,1,GRRRGRRR
22,5,RRGRRRGRRGRRRGRRRRRGRRRG
22,6,RGRRRGRR
22,11,RRRGRRRG
22,12,RGRRRGRR
22,101,GRRRGRRR
22,105,RRGRRRGR
22,107,RGRRRGRR
22,108,RGRRRGRR
22,109,RGRRRGRR
22,1001,RRRGRRRG
22,1002,RRRGRRRG
22,1003,RRRGRRRG
22,1004,RRRGRRRG
22,1005,RRRGRRRG
23,1,GRRRGRRR
23,5,RRGRRRGRRGRRRGRRRRRGRRRG
23,6,RGRRRGRR
23,11,RRRGRRRG
23,12,RGRRRGRR
23,101,GRRRGRRR
23,105,RRGRRRGR
23,107,RGRRRGRR
23,108,RGRRRGRR
23,109,RGRRRGRR
23,1001,RRRGRRRG
23,1002,RRRGRRRG
23,1003,RRRGRRRG
23,1004,RRRGRRRG
23,1005,RRRGRRRG
24,1,GRRRGRRR
24,5,RRGRRRGRRGRRRGRRRRRGRRRG
24,6,RGRRRGRR
24,11,RRRGRRRG
24,12,RGRRRGRR
24,101,GRRRGRRR
24,105,RRGRRRGR
24,107,RGRRRGRR
24,108,RGRRRGRR
24,109,RGRRRGRR
24,1001,RRRGRRRG
24,1002,RRRGRRRG
24,1003,RRRGRRRG
24,1004,RRRGRRRG
24,1005,RRRGRRRG
25,1,GRRRGRRR
25,5,RRGRRRGRRGRRRGRRRRRGRRRG
25,6,RGRRRGRR
25,11,RRRGRRRG
25,12,RGRRRGRR
25,101,GRRRGRRR
25,105,RRGRRRGR
25,107,RGRRRGRR
25,108,RGRRRGRR
25,109,RGRRRGRR
25,1001,RRRGRRRG
25,1002,RRRGRRRG
25,1003,RRRGRRRG
25,1004,RRRGRRRG
25,1005,RRRGRRRG
26,1,GRRRGRRR
26,5,RRGRRRGRRGRRRGRRRRRGRRRG
26,6,RGRRRGRR
26,11,RRRGRRRG
26,12,RGRRRGRR
26,101,GRRRGRRR
26,105,RRGRRRGR
26,107,RGRRRGRR
26,108,RGRRRGRR
26,109,RGRRRGRR
26,1001,RRRGRRRG
26,1002,RRRGRRRG
26,1003,RRRGRRRG
26,1004,RRRGRRRG
26,1005,RRRGRRRG
27,1,GRRRGRRR
27,5,RRGRRRGRRGRRRGRRRRRGRRRG
27,6,RGRRRGRR
27,11,RRRGRRRG
27,12,RGRRRGRR
27,101,GRRRGRRR
27,105,RRGRRRGR
27,107,RGRRRGRR
27,108,RGRRRGRR
27,109,RGRRRGRR
27,1001,RRRGRRRG
27,1002,RRRGRRRG
27,1003,RRRGRRRG
27,1004,RRRGRRRG
27,1005,RRRGRRRG
28,1,GRRRGRRR
28,5,RRGRRRGRRGRRRGRRRRRGRRRG
28,6,RGRRRGRR
28,11,RRRGRRRG
28,12,RGRRRGRR
28,101,GRRRGRRR
28,105,RRGRRRGR
28,107,RGRRRGRR
28,108,RGRRRGRR
28,109,RGRRRGRR
28,1001,RRRGRRRG
