link,inside_omega,group,nc_ttt_veh_h,nc_slow_veh_h,cl_ttt_veh_h,cl_slow_veh_h,delta_ttt_veh_h,delta_slow_veh_h
28,False,urban_and_ramps,3.550972222222542,0,3.5637500000003253,0,0.012777777777783328,0
29,True,urban_and_ramps,7.533055555554089,3.059444444444709,7.704305555554384,3.293194444444782,0.17125000000029456,0.23375000000007295
30,True,urban_and_ramps,30.186527777775684,7.797083333332794,31.00874999999847,7.907083333332128,0.8222222222227877,0.10999999999933419
31,True,urban_and_ramps,8.958888888888012,0.008888888888888884,8.662638888888143,0.008333333333333331,-0.2962499999998691,-0.0005555555555555522
32,True,urban_and_ramps,28.736388888888914,0,28.736388888888914,0,0.0,0
33,False,urban_and_ramps,1.271944444444483,0,1.2736111111111503,0,0.0016666666666673713,0
34,False,urban_and_ramps,0.8777777777777911,0,0.8780555555555697,0,0.00027777777777859836,0
35,False,urban_and_ramps,1.1291666666667712,0,1.1291666666667712,0,0.0,0
36,False,urban_and_ramps,1.3513888888890169,0,1.3513888888890169,0,0.0,0
37,False,urban_and_ramps,7.13291666666574,1.5984722222223633,9.636249999999087,3.954861111111507,2.503333333333347,2.3563888888891436
38,False,urban_and_ramps,10.22583333333317,2.842500000000207,21.04333333333287,13.024583333333116,10.8174999999997,10.182083333332908
39,True,urban_and_ramps,13.625833333331931,4.024583333333721,11.443611111109034,2.0904166666668833,-2.1822222222228973,-1.934166666666838
40,True,urban_and_ramps,39.06486111111051,22.294166666665504,24.70249999999996,9.381944444444096,-14.362361111110548,-12.912222222221407
41,False,urban_and_ramps,1.0508333333334285,0,1.0508333333334285,0,0.0,0
42,False,urban_and_ramps,2.2458333333335685,0,2.2458333333335685,0,0.0,0
44,False,urban_and_ramps,0.727083333333351,0,0.7254166666666841,0,-0.0016666666666668162,0
45,False,urban_and_ramps,1.047500000000032,0,1.0441666666666987,0,-0.0033333333333334103,0
46,True,urban_and_ramps,8.894444444443316,1.4931944444445793,8.671249999998633,1.390694444444539,-0.22319444444468317,-0.10250000000004023
47,True,urban_and_ramps,20.005833333332234,4.3823611111112015,19.847638888888238,4.150000000000285,-0.15819444444399622,-0.23236111111091695
49,False,urban_and_ramps,0.4433333333333415,0,0.45027777777778555,0,0.006944444444444031,0
51,False,urban_and_ramps,0.0030555555555555557,0,0.0030555555555555557,0,0.0,0
52,True,urban_and_ramps,32.918194444444495,18.52402777777684,34.85069444444391,20.075833333332113,1.9324999999994148,1.5518055555552728
53,False,urban_and_ramps,1.2972222222223475,0,1.301388888889015,0,0.00416666666666754,0
54,False,urban_and_ramps,1.4248611111112486,0,1.4248611111112492,0,6.661338147750939e-16,0
55,False,urban_and_ramps,16.378055555554457,0,16.381944444443352,0,0.003888888888894826,0
56,True,urban_and_ramps,8.69694444444367,0.0011111111111111111,8.843055555554647,0.006388888888888889,0.14611111111097763,0.005277777777777778
57,True,urban_and_ramps,4.124166666667006,2.4540277777780104,3.8327777777781655,1.9958333333335223,-0.2913888888888403,-0.4581944444444881
58,True,urban_and_ramps,8.794583333332616,0,8.897499999999315,0,0.10291666666669919,0
59,False,urban_and_ramps,0.49666666666668846,0,0.4966666666666885,0,5.551115123125783e-17,0
60,False,urban_and_ramps,3.5208333333337425,0,3.5208333333337425,0,0.0,0
61,True,urban_and_ramps,12.25916666666653,0.022499999999999982,12.357361111110784,0.003888888888888889,0.09819444444425329,-0.018611111111111092
62,True,urban_and_ramps,2.3205555555557726,0,2.293888888889097,0,-0.02666666666667572,0
65,False,urban_and_ramps,0.07972222222222172,0,0.07972222222222172,0,0.0,0
66,False,urban_and_ramps,60.88819444444618,14.890694444444124,53.396388888889575,7.740833333332466,-7.491805555556603,-7.149861111111658
67,False,urban_and_ramps,37.666527777778725,0,38.41472222222284,0,0.7481944444441169,0
68,True,urban_and_ramps,6.428055555555167,0.13416666666666552,6.193333333332857,0.15416666666666584,-0.23472222222230954,0.020000000000000323
69,True,urban_and_ramps,49.70694444444704,0.0019444444444444446,49.70694444444704,0.0019444444444444446,0.0,0.0
70,True,urban_and_ramps,5.050833333333034,0,5.142916666666224,0.001388888888888889,0.09208333333319008,0.001388888888888889
71,True,urban_and_ramps,27.760555555554745,22.190277777776597,28.8255555555553,23.24902777777711,1.0650000000005555,1.0587500000005114
72,False,urban_and_ramps,8.598333333332285,0.4097222222222319,8.944999999998597,0.882777777777844,0.3466666666663123,0.47305555555561213
