kind,id,dsd_no,sc_no,link,lane,speed_kph,p1_green,p2_green,p3_green,p4_green,offset,rate_vph,green_sec,metadata
vsl,RW_FW_W_S0,40,,26,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S0,75,,26,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S0,41,,26,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S0,76,,26,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S0,42,,26,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S0,77,,26,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S2,79,,26,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S2,80,,26,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S2,81,,26,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S5,83,,26,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S5,84,,26,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S5,85,,26,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S7,87,,120,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S7,88,,120,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S7,89,,120,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S7,90,,120,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S10,91,,120,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S10,92,,120,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S10,93,,120,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S10,94,,120,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S13,95,,120,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S13,96,,120,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S13,97,,120,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S13,98,,120,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S15,99,,120,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S15,100,,120,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S15,101,,120,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S15,102,,120,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S18,103,,120,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S18,104,,120,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S18,105,,120,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
vsl,RW_FW_W_S18,106,,120,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1
ramp_meter,RM_C10480,,9101,,,,,,,,,900.0,10.0,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1;model_ramp_key=R_D_W;group_rate_vph=1800.0
ramp_meter,RM_C10482,,9102,,,,,,,,,900.0,10.0,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1;model_ramp_key=R_D_W;group_rate_vph=1800.0
ramp_meter,RM_C10646,,9103,,,,,,,,,900.0,10.0,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1;model_ramp_key=R_F_W;group_rate_vph=1800.0
ramp_meter,RM_C10644,,9104,,,,,,,,,900.0,10.0,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1;model_ramp_key=R_F_W;group_rate_vph=1800.0
ramp_meter,RM_C10639,,9105,,,,,,,,,900.0,10.0,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1;model_ramp_key=R_F_E;group_rate_vph=1800.0
ramp_meter,RM_C10681,,9106,,,,,,,,,900.0,10.0,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1;model_ramp_key=R_F_E;group_rate_vph=1800.0
ramp_meter,RM_C10490,,9107,,,,,,,,,900.0,10.0,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1;model_ramp_key=R_D_E;group_rate_vph=1800.0
ramp_meter,RM_C10484,,9108,,,,,,,,,900.0,10.0,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1;model_ramp_key=R_D_E;group_rate_vph=1800.0
