input_no,head,road,sg,lane,green_start_sec,green_end_sec,departure_ordinal,previous_vehicle_id,vehicle_id,linear_estimate_headway_sec,lower_headway_sec,upper_headway_sec,all_prehead_queued,near20_queued,downstream_stopped_witness,ambiguous_crossing_count,both_departures_previously_stopped_same_lane,minimum_nearest_stopped_distance_m,maximum_nearest_stopped_distance_m,queued_after_third_departure,qualified_broad_only
90030875,90030875,66,3,4,1249,1272,7,4287,4260,1.5417686239175055,1,3,True,False,False,0,True,69.50736730785547,75.29736730785544,False,True
90030875,90030875,66,3,4,1249,1272,8,4260,4308,1.6429910455217396,0.0,2,True,False,False,0,True,50.23736730785549,50.23736730785549,False,True
90030875,90030875,66,3,4,1249,1272,9,4308,4307,1.7054407259142863,1,3,True,False,False,0,True,57.20736730785575,63.29736730785544,False,True
90030875,90030875,66,3,4,1249,1272,10,4307,4368,1.6181471380280072,1,3,True,False,False,0,True,68.1473673078558,69.20736730785575,False,True
90030875,90030875,66,3,4,1249,1272,11,4368,4330,1.800707207731648,0.0,2,True,False,False,0,True,75.79736730785544,75.79736730785544,False,True
90030875,90030875,66,3,4,1249,1272,12,4330,4481,1.5532736046000082,1,3,True,False,False,0,True,86.46736730785551,93.1473673078558,False,True
90030875,90030875,66,3,4,1399,1422,2,4561,4201,2.7031333839465788,2,4,False,False,False,0,True,7.777367307855457,25.207367307855748,False,False
90030875,90030875,66,3,4,1399,1422,3,4201,4643,2.484420982852953,1,3,False,False,False,0,True,25.207367307855748,31.167367307855784,False,False
90030875,90030875,66,3,4,1399,1422,4,4643,4652,2.1334583824223046,2,4,True,False,False,0,True,37.0873673078554,47.667367307855784,False,True
90030875,90030875,66,3,4,1399,1422,5,4652,4687,1.6797840210592767,0.0,2,True,False,False,0,True,47.04736730785544,47.04736730785544,False,True
90030875,90030875,66,3,4,1399,1422,6,4687,4721,1.8385374769100054,1,3,True,False,False,0,True,45.82736730785564,59.187367307855766,False,True
90030875,90030875,66,3,4,1399,1422,7,4721,4813,2.2388718411780246,1,3,True,False,False,0,True,64.00736730785547,69.85736730785538,False,True
90030875,90030875,66,3,4,1399,1422,8,4813,4912,1.554225103010367,1,3,True,False,False,0,True,75.43736730785577,87.06736730785542,False,True
90030875,90030875,66,3,4,1399,1422,9,4912,4930,2.2346106351919843,1,3,True,False,False,0,True,86.40736730785557,93.27736730785546,False,True
90030875,90030875,66,3,4,1399,1422,10,4930,5015,2.2826144739624397,1,3,True,False,False,0,True,104.78736730785567,104.79736730785544,False,True
