sim_sec,elapsed_sec,link,cell_index_zero_based,count_veh,speed_kph,density_veh_km_lane,effective_lanes
1290.0,90.0,FW_W,0,42.853735866796725,78.57658320347062,27.821265972654253,3.0
1290.0,90.0,FW_W,1,47.618027961823294,68.35002498308239,30.914313401684772,3.0
1290.0,90.0,FW_W,2,45.236080197128146,67.24170681516995,29.367918415246766,3.0
1290.0,90.0,FW_W,3,43.03013855977434,66.26333134175589,27.935789155764304,3.0
1290.0,90.0,FW_W,4,48.02363241313064,59.59585897265278,31.177637685816958,3.0
1290.0,90.0,FW_W,5,54.714265613391674,50.820769075477656,35.52129365944135,3.0
1290.0,90.0,FW_W,6,42.778709007231726,63.65696110408318,30.094431694970016,2.7685411437881378
1290.0,90.0,FW_W,7,29.81758555056111,71.08622284550827,14.518506289213905,4.0
1290.0,90.0,FW_W,8,23.26597960379336,87.71610730021852,11.328458188863648,4.0
1290.0,90.0,FW_W,9,19.50487046805639,100.05092766128973,9.497133296745092,4.0
1290.0,90.0,FW_W,10,17.64303300405294,105.98240661528345,8.590584411866669,4.0
1290.0,90.0,FW_W,11,17.22617456238231,105.2888681147075,8.393890776601545,3.997007696119886
1290.0,90.0,FW_W,12,14.013105630998108,101.84097877069976,6.82313334492089,4.0
1290.0,90.0,FW_W,13,20.230454337622188,89.81168428998014,9.850427964275442,4.0
1290.0,90.0,FW_W,14,22.902314600764207,83.33495160590596,11.151385748685927,4.0
1290.0,90.0,FW_W,15,24.674163345233946,81.65919919193955,12.014118148547713,4.0
1290.0,90.0,FW_W,16,22.958561304243204,92.78977968126352,11.178772879572922,4.0
1290.0,90.0,FW_W,17,22.293150474840147,100.55132069969868,10.854777118909546,4.0
1290.0,90.0,FW_W,18,21.40284756435004,105.31170539959696,10.42127896114161,4.0
1290.0,90.0,FW_W,19,19.80854019869155,108.97476844217431,9.644993387113391,4.0
1290.0,90.0,FW_W,20,17.590549112513152,111.72111881219222,8.5650294349853,4.0
1290.0,90.0,FW_E,0,37.00961683328785,91.59706380578369,18.020384442072142,4.0
1290.0,90.0,FW_E,1,37.08061054924962,91.40998160158547,18.05495205352203,4.0
1290.0,90.0,FW_E,2,36.4857493809719,92.5301397014719,17.76530768918527,4.0
1290.0,90.0,FW_E,3,35.70619206556727,93.69577427252995,17.38573276460551,4.0
1290.0,90.0,FW_E,4,34.94173401528655,94.9029510836132,17.01350983622585,4.0
1290.0,90.0,FW_E,5,34.17484754147868,96.15940178715691,16.640104482052795,4.0
1290.0,90.0,FW_E,6,32.94582278707151,97.42761029073296,16.04167897921646,4.0
1290.0,90.0,FW_E,7,32.02142846218368,97.77331057740489,15.59158134147043,4.0
1290.0,90.0,FW_E,8,32.717034646094255,96.95808973069397,16.00981156508631,3.980129181025919
1290.0,90.0,FW_E,9,34.07307957117438,80.78380006408592,16.590552551887352,4.0
1290.0,90.0,FW_E,10,38.58160463472235,77.70023879863679,18.785802377840078,4.0
1290.0,90.0,FW_E,11,33.45525355169512,88.44373496918641,16.289726352051705,4.0
1290.0,90.0,FW_E,12,31.861841619325883,79.87463972563054,15.513876774218401,4.0
1290.0,90.0,FW_E,13,24.436896949347688,88.1613325620184,15.877943776484969,2.997514219889547
1290.0,90.0,FW_E,14,23.899754023438824,74.05709814451694,15.51606645063329,3.0
1290.0,90.0,FW_E,15,24.88371975840343,67.64664191765101,16.154871256485443,3.0
1290.0,90.0,FW_E,16,21.031739225383543,82.58855125464665,13.654109706459971,3.0
1290.0,90.0,FW_E,17,18.94022657839519,93.67357804824464,12.296269404790547,3.0
1290.0,90.0,FW_E,18,17.265080091356413,100.66641617707602,11.208740044364989,3.0
1290.0,90.0,FW_E,19,15.3249596570001,106.20031737327201,9.949185759740066,3.0
1290.0,90.0,FW_E,20,13.031291848425568,109.6021326719086,8.460103399368553,3.0
1300.0,100.0,FW_W,0,42.968835695745454,78.28925761304676,27.89599044859127,3.0
1300.0,100.0,FW_W,1,48.22724402170796,67.43460861099796,31.309825290999328,3.0
1300.0,100.0,FW_W,2,46.38812297621264,65.76427597131934,30.115841272390686,3.0
1300.0,100.0,FW_W,3,44.06039278250778,65.09131552205206,28.604645118269207,3.0
