run_label,run,seed,sim_sec,vehicle_id,physical_link,lane,local_pos_m,chain_pos_m,cell,speed_kph,speed_class
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13490,2,1,2011.09,4745.617,9,8.31,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13512,2,1,1877.27,4611.7970000000005,8,4.95,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13542,2,1,1564.19,4298.717000000001,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13604,2,1,1769.65,4504.177,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13683,2,1,1680.93,4415.457,8,3.66,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13760,2,1,1943.04,4677.567,9,6.12,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13776,2,1,1989.9,4724.427,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13867,2,2,1902.06,4636.5869999999995,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13897,2,2,1625.62,4360.147,8,1.47,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13919,2,1,1922.72,4657.247,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13929,2,2,1944.02,4678.5470000000005,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13938,2,1,1745.1,4479.627,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13966,2,1,1955.99,4690.517,9,2.83,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14025,2,1,1376.45,4110.977,8,1.82,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14051,2,2,1706.68,4441.207,8,3.73,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14059,2,2,1966.43,4700.957,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14077,2,2,1612.09,4346.617,8,3.53,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14091,2,3,1680.59,4415.117,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14175,2,1,1426.81,4161.3369999999995,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14218,2,2,1517.74,4252.267,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14226,2,1,1583.53,4318.057,8,5.55,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14257,2,2,1420.39,4154.917,8,1.48,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14316,2,1,1707.53,4442.057,8,7.23,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14333,2,2,1671.63,4406.157,8,3.54,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14347,2,2,1529.31,4263.8369999999995,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14367,2,2,1482.9,4217.427,8,5.45,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14368,2,2,1442.01,4176.537,8,12.93,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14386,2,1,1662.53,4397.057,8,1.75,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14411,2,2,1919.7,4654.227,9,4.96,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14429,2,1,1870.56,4605.0869999999995,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14484,2,2,1630.94,4365.467000000001,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,14501,2,4,1562.91,4297.437,8,14.44,slow
