run,link,sim_sec,count,stopped_count,mean_speed_kph
FixedGreen,10682,2940,24.0,10.0,6.373211
FixedGreen,10682,2970,23.0,6.0,7.977913
FixedGreen,10682,3000,23.0,10.0,7.793344
FixedGreen,10682,3030,21.0,5.0,8.13627
FixedGreen,10682,3060,20.0,6.0,7.829791
FixedGreen,10682,3090,22.0,4.0,6.896906
FixedGreen,10682,3120,23.0,6.0,7.887095
FixedGreen,10682,3150,20.0,1.0,10.215416
FixedGreen,10682,3180,22.0,6.0,7.34063
FixedGreen,10682,3210,25.0,9.0,6.717567
FixedGreen,10682,3240,23.0,6.0,7.522783
FixedGreen,10682,3270,22.0,3.0,8.440644
FixedGreen,10682,3300,21.0,0.0,8.930327
FixedGreen,10682,3330,21.0,5.0,8.661854
FixedGreen,10682,3360,22.0,4.0,7.248169
FixedGreen,10682,3390,22.0,8.0,7.920559
FixedGreen,10682,3420,20.0,3.0,7.627397
FixedGreen,10682,3450,21.0,4.0,8.261824
FixedGreen,10682,3480,20.0,4.0,8.531366
FixedGreen,10682,3510,20.0,6.0,8.947201
FixedGreen,10682,3540,19.0,3.0,9.893813
FixedGreen,10682,3570,21.0,4.0,9.513521
FixedGreen,10682,3600,20.0,3.0,9.421766
FixedGreen,10682,3630,21.0,5.0,9.18572
FixedGreen,10682,3660,21.0,5.0,8.608926
FixedGreen,10682,3690,25.0,7.0,5.390785
FixedGreen,10682,3720,22.0,7.0,7.730672
FixedGreen,10682,3750,22.0,4.0,8.074693
FixedGreen,10682,3780,23.0,4.0,7.604762
FixedGreen,10682,3810,22.0,4.0,6.379056
FixedGreen,10682,3840,22.0,2.0,7.580843
FixedGreen,10682,3870,22.0,4.0,6.848798
FixedGreen,10682,3900,21.0,7.0,6.606176
FixedGreen,10682,3930,20.0,3.0,9.670406
FixedGreen,10682,3960,22.0,5.0,9.630756
FixedGreen,10682,3990,25.0,8.0,6.539209
FixedGreen,10682,4020,21.0,5.0,8.174929
FixedGreen,10682,4050,20.0,5.0,9.890375
FixedGreen,10682,4080,22.0,7.0,6.796771
FixedGreen,10682,4110,22.0,6.0,8.516244
FixedGreen,10682,4140,20.0,6.0,11.129354
FixedGreen,10682,4170,21.0,4.0,8.196893
FixedGreen,10682,4200,20.0,3.0,9.946547
FixedGreen,10682,4230,24.0,6.0,7.488471
FixedGreen,10682,4260,23.0,8.0,7.101216
FixedGreen,10682,4290,23.0,7.0,8.359106
FixedGreen,10682,4320,23.0,7.0,8.648166
FixedGreen,10682,4350,24.0,10.0,6.843087
FixedGreen,10682,4380,23.0,8.0,6.306034
FixedGreen,10682,4410,24.0,5.0,7.438435
FixedGreen,10682,4440,25.0,4.0,9.287693
FixedGreen,10682,4470,24.0,9.0,5.559722
FixedGreen,10682,4500,23.0,8.0,7.149822
FixedGreen,10682,4530,23.0,7.0,7.054159
FixedGreen,10682,4560,23.0,8.0,6.81004
FixedGreen,10682,4590,21.0,7.0,7.047905
FixedGreen,10682,4620,22.0,4.0,8.207223
FixedGreen,10682,4650,22.0,8.0,7.904458
FixedGreen,10682,4680,23.0,5.0,8.09011
FixedGreen,10682,4710,23.0,7.0,8.140445
FixedGreen,10682,4740,19.0,6.0,11.216372
FixedGreen,10682,4770,16.0,0.0,15.55774
FixedGreen,10682,4800,16.0,2.0,12.477019
FixedGreen,10682,4830,12.0,2.0,21.943786
FixedGreen,10682,4860,11.0,0.0,32.070254
FixedGreen,10682,4890,5.0,0.0,43.295336
FixedGreen,10682,4920,7.0,0.0,49.292428
FixedGreen,10682,4950,11.0,4.0,18.684647
FixedGreen,10682,4980,16.0,2.0,19.485622
FixedGreen,10682,5010,17.0,1.0,14.799108
FixedGreen,10682,5040,10.0,0.0,25.858017
FixedGreen,10682,5070,11.0,0.0,22.423683
FixedGreen,10682,5100,16.0,0.0,14.57551
FixedGreen,10682,5130,15.0,2.0,17.696155
FixedGreen,10682,5160,12.0,0.0,23.797745
