dcp_no,dcm_no,role,ref,link,lane,pos,pos_mode,orientation,boundary_ref,segment_json,geometry_assert
960022,960022,head,50201|12-5,1220012103,2,107.366359,exact,at,head:50201,[],"{""head_position_m"":107.36635894390177,""lane_count"":2,""link_length_m"":112.25654319170782}"
960023,960023,head,50202|12-2,1220012103,1,107.336521,exact,at,head:50202,[],"{""head_position_m"":107.33652083055075,""lane_count"":2,""link_length_m"":112.25654319170782}"
960024,960024,head,50301|12-3,1210012700,4,133.899206,exact,at,head:50301,[],"{""head_position_m"":133.899206,""lane_count"":4,""link_length_m"":137.517847203751}"
960025,960025,head,50401|12-4,1220015000,3,26.745467,exact,at,head:50401,[],"{""head_position_m"":26.745467,""lane_count"":4,""link_length_m"":34.3443563342482}"
960026,960026,head,50402|12-4,1220015000,2,26.753519,exact,at,head:50402,[],"{""head_position_m"":26.753519,""lane_count"":4,""link_length_m"":34.3443563342482}"
960027,960027,head,50403|12-4,1220015000,1,26.761570,exact,at,head:50403,[],"{""head_position_m"":26.76157,""lane_count"":4,""link_length_m"":34.3443563342482}"
960028,960028,head,50701|12-7,1220015000,4,26.861153,exact,at,head:50701,[],"{""head_position_m"":26.861153,""lane_count"":4,""link_length_m"":34.3443563342482}"
960029,960029,head,50801|12-8,1210012700,3,133.898093,exact,at,head:50801,[],"{""head_position_m"":133.898093,""lane_count"":4,""link_length_m"":137.517847203751}"
960030,960030,head,50802|12-8,1210012700,2,133.720451,exact,at,head:50802,[],"{""head_position_m"":133.720451,""lane_count"":4,""link_length_m"":137.517847203751}"
960031,960031,head,50803|12-8,1210012700,1,133.732865,exact,at,head:50803,[],"{""head_position_m"":133.732865,""lane_count"":4,""link_length_m"":137.517847203751}"
960032,960032,head,70101|5-1,1220018401,5,161.149601,exact,at,head:70101,[],"{""head_position_m"":161.149601,""lane_count"":5,""link_length_m"":170.03119170765348}"
960033,960033,head,70201|5-2,1220014303,4,162.635470,exact,at,head:70201,[],"{""head_position_m"":162.63547000000003,""lane_count"":5,""link_length_m"":167.4433640043675}"
960034,960034,head,70202|5-2,1220014303,3,162.529372,exact,at,head:70202,[],"{""head_position_m"":162.52937200000002,""lane_count"":5,""link_length_m"":167.4433640043675}"
960035,960035,head,70203|5-2,1220014303,2,162.344661,exact,at,head:70203,[],"{""head_position_m"":162.34466100000003,""lane_count"":5,""link_length_m"":167.4433640043675}"
960036,960036,head,70204|5-2,1220014303,1,162.354118,exact,at,head:70204,[],"{""head_position_m"":162.35411800000003,""lane_count"":5,""link_length_m"":167.4433640043675}"
960037,960037,head,70301|5-3,1220014100,3,113.597463,exact,at,head:70301,[],"{""head_position_m"":113.597463,""lane_count"":3,""link_length_m"":121.5615042873305}"
960038,960038,head,70401|5-4,1220019201,1,243.275681,exact,at,head:70401,[],"{""head_position_m"":243.275681,""lane_count"":3,""link_length_m"":251.9684498190216}"
960039,960039,head,70402|5-4,1220019201,2,243.166096,exact,at,head:70402,[],"{""head_position_m"":243.166096,""lane_count"":3,""link_length_m"":251.9684498190216}"
960040,960040,head,70501|5-5,1220014303,5,162.736840,exact,at,head:70501,[],"{""head_position_m"":162.73684000000003,""lane_count"":5,""link_length_m"":167.4433640043675}"
960041,960041,head,70602|5-6,1220018401,2,161.367353,exact,at,head:70602,[],"{""head_position_m"":161.367353,""lane_count"":5,""link_length_m"":170.03119170765348}"
960042,960042,head,70603|5-6,1220018401,3,161.239086,exact,at,head:70603,[],"{""head_position_m"":161.239086,""lane_count"":5,""link_length_m"":170.03119170765348}"
960043,960043,head,70604|5-6,1220018401,4,161.283310,exact,at,head:70604,[],"{""head_position_m"":161.28331,""lane_count"":5,""link_length_m"":170.03119170765348}"
960044,960044,head,70701|5-7,1220019201,3,243.148519,exact,at,head:70701,[],"{""head_position_m"":243.148519,""lane_count"":3,""link_length_m"":251.9684498190216}"
960045,960045,head,70801|5-8,1220014100,2,114.481846,exact,at,head:70801,[],"{""head_position_m"":114.481846,""lane_count"":3,""link_length_m"":121.5615042873305}"
960046,960046,head,70802|5-8,1220014100,1,115.205929,exact,at,head:70802,[],"{""head_position_m"":115.205929,""lane_count"":3,""link_length_m"":121.5615042873305}"
960047,960047,head,90101|6-1,1220021201,5,65.489144,exact,at,head:90101,[],"{""head_position_m"":65.489144,""lane_count"":5,""link_length_m"":69.3344343830932}"
960048,960048,head,90201|6-2,1220018504,4,91.616590,exact,at,head:90201,[],"{""head_position_m"":91.61659,""lane_count"":5,""link_length_m"":97.22202287002949}"
960049,960049,head,90202|6-2,1220018504,3,90.939765,exact,at,head:90202,[],"{""head_position_m"":90.939765,""lane_count"":5,""link_length_m"":97.22202287002949}"
960050,960050,head,90203|6-2,1220018504,2,90.705328,exact,at,head:90203,[],"{""head_position_m"":90.705328,""lane_count"":5,""link_length_m"":97.22202287002949}"
960051,960051,head,90204|6-2,1220018504,1,90.027573,exact,at,head:90204,[],"{""head_position_m"":90.027573,""lane_count"":5,""link_length_m"":97.22202287002949}"
960052,960052,head,90301|6-3,1210018302,4,140.205972,exact,at,head:90301,[],"{""head_position_m"":140.205972,""lane_count"":4,""link_length_m"":142.88241706716147}"
960053,960053,head,90401|6-4,1220021801,3,118.357553,exact,at,head:90401,[],"{""head_position_m"":118.35755300000001,""lane_count"":4,""link_length_m"":123.61385597963995}"
960054,960054,head,90402|6-4,1220021801,2,118.502737,exact,at,head:90402,[],"{""head_position_m"":118.50273700000001,""lane_count"":4,""link_length_m"":123.61385597963995}"
960055,960055,head,90403|6-4,1220021801,1,118.619841,exact,at,head:90403,[],"{""head_position_m"":118.61984100000001,""lane_count"":4,""link_length_m"":123.61385597963995}"
960056,960056,head,90501|6-5,1220018504,5,92.420741,exact,at,head:90501,[],"{""head_position_m"":92.420741,""lane_count"":5,""link_length_m"":97.22202287002949}"
960057,960057,head,90601|6-6,1220021201,1,65.629516,exact,at,head:90601,[],"{""head_position_m"":65.629516,""lane_count"":5,""link_length_m"":69.3344343830932}"
960058,960058,head,90602|6-6,1220021201,2,65.491681,exact,at,head:90602,[],"{""head_position_m"":65.491681,""lane_count"":5,""link_length_m"":69.3344343830932}"
960059,960059,head,90603|6-6,1220021201,3,65.519765,exact,at,head:90603,[],"{""head_position_m"":65.519765,""lane_count"":5,""link_length_m"":69.3344343830932}"
960060,960060,head,90604|6-6,1220021201,4,65.558061,exact,at,head:90604,[],"{""head_position_m"":65.558061,""lane_count"":5,""link_length_m"":69.3344343830932}"
960061,960061,head,90701|6-7,1220021801,4,118.217157,exact,at,head:90701,[],"{""head_position_m"":118.21715700000001,""lane_count"":4,""link_length_m"":123.61385597963995}"
960062,960062,head,90801|6-8,1210018302,3,140.108794,exact,at,head:90801,[],"{""head_position_m"":140.108794,""lane_count"":4,""link_length_m"":142.88241706716147}"
960063,960063,head,90802|6-8,1210018302,2,140.180096,exact,at,head:90802,[],"{""head_position_m"":140.180096,""lane_count"":4,""link_length_m"":142.88241706716147}"
960064,960064,head,90803|6-8,1210018302,1,140.184212,exact,at,head:90803,[],"{""head_position_m"":140.184212,""lane_count"":4,""link_length_m"":142.88241706716147}"
960065,960065,head,140101|7-1,1210009600,1,114.457155,exact,at,head:140101,[],"{""head_position_m"":114.457155,""lane_count"":1,""link_length_m"":120.682320333063}"
960066,960066,head,140401|7-4,1220008601,1,32.838250,exact,at,head:140401,[],"{""head_position_m"":32.838249853346944,""lane_count"":2,""link_length_m"":37.557326705572045}"
960067,960067,head,140801|7-8,1220007502,2,199.555094,exact,at,head:140801,[],"{""head_position_m"":199.555094,""lane_count"":2,""link_length_m"":211.9129500316035}"
960068,960068,head,140802|7-8,1220007502,1,199.417354,exact,at,head:140802,[],"{""head_position_m"":199.417354,""lane_count"":2,""link_length_m"":211.9129500316035}"
960069,960069,head,180201|16-2,1210009700,1,176.748506,exact,at,head:180201,[],"{""head_position_m"":176.748506,""lane_count"":1,""link_length_m"":180.25526444433012}"
960070,960070,head,180301|16-3,1210009503,4,64.098976,exact,at,head:180301,[],"{""head_position_m"":64.098976,""lane_count"":4,""link_length_m"":68.36285303715239}"
960071,960071,head,180401|16-4,1210012600,3,125.597959,exact,at,head:180401,[],"{""head_position_m"":125.597959,""lane_count"":4,""link_length_m"":131.89232471175777}"
960072,960072,head,180402|16-4,1210012600,2,125.606851,exact,at,head:180402,[],"{""head_position_m"":125.606851,""lane_count"":4,""link_length_m"":131.89232471175777}"
960073,960073,head,180403|16-4,1210012600,1,125.516471,exact,at,head:180403,[],"{""head_position_m"":125.516471,""lane_count"":4,""link_length_m"":131.89232471175777}"
960074,960074,head,180601|16-6,1220011200,1,269.382903,exact,at,head:180601,[],"{""head_position_m"":269.38290343583117,""lane_count"":1,""link_length_m"":276.48075572532156}"
960075,960075,head,180701|16-7,1210012600,4,125.870283,exact,at,head:180701,[],"{""head_position_m"":125.870283,""lane_count"":4,""link_length_m"":131.89232471175777}"
960076,960076,head,180801|16-8,1210009503,3,64.164862,exact,at,head:180801,[],"{""head_position_m"":64.164862,""lane_count"":4,""link_length_m"":68.36285303715239}"
960077,960077,head,180802|16-8,1210009503,2,64.262539,exact,at,head:180802,[],"{""head_position_m"":64.262539,""lane_count"":4,""link_length_m"":68.36285303715239}"
960078,960078,head,180803|16-8,1210009503,1,64.258586,exact,at,head:180803,[],"{""head_position_m"":64.258586,""lane_count"":4,""link_length_m"":68.36285303715239}"
960079,960079,head,1010101|101-1,1220014201,5,172.627864,exact,at,head:1010101,[],"{""head_position_m"":172.627864,""lane_count"":5,""link_length_m"":177.01440807049264}"
960080,960080,head,1010201|101-2,1220012502,4,226.352319,exact,at,head:1010201,[],"{""head_position_m"":226.352319,""lane_count"":5,""link_length_m"":232.91687257287631}"
960081,960081,head,1010202|101-2,1220012502,3,225.695447,exact,at,head:1010202,[],"{""head_position_m"":225.695447,""lane_count"":5,""link_length_m"":232.91687257287631}"
960082,960082,head,1010203|101-2,1220012502,2,225.153932,exact,at,head:1010203,[],"{""head_position_m"":225.153932,""lane_count"":5,""link_length_m"":232.91687257287631}"
960083,960083,head,1010204|101-2,1220012502,1,224.502410,exact,at,head:1010204,[],"{""head_position_m"":224.50241,""lane_count"":5,""link_length_m"":232.91687257287631}"
960084,960084,head,1010301|101-3,1220011503,5,206.275483,exact,at,head:1010301,[],"{""head_position_m"":206.27548299999998,""lane_count"":5,""link_length_m"":226.06832641913564}"
960085,960085,head,1010302|101-3,1220011503,4,207.124082,exact,at,head:1010302,[],"{""head_position_m"":207.12408199999996,""lane_count"":5,""link_length_m"":226.06832641913564}"
960086,960086,head,1010401|101-4,1220016001,3,5.255113,exact,at,head:1010401,[],"{""head_position_m"":5.255113,""lane_count"":5,""link_length_m"":11.0731657587566}"
960087,960087,head,1010402|101-4,1220016001,2,5.571092,exact,at,head:1010402,[],"{""head_position_m"":5.571092,""lane_count"":5,""link_length_m"":11.0731657587566}"
960088,960088,head,1010403|101-4,1220016001,1,5.799195,exact,at,head:1010403,[],"{""head_position_m"":5.799195,""lane_count"":5,""link_length_m"":11.0731657587566}"
960089,960089,head,1010501|101-5,1220012502,5,227.007311,exact,at,head:1010501,[],"{""head_position_m"":227.007311,""lane_count"":5,""link_length_m"":232.91687257287631}"
960090,960090,head,1010601|101-6,1220014201,1,171.341951,exact,at,head:1010601,[],"{""head_position_m"":171.341951,""lane_count"":5,""link_length_m"":177.01440807049264}"
960091,960091,head,1010602|101-6,1220014201,2,171.798245,exact,at,head:1010602,[],"{""head_position_m"":171.798245,""lane_count"":5,""link_length_m"":177.01440807049264}"
960092,960092,head,1010603|101-6,1220014201,3,172.074785,exact,at,head:1010603,[],"{""head_position_m"":172.074785,""lane_count"":5,""link_length_m"":177.01440807049264}"
960093,960093,head,1010604|101-6,1220014201,4,172.448110,exact,at,head:1010604,[],"{""head_position_m"":172.44811,""lane_count"":5,""link_length_m"":177.01440807049264}"
960094,960094,head,1010701|101-7,1220016001,5,4.523128,exact,at,head:1010701,[],"{""head_position_m"":4.523128,""lane_count"":5,""link_length_m"":11.0731657587566}"
960095,960095,head,1010702|101-7,1220016001,4,4.920438,exact,at,head:1010702,[],"{""head_position_m"":4.920438,""lane_count"":5,""link_length_m"":11.0731657587566}"
960096,960096,head,1010801|101-8,1220011503,3,208.060152,exact,at,head:1010801,[],"{""head_position_m"":208.06015199999996,""lane_count"":5,""link_length_m"":226.06832641913564}"
960097,960097,head,1010802|101-8,1220011503,2,208.521663,exact,at,head:1010802,[],"{""head_position_m"":208.52166299999996,""lane_count"":5,""link_length_m"":226.06832641913564}"
960098,960098,head,1010803|101-8,1220011503,1,209.187548,exact,at,head:1010803,[],"{""head_position_m"":209.18754799999996,""lane_count"":5,""link_length_m"":226.06832641913564}"
960099,960099,head,1050201|105-2,416,2,159.222426,exact,at,head:1050201,[],"{""head_position_m"":159.22242600000004,""lane_count"":2,""link_length_m"":165.72733352158784}"
960100,960100,head,1050202|105-2,416,1,159.242961,exact,at,head:1050202,[],"{""head_position_m"":159.24296100000004,""lane_count"":2,""link_length_m"":165.72733352158784}"
960101,960101,head,1050301|105-3,1220006503,4,69.497418,exact,at,head:1050301,[],"{""head_position_m"":69.497418,""lane_count"":4,""link_length_m"":75.63737342733737}"
960102,960102,head,1050401|105-4,1220007200,3,67.849113,exact,at,head:1050401,[],"{""head_position_m"":67.849113,""lane_count"":4,""link_length_m"":71.88123280265313}"
960103,960103,head,1050402|105-4,1220007200,2,68.053435,exact,at,head:1050402,[],"{""head_position_m"":68.053435,""lane_count"":4,""link_length_m"":71.88123280265313}"
960104,960104,head,1050403|105-4,1220007200,1,68.071577,exact,at,head:1050403,[],"{""head_position_m"":68.071577,""lane_count"":4,""link_length_m"":71.88123280265313}"
960105,960105,head,1050601|105-6,1220007001,1,216.438513,exact,at,head:1050601,[],"{""head_position_m"":216.438513,""lane_count"":2,""link_length_m"":221.6209547199359}"
960106,960106,head,1050602|105-6,1220007001,2,216.467008,exact,at,head:1050602,[],"{""head_position_m"":216.467008,""lane_count"":2,""link_length_m"":221.6209547199359}"
960107,960107,head,1050701|105-7,1220007200,4,67.895806,exact,at,head:1050701,[],"{""head_position_m"":67.895806,""lane_count"":4,""link_length_m"":71.88123280265313}"
960108,960108,head,1050801|105-8,1220006503,3,69.679128,exact,at,head:1050801,[],"{""head_position_m"":69.679128,""lane_count"":4,""link_length_m"":75.63737342733737}"
960109,960109,head,1050802|105-8,1220006503,2,70.115388,exact,at,head:1050802,[],"{""head_position_m"":70.115388,""lane_count"":4,""link_length_m"":75.63737342733737}"
960110,960110,head,1050803|105-8,1220006503,1,70.387459,exact,at,head:1050803,[],"{""head_position_m"":70.387459,""lane_count"":4,""link_length_m"":75.63737342733737}"
960111,960111,head,1070101|107-1,183,5,63.758505,exact,at,head:1070101,[],"{""head_position_m"":63.758505,""lane_count"":6,""link_length_m"":70.0983530094016}"
960112,960112,head,1070102|107-1,183,6,63.866910,exact,at,head:1070102,[],"{""head_position_m"":63.86691,""lane_count"":6,""link_length_m"":70.0983530094016}"
960113,960113,head,1070201|107-2,1220000201,4,74.127875,exact,at,head:1070201,[],"{""head_position_m"":74.127875,""lane_count"":5,""link_length_m"":86.63173951257919}"
960114,960114,head,1070202|107-2,1220000201,3,74.060404,exact,at,head:1070202,[],"{""head_position_m"":74.060404,""lane_count"":5,""link_length_m"":86.63173951257919}"
960115,960115,head,1070203|107-2,1220000201,2,74.108350,exact,at,head:1070203,[],"{""head_position_m"":74.10835,""lane_count"":5,""link_length_m"":86.63173951257919}"
960116,960116,head,1070204|107-2,1220000201,1,74.263034,exact,at,head:1070204,[],"{""head_position_m"":74.263034,""lane_count"":5,""link_length_m"":86.63173951257919}"
960117,960117,head,1070301|107-3,382,3,31.053501,exact,at,head:1070301,[],"{""head_position_m"":31.053501,""lane_count"":3,""link_length_m"":40.798648236510175}"
960118,960118,head,1070302|107-3,382,2,30.876374,exact,at,head:1070302,[],"{""head_position_m"":30.876374,""lane_count"":3,""link_length_m"":40.798648236510175}"
960119,960119,head,1070303|107-3,382,1,30.620934,exact,at,head:1070303,[],"{""head_position_m"":30.620934,""lane_count"":3,""link_length_m"":40.798648236510175}"
960120,960120,head,1070501|107-5,1220000201,5,74.024766,exact,at,head:1070501,[],"{""head_position_m"":74.024766,""lane_count"":5,""link_length_m"":86.63173951257919}"
960121,960121,head,1070601|107-6,183,1,63.981460,exact,at,head:1070601,[],"{""head_position_m"":63.98146,""lane_count"":6,""link_length_m"":70.0983530094016}"
960122,960122,head,1070602|107-6,183,2,63.942838,exact,at,head:1070602,[],"{""head_position_m"":63.942838,""lane_count"":6,""link_length_m"":70.0983530094016}"
960123,960123,head,1070603|107-6,183,3,64.071871,exact,at,head:1070603,[],"{""head_position_m"":64.071871,""lane_count"":6,""link_length_m"":70.0983530094016}"
960124,960124,head,1070604|107-6,183,4,64.137704,exact,at,head:1070604,[],"{""head_position_m"":64.137704,""lane_count"":6,""link_length_m"":70.0983530094016}"
960125,960125,head,1070701|107-7,1220043200,3,9.507275,exact,at,head:1070701,[],"{""head_position_m"":9.507275,""lane_count"":3,""link_length_m"":16.288630967012963}"
960126,960126,head,1070702|107-7,1220043200,2,9.464082,exact,at,head:1070702,[],"{""head_position_m"":9.464082,""lane_count"":3,""link_length_m"":16.288630967012963}"
960127,960127,head,1080101|108-1,176,5,84.816157,exact,at,head:1080101,[],"{""head_position_m"":84.81615699999999,""lane_count"":5,""link_length_m"":88.71442280426393}"
960128,960128,head,1080201|108-2,178,4,63.885277,exact,at,head:1080201,[],"{""head_position_m"":63.8852773998521,""lane_count"":5,""link_length_m"":68.63654528277642}"
960129,960129,head,1080202|108-2,178,3,64.201775,exact,at,head:1080202,[],"{""head_position_m"":64.20177539985211,""lane_count"":5,""link_length_m"":68.63654528277642}"
960130,960130,head,1080203|108-2,178,2,64.553802,exact,at,head:1080203,[],"{""head_position_m"":64.5538023998521,""lane_count"":5,""link_length_m"":68.63654528277642}"
960131,960131,head,1080204|108-2,178,1,64.941588,exact,at,head:1080204,[],"{""head_position_m"":64.94158839985211,""lane_count"":5,""link_length_m"":68.63654528277642}"
960132,960132,head,1080401|108-4,1220007401,2,143.752172,exact,at,head:1080401,[],"{""head_position_m"":143.752172,""lane_count"":2,""link_length_m"":147.7633864034354}"
960133,960133,head,1080402|108-4,1220007401,1,143.717247,exact,at,head:1080402,[],"{""head_position_m"":143.717247,""lane_count"":2,""link_length_m"":147.7633864034354}"
960134,960134,head,1080501|108-5,178,5,64.035329,exact,at,head:1080501,[],"{""head_position_m"":64.0353293998521,""lane_count"":5,""link_length_m"":68.63654528277642}"
960135,960135,head,1080601|108-6,176,1,85.174305,exact,at,head:1080601,[],"{""head_position_m"":85.17430499999999,""lane_count"":5,""link_length_m"":88.71442280426393}"
960136,960136,head,1080602|108-6,176,2,85.127901,exact,at,head:1080602,[],"{""head_position_m"":85.12790099999998,""lane_count"":5,""link_length_m"":88.71442280426393}"
960137,960137,head,1080603|108-6,176,3,85.063590,exact,at,head:1080603,[],"{""head_position_m"":85.06358999999999,""lane_count"":5,""link_length_m"":88.71442280426393}"
960138,960138,head,1080604|108-6,176,4,85.022481,exact,at,head:1080604,[],"{""head_position_m"":85.02248099999998,""lane_count"":5,""link_length_m"":88.71442280426393}"
960139,960139,head,1080801|108-8,1220044500,2,688.244865,exact,at,head:1080801,[],"{""head_position_m"":688.2448654124614,""lane_count"":2,""link_length_m"":691.2536833856456}"
960140,960140,head,1080802|108-8,1220044500,1,688.278878,exact,at,head:1080802,[],"{""head_position_m"":688.2788784124615,""lane_count"":2,""link_length_m"":691.2536833856456}"
960141,960141,head,1090201|109-2,173,3,25.927629,exact,at,head:1090201,[],"{""head_position_m"":25.927629118318755,""lane_count"":5,""link_length_m"":33.19863076447923}"
960142,960142,head,1090202|109-2,173,2,25.745705,exact,at,head:1090202,[],"{""head_position_m"":25.745704856146823,""lane_count"":5,""link_length_m"":33.19863076447923}"
960143,960143,head,1090203|109-2,173,1,26.342200,exact,at,head:1090203,[],"{""head_position_m"":26.3422,""lane_count"":5,""link_length_m"":33.19863076447923}"
960144,960144,head,1090501|109-5,173,5,26.070739,exact,at,head:1090501,[],"{""head_position_m"":26.07073929399942,""lane_count"":5,""link_length_m"":33.19863076447923}"
960145,960145,head,1090502|109-5,173,4,26.026380,exact,at,head:1090502,[],"{""head_position_m"":26.02638042297696,""lane_count"":5,""link_length_m"":33.19863076447923}"
960146,960146,head,1090601|109-6,1220000704,1,329.029273,exact,at,head:1090601,[],"{""head_position_m"":329.029273,""lane_count"":4,""link_length_m"":334.55085809932655}"
960147,960147,head,1090602|109-6,1220000704,2,329.180672,exact,at,head:1090602,[],"{""head_position_m"":329.180672,""lane_count"":4,""link_length_m"":334.55085809932655}"
960148,960148,head,1090603|109-6,1220000704,3,329.262870,exact,at,head:1090603,[],"{""head_position_m"":329.26287,""lane_count"":4,""link_length_m"":334.55085809932655}"
960149,960149,head,1090604|109-6,1220000704,4,329.347177,exact,at,head:1090604,[],"{""head_position_m"":329.347177,""lane_count"":4,""link_length_m"":334.55085809932655}"
960150,960150,head,1090701|109-7,1210009402,1,18.970456,exact,at,head:1090701,[],"{""head_position_m"":18.970456,""lane_count"":3,""link_length_m"":23.337137827064065}"
960151,960151,head,1090702|109-7,1210009402,2,18.799723,exact,at,head:1090702,[],"{""head_position_m"":18.799723,""lane_count"":3,""link_length_m"":23.337137827064065}"
960152,960152,head,1090703|109-7,1210009402,3,18.875333,exact,at,head:1090703,[],"{""head_position_m"":18.875333,""lane_count"":3,""link_length_m"":23.337137827064065}"
960153,960153,head,90030805|108-2,21,1,94.777881,exact,at,head:90030805,[],"{""head_position_m"":94.77788130622324,""lane_count"":2,""link_length_m"":172.83982277075182}"
960154,960154,head,90030806|108-2,21,2,95.050206,exact,at,head:90030806,[],"{""head_position_m"":95.05020601926469,""lane_count"":2,""link_length_m"":172.83982277075182}"
960155,960155,head,90030834|1001-5,127,3,621.461547,exact,at,head:90030834,[],"{""head_position_m"":621.461546643362,""lane_count"":3,""link_length_m"":629.7760393736908}"
960156,960156,head,90030835|1001-2,127,2,621.568281,exact,at,head:90030835,[],"{""head_position_m"":621.5682806829368,""lane_count"":3,""link_length_m"":629.7760393736908}"
960157,960157,head,90030836|1001-2,127,1,621.666240,exact,at,head:90030836,[],"{""head_position_m"":621.666240433568,""lane_count"":3,""link_length_m"":629.7760393736908}"
960158,960158,head,90030837|1001-6,29,2,537.119408,exact,at,head:90030837,[],"{""head_position_m"":537.1194077400183,""lane_count"":4,""link_length_m"":539.7182203391733}"
960159,960159,head,90030838|1001-6,29,3,536.922109,exact,at,head:90030838,[],"{""head_position_m"":536.9221093783098,""lane_count"":4,""link_length_m"":539.7182203391733}"
960160,960160,head,90030839|1001-1,29,4,537.148130,exact,at,head:90030839,[],"{""head_position_m"":537.1481302751488,""lane_count"":4,""link_length_m"":539.7182203391733}"
960161,960161,head,90030840|1001-4,37,1,534.408288,exact,at,head:90030840,[],"{""head_position_m"":534.4082879772011,""lane_count"":3,""link_length_m"":537.0534501712738}"
960162,960162,head,90030841|1001-4,37,2,534.241182,exact,at,head:90030841,[],"{""head_position_m"":534.2411824034614,""lane_count"":3,""link_length_m"":537.0534501712738}"
960163,960163,head,90030842|1001-7,37,3,534.046987,exact,at,head:90030842,[],"{""head_position_m"":534.0469871118137,""lane_count"":3,""link_length_m"":537.0534501712738}"
960164,960164,head,90030843|1001-3,40,4,1253.785034,exact,at,head:90030843,[],"{""head_position_m"":1253.7850344683677,""lane_count"":4,""link_length_m"":1261.4837640015119}"
960165,960165,head,90030844|1001-8,40,3,1253.769773,exact,at,head:90030844,[],"{""head_position_m"":1253.7697729932713,""lane_count"":4,""link_length_m"":1261.4837640015119}"
960166,960166,head,90030845|1001-8,40,2,1253.552941,exact,at,head:90030845,[],"{""head_position_m"":1253.5529407899971,""lane_count"":4,""link_length_m"":1261.4837640015119}"
960167,960167,head,90030847|1002-2,30,3,528.670632,exact,at,head:90030847,[],"{""head_position_m"":528.6706324895428,""lane_count"":4,""link_length_m"":532.0314104451772}"
960168,960168,head,90030848|1002-2,30,2,528.457385,exact,at,head:90030848,[],"{""head_position_m"":528.4573845070225,""lane_count"":4,""link_length_m"":532.0314104451772}"
