sim_sec,connector,lane,count,stopped_below5,mean_speed_kph,minimum_stopped_front_position_m,maximum_stopped_front_position_m
1000.0,10639,1,2,0,42.015,,
1000.0,10682,1,10,0,35.167,,
1001.0,10639,1,2,0,42.015,,
1001.0,10682,1,11,1,31.336363636363636,220.41,220.41
1002.0,10639,1,2,0,42.015,,
1002.0,10682,1,11,1,28.39909090909091,221.73,221.73
1003.0,10639,1,2,0,42.015,,
1003.0,10682,1,11,1,26.975454545454546,223.05,223.05
1004.0,10639,1,2,0,42.015,,
1004.0,10682,1,12,0,26.5525,,
1005.0,10639,1,2,0,42.015,,
1005.0,10682,1,11,0,27.133636363636366,,
1006.0,10639,1,2,0,42.015,,
1006.0,10682,1,12,0,25.574166666666667,,
1007.0,10639,1,2,0,42.015,,
1007.0,10682,1,12,1,25.249166666666667,221.8,221.8
1008.0,10639,1,2,0,41.04,,
1008.0,10682,1,13,0,24.12923076923077,,
1009.0,10639,1,2,0,42.015,,
1009.0,10682,1,13,1,22.226153846153846,224.4,224.4
1010.0,10639,1,2,0,40.025,,
1010.0,10682,1,14,1,20.09714285714286,206.05,206.05
1011.0,10639,1,2,0,42.015,,
1011.0,10682,1,13,1,20.173076923076923,198.94,198.94
1012.0,10639,1,1,0,42.11,,
1012.0,10682,1,13,1,18.53923076923077,198.94,198.94
1013.0,10639,1,1,0,42.11,,
1013.0,10682,1,14,1,18.74857142857143,192.33,192.33
1014.0,10639,1,1,0,38.89,,
1014.0,10682,1,14,1,18.027142857142856,192.33,192.33
1015.0,10639,1,1,0,34.32,,
1015.0,10682,1,14,0,20.952142857142857,,
1016.0,10639,1,1,0,24.49,,
1016.0,10682,1,14,0,19.79642857142857,,
1017.0,10639,1,1,1,0.71,317.34,317.34
1017.0,10682,1,15,1,19.897333333333332,220.8,220.8
1018.0,10639,1,1,1,1.61,317.66,317.66
1018.0,10682,1,15,2,19.206666666666667,214.62,221.23
1019.0,10639,1,1,1,3.97,318.43,318.43
1019.0,10682,1,16,2,18.401875,214.62,222.09
1020.0,10639,1,0,0,,,
1020.0,10682,1,16,2,18.1925,208.3,215.29
1021.0,10639,1,0,0,,,
1021.0,10682,1,15,2,18.956666666666667,208.3,216.61
1022.0,10639,1,0,0,,,
1022.0,10682,1,16,0,19.4,,
1023.0,10639,1,0,0,,,
1023.0,10682,1,16,0,19.510625,,
1024.0,10639,1,0,0,,,
1024.0,10682,1,16,0,18.391875,,
1025.0,10639,1,0,0,,,
1025.0,10682,1,16,2,16.4525,180.81,199.59
1026.0,10639,1,0,0,,,
1026.0,10682,1,17,1,15.634117647058822,200.51,200.51
1027.0,10639,1,0,0,,,
1027.0,10682,1,18,1,15.408888888888889,224.22,224.22
1028.0,10639,1,0,0,,,
1028.0,10682,1,18,1,13.310555555555556,225.39,225.39
1029.0,10639,1,0,0,,,
1029.0,10682,1,18,2,13.16,198.5,215.6
1030.0,10639,1,0,0,,,
1030.0,10682,1,18,3,13.668888888888889,191.63,216.89
1031.0,10639,1,0,0,,,
1031.0,10682,1,19,3,13.218421052631578,192.73,211.82
1032.0,10639,1,0,0,,,
1032.0,10682,1,20,1,14.107,212.72,212.72
1033.0,10639,1,0,0,,,
1033.0,10682,1,19,0,12.780526315789473,,
1034.0,10639,1,0,0,,,
1034.0,10682,1,20,1,13.311000000000002,163.06,163.06
1035.0,10639,1,0,0,,,
1035.0,10682,1,21,1,11.363333333333333,164.27,164.27
1036.0,10639,1,0,0,,,
1036.0,10682,1,20,3,10.261,34.44,148.38
1037.0,10639,1,0,0,,,
1037.0,10682,1,20,5,9.0185,11.93,149.38
1038.0,10639,1,0,0,,,
