input_no,time_int,start_sec,before_vph,selected_vph,profile_vph,abs_error_vph
1033,1-5,3600.0,535.92,160.77599999999998,160.77599999999998,0.0
1033,1-6,4500.0,382.8,114.84,114.84,0.0
1052,1-1,0.0,207.2,62.16,62.16,0.0
1052,1-2,900.0,296.0,88.8,88.8,0.0
1052,1-3,1800.0,310.8,93.24,93.24,0.0
1052,1-4,2700.0,266.4,79.91999999999999,79.91999999999999,0.0
1052,1-5,3600.0,207.2,62.16,62.16,0.0
1052,1-6,4500.0,148.0,44.4,44.4,0.0
1053,1-1,0.0,506.8,152.04,152.04,0.0
1053,1-2,900.0,724.0,217.2,217.2,0.0
1053,1-3,1800.0,760.2,228.06,228.06,0.0
1053,1-4,2700.0,651.6,195.48,195.48,0.0
1053,1-5,3600.0,506.8,152.04,152.04,0.0
1053,1-6,4500.0,362.0,108.6,108.6,0.0
1054,1-1,0.0,499.52,149.856,149.856,0.0
1054,1-2,900.0,713.6,214.08,214.08,0.0
1054,1-3,1800.0,749.28,224.784,224.784,0.0
1054,1-4,2700.0,642.24,192.672,192.672,0.0
1054,1-5,3600.0,499.52,149.856,149.856,0.0
1054,1-6,4500.0,356.8,107.04,107.04,0.0
1064,1-1,0.0,269.36,80.808,80.808,0.0
1064,1-2,900.0,384.8,115.44,115.44,0.0
1064,1-3,1800.0,404.04,121.212,121.212,0.0
1064,1-4,2700.0,346.32,103.896,103.896,0.0
1064,1-5,3600.0,269.36,80.808,80.808,0.0
1064,1-6,4500.0,192.4,57.72,57.72,0.0
1065,1-1,0.0,890.4,267.12,267.12,0.0
1065,1-2,900.0,1272.0,381.59999999999997,381.59999999999997,0.0
1065,1-3,1800.0,1335.6,400.67999999999995,400.67999999999995,0.0
1065,1-4,2700.0,1144.8,343.44,343.44,0.0
1065,1-5,3600.0,890.4,267.12,267.12,0.0
1065,1-6,4500.0,636.0,190.79999999999998,190.79999999999998,0.0
1074,1-1,0.0,596.96,179.088,179.088,0.0
1074,1-2,900.0,852.8,255.83999999999997,255.83999999999997,0.0
1074,1-3,1800.0,895.44,268.632,268.632,0.0
1074,1-4,2700.0,767.52,230.256,230.256,0.0
1074,1-5,3600.0,596.96,179.088,179.088,0.0
1074,1-6,4500.0,426.4,127.91999999999999,127.91999999999999,0.0
1082,1-1,0.0,897.12,269.13599999999997,269.13599999999997,0.0
1082,1-2,900.0,1281.6,384.47999999999996,384.47999999999996,0.0
1082,1-3,1800.0,1345.68,403.704,403.704,0.0
1082,1-4,2700.0,1153.44,346.032,346.032,0.0
1082,1-5,3600.0,897.12,269.13599999999997,269.13599999999997,0.0
1082,1-6,4500.0,640.8,192.23999999999998,192.23999999999998,0.0
1083,1-1,0.0,280.0,84.0,84.0,0.0
1083,1-2,900.0,400.0,120.0,120.0,0.0
1083,1-3,1800.0,420.0,126.0,126.0,0.0
1083,1-4,2700.0,360.0,108.0,108.0,0.0
1083,1-5,3600.0,280.0,84.0,84.0,0.0
1083,1-6,4500.0,200.0,60.0,60.0,0.0
1085,1-1,0.0,280.0,84.0,84.0,0.0
1085,1-2,900.0,400.0,120.0,120.0,0.0
1085,1-3,1800.0,420.0,126.0,126.0,0.0
1085,1-4,2700.0,360.0,108.0,108.0,0.0
1085,1-5,3600.0,280.0,84.0,84.0,0.0
1085,1-6,4500.0,200.0,60.0,60.0,0.0
1086,1-1,0.0,196.0,58.8,58.8,0.0
1086,1-2,900.0,280.0,84.0,84.0,0.0
1086,1-3,1800.0,294.0,88.2,88.2,0.0
1086,1-4,2700.0,252.0,75.6,75.6,0.0
1086,1-5,3600.0,196.0,58.8,58.8,0.0
1086,1-6,4500.0,140.0,42.0,42.0,0.0
1087,1-1,0.0,196.0,58.8,58.8,0.0
1087,1-2,900.0,280.0,84.0,84.0,0.0
1087,1-3,1800.0,294.0,88.2,88.2,0.0
1087,1-4,2700.0,252.0,75.6,75.6,0.0
1087,1-5,3600.0,196.0,58.8,58.8,0.0
1087,1-6,4500.0,140.0,42.0,42.0,0.0
1091,1-1,0.0,112.0,33.6,33.6,0.0
1091,1-2,900.0,160.0,48.0,48.0,0.0
1091,1-3,1800.0,168.0,50.4,50.4,0.0
1091,1-4,2700.0,144.0,43.199999999999996,43.199999999999996,0.0
1091,1-5,3600.0,112.0,33.6,33.6,0.0
1091,1-6,4500.0,80.0,24.0,24.0,0.0
1092,1-1,0.0,42.0,12.6,12.6,0.0
1092,1-2,900.0,60.0,18.0,18.0,0.0
1092,1-3,1800.0,63.0,18.9,18.9,0.0
1092,1-4,2700.0,54.0,16.2,16.2,0.0
1092,1-5,3600.0,42.0,12.6,12.6,0.0
1092,1-6,4500.0,30.0,9.0,9.0,0.0
1093,1-1,0.0,42.0,12.6,12.6,0.0
1093,1-2,900.0,60.0,18.0,18.0,0.0
1093,1-3,1800.0,63.0,18.9,18.9,0.0
1093,1-4,2700.0,54.0,16.2,16.2,0.0
1093,1-5,3600.0,42.0,12.6,12.6,0.0
1093,1-6,4500.0,30.0,9.0,9.0,0.0
1095,1-1,0.0,168.0,50.4,50.4,0.0
1095,1-2,900.0,240.0,72.0,72.0,0.0
1095,1-3,1800.0,252.0,75.6,75.6,0.0
1095,1-4,2700.0,216.0,64.8,64.8,0.0
1095,1-5,3600.0,168.0,50.4,50.4,0.0
1095,1-6,4500.0,120.0,36.0,36.0,0.0
1096,1-1,0.0,56.0,16.8,16.8,0.0
1096,1-2,900.0,80.0,24.0,24.0,0.0
1096,1-3,1800.0,84.0,25.2,25.2,0.0
1096,1-4,2700.0,72.0,21.599999999999998,21.599999999999998,0.0
1096,1-5,3600.0,56.0,16.8,16.8,0.0
1096,1-6,4500.0,40.0,12.0,12.0,0.0
1097,1-1,0.0,112.0,33.6,33.6,0.0
1097,1-2,900.0,160.0,48.0,48.0,0.0
1097,1-3,1800.0,168.0,50.4,50.4,0.0
1097,1-4,2700.0,144.0,43.199999999999996,43.199999999999996,0.0
1097,1-5,3600.0,112.0,33.6,33.6,0.0
1097,1-6,4500.0,80.0,24.0,24.0,0.0
1098,1-1,0.0,5544.0,3233.8706399999996,3233.87064,4.547473508864641e-13
1098,1-2,900.0,7920.0,4619.8152,4619.8152,0.0
1098,1-3,1800.0,8316.0,4850.80596,4850.80596,0.0
1098,1-4,2700.0,7128.0,4157.83368,4157.83368,0.0
1098,1-5,3600.0,5544.0,3233.8706399999996,3233.87064,4.547473508864641e-13
1098,1-6,4500.0,3960.0,2309.9076,2309.9076,0.0
1099,1-1,0.0,5544.0,3233.8706399999996,3233.87064,4.547473508864641e-13
1099,1-2,900.0,7920.0,4619.8152,4619.8152,0.0
1099,1-3,1800.0,8316.0,4850.80596,4850.80596,0.0
1099,1-4,2700.0,7128.0,4157.83368,4157.83368,0.0
1099,1-5,3600.0,5544.0,3233.8706399999996,3233.87064,4.547473508864641e-13
1099,1-6,4500.0,3960.0,2309.9076,2309.9076,0.0
1100,1-1,0.0,566.16,169.84799999999998,169.84799999999998,0.0
1100,1-2,900.0,808.8,242.64,242.64,0.0
1100,1-3,1800.0,849.24,254.772,254.772,0.0
1100,1-4,2700.0,727.92,218.37599999999998,218.37599999999998,0.0
1100,1-5,3600.0,566.16,169.84799999999998,169.84799999999998,0.0
1100,1-6,4500.0,404.4,121.32,121.32,0.0
1101,1-1,0.0,934.0,280.2,280.2,0.0
1101,1-2,900.0,1333.0,399.9,399.9,0.0
1101,1-3,1800.0,1400.0,420.0,420.0,0.0
1101,1-4,2700.0,1200.0,360.0,360.0,0.0
1101,1-5,3600.0,934.0,280.2,280.2,0.0
1101,1-6,4500.0,667.0,200.1,200.1,0.0
1102,1-1,0.0,933.0,279.9,279.9,0.0
1102,1-2,900.0,1333.0,399.9,399.9,0.0
1102,1-3,1800.0,1400.0,420.0,420.0,0.0
1102,1-4,2700.0,1200.0,360.0,360.0,0.0
1102,1-5,3600.0,933.0,279.9,279.9,0.0
1102,1-6,4500.0,667.0,200.1,200.1,0.0
1103,1-1,0.0,168.0,50.4,50.4,0.0
1103,1-2,900.0,240.0,72.0,72.0,0.0
1103,1-3,1800.0,252.0,75.6,75.6,0.0
1103,1-4,2700.0,216.0,64.8,64.8,0.0
1103,1-5,3600.0,168.0,50.4,50.4,0.0
1103,1-6,4500.0,120.0,36.0,36.0,0.0
1104,1-1,0.0,56.0,16.8,16.8,0.0
1104,1-2,900.0,80.0,24.0,24.0,0.0
1104,1-3,1800.0,84.0,25.2,25.2,0.0
1104,1-4,2700.0,72.0,21.599999999999998,21.599999999999998,0.0
1104,1-5,3600.0,56.0,16.8,16.8,0.0
1104,1-6,4500.0,40.0,12.0,12.0,0.0
1105,1-1,0.0,566.16,169.84799999999998,169.84799999999998,0.0
1105,1-2,900.0,808.8,242.64,242.64,0.0
1105,1-3,1800.0,849.24,254.772,254.772,0.0
1105,1-4,2700.0,727.92,218.37599999999998,218.37599999999998,0.0
1105,1-5,3600.0,566.16,169.84799999999998,169.84799999999998,0.0
1105,1-6,4500.0,404.4,121.32,121.32,0.0
1106,1-1,0.0,566.16,169.84799999999998,169.84799999999998,0.0
1106,1-2,900.0,808.8,242.64,242.64,0.0
1106,1-3,1800.0,849.24,254.772,254.772,0.0
1106,1-4,2700.0,727.92,218.37599999999998,218.37599999999998,0.0
1106,1-5,3600.0,566.16,169.84799999999998,169.84799999999998,0.0
1106,1-6,4500.0,404.4,121.32,121.32,0.0
1107,1-1,0.0,566.16,169.84799999999998,169.84799999999998,0.0
1107,1-2,900.0,808.8,242.64,242.64,0.0
1107,1-3,1800.0,849.24,254.772,254.772,0.0
1107,1-4,2700.0,727.92,218.37599999999998,218.37599999999998,0.0
1107,1-5,3600.0,566.16,169.84799999999998,169.84799999999998,0.0
1107,1-6,4500.0,404.4,121.32,121.32,0.0
