time_s,vehicle,last_link,last_position_m,inside_omega
4215.1,34763,120,6762.37,True
4215.1,34816,120,6875.76,True
4215.1,34857,120,6817.62,True
4215.1,34924,120,6868.97,True
4215.1,36606,10313,8.41,False
4220.1,31550,1220012502,225.85,True
4220.1,34508,120,6866.31,True
4220.1,34612,120,6942.11,True
4220.1,34750,120,6880.5,True
4220.1,34773,120,6843.05,True
4220.1,34796,120,6835.78,True
4220.1,34917,120,6891.93,True
4220.1,36792,10313,3.09,False
4220.1,36991,1220007501,134.07,True
4225.1,34331,120,6932.64,True
4225.1,34779,120,6895.53,True
4225.1,34811,120,6951.73,True
4225.1,34832,120,6867.47,True
4225.1,34903,120,6893.72,True
4230.1,34661,120,6811.7,True
4230.1,34665,120,6922.28,True
4230.1,34685,120,6860.5,True
4230.1,34870,120,6805.4,True
4230.1,35048,120,6855.24,True
4235.1,33632,1220000201,5.49,True
4235.1,34509,120,6917.66,True
4235.1,34640,120,6862.25,True
4235.1,35039,120,6908.6,True
4240.1,34164,1,112.42,False
4240.1,34820,120,6859.43,True
4240.1,34860,120,6813.6,True
4240.1,34911,120,6941.05,True
4240.1,34928,120,6832.48,True
4240.1,34949,120,6895.58,True
4240.1,34953,120,6858.93,True
4240.1,35235,120,6798.04,True
4245.1,33927,120,6897.89,True
4245.1,34381,120,6843.87,True
4245.1,34971,120,6888.92,True
4245.1,35206,120,6799.25,True
4250.1,31560,10111,8.76,False
4250.1,34753,120,6852.01,True
4250.1,34930,120,6884.91,True
4250.1,34973,120,6820.57,True
4250.1,35051,120,6919.86,True
4250.1,35168,120,6825.25,True
4255.1,34803,120,6879.78,True
4255.1,35029,120,6950.94,True
4255.1,35406,120,6828.39,True
4260.1,34596,120,6928.03,True
4260.1,34643,120,6886.74,True
4260.1,34744,120,6956.05,True
4260.1,34854,120,6922.86,True
4260.1,34908,120,6844.78,True
4260.1,35090,120,6957.09,True
4260.1,35109,120,6855.32,True
4260.1,35195,120,6921.77,True
4260.1,35255,120,6806.62,True
4260.1,35546,120,6855.18,True
4265.1,34802,120,6898.63,True
4265.1,34940,120,6953.06,True
4265.1,35007,120,6868.15,True
4265.1,35072,120,6871.04,True
4265.1,35103,120,6929.23,True
4265.1,35189,120,6947.48,True
4265.1,35210,120,6904.67,True
4265.1,35299,120,6942.74,True
4265.1,35609,120,6820.62,True
4265.1,37670,10111,19.64,False
4270.1,34647,120,6872.8,True
4270.1,34817,120,6854.23,True
4270.1,35040,120,6949.94,True
4270.1,35315,120,6874.47,True
4270.1,35324,120,6836.59,True
4270.1,35375,120,6960.11,True
4270.1,35670,120,6847.76,True
4275.1,35404,120,6873.34,True
4280.1,34896,10111,12.47,False
4280.1,35167,120,6929.64,True
4280.1,35318,120,6942.16,True
4285.1,34560,120,6832.52,True
4285.1,34584,120,6816.47,True
4285.1,34884,120,6864.65,True
4285.1,35282,120,6909.0,True
4285.1,35319,120,6871.45,True
4285.1,35449,120,6901.52,True
4285.1,35635,120,6806.75,True
4290.1,34332,1,99.21,False
4290.1,35418,120,6960.7,True
4290.1,35464,120,6922.1,True
4295.1,34437,120,6841.29,True
4295.1,34449,120,6809.5,True
4295.1,34600,120,6914.65,True
4295.1,34952,120,6840.74,True
4295.1,35170,120,6821.08,True
4295.1,35204,120,6854.45,True
4295.1,35300,120,6933.8,True
4295.1,35462,120,6835.29,True
4295.1,35467,120,6808.38,True
4295.1,35508,120,6957.64,True
4295.1,35742,120,6894.66,True
4300.1,34102,120,6868.41,True
4300.1,35123,120,6904.96,True
4300.1,35327,120,6934.53,True
4300.1,35354,120,6850.45,True
4300.1,35369,120,6940.74,True
4300.1,35403,120,6862.57,True
4305.1,35174,120,6943.03,True
4305.1,35193,120,6885.86,True
4305.1,35259,120,6904.0,True
4305.1,35294,120,6828.16,True
4305.1,35314,120,6865.06,True
4305.1,35828,120,6865.54,True
4310.1,35248,120,6791.06,True
4310.1,35288,120,6850.48,True
4310.1,35401,120,6851.33,True
4315.1,35242,120,6834.01,True
4315.1,35275,120,6949.33,True
4315.1,35436,120,6872.54,True
4315.1,35437,120,6853.11,True
4315.1,35540,120,6806.85,True
4315.1,35655,120,6826.14,True
4315.1,36013,120,6852.75,True
4325.1,35630,120,6854.92,True
4325.1,35648,120,6849.68,True
4325.1,35671,120,6857.01,True
4325.1,35754,120,6894.7,True
4330.1,34461,120,6859.4,True
4330.1,34474,120,6818.07,True
4330.1,34969,120,6826.33,True
4330.1,35348,120,6899.12,True
4330.1,35599,120,6953.23,True
4330.1,35612,120,6960.67,True
4330.1,35955,120,6824.09,True
4335.1,35252,120,6805.54,True
4335.1,35408,120,6862.7,True
4335.1,35484,120,6829.44,True
4335.1,35672,120,6887.81,True
4335.1,36069,120,6953.31,True
4335.1,37164,1220007501,135.38,True
4335.1,37167,10313,10.9,False
4340.1,35800,120,6826.8,True
4340.1,35868,120,6932.84,True
4340.1,36773,10410,2.25,False
4340.1,38546,10113,7.24,False
4345.1,33533,1220000201,48.96,True
4345.1,34471,1220000201,71.33,True
4345.1,34559,120,6929.49,True
4345.1,35263,120,6937.4,True
4345.1,35532,120,6904.61,True
4345.1,36734,10267,0.04,False
4345.1,37944,1220007501,142.38,True
4350.1,31315,1220000201,72.94,True
4350.1,34011,10267,13.89,False
4350.1,35444,120,6843.56,True
4350.1,35543,120,6946.76,True
4350.1,35588,120,6943.43,True
4350.1,35850,120,6904.15,True
4350.1,35881,120,6863.22,True
4350.1,35902,120,6828.81,True
4350.1,35921,120,6824.96,True
4350.1,36243,10266,12.81,False
4350.1,37864,10313,9.79,False
4355.1,24727,10266,17.71,False
4355.1,32157,1220000201,72.9,True
4355.1,35307,120,6886.23,True
4355.1,35894,120,6864.14,True
4355.1,38380,10111,22.73,False
4360.1,25192,1,138.21,False
4360.1,28059,1,113.75,False
4360.1,35642,120,6876.05,True
4360.1,35744,120,6895.7,True
4360.1,36115,120,6853.83,True
4365.1,28374,1,90.63,False
4365.1,33660,1,127.15,False
4365.1,34516,120,6871.86,True
4365.1,35699,120,6869.24,True
4365.1,35832,120,6954.64,True
4365.1,36102,120,6836.01,True
4365.1,36239,120,6850.39,True
4370.1,30008,1,101.52,False
4370.1,35639,120,6810.14,True
4370.1,35814,120,6928.79,True
4370.1,35825,120,6880.38,True
4370.1,35837,120,6815.18,True
4370.1,35890,120,6894.81,True
4370.1,35941,120,6959.97,True
4370.1,36011,120,6836.39,True
4370.1,36590,120,6843.41,True
4370.1,38398,10111,6.95,False
4370.1,38836,10113,4.02,False
4375.1,31706,1,118.99,False
4375.1,35481,1,95.07,False
4375.1,35649,120,6838.79,True
4375.1,35836,120,6932.16,True
4375.1,35979,120,6838.88,True
4375.1,36059,120,6834.17,True
4375.1,36254,120,6960.61,True
4375.1,36322,120,6933.79,True
4375.1,38909,10113,12.82,False
4380.1,35350,120,6958.05,True
4380.1,35360,1,129.59,False
4380.1,35767,120,6858.26,True
4380.1,36003,120,6949.73,True
4380.1,36089,120,6908.76,True
4380.1,36157,120,6925.12,True
4380.1,36344,120,6957.72,True
4380.1,36441,120,6788.11,True
4385.1,35279,120,6919.67,True
4385.1,35479,120,6848.2,True
4385.1,35691,120,6840.05,True
4385.1,36015,120,6812.16,True
4385.1,36266,120,6896.44,True
4385.1,36481,120,6857.77,True
4385.1,36498,120,6842.4,True
4390.1,36158,120,6911.77,True
4390.1,36349,120,6866.97,True
4390.1,36496,120,6908.63,True
4395.1,16563,10607,3.48,False
4395.1,35793,120,6902.7,True
4395.1,35798,120,6862.03,True
4395.1,35823,120,6894.89,True
4395.1,36095,10267,23.2,False
4395.1,36382,120,6950.27,True
4395.1,36634,120,6935.38,True
4400.1,35901,120,6937.71,True
4400.1,36093,120,6849.95,True
4400.1,36182,120,6773.63,True
4400.1,36573,120,6895.77,True
4405.1,36234,120,6858.16,True
4405.1,36540,120,6818.25,True
4410.1,35776,120,6889.17,True
4410.1,36038,120,6938.92,True
4410.1,36124,120,6924.2,True
4410.1,36528,120,6837.0,True
4410.1,39169,10113,8.56,False
4415.1,36252,120,6839.75,True
4415.1,36357,120,6882.18,True
4415.1,36494,120,6778.94,True
4420.1,36483,120,6927.81,True
4420.1,36549,120,6926.85,True
4425.1,35799,120,6830.7,True
4425.1,36428,120,6947.3,True
4425.1,36552,120,6844.54,True
4425.1,36557,120,6914.7,True
4430.1,36219,120,6794.88,True
4430.1,36367,120,6909.11,True
4435.1,36371,120,6878.12,True
4435.1,37932,1,80.0,False
4440.1,35368,120,6908.28,True
4440.1,36070,120,6835.21,True
4440.1,36071,120,6866.82,True
4440.1,36318,120,6854.12,True
4440.1,36358,120,6819.67,True
4440.1,36564,120,6795.95,True
4440.1,36580,120,6928.3,True
4440.1,36727,120,6871.98,True
4440.1,36845,120,6767.85,True
4445.1,35415,120,6864.04,True
4445.1,35604,120,6925.4,True
4445.1,36316,120,6876.93,True
4445.1,36388,120,6928.17,True
4445.1,36513,120,6926.8,True
4445.1,36539,120,6890.29,True
4450.1,32343,327,35.57,True
4450.1,32762,120,6810.07,True
4450.1,36370,120,6853.51,True
4450.1,36671,120,6883.66,True
4450.1,36678,120,6848.6,True
4450.1,36706,120,6960.52,True
4450.1,36760,120,6941.69,True
4455.1,35751,120,6792.57,True
4455.1,36527,120,6930.2,True
4455.1,36663,120,6832.88,True
4455.1,36672,120,6873.16,True
4455.1,36711,120,6829.2,True
4455.1,36878,120,6831.32,True
4455.1,38441,10313,8.26,False
4460.1,35313,120,6915.58,True
4460.1,36189,120,6875.08,True
4460.1,36200,120,6955.45,True
4460.1,36519,120,6827.83,True
4460.1,36800,120,6839.1,True
4460.1,36888,120,6859.78,True
4460.1,38533,1220007501,142.11,True
4465.1,36589,120,6833.51,True
4465.1,36629,120,6934.92,True
4465.1,36724,120,6945.42,True
4465.1,36821,120,6822.87,True
4465.1,38796,10313,10.89,False
4470.1,36640,120,6947.62,True
4475.1,36229,120,6813.84,True
4475.1,36414,120,6835.3,True
4475.1,36653,120,6901.08,True
4475.1,36763,120,6940.29,True
4475.1,36868,120,6952.72,True
4475.1,36891,120,6912.95,True
4480.1,22918,120,6872.17,True
4480.1,36300,120,6798.61,True
4480.1,36490,120,6840.76,True
4480.1,36645,120,6853.66,True
4480.1,36820,120,6874.4,True
4480.1,36889,120,6862.09,True
4485.1,26942,1,94.48,False
4485.1,36313,120,6812.47,True
4485.1,36505,120,6819.62,True
4485.1,36822,120,6927.16,True
4485.1,36907,120,6927.55,True
4485.1,37027,120,6859.86,True
4485.1,37099,120,6912.82,True
4485.1,37765,10410,3.55,False
4485.1,39144,10313,7.27,False
4490.1,36263,120,6821.66,True
4490.1,36674,120,6934.13,True
4490.1,36848,120,6888.99,True
4490.1,36850,120,6857.38,True
4490.1,36908,120,6884.83,True
4490.1,36971,120,6891.67,True
4490.1,36984,120,6798.37,True
4490.1,37267,120,6819.34,True
4490.1,37314,120,6924.41,True
4495.1,31984,1210009403,101.11,True
4495.1,32235,1220000201,63.44,True
4495.1,32246,1220000201,78.34,True
4495.1,35736,120,6865.73,True
4495.1,36652,120,6832.64,True
4495.1,36662,120,6876.49,True
4495.1,36782,120,6827.52,True
4495.1,36784,10410,6.74,False
4495.1,36826,120,6911.35,True
4495.1,36947,120,6947.49,True
4495.1,36966,120,6901.13,True
4495.1,36969,120,6827.54,True
4495.1,37079,120,6820.22,True
4495.1,37091,120,6941.59,True
4495.1,37197,120,6900.28,True
4500.1,29702,1,98.6,False
4500.1,31825,1,118.74,False
4500.1,35690,120,6945.27,True
4500.1,36965,120,6816.29,True
4500.1,37060,120,6939.22,True
4500.1,37127,120,6828.2,True
4500.1,37157,120,6846.49,True
4500.1,37281,120,6916.88,True
4500.1,37397,120,6882.88,True
4500.1,37434,120,6807.53,True
4505.1,34804,10267,7.56,False
4505.1,35623,120,6813.93,True
4505.1,37268,120,6866.82,True
4505.1,37340,120,6834.89,True
4510.1,36882,120,6864.39,True
4510.1,36996,120,6904.91,True
4510.1,37201,120,6900.77,True
4510.1,37283,120,6880.76,True
4510.1,37409,120,6799.13,True
4510.1,37558,120,6855.51,True
4510.1,37621,120,6815.02,True
4510.1,38154,10266,17.02,False
4515.1,37264,120,6807.04,True
4515.1,37510,120,6815.97,True
4520.1,37186,120,6925.24,True
4520.1,37360,120,6837.03,True
4520.1,37533,120,6798.26,True
4525.1,35338,120,6821.68,True
