no,role,is_connector,lane_count,length_m,orientation,start_xy,end_xy,centroid_xy,from_link,to_link,name
54,urban_road,False,4,43.241,EW,"[-5746602.973, -967330.631]","[-5746643.545, -967345.585]","[-5746623.259, -967338.108]",,,
55,urban_road,False,4,471.397,EW,"[-5746149.718, -967163.929]","[-5746592.049, -967326.889]","[-5746351.235, -967238.378]",,,
56,urban_road,False,4,469.968,DIAG,"[-5749130.903, -970785.11]","[-5748783.46, -970468.64]","[-5748957.181, -970626.875]",,,
57,urban_road,False,2,418.798,DIAG,"[-5748772.462, -970466.283]","[-5748460.684, -970186.665]","[-5748616.573, -970326.474]",,,
58,urban_road,False,2,409.986,DIAG,"[-5748484.609, -970165.525]","[-5748788.734, -970440.472]","[-5748636.672, -970302.998]",,,
59,urban_road,False,4,37.927,NS,"[-5746928.145, -967244.117]","[-5746913.193, -967278.973]","[-5746920.669, -967261.545]",,,
60,urban_road,False,4,254.965,NS,"[-5747034.257, -967000.981]","[-5746932.596, -967234.802]","[-5746983.427, -967117.891]",,,
61,urban_road,False,2,447.898,DIAG,"[-5748439.72, -970159.352]","[-5748087.899, -969882.161]","[-5748263.809, -970020.757]",,,
62,urban_road,False,2,404.989,DIAG,"[-5748126.055, -969873.744]","[-5748438.597, -970131.297]","[-5748282.326, -970002.52]",,,
63,urban_road,False,1,14.509,NS,"[-5746869.3, -967407.379]","[-5746874.056, -967421.056]","[-5746871.573, -967414.452]",,,
64,urban_road,False,1,20.267,EW,"[-5746808.781, -967397.861]","[-5746827.698, -967390.723]","[-5746818.807, -967394.381]",,,
65,urban_road,False,1,15.539,NS,"[-5746804.353, -967443.758]","[-5746799.476, -967429.363]","[-5746802.56, -967436.269]",,,
66,urban_road,False,4,2661.618,EW,"[-5746857.641, -972147.487]","[-5749136.656, -970805.314]","[-5748465.223, -971252.603]",,,
67,urban_road,False,4,2660.835,EW,"[-5749155.593, -970823.55]","[-5746875.842, -972165.724]","[-5748479.211, -971271.591]",,,
68,urban_freeway_interface_road,False,4,1990.161,DIAG,"[-5749195.573, -970809.523]","[-5750673.254, -972142.638]","[-5749934.414, -971476.08]",,,
69,urban_freeway_interface_road,False,4,1796.795,DIAG,"[-5750924.827, -972393.713]","[-5749592.495, -971188.158]","[-5750258.661, -971790.935]",,,
70,urban_freeway_interface_road,False,2,338.264,DIAG,"[-5749513.329, -971134.769]","[-5749260.972, -970909.59]","[-5749375.483, -971013.007]",,,
71,urban_road,False,5,82.603,DIAG,"[-5749241.033, -970876.619]","[-5749178.633, -970822.496]","[-5749209.833, -970849.557]",,,
72,urban_road,False,4,708.414,NS,"[-5749371.739, -967889.167]","[-5749328.119, -968587.255]","[-5749334.615, -968220.457]",,,
73,urban_road,False,4,710.711,NS,"[-5749315.766, -968586.106]","[-5749357.661, -967886.298]","[-5749319.918, -968219.901]",,,
74,urban_freeway_interface_road,False,4,2701.577,DIAG,"[-5746415.722, -974546.5]","[-5748246.468, -972559.822]","[-5747331.095, -973553.161]",,,
75,urban_road,False,2,344.311,DIAG,"[-5749525.64, -971122.712]","[-5749266.98, -970895.458]","[-5749420.701, -971030.67]",,,
76,urban_road,False,3,282.48,EW,"[-5750746.508, -968407.572]","[-5750482.622, -968306.778]","[-5750614.565, -968357.175]",,,
77,urban_road,False,3,281.319,EW,"[-5750487.912, -968295.317]","[-5750750.328, -968396.699]","[-5750619.12, -968346.008]",,,
78,urban_road,False,2,476.458,NS,"[-5750467.636, -968314.418]","[-5750330.991, -968769.019]","[-5750392.629, -968540.237]",,,
79,urban_road,False,2,479.399,NS,"[-5750321.0, -968767.843]","[-5750456.763, -968310.01]","[-5750381.795, -968538.086]",,,
80,urban_road,False,2,384.878,NS,"[-5750618.994, -967923.542]","[-5750479.096, -968282.094]","[-5750549.045, -968102.818]",,,
81,urban_road,False,2,389.957,NS,"[-5750470.868, -968277.98]","[-5750611.353, -967914.207]","[-5750541.111, -968096.093]",,,
82,urban_road,False,2,64.901,EW,"[-5750449.416, -968291.203]","[-5750388.587, -968268.576]","[-5750419.002, -968279.89]",,,
83,urban_road,False,3,189.01,EW,"[-5750375.658, -968261.523]","[-5750198.66, -968195.217]","[-5750287.159, -968228.37]",,,
84,urban_road,False,3,50.288,EW,"[-5750406.219, -968264.756]","[-5750453.53, -968281.8]","[-5750429.875, -968273.278]",,,
85,urban_road,False,2,205.88,EW,"[-5750202.868, -968186.295]","[-5750395.64, -968258.585]","[-5750299.254, -968222.44]",,,
86,urban_road,False,3,189.646,EW,"[-5750144.288, -968175.246]","[-5749967.502, -968106.6]","[-5750055.895, -968140.923]",,,
87,urban_road,False,4,64.332,EW,"[-5749956.688, -968099.783]","[-5749896.27, -968077.685]","[-5749926.479, -968088.734]",,,
88,urban_road,False,4,174.009,EW,"[-5749988.66, -968098.372]","[-5750149.93, -968163.727]","[-5750069.295, -968131.05]",,,
89,urban_road,False,4,365.161,NS,"[-5750172.733, -968155.264]","[-5750308.569, -967816.307]","[-5750240.651, -967985.785]",,,
90,urban_road,False,4,372.88,NS,"[-5750330.011, -967817.843]","[-5750190.13, -968163.492]","[-5750260.07, -967990.668]",,,
91,urban_road,False,2,42.194,NS,"[-5747103.206, -967588.694]","[-5747117.242, -967548.903]","[-5747110.224, -967568.798]",,,
92,urban_road,False,2,40.035,NS,"[-5747122.527, -967553.119]","[-5747108.845, -967590.745]","[-5747115.686, -967571.932]",,,
93,urban_road,False,3,81.169,EW,"[-5749901.677, -968063.815]","[-5749977.611, -968092.495]","[-5749939.644, -968078.155]",,,
94,urban_road,False,4,104.683,NS,"[-5747429.099, -967596.452]","[-5747469.846, -967500.024]","[-5747449.472, -967548.238]",,,
95,urban_road,False,2,353.349,NS,"[-5749880.849, -968039.061]","[-5750008.678, -967709.645]","[-5749944.764, -967874.353]",,,
96,urban_road,False,1,34.24,EW,"[-5747394.251, -967615.644]","[-5747423.399, -967598.839]","[-5747410.472, -967607.83]",,,
97,urban_road,False,2,79.032,EW,"[-5747391.586, -967450.816]","[-5747465.436, -967478.963]","[-5747428.511, -967464.889]",,,
98,urban_road,False,2,84.35,EW,"[-5747467.405, -967485.924]","[-5747388.586, -967455.883]","[-5747427.996, -967470.903]",,,
99,urban_road,False,2,351.325,NS,"[-5750016.906, -967715.228]","[-5749889.371, -968042.588]","[-5749953.138, -967878.908]",,,
100,urban_road,False,2,211.627,DIAG,"[-5747798.051, -969648.063]","[-5747928.83, -969481.687]","[-5747863.503, -969564.787]",,,
101,urban_road,False,4,116.286,EW,"[-5749396.275, -967867.154]","[-5749504.121, -967910.645]","[-5749450.198, -967888.899]",,,
102,urban_road,False,3,365.341,EW,"[-5749522.928, -967919.461]","[-5749862.924, -968053.167]","[-5749692.926, -967986.314]",,,
103,urban_road,False,3,364.306,EW,"[-5749857.34, -968063.745]","[-5749518.227, -967930.627]","[-5749687.783, -967997.186]",,,
104,urban_road,False,4,119.731,EW,"[-5749499.126, -967922.399]","[-5749387.459, -967879.202]","[-5749443.293, -967900.8]",,,
105,urban_road,False,4,98.727,EW,"[-5747378.222, -967054.735]","[-5747469.776, -967091.682]","[-5747423.999, -967073.208]",,,
106,urban_road,False,3,75.425,EW,"[-5747301.575, -967023.246]","[-5747371.531, -967051.442]","[-5747336.553, -967037.344]",,,
107,urban_road,False,4,484.833,EW,"[-5749339.707, -967864.656]","[-5748888.809, -967686.459]","[-5749114.258, -967775.558]",,,
108,urban_road,False,4,486.226,EW,"[-5748893.041, -967670.238]","[-5749344.409, -967851.021]","[-5749118.725, -967760.63]",,,
109,urban_road,False,4,368.404,NS,"[-5749371.209, -967836.68]","[-5749502.623, -967492.512]","[-5749436.916, -967664.596]",,,
110,urban_road,False,4,63.84,EW,"[-5747218.953, -966991.688]","[-5747278.344, -967015.102]","[-5747248.649, -967003.395]",,,
111,urban_road,False,3,130.308,EW,"[-5747085.007, -966940.221]","[-5747207.291, -966985.242]","[-5747146.149, -966962.732]",,,
112,urban_road,False,4,367.627,NS,"[-5749514.847, -967500.035]","[-5749386.254, -967844.438]","[-5749450.551, -967672.237]",,,
113,urban_road,False,3,250.569,NS,"[-5747804.483, -966751.944]","[-5747706.946, -966982.75]","[-5747755.714, -966867.347]",,,
114,urban_road,False,5,43.835,EW,"[-5747747.868, -967201.783]","[-5747788.472, -967218.301]","[-5747768.17, -967210.042]",,,
115,urban_road,False,4,382.431,NS,"[-5748860.129, -967639.442]","[-5748998.83, -967283.049]","[-5748929.479, -967461.246]",,,
116,urban_road,False,4,48.315,EW,"[-5747780.948, -967230.844]","[-5747736.203, -967212.617]","[-5747758.576, -967221.73]",,,
117,urban_road,False,4,386.048,NS,"[-5749015.992, -967288.456]","[-5748875.174, -967647.905]","[-5748945.583, -967468.181]",,,
118,urban_road,False,5,38.356,EW,"[-5747556.973, -967715.212]","[-5747590.381, -967734.057]","[-5747573.677, -967724.635]",,,
122,urban_road,False,5,124.846,EW,"[-5747712.512, -967818.856]","[-5747604.098, -967756.944]","[-5747658.305, -967787.9]",,,
128,urban_road,False,5,62.986,EW,"[-5747905.136, -967929.389]","[-5747850.186, -967898.602]","[-5747877.661, -967913.996]",,,
136,urban_road,False,4,20.649,NS,"[-5747264.919, -967991.699]","[-5747272.828, -967972.624]","[-5747268.874, -967982.162]",,,
138,urban_road,False,1,130.23,DIAG,"[-5747168.786, -968054.021]","[-5747263.634, -967970.42]","[-5747228.733, -968012.008]",,,
140,urban_road,False,1,23.945,EW,"[-5747316.876, -967922.711]","[-5747338.44, -967933.121]","[-5747327.658, -967927.916]",,,
141,urban_road,False,1,23.945,EW,"[-5747337.136, -967935.822]","[-5747315.572, -967925.412]","[-5747326.354, -967930.617]",,,
142,urban_road,False,1,70.424,NS,"[-5747284.573, -968008.807]","[-5747318.406, -968069.037]","[-5747297.383, -968037.992]",,,
164,urban_road,False,1,43.372,EW,"[-5746894.783, -968748.525]","[-5746934.529, -968765.885]","[-5746911.474, -968755.815]",,,
165,urban_road,False,1,43.372,EW,"[-5746933.128, -968769.093]","[-5746893.382, -968751.732]","[-5746913.255, -968760.412]",,,
166,urban_road,False,1,24.997,DIAG,"[-5746972.753, -968805.784]","[-5746953.108, -968790.327]","[-5746962.93, -968798.055]",,,
167,urban_road,False,1,28.812,DIAG,"[-5746953.198, -968784.351]","[-5746974.917, -968803.033]","[-5746960.48, -968791.249]",,,
168,urban_road,False,4,102.726,DIAG,"[-5746893.307, -968853.969]","[-5746824.861, -968930.571]","[-5746859.084, -968892.27]",,,
170,urban_road,False,1,22.494,NS,"[-5746826.329, -968936.384]","[-5746823.777, -968958.328]","[-5746823.98, -968947.103]",,,
172,urban_road,False,1,10.669,EW,"[-5746790.689, -968929.619]","[-5746801.299, -968928.927]","[-5746795.982, -968929.48]",,,
173,urban_road,False,5,33.199,DIAG,"[-5746821.253, -968990.307]","[-5746796.802, -968967.869]","[-5746805.395, -968975.976]",,,
174,urban_road,False,4,500.674,EW,"[-5747229.109, -969300.342]","[-5746828.81, -969000.16]","[-5746971.758, -969113.865]",,,
176,urban_road,False,5,88.714,EW,"[-5747180.801, -969244.532]","[-5747253.225, -969295.766]","[-5747227.623, -969277.646]",,,
178,urban_road,False,5,68.637,EW,"[-5747337.929, -969375.266]","[-5747281.606, -969336.04]","[-5747301.745, -969350.044]",,,
182,urban_road,False,4,485.068,EW,"[-5747312.66, -969336.297]","[-5747711.813, -969611.57]","[-5747569.793, -969518.092]",,,
183,urban_road,False,6,70.098,EW,"[-5747716.572, -969616.775]","[-5747776.003, -969653.946]","[-5747752.597, -969639.315]",,,
187,urban_road,False,1,184.215,DIAG,"[-5747536.266, -969318.633]","[-5747402.323, -969192.214]","[-5747465.328, -969251.148]",,,
188,urban_road,False,1,184.9,DIAG,"[-5747405.12, -969189.133]","[-5747539.069, -969316.554]","[-5747465.956, -969246.81]",,,
189,urban_road,False,1,27.498,DIAG,"[-5747373.695, -969156.151]","[-5747393.958, -969174.74]","[-5747383.827, -969165.445]",,,
190,urban_road,False,1,27.498,DIAG,"[-5747391.592, -969177.319]","[-5747371.329, -969158.73]","[-5747379.527, -969166.251]",,,
194,urban_road,False,1,91.31,DIAG,"[-5747388.753, -968857.79]","[-5747456.047, -968919.507]","[-5747422.4, -968888.648]",,,
196,urban_road,False,1,91.31,DIAG,"[-5747453.681, -968922.086]","[-5747386.387, -968860.369]","[-5747420.034, -968891.228]",,,
197,urban_road,False,1,107.005,DIAG,"[-5747537.452, -968840.197]","[-5747464.412, -968918.391]","[-5747499.652, -968880.88]",,,
198,urban_road,False,1,107.067,DIAG,"[-5747462.468, -968916.447]","[-5747535.464, -968838.131]","[-5747497.865, -968878.68]",,,
199,urban_road,False,1,244.609,DIAG,"[-5747202.051, -968691.495]","[-5747384.771, -968854.114]","[-5747319.926, -968796.067]",,,
200,urban_road,False,1,244.55,DIAG,"[-5747383.596, -968858.614]","[-5747200.92, -968696.036]","[-5747318.776, -968800.591]",,,
201,urban_road,False,1,17.779,DIAG,"[-5747177.755, -968704.323]","[-5747189.593, -968691.059]","[-5747182.091, -968699.465]",,,
202,urban_road,False,1,17.779,DIAG,"[-5747192.204, -968693.389]","[-5747180.366, -968706.654]","[-5747186.285, -968700.022]",,,
209,urban_road,False,1,124.709,DIAG,"[-5747636.519, -968747.333]","[-5747725.849, -968834.329]","[-5747685.986, -968795.979]",,,
210,urban_road,False,1,125.038,DIAG,"[-5747723.967, -968836.333]","[-5747634.333, -968749.194]","[-5747682.253, -968796.304]",,,
213,urban_road,False,2,132.751,EW,"[-5747323.366, -968295.099]","[-5747432.035, -968367.819]","[-5747380.615, -968325.018]",,,
217,urban_road,False,1,18.83,NS,"[-5747447.148, -968352.467]","[-5747441.154, -968369.807]","[-5747444.662, -968362.573]",,,
218,urban_road,False,1,17.069,NS,"[-5747438.937, -968367.784]","[-5747444.184, -968352.008]","[-5747441.981, -968361.429]",,,
221,urban_road,False,1,67.407,EW,"[-5747590.22, -968470.071]","[-5747522.852, -968467.789]","[-5747556.536, -968468.93]",,,
222,urban_road,False,1,38.861,DIAG,"[-5747502.77, -968448.619]","[-5747475.658, -968420.777]","[-5747489.214, -968434.698]",,,
223,urban_road,False,1,14.039,NS,"[-5747510.803, -968450.262]","[-5747515.732, -968437.117]","[-5747513.267, -968443.69]",,,
224,urban_road,False,1,13.857,NS,"[-5747501.948, -968470.984]","[-5747507.516, -968458.295]","[-5747504.732, -968464.639]",,,
225,urban_road,False,1,30.892,NS,"[-5747533.441, -968390.836]","[-5747526.595, -968420.96]","[-5747530.018, -968405.898]",,,
226,urban_road,False,1,30.892,NS,"[-5747523.669, -968420.295]","[-5747530.516, -968390.171]","[-5747527.093, -968405.233]",,,
227,urban_road,False,1,14.039,NS,"[-5747519.009, -968438.346]","[-5747514.08, -968451.491]","[-5747516.544, -968444.919]",,,
236,urban_road,False,1,45.072,NS,"[-5747946.152, -968750.662]","[-5747919.052, -968786.676]","[-5747932.602, -968768.669]",,,
237,urban_road,False,1,41.51,NS,"[-5747918.796, -968782.027]","[-5747943.755, -968748.858]","[-5747931.276, -968765.442]",,,
240,urban_road,False,1,62.379,DIAG,"[-5747898.37, -968902.921]","[-5747939.912, -968856.388]","[-5747919.141, -968879.655]",,,
241,urban_road,False,1,57.5,DIAG,"[-5747939.274, -968862.358]","[-5747900.981, -968905.252]","[-5747920.128, -968883.805]",,,
242,urban_road,False,1,32.046,EW,"[-5747980.027, -968824.117]","[-5747952.392, -968840.342]","[-5747966.21, -968832.229]",,,
243,urban_road,False,1,32.046,EW,"[-5747950.62, -968837.323]","[-5747978.255, -968821.099]","[-5747967.531, -968827.395]",,,
245,urban_road,False,2,33.484,DIAG,"[-5748123.586, -969020.356]","[-5748098.69, -968997.964]","[-5748111.138, -969009.16]",,,
247,urban_road,False,1,49.584,DIAG,"[-5748051.369, -969032.027]","[-5748086.282, -968996.819]","[-5748068.825, -969014.423]",,,
248,urban_road,False,1,49.584,DIAG,"[-5748088.767, -968999.283]","[-5748053.854, -969034.492]","[-5748071.311, -969016.888]",,,
249,urban_road,False,1,30.829,DIAG,"[-5748103.665, -968944.08]","[-5748084.514, -968968.24]","[-5748094.09, -968956.16]",,,
250,urban_road,False,1,30.829,DIAG,"[-5748082.163, -968966.376]","[-5748101.314, -968942.217]","[-5748091.739, -968954.297]",,,
251,urban_road,False,1,26.492,NS,"[-5748153.31, -968996.23]","[-5748137.842, -969017.738]","[-5748145.576, -969006.984]",,,
252,urban_road,False,1,26.492,NS,"[-5748135.407, -969015.986]","[-5748150.875, -968994.478]","[-5748143.141, -969005.232]",,,
254,urban_road,False,2,9.901,DIAG,"[-5748088.525, -968979.402]","[-5748095.744, -968986.179]","[-5748092.134, -968982.791]",,,
255,urban_road,False,2,7.502,DIAG,"[-5748089.666, -968989.148]","[-5748084.145, -968984.069]","[-5748086.906, -968986.608]",,,
256,urban_road,False,1,201.654,EW,"[-5747896.214, -968232.872]","[-5748047.997, -968179.131]","[-5748002.523, -968235.494]",,,
257,urban_road,False,1,29.374,EW,"[-5748099.373, -968198.65]","[-5748072.12, -968188.522]","[-5748085.964, -968192.58]",,,
259,urban_road,False,3,11.183,NS,"[-5748068.068, -968162.005]","[-5748064.754, -968172.686]","[-5748066.411, -968167.345]",,,
260,urban_road,False,1,30.67,DIAG,"[-5748074.329, -968169.739]","[-5748097.163, -968189.627]","[-5748084.373, -968179.784]",,,
261,urban_road,False,1,47.017,NS,"[-5748065.675, -968198.834]","[-5748063.281, -968245.79]","[-5748064.478, -968222.312]",,,
265,urban_road,False,4,24.396,EW,"[-5748291.802, -968153.719]","[-5748270.442, -968141.934]","[-5748281.122, -968147.826]",,,
268,urban_road,False,4,46.339,NS,"[-5748218.146, -967719.145]","[-5748201.573, -967762.419]","[-5748209.859, -967740.782]",,,
269,urban_road,False,3,58.395,NS,"[-5748190.883, -967757.262]","[-5748212.29, -967702.94]","[-5748203.094, -967725.903]",,,
270,urban_road,False,3,146.8,NS,"[-5748274.539, -967574.823]","[-5748222.289, -967712.01]","[-5748248.414, -967643.416]",,,
271,urban_road,False,4,132.849,NS,"[-5748216.788, -967694.985]","[-5748264.073, -967570.837]","[-5748240.431, -967632.911]",,,
274,urban_road,False,4,48.008,NS,"[-5748266.483, -967564.005]","[-5748283.516, -967519.12]","[-5748275.0, -967541.562]",,,
275,urban_road,False,3,146.027,EW,"[-5748025.028, -967324.634]","[-5747889.288, -967270.794]","[-5747957.158, -967297.714]",,,
276,urban_road,False,4,68.311,EW,"[-5747874.388, -967264.976]","[-5747811.03, -967239.437]","[-5747842.709, -967252.207]",,,
277,urban_road,False,3,229.622,EW,"[-5747815.849, -967228.939]","[-5748028.819, -967314.777]","[-5747905.132, -967265.005]",,,
278,urban_road,False,3,121.733,EW,"[-5748039.045, -967319.426]","[-5748151.936, -967364.973]","[-5748095.491, -967342.2]",,,
279,urban_road,False,3,121.685,EW,"[-5748148.025, -967373.949]","[-5748035.22, -967328.316]","[-5748091.622, -967351.132]",,,
280,urban_road,False,5,37.205,EW,"[-5748214.098, -967402.86]","[-5748179.45, -967389.307]","[-5748196.774, -967396.083]",,,
281,urban_road,False,5,33.475,EW,"[-5748184.99, -967374.161]","[-5748216.165, -967386.355]","[-5748200.577, -967380.258]",,,
282,urban_road,False,4,16.479,EW,"[-5748219.618, -967389.857]","[-5748234.634, -967396.642]","[-5748227.126, -967393.249]",,,
289,urban_road,False,4,8.284,EW,"[-5748506.85, -967527.652]","[-5748499.209, -967524.452]","[-5748503.029, -967526.052]",,,
290,urban_road,False,3,45.082,EW,"[-5748470.301, -967496.208]","[-5748511.766, -967513.904]","[-5748491.034, -967505.056]",,,
291,urban_road,False,3,124.049,NS,"[-5748427.716, -967174.343]","[-5748383.185, -967290.123]","[-5748405.451, -967232.233]",,,
292,urban_road,False,4,197.448,EW,"[-5748695.244, -967609.548]","[-5748514.047, -967531.104]","[-5748604.645, -967570.326]",,,
293,urban_road,False,2,134.428,NS,"[-5748496.963, -966993.137]","[-5748448.534, -967118.539]","[-5748472.749, -967055.838]",,,
294,urban_road,False,3,34.097,NS,"[-5748447.915, -967125.02]","[-5748435.069, -967156.605]","[-5748441.492, -967140.813]",,,
295,urban_road,False,4,103.72,EW,"[-5748603.621, -967555.355]","[-5748698.786, -967596.603]","[-5748651.203, -967575.979]",,,
296,urban_road,False,3,82.581,EW,"[-5748518.473, -967516.906]","[-5748594.34, -967549.521]","[-5748556.407, -967533.213]",,,
297,urban_road,False,4,119.021,EW,"[-5748828.742, -967666.417]","[-5748719.582, -967618.982]","[-5748774.162, -967642.7]",,,
