no,role,active,type,signal_group_count,signal_head_count,freeway_head_count,interface_head_count,unique_head_links,centroid_xy,supplyFile2,signal_group_names,name
11,urban_signal_controller,true,FIXEDTIME,8,10,0,0,"1210008303,1210008703,1210012001,1220011001,1220012001","[-5747857.1, -968696.114]",#data#개포동 test-bed3_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",개포고교
12,urban_signal_controller,true,FIXEDTIME,8,12,0,0,"1210012700,1220012103,1220013600,1220015000","[-5747165.77, -968239.537]",#data#개포동 test-bed5_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",영동5교
13,urban_signal_controller,true,FIXEDTIME,16,9,0,0,"1210015600,1220013100,1220013600,1220013700","[-5746958.651, -968198.034]",#data#개포동 test-bed6.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",개포주민센터
14,urban_signal_controller,true,FIXEDTIME,8,11,0,0,"91,1210021204,1220021303","[-5747117.816, -967534.533]",#data#개포동 test-bed10.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",대치미도아파트
15,urban_signal_controller,true,FIXEDTIME,8,12,0,0,"341,343,1210008501,1220008402","[-5748325.944, -968884.339]",#data#개포동 test-bed11.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",개포경남아파트
16,urban_signal_controller,true,FIXEDTIME,8,10,0,0,"1210009503,1210009700,1210012600,1220011200","[-5747035.648, -968560.935]",#data#개포동 test-bed18.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",경기여고
17,urban_signal_controller,true,FIXEDTIME,8,8,0,0,"1210009403,1210009502","[-5746946.85, -968769.931]",#data#개포동 test-bed19.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",개포주공3단지(보)
18,urban_signal_controller,true,FIXEDTIME,8,4,0,0,"1220011001,1220011101","[-5747965.296, -968510.977]",#data#개포동 test-bed12.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",구룡중(보)
19,urban_signal_controller,true,FIXEDTIME,8,5,0,0,"209,1210008603,1220008702","[-5747726.045, -968842.454]",#data#개포동 test-bed13.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",개포우체국(보)
101,urban_signal_controller,true,FIXEDTIME,8,20,0,0,"1220011503,1220012502,1220014201,1220016001","[-5748577.801, -968306.786]",#data#개포동 test-bed101_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",매봉터널
102,urban_signal_controller,true,FIXEDTIME,16,23,0,0,"271,1210019201,1220019303,1220020904,1220022501,1220023101","[-5748304.088, -967478.333]",#data#개포동 test-bed102.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",한티역
103,urban_signal_controller,true,FIXEDTIME,8,19,0,0,"1210021904,1220022604,1220024201,1220024801","[-5747622.557, -967159.506]",#data#개포동 test-bed103.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",은마아파트입구
104,urban_signal_controller,true,FIXEDTIME,8,23,0,0,"1210021304,1220002001,1220002202,1220061200","[-5746835.692, -967425.26]",#data#개포동 test-bed104.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",학여울역
105,urban_signal_controller,true,FIXEDTIME,8,12,0,0,"416,1220006503,1220007001,1220007200","[-5749024.885, -969416.129]",#data#개포동 test-bed105_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",포이사거리
106,urban_signal_controller,true,FIXEDTIME,8,15,0,0,"1210015700,1220001200,1220001501,1220017202","[-5746588.583, -967989.499]",#data#개포동 test-bed106.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",대모산사거리
107,urban_signal_controller,true,FIXEDTIME,8,17,0,0,"183,382,1220000201,1220043200","[-5747790.016, -969669.139]",#data#개포동 test-bed107_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",구룡터널
108,urban_signal_controller,true,FIXEDTIME,8,16,0,0,"21,176,178,1220007401,1220044500","[-5747256.296, -969320.544]",#data#개포동 test-bed108_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",구룡마을입구
109,urban_signal_controller,true,FIXEDTIME,8,12,0,0,"173,1210009402,1220000704","[-5746799.869, -968956.13]",#data#개포동 test-bed109_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT","개포3,4단지"
1001,urban_freeway_interface_signal_controller,true,FIXEDTIME,8,12,0,3,"29,32,37,40,10696","[-5749947.727, -968728.99]",#data#개포동 test-bed1001_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
1002,urban_signal_controller,true,FIXEDTIME,8,12,0,0,"30,72,329,427","[-5749315.312, -968616.686]",#data#개포동 test-bed1002_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
1003,urban_signal_controller,true,FIXEDTIME,8,9,0,0,"39,47,425","[-5749532.408, -969909.747]",#data#개포동 test-bed1003_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
1004,urban_signal_controller,true,FIXEDTIME,8,17,0,0,"46,52,66,71","[-5749164.597, -970793.702]",#data#개포동 test-bed1004_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
1005,urban_signal_controller,true,FIXEDTIME,8,6,0,0,"57,62,403","[-5748459.014, -970152.287]",#data#개포동 test-bed1005_n4dr150.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
2001,urban_signal_controller,true,FIXEDTIME,8,10,0,0,"76,79,80,84","[-5750468.082, -968294.979]",#data#개포동 test-bed2001.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
2002,urban_signal_controller,true,FIXEDTIME,8,12,0,0,"38,83,88,90","[-5750174.981, -968181.086]",#data#개포동 test-bed2002.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
2003,urban_signal_controller,true,FIXEDTIME,8,9,0,0,"87,99,102","[-5749883.975, -968061.509]",#data#개포동 test-bed2003.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
2004,urban_signal_controller,true,FIXEDTIME,8,12,0,0,"73,104,108,112","[-5749368.958, -967865.559]",#data#개포동 test-bed2004.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
2005,urban_signal_controller,true,FIXEDTIME,8,14,0,0,"107,117,298,310","[-5748853.487, -967671.079]",#data#개포동 test-bed2005.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",
9001,urban_signal_controller,true,FIXEDTIME,16,9,0,0,"354,358,359,364,1220007101","[-5748711.553, -969352.614]",#data#개포동 test-bed9001.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT,WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",우리은행포이
9002,urban_signal_controller,true,FIXEDTIME,8,4,0,0,"353,1220007004","[-5748487.916, -969297.906]",#data#개포동 test-bed9002.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",부동산서브(보)
9003,urban_signal_controller,true,FIXEDTIME,8,8,0,0,"268,1220019301","[-5748195.056, -967765.214]",#data#개포동 test-bed9003.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT",대도초교
9004,urban_signal_controller,true,FIXEDTIME,8,0,0,0,,,#data#개포동 test-bed109.sig,"WBL,EBT,NBL,SBT,EBL,WBT,SBL,NBT","개포3,4단지"
9101,urban_signal_controller,false,FIXEDTIME,1,1,0,0,10480,"[-5750705.058, -968772.147]",,RW_SG_RM_C10480,RW_SC_RM_C10480
9102,urban_signal_controller,false,FIXEDTIME,1,2,0,0,10482,"[-5750613.365, -969059.454]",,RW_SG_RM_C10482,RW_SC_RM_C10482
9103,urban_signal_controller,false,FIXEDTIME,1,1,0,0,10646,"[-5749497.997, -970979.055]",,RW_SG_RM_C10646,RW_SC_RM_C10646
9104,urban_signal_controller,false,FIXEDTIME,1,1,0,0,10644,"[-5749079.213, -971540.801]",,RW_SG_RM_C10644,RW_SC_RM_C10644
9105,urban_signal_controller,false,FIXEDTIME,1,1,0,0,10639,"[-5749386.156, -971053.653]",,RW_SG_RM_C10639,RW_SC_RM_C10639
9106,urban_signal_controller,false,FIXEDTIME,1,2,0,0,10681,"[-5749561.821, -970823.765]",,RW_SG_RM_C10681,RW_SC_RM_C10681
9107,urban_signal_controller,false,FIXEDTIME,1,1,0,0,10490,"[-5750632.615, -968881.533]",,RW_SG_RM_C10490,RW_SC_RM_C10490
9108,urban_signal_controller,false,FIXEDTIME,1,1,0,0,10484,"[-5750713.904, -968606.48]",,RW_SG_RM_C10484,RW_SC_RM_C10484
