urban_follower_id,sc_no,sg_no,movement,signal_head_no
7,105,6,WBT,1050602
7,105,7,SBL,1050701
7,105,8,NBT,1050801
7,105,8,NBT,1050802
7,105,8,NBT,1050803
8,1,2,EBT,10201
8,1,2,EBT,10202
8,1,3,NBL,10301
8,1,4,SBT,10401
8,1,4,SBT,10402
8,1,4,SBT,10403
8,1,4,SBT,10404
8,1,6,WBT,10601
8,1,6,WBT,10602
8,1,7,SBL,10701
8,1,8,NBT,10801
8,1,8,NBT,10802
8,1,8,NBT,10803
8,1,8,NBT,10804
9,11,1,WBL,30602
9,11,2,EBT,30201
9,11,2,EBT,30202
9,11,4,SBT,30401
9,11,4,SBT,30402
9,11,6,WBT,30601
9,11,6,WBT,30603
9,11,6,WBT,30604
9,11,8,NBT,30801
9,11,8,NBT,30802
10,12,2,EBT,50201
10,12,2,EBT,50202
10,12,3,NBL,50301
10,12,4,SBT,50401
10,12,4,SBT,50402
10,12,4,SBT,50403
10,12,6,WBT,50601
10,12,6,WBT,50602
10,12,7,SBL,50701
10,12,8,NBT,50801
10,12,8,NBT,50802
10,12,8,NBT,50803
11,106,2,EBT,1060201
11,106,2,EBT,1060202
11,106,3,NBL,1060301
11,106,4,SBT,1060401
11,106,4,SBT,1060402
11,106,4,SBT,1060403
11,106,4,SBT,1060404
11,106,6,WBT,1060601
11,106,6,WBT,1060602
11,106,7,SBL,1060701
11,106,7,SBL,1060702
11,106,8,NBT,1060801
11,106,8,NBT,1060802
11,106,8,NBT,1060803
11,106,8,NBT,1060804
12,1001,1,WBL,90030839
12,1001,2,EBT,90030835
12,1001,2,EBT,90030836
12,1001,3,NBL,90030842
12,1001,4,SBT,90030844
12,1001,4,SBT,90030845
12,1001,4,SBT,90030846
12,1001,5,EBL,90030834
12,1001,6,WBT,90030837
12,1001,6,WBT,90030838
12,1001,7,SBL,90030843
12,1001,8,NBT,90030840
12,1001,8,NBT,90030841
13,1002,1,WBL,90030852
13,1002,2,EBT,90030847
13,1002,2,EBT,90030848
13,1002,3,NBL,90030851
13,1002,4,SBT,90030856
13,1002,4,SBT,90030857
13,1002,5,EBL,90030850
13,1002,6,WBT,90030853
13,1002,6,WBT,90030854
13,1002,7,SBL,90030855
13,1002,8,NBT,90030858
13,1002,8,NBT,90030859
14,101,1,WBL,1010101
14,101,2,EBT,1010201
14,101,2,EBT,1010202
14,101,2,EBT,1010203
14,101,2,EBT,1010204
14,101,3,NBL,1010301
14,101,3,NBL,1010302
14,101,4,SBT,1010401
14,101,4,SBT,1010402
14,101,4,SBT,1010403
14,101,5,EBL,1010501
14,101,6,WBT,1010601
14,101,6,WBT,1010602
14,101,6,WBT,1010603
14,101,6,WBT,1010604
14,101,7,SBL,1010701
14,101,7,SBL,1010702
14,101,8,NBT,1010801
14,101,8,NBT,1010802
14,101,8,NBT,1010803
15,5,1,WBL,70101
15,5,2,EBT,70201
15,5,2,EBT,70202
15,5,2,EBT,70203
15,5,2,EBT,70204
15,5,3,NBL,70301
15,5,4,SBT,70401
15,5,4,SBT,70402
15,5,5,EBL,70501
15,5,6,WBT,70601
15,5,6,WBT,70602
15,5,6,WBT,70603
15,5,6,WBT,70604
15,5,7,SBL,70701
15,5,8,NBT,70801
15,5,8,NBT,70802
16,6,1,WBL,90101
16,6,2,EBT,90201
16,6,2,EBT,90202
16,6,2,EBT,90203
16,6,2,EBT,90204
16,6,3,NBL,90301
16,6,4,SBT,90401
16,6,4,SBT,90402
16,6,4,SBT,90403
16,6,5,EBL,90501
16,6,6,WBT,90601
16,6,6,WBT,90602
16,6,6,WBT,90603
16,6,6,WBT,90604
16,6,7,SBL,90701
16,6,8,NBT,90801
16,6,8,NBT,90802
16,6,8,NBT,90803
17,104,1,WBL,1040101
17,104,1,WBL,1040102
17,104,2,EBT,1040201
17,104,2,EBT,1040202
17,104,2,EBT,1040203
17,104,3,NBL,1040301
17,104,3,NBL,1040302
17,104,4,SBT,1040401
17,104,4,SBT,1040402
17,104,4,SBT,1040403
17,104,4,SBT,1040404
17,104,5,EBL,1040501
17,104,5,EBL,1040502
17,104,6,WBT,1040601
17,104,6,WBT,1040602
17,104,6,WBT,1040603
17,104,6,WBT,1040604
17,104,7,SBL,1040701
17,104,7,SBL,1040702
17,104,8,NBT,1040801
17,104,8,NBT,1040802
17,104,8,NBT,1040803
17,104,8,NBT,1040804
18,102,1,WBL,1020101
18,102,2,EBT,1020201
18,102,2,EBT,1020202
18,102,2,EBT,1020203
18,102,2,EBT,1020204
18,102,3,NBL,1020301
18,102,4,SBT,1020401
18,102,4,SBT,1020402
18,102,5,EBL,1020501
18,102,6,WBT,1020601
18,102,6,WBT,1020602
18,102,6,WBT,1020603
18,102,6,WBT,1020604
18,102,7,SBL,1020701
18,102,8,NBT,1020801
18,102,8,NBT,1020802
19,103,1,WBL,1030101
19,103,2,EBT,1030201
19,103,2,EBT,1030202
19,103,2,EBT,1030203
19,103,2,EBT,1030204
19,103,3,NBL,1030301
19,103,4,SBT,1030401
19,103,4,SBT,1030402
19,103,4,SBT,1030403
19,103,5,EBL,1030501
19,103,6,WBT,1030601
19,103,6,WBT,1030602
19,103,6,WBT,1030603
19,103,6,WBT,1030604
19,103,7,SBL,1030701
19,103,8,NBT,1030801
19,103,8,NBT,1030802
19,103,8,NBT,1030803
19,103,8,NBT,1030804
