sec,link_or_cell,n,stop_le1_kph,slow_lt30_kph,mean_speed_kph
2402,10182,1,0,0,42.72
2402,10186,1,0,0,77.4
2402,10189,1,0,0,35.82
2402,10200,3,0,0,36.669999999999995
2402,10256,1,0,0,31.11
2402,10265,1,0,0,43.6
2402,10293,2,0,0,41.73
2402,10296,1,0,0,77.08
2402,10350,1,0,0,43.22
2402,10408,1,0,0,43.24
2402,10480,1,0,0,31.76
2402,10481,46,38,44,4.634347826086957
2402,10482,1,0,0,41.42
2402,10484,5,0,0,42.948
2402,10491,4,0,1,31.955
2402,10493,3,0,3,23.636666666666667
2402,10495,1,0,1,23.97
2402,10498,1,0,0,43.85
2402,10501,5,0,0,72.27000000000001
2402,10514,6,3,4,12.753333333333332
2402,10517,4,4,4,0.0
2402,10520,5,5,5,0.0
2402,10523,2,0,2,8.735
2402,10559,1,0,0,42.72
2402,10566,2,0,0,42.33
2402,10595,2,0,0,37.620000000000005
2402,10621,10,0,0,60.052
2402,10631,1,0,1,22.84
2402,10635,1,0,0,53.95
2402,10638,11,0,0,46.947272727272725
2402,10639,2,0,0,43.040000000000006
2402,10640,1,0,0,46.18
2402,10644,15,0,3,32.016666666666666
2402,10646,7,0,0,47.84285714285714
2402,10651,1,0,0,40.91
2402,10654,1,0,0,41.76
2402,10655,2,0,1,42.195
2402,10660,1,1,1,0.0
2402,10682,20,5,20,6.343500000000001
2402,10686,3,0,0,46.906666666666666
2402,10693,1,0,0,42.09
2402,10701,1,0,0,39.85
2402,119,15,0,0,90.17666666666668
2402,120,228,0,1,98.35127192982456
2402,121,11,2,7,25.112727272727273
2402,1210006903,7,0,0,40.25857142857143
2402,1210008202,1,0,0,41.56
2402,1210008303,2,0,0,41.519999999999996
2402,1210008401,20,18,18,4.463
2402,1210008501,1,0,0,45.35
2402,1210008703,2,2,2,0.0
2402,1210009503,3,0,1,30.326666666666664
2402,1210012101,3,0,0,39.76
2402,1210012103,1,0,0,41.6
2402,1210012600,6,0,2,33.82833333333333
2402,1210012700,1,0,0,42.07
2402,1210014303,12,5,8,21.351666666666663
2402,1210018302,15,12,13,7.315333333333332
2402,1210018504,4,0,1,39.175
2402,1220000102,5,0,0,66.458
2402,1220000201,6,2,3,24.849999999999998
2402,1220000402,11,0,0,47.86272727272728
2402,1220000502,4,0,0,72.0275
2402,1220006403,5,0,2,33.676
2402,1220006503,2,1,1,36.9
2402,1220006803,8,0,0,63.26375
2402,1220006903,11,8,9,9.36909090909091
2402,1220007001,6,6,6,0.0
2402,1220007004,2,0,0,41.515
2402,1220007104,5,0,0,56.772000000000006
2402,1220007200,12,12,12,0.0
2402,1220007300,1,0,0,117.69
2402,1220007402,2,1,2,6.734999999999999
2402,1220007501,17,15,17,1.4823529411764707
2402,1220007502,4,2,4,5.6
2402,1220008201,3,0,0,42.18
2402,1220008202,1,0,0,40.94
2402,1220008301,4,0,0,38.1225
2402,1220008303,1,0,0,101.16
2402,1220008501,3,0,0,46.449999999999996
2402,1220008502,8,0,0,40.745
2402,1220011001,10,2,4,26.770999999999997
2402,1220011101,1,0,0,42.85
2402,1220011103,3,0,0,41.626666666666665
2402,1220011503,24,18,21,6.465
2402,1220012001,1,1,1,0.0
2402,1220012102,3,3,3,0.0
2402,1220012103,1,1,1,0.0
2402,1220012502,2,2,2,0.0
2402,1220012700,3,0,0,41.30666666666667
2402,1220014100,3,0,0,44.22666666666667
2402,1220014201,3,3,3,0.0
2402,1220014203,5,5,5,0.0
2402,1220014303,3,3,3,0.0
2402,1220015000,4,3,4,0.505
2402,1220018302,1,0,0,43.6
2402,1220018403,4,0,0,45.105000000000004
2402,1220018404,10,0,0,41.532
2402,1220018501,1,0,0,40.97
2402,1220018502,2,0,0,44.815
2402,1220018504,1,1,1,0.0
2402,124,3,0,0,35.74
2402,126,2,0,0,90.82
2402,127,159,113,146,5.438050314465409
2402,129,4,0,1,35.5925
2402,138,1,0,0,41.64
2402,168,2,0,0,39.855000000000004
2402,173,1,1,1,0.0
2402,174,15,0,0,51.33266666666667
2402,176,1,1,1,0.0
2402,182,7,0,0,70.17285714285714
2402,183,1,0,1,1.27
2402,2,390,85,244,35.908641025641025
2402,21,2,0,0,44.25
2402,24,74,0,0,102.80756756756757
2402,255,1,0,0,42.37
2402,26,356,10,78,55.49188202247191
2402,29,3,3,3,0.0
2402,30,21,2,5,34.11761904761905
2402,31,2,0,0,38.545
2402,32,24,0,1,39.885416666666664
2402,321,14,4,10,16.019285714285715
2402,322,22,8,15,17.941363636363636
2402,324,1,0,0,43.15
2402,325,20,20,20,0.0
2402,326,27,26,27,0.40592592592592597
2402,329,23,9,22,5.870869565217391
2402,337,1,0,0,137.84
2402,341,3,3,3,0.0
2402,343,5,4,5,1.532
2402,353,1,0,0,71.39
2402,364,2,2,2,0.0
2402,367,1,0,0,45.12
2402,387,3,0,0,84.10333333333334
2402,39,3,2,2,15.813333333333333
2402,40,26,23,23,6.128076923076923
2402,403,11,11,11,0.0
2402,408,6,0,0,51.39000000000001
2402,409,1,0,0,82.64
2402,410,3,0,0,40.72
2402,412,10,0,4,39.375
2402,416,20,9,10,19.816499999999998
2402,417,1,0,0,42.22
2402,420,17,0,0,50.35705882352941
2402,421,3,0,0,39.27333333333333
2402,427,10,4,6,29.525
2402,46,7,3,4,40.00571428571429
2402,47,20,1,2,51.53150000000001
2402,52,22,2,4,41.74681818181818
2402,57,3,0,0,42.196666666666665
2402,58,10,0,0,60.041
2402,61,1,0,0,105.32
2402,62,2,0,0,69.47
2402,69,28,0,0,36.68928571428571
2402,71,10,7,10,1.504
2402,74,123,0,0,107.77178861788619
2402,E8,93,37,76,19.298387096774192
2402,E9,8,0,0,79.285
2403,100,6,0,0,37.79333333333333
2403,10023,2,0,0,40.58
2403,10124,2,0,1,30.14
2403,10181,1,0,0,42.99
2403,10184,1,0,0,78.49
2403,10189,1,0,0,35.51
2403,10200,5,0,1,34.882
2403,10256,1,0,0,39.19
2403,10265,1,0,0,43.6
2403,10293,1,0,0,42.8
2403,10408,1,0,0,42.29
2403,10480,1,0,0,31.76
2403,10481,46,41,44,3.862173913043478
2403,10482,2,0,0,41.64
2403,10484,5,0,0,42.768
2403,10491,4,0,2,28.225
2403,10493,3,0,0,33.64666666666667
2403,10495,1,0,0,34.02
2403,10498,1,0,0,43.34
2403,10501,5,0,0,72.178
2403,10514,5,3,4,13.286000000000001
2403,10517,4,4,4,0.0
2403,10520,5,5,5,0.0
2403,10523,1,0,1,6.21
2403,10550,1,0,0,44.9
2403,10559,2,0,0,38.34
2403,10566,2,0,0,40.980000000000004
2403,10574,1,0,0,70.76
2403,10621,10,0,0,57.617
2403,10631,1,0,0,32.11
2403,10638,11,0,0,48.17363636363636
2403,10639,2,0,0,43.040000000000006
2403,10640,1,0,0,45.77
2403,10641,1,0,0,79.88
2403,10644,16,0,1,32.715625
2403,10646,7,0,0,46.925714285714285
2403,10649,1,0,0,83.46
2403,10651,1,0,0,31.46
2403,10654,1,0,0,40.79
2403,10655,1,0,1,9.55
2403,10660,1,1,1,0.0
2403,10682,21,5,20,6.887619047619048
2403,10686,3,0,0,43.97
2403,10701,1,0,0,39.24
2403,10702,1,0,0,44.08
2403,119,14,0,0,89.75071428571428
2403,120,230,0,0,98.26165217391305
2403,121,11,0,7,29.37818181818182
2403,1210006903,7,0,0,40.25857142857143
2403,1210008202,1,0,0,40.74
2403,1210008303,2,0,0,41.519999999999996
2403,1210008401,20,18,18,4.1915
