window_start_s,window_end_s,id,kind,road,connector,from_cell,to_cell,crossings,flow_vph,cumulative_crossings,snapshot_n_veh,excluded_connector_skip,source_first_appearances,source_reappearances,interval_inferred_crossings
930.1,960.1,RM_C10646,ramp,FW_W,10646,,18,2,240.0,37,0,0,0,0,1
930.1,960.1,RM_C10644,ramp,FW_W,10644,,22,0,0.0,72,15,0,0,0,0
930.1,960.1,RM_C10639,ramp,FW_E,10639,,10,2,240.0,67,1,0,0,0,0
930.1,960.1,RM_C10681,ramp,FW_E,10681,,12,10,1200.0,102,0,0,0,0,0
930.1,960.1,RM_C10490,ramp,FW_E,10490,,21,6,720.0,144,9,0,0,0,0
930.1,960.1,RM_C10484,ramp,FW_E,10484,,23,3,360.0,69,10,0,0,0,0
930.1,960.1,OR_D_E_signal,offramp,FW_E,10481,18,,0,0.0,40,0,0,0,0,0
930.1,960.1,OR_D_E_direct,offramp,FW_E,10483,20,,6,720.0,178,1,0,0,0,0
930.1,960.1,OR_D_W_signal,offramp,FW_W,10491,9,,6,720.0,149,1,0,0,0,1
930.1,960.1,OR_D_W_direct,offramp,FW_W,10479,7,,9,1080.0,200,5,0,0,0,0
930.1,960.1,OR_F_E_signal,offramp,FW_E,10643,9,,1,120.0,125,1,0,0,0,0
930.1,960.1,OR_F_E_direct,offramp,FW_E,10682,11,,1,120.0,250,0,0,0,0,0
930.1,960.1,OR_F_W_signal,offramp,FW_W,10638,19,,8,960.0,113,2,0,0,0,1
930.1,960.1,OR_F_W_direct,offramp,FW_W,10645,16,,12,1440.0,237,2,0,0,0,0
930.1,960.1,source_1098,source,FW_E,,,0,74,8880.0,1898,,0,74,0,0
930.1,960.1,source_1099,source,FW_W,,,0,50,6000.0,1181,,0,50,0,0
960.1,990.1,RM_C10480,ramp,FW_W,10480,,8,1,120.0,21,0,0,0,0,1
960.1,990.1,RM_C10482,ramp,FW_W,10482,,10,23,2760.0,419,20,0,0,0,0
960.1,990.1,RM_C10646,ramp,FW_W,10646,,18,0,0.0,37,0,0,0,0,0
960.1,990.1,RM_C10644,ramp,FW_W,10644,,22,6,720.0,78,10,0,0,0,0
960.1,990.1,RM_C10639,ramp,FW_E,10639,,10,1,120.0,68,7,0,0,0,0
960.1,990.1,RM_C10681,ramp,FW_E,10681,,12,0,0.0,102,7,0,0,0,0
960.1,990.1,RM_C10490,ramp,FW_E,10490,,21,11,1320.0,155,2,0,0,0,0
960.1,990.1,RM_C10484,ramp,FW_E,10484,,23,6,720.0,75,6,0,0,0,0
960.1,990.1,OR_D_E_signal,offramp,FW_E,10481,18,,1,120.0,41,0,0,0,0,0
960.1,990.1,OR_D_E_direct,offramp,FW_E,10483,20,,8,960.0,186,2,0,0,0,0
960.1,990.1,OR_D_W_signal,offramp,FW_W,10491,9,,6,720.0,155,2,0,0,0,1
960.1,990.1,OR_D_W_direct,offramp,FW_W,10479,7,,10,1200.0,210,4,0,0,0,0
960.1,990.1,OR_F_E_signal,offramp,FW_E,10643,9,,10,1200.0,135,6,0,0,0,0
960.1,990.1,OR_F_E_direct,offramp,FW_E,10682,11,,6,720.0,256,3,0,0,0,0
960.1,990.1,OR_F_W_signal,offramp,FW_W,10638,19,,1,120.0,114,1,0,0,0,0
960.1,990.1,OR_F_W_direct,offramp,FW_W,10645,16,,11,1320.0,248,7,0,0,0,0
960.1,990.1,source_1098,source,FW_E,,,0,66,7920.0,1964,,0,66,0,0
960.1,990.1,source_1099,source,FW_W,,,0,49,5880.0,1230,,0,49,0,0
990.1,1020.1,RM_C10480,ramp,FW_W,10480,,8,1,120.0,22,1,0,0,0,1
990.1,1020.1,RM_C10482,ramp,FW_W,10482,,10,13,1560.0,432,24,0,0,0,0
990.1,1020.1,RM_C10646,ramp,FW_W,10646,,18,0,0.0,37,2,0,0,0,0
990.1,1020.1,RM_C10644,ramp,FW_W,10644,,22,4,480.0,82,10,0,0,0,0
990.1,1020.1,RM_C10639,ramp,FW_E,10639,,10,7,840.0,75,4,0,0,0,0
990.1,1020.1,RM_C10681,ramp,FW_E,10681,,12,5,600.0,107,20,0,0,0,0
990.1,1020.1,RM_C10490,ramp,FW_E,10490,,21,2,240.0,157,2,0,0,0,0
990.1,1020.1,RM_C10484,ramp,FW_E,10484,,23,6,720.0,81,0,0,0,0,0
990.1,1020.1,OR_D_E_signal,offramp,FW_E,10481,18,,3,360.0,44,2,0,0,0,0
990.1,1020.1,OR_D_E_direct,offramp,FW_E,10483,20,,5,600.0,191,0,0,0,0,0
990.1,1020.1,OR_D_W_signal,offramp,FW_W,10491,9,,5,600.0,160,2,0,0,0,1
990.1,1020.1,OR_D_W_direct,offramp,FW_W,10479,7,,10,1200.0,220,1,0,0,0,0
990.1,1020.1,OR_F_E_signal,offramp,FW_E,10643,9,,2,240.0,137,4,0,0,0,0
990.1,1020.1,OR_F_E_direct,offramp,FW_E,10682,11,,9,1080.0,265,0,0,0,0,0
990.1,1020.1,OR_F_W_signal,offramp,FW_W,10638,19,,3,360.0,117,0,0,0,0,0
990.1,1020.1,OR_F_W_direct,offramp,FW_W,10645,16,,10,1200.0,258,5,0,0,0,0
990.1,1020.1,source_1098,source,FW_E,,,0,59,7080.0,2023,,0,59,0,0
990.1,1020.1,source_1099,source,FW_W,,,0,43,5160.0,1273,,0,43,0,0
1020.0999999999999,1050.1,RM_C10480,ramp,FW_W,10480,,8,5,600.0,27,0,0,0,0,4
1020.0999999999999,1050.1,RM_C10482,ramp,FW_W,10482,,10,18,2160.0,450,19,0,0,0,0
1020.0999999999999,1050.1,RM_C10646,ramp,FW_W,10646,,18,3,360.0,40,5,0,0,0,0
1020.0999999999999,1050.1,RM_C10644,ramp,FW_W,10644,,22,5,600.0,87,6,0,0,0,0
1020.0999999999999,1050.1,RM_C10639,ramp,FW_E,10639,,10,0,0.0,75,7,0,0,0,0
1020.0999999999999,1050.1,RM_C10681,ramp,FW_E,10681,,12,14,1680.0,121,16,0,0,0,0
1020.0999999999999,1050.1,RM_C10490,ramp,FW_E,10490,,21,0,0.0,157,6,0,0,0,0
1020.0999999999999,1050.1,RM_C10484,ramp,FW_E,10484,,23,0,0.0,81,4,0,0,0,0
1020.0999999999999,1050.1,OR_D_E_signal,offramp,FW_E,10481,18,,2,240.0,46,2,0,0,0,0
1020.0999999999999,1050.1,OR_D_E_direct,offramp,FW_E,10483,20,,4,480.0,195,4,0,0,0,0
1020.0999999999999,1050.1,OR_D_W_signal,offramp,FW_W,10491,9,,8,960.0,168,4,0,0,0,4
1020.0999999999999,1050.1,OR_D_W_direct,offramp,FW_W,10479,7,,10,1200.0,230,3,0,0,0,0
1020.0999999999999,1050.1,OR_F_E_signal,offramp,FW_E,10643,9,,5,600.0,142,3,0,0,0,0
1020.0999999999999,1050.1,OR_F_E_direct,offramp,FW_E,10682,11,,3,360.0,268,2,0,0,0,0
1020.0999999999999,1050.1,OR_F_W_signal,offramp,FW_W,10638,19,,9,1080.0,126,5,0,0,0,0
1020.0999999999999,1050.1,OR_F_W_direct,offramp,FW_W,10645,16,,8,960.0,266,2,0,0,0,0
1020.0999999999999,1050.1,source_1098,source,FW_E,,,0,64,7680.0,2087,,0,64,0,0
1020.0999999999999,1050.1,source_1099,source,FW_W,,,0,41,4920.0,1314,,0,41,0,0
1050.1,1080.1,RM_C10480,ramp,FW_W,10480,,8,2,240.0,29,4,0,0,0,2
1050.1,1080.1,RM_C10482,ramp,FW_W,10482,,10,12,1440.0,462,19,0,0,0,0
1050.1,1080.1,RM_C10646,ramp,FW_W,10646,,18,1,120.0,41,6,0,0,0,0
1050.1,1080.1,RM_C10644,ramp,FW_W,10644,,22,1,120.0,88,5,0,0,0,0
1050.1,1080.1,RM_C10639,ramp,FW_E,10639,,10,4,480.0,79,12,0,0,0,0
1050.1,1080.1,RM_C10681,ramp,FW_E,10681,,12,6,720.0,127,12,0,0,0,0
1050.1,1080.1,RM_C10490,ramp,FW_E,10490,,21,7,840.0,164,3,0,0,0,0
1050.1,1080.1,RM_C10484,ramp,FW_E,10484,,23,4,480.0,85,2,0,0,0,0
1050.1,1080.1,OR_D_E_signal,offramp,FW_E,10481,18,,4,480.0,50,3,0,0,0,0
1050.1,1080.1,OR_D_E_direct,offramp,FW_E,10483,20,,12,1440.0,207,7,0,0,0,0
1050.1,1080.1,OR_D_W_signal,offramp,FW_W,10491,9,,4,480.0,172,2,0,0,0,2
1050.1,1080.1,OR_D_W_direct,offramp,FW_W,10479,7,,8,960.0,238,2,0,0,0,0
1050.1,1080.1,OR_F_E_signal,offramp,FW_E,10643,9,,4,480.0,146,3,0,0,0,0
1050.1,1080.1,OR_F_E_direct,offramp,FW_E,10682,11,,12,1440.0,280,6,0,0,0,0
