run,model_link,index,sim_sec,count,stopped_count,mean_speed_kph
reference,FW_W,11,900.0,28.0,0.0,99.125651
reference,FW_W,11,930.0,18.0,0.0,104.689503
reference,FW_W,11,960.0,11.0,0.0,115.638178
reference,FW_W,11,990.0,11.0,0.0,92.273351
reference,FW_W,11,1020.0,11.0,0.0,113.378545
reference,FW_W,11,1050.0,35.0,0.0,97.116361
reference,FW_W,12,900.0,12.0,0.0,115.624688
reference,FW_W,12,930.0,12.0,0.0,98.77015
reference,FW_W,12,960.0,10.0,0.0,111.406402
reference,FW_W,12,990.0,13.0,0.0,107.294789
reference,FW_W,12,1020.0,7.0,0.0,119.266786
reference,FW_W,12,1050.0,13.0,0.0,87.961305
reference,FW_W,13,900.0,28.0,0.0,69.90426
reference,FW_W,13,930.0,17.0,0.0,98.455851
reference,FW_W,13,960.0,11.0,0.0,111.244139
reference,FW_W,13,990.0,16.0,0.0,84.328884
reference,FW_W,13,1020.0,12.0,0.0,96.173753
reference,FW_W,13,1050.0,14.0,0.0,61.510368
reference,FW_W,14,900.0,20.0,0.0,75.163388
reference,FW_W,14,930.0,32.0,0.0,60.675798
reference,FW_W,14,960.0,27.0,0.0,68.987926
reference,FW_W,14,990.0,18.0,0.0,87.353692
reference,FW_W,14,1020.0,13.0,0.0,88.571312
reference,FW_W,14,1050.0,14.0,0.0,82.98771
reference,FW_W,15,900.0,20.0,0.0,93.673038
reference,FW_W,15,930.0,21.0,0.0,71.980742
reference,FW_W,15,960.0,28.0,0.0,52.851407
reference,FW_W,15,990.0,38.0,0.0,68.176237
reference,FW_W,15,1020.0,20.0,0.0,85.145144
reference,FW_W,15,1050.0,12.0,0.0,110.167568
reference,FW_W,16,900.0,9.0,0.0,122.781486
reference,FW_W,16,930.0,12.0,0.0,113.972927
reference,FW_W,16,960.0,10.0,0.0,97.283967
reference,FW_W,16,990.0,12.0,0.0,111.939624
reference,FW_W,16,1020.0,25.0,0.0,98.916416
reference,FW_W,16,1050.0,16.0,0.0,101.036701
reference,FW_W,17,900.0,28.0,0.0,107.957811
reference,FW_W,17,930.0,12.0,0.0,117.267527
reference,FW_W,17,960.0,13.0,0.0,115.957898
reference,FW_W,17,990.0,10.0,0.0,116.43454
reference,FW_W,17,1020.0,22.0,0.0,110.986078
reference,FW_W,17,1050.0,19.0,0.0,108.620637
reference,FW_W,18,900.0,12.0,0.0,123.843943
reference,FW_W,18,930.0,13.0,0.0,125.162241
reference,FW_W,18,960.0,13.0,0.0,114.092222
reference,FW_W,18,990.0,9.0,0.0,119.396949
reference,FW_W,18,1020.0,11.0,0.0,111.740801
reference,FW_W,18,1050.0,25.0,0.0,111.007171
reference,FW_W,19,900.0,14.0,0.0,119.098332
reference,FW_W,19,930.0,27.0,0.0,115.154949
reference,FW_W,19,960.0,9.0,0.0,120.164455
reference,FW_W,19,990.0,13.0,0.0,120.507959
reference,FW_W,19,1020.0,10.0,0.0,122.989102
reference,FW_W,19,1050.0,16.0,0.0,113.135812
reference,FW_W,20,900.0,14.0,0.0,120.738211
reference,FW_W,20,930.0,10.0,0.0,124.51489
reference,FW_W,20,960.0,22.0,0.0,115.639983
reference,FW_W,20,990.0,11.0,0.0,118.796778
reference,FW_W,20,1020.0,9.0,0.0,120.559179
reference,FW_W,20,1050.0,11.0,0.0,119.812715
target,FW_E,0,900.0,32.0,0.0,75.479933
target,FW_E,0,930.0,53.0,0.0,74.106753
target,FW_E,0,960.0,34.0,0.0,79.563586
target,FW_E,0,990.0,33.0,0.0,76.106563
target,FW_E,0,1020.0,33.0,0.0,76.410172
target,FW_E,0,1050.0,43.0,0.0,66.516565
target,FW_E,1,900.0,30.0,0.0,103.658045
target,FW_E,1,930.0,24.0,0.0,106.331667
target,FW_E,1,960.0,33.0,0.0,109.680645
target,FW_E,1,990.0,21.0,0.0,113.521182
target,FW_E,1,1020.0,25.0,0.0,108.040339
target,FW_E,1,1050.0,27.0,0.0,108.922468
target,FW_E,2,900.0,17.0,0.0,112.748015
target,FW_E,2,930.0,26.0,0.0,115.042476
target,FW_E,2,960.0,31.0,0.0,110.712312
target,FW_E,2,990.0,29.0,0.0,111.690198
target,FW_E,2,1020.0,22.0,0.0,117.922879
target,FW_E,2,1050.0,21.0,0.0,115.211338
target,FW_E,3,900.0,24.0,0.0,118.08361
target,FW_E,3,930.0,24.0,0.0,111.361721
target,FW_E,3,960.0,23.0,0.0,112.668817
target,FW_E,3,990.0,37.0,0.0,109.92637
target,FW_E,3,1020.0,27.0,0.0,115.039136
target,FW_E,3,1050.0,25.0,0.0,113.91045
target,FW_E,4,900.0,15.0,0.0,115.44713
target,FW_E,4,930.0,15.0,0.0,115.617885
target,FW_E,4,960.0,32.0,0.0,106.112169
target,FW_E,4,990.0,23.0,0.0,112.339673
target,FW_E,4,1020.0,24.0,0.0,115.637411
target,FW_E,4,1050.0,24.0,0.0,116.155807
target,FW_E,5,900.0,21.0,0.0,118.839323
target,FW_E,5,930.0,27.0,0.0,114.822848
target,FW_E,5,960.0,20.0,0.0,112.818195
target,FW_E,5,990.0,29.0,0.0,119.993711
target,FW_E,5,1020.0,43.0,0.0,111.828537
target,FW_E,5,1050.0,25.0,0.0,116.034649
target,FW_E,6,900.0,22.0,0.0,117.304209
target,FW_E,6,930.0,12.0,0.0,116.387607
target,FW_E,6,960.0,13.0,0.0,119.084967
target,FW_E,6,990.0,26.0,0.0,115.519348
target,FW_E,6,1020.0,16.0,0.0,114.816688
target,FW_E,6,1050.0,30.0,0.0,111.272653
target,FW_E,7,900.0,27.0,0.0,111.450834
target,FW_E,7,930.0,21.0,0.0,114.084065
target,FW_E,7,960.0,25.0,0.0,114.525402
target,FW_E,7,990.0,19.0,0.0,113.761482
target,FW_E,7,1020.0,32.0,0.0,111.012719
target,FW_E,7,1050.0,37.0,0.0,106.922744
target,FW_E,8,900.0,19.0,0.0,112.109208
target,FW_E,8,930.0,25.0,0.0,99.40258
target,FW_E,8,960.0,16.0,0.0,114.408326
target,FW_E,8,990.0,17.0,0.0,108.919483
target,FW_E,8,1020.0,24.0,0.0,92.58846
target,FW_E,8,1050.0,24.0,0.0,64.284648
target,FW_E,9,900.0,19.0,1.0,63.129519
target,FW_E,9,930.0,28.0,1.0,74.303853
target,FW_E,9,960.0,27.0,3.0,65.275346
target,FW_E,9,990.0,31.0,3.0,69.719245
target,FW_E,9,1020.0,26.0,3.0,57.937297
target,FW_E,9,1050.0,38.0,5.0,69.210674
target,FW_E,10,900.0,30.0,0.0,75.902975
target,FW_E,10,930.0,12.0,0.0,104.369096
target,FW_E,10,960.0,21.0,0.0,104.329144
target,FW_E,10,990.0,8.0,0.0,94.101219
target,FW_E,10,1020.0,20.0,0.0,98.961709
target,FW_E,10,1050.0,10.0,0.0,118.58467
target,FW_E,11,900.0,12.0,0.0,122.454807
target,FW_E,11,930.0,25.0,0.0,117.754413
target,FW_E,11,960.0,14.0,0.0,112.948478
target,FW_E,11,990.0,16.0,0.0,120.372738
target,FW_E,11,1020.0,12.0,0.0,110.747963
target,FW_E,11,1050.0,14.0,0.0,116.895288
target,FW_E,12,900.0,9.0,0.0,120.841675
target,FW_E,12,930.0,11.0,0.0,116.130627
target,FW_E,12,960.0,9.0,0.0,120.654476
target,FW_E,12,990.0,24.0,0.0,110.436229
target,FW_E,12,1020.0,7.0,0.0,122.92552
target,FW_E,12,1050.0,18.0,0.0,117.358871
target,FW_E,13,900.0,9.0,0.0,115.856078
target,FW_E,13,930.0,12.0,0.0,120.145065
target,FW_E,13,960.0,19.0,0.0,111.634746
target,FW_E,13,990.0,9.0,0.0,117.111576
target,FW_E,13,1020.0,19.0,0.0,115.573388
target,FW_E,13,1050.0,9.0,0.0,104.842377
target,FW_E,14,900.0,12.0,0.0,100.940944
target,FW_E,14,930.0,7.0,0.0,92.093797
target,FW_E,14,960.0,12.0,0.0,82.633073
target,FW_E,14,990.0,14.0,0.0,79.846132
target,FW_E,14,1020.0,23.0,0.0,64.312885
target,FW_E,14,1050.0,12.0,0.0,79.373019
target,FW_E,15,900.0,20.0,0.0,72.762659
target,FW_E,15,930.0,11.0,0.0,76.199363
target,FW_E,15,960.0,7.0,0.0,100.886136
target,FW_E,15,990.0,12.0,0.0,95.926022
target,FW_E,15,1020.0,9.0,0.0,73.887349
target,FW_E,15,1050.0,27.0,0.0,58.817765
target,FW_E,16,900.0,9.0,0.0,110.937255
target,FW_E,16,930.0,14.0,0.0,111.713704
target,FW_E,16,960.0,9.0,0.0,108.899684
target,FW_E,16,990.0,9.0,0.0,122.223422
target,FW_E,16,1020.0,8.0,0.0,118.301908
target,FW_E,16,1050.0,7.0,0.0,111.224137
target,FW_E,17,900.0,6.0,0.0,118.42697
target,FW_E,17,930.0,9.0,0.0,122.658515
target,FW_E,17,960.0,8.0,0.0,112.375649
target,FW_E,17,990.0,6.0,0.0,113.12673
target,FW_E,17,1020.0,10.0,0.0,122.244804
target,FW_E,17,1050.0,6.0,0.0,111.123285
target,FW_E,18,900.0,7.0,0.0,117.761019
target,FW_E,18,930.0,12.0,0.0,126.866457
target,FW_E,18,960.0,14.0,0.0,119.542835
target,FW_E,18,990.0,8.0,0.0,117.020989
target,FW_E,18,1020.0,11.0,0.0,124.455802
target,FW_E,18,1050.0,7.0,0.0,126.892121
target,FW_E,19,900.0,16.0,0.0,114.996156
target,FW_E,19,930.0,7.0,0.0,114.500012
target,FW_E,19,960.0,9.0,0.0,122.862244
target,FW_E,19,990.0,9.0,0.0,112.436196
target,FW_E,19,1020.0,5.0,0.0,109.729857
target,FW_E,19,1050.0,11.0,0.0,124.559419
target,FW_E,20,900.0,17.0,0.0,111.945844
target,FW_E,20,930.0,5.0,0.0,120.790991
target,FW_E,20,960.0,11.0,0.0,122.429356
target,FW_E,20,990.0,14.0,0.0,119.532173
target,FW_E,20,1020.0,10.0,0.0,114.872416
target,FW_E,20,1050.0,10.0,0.0,124.353593
target,FW_W,0,900.0,35.0,0.0,78.117453
target,FW_W,0,930.0,41.0,0.0,67.999101
target,FW_W,0,960.0,39.0,0.0,69.059733
target,FW_W,0,990.0,42.0,0.0,70.408478
target,FW_W,0,1020.0,43.0,0.0,68.732793
target,FW_W,0,1050.0,45.0,0.0,67.450133
target,FW_W,1,900.0,24.0,0.0,92.124634
target,FW_W,1,930.0,25.0,0.0,99.451847
target,FW_W,1,960.0,32.0,0.0,95.534507
target,FW_W,1,990.0,24.0,0.0,107.336281
target,FW_W,1,1020.0,24.0,0.0,98.303592
target,FW_W,1,1050.0,26.0,0.0,98.121932
target,FW_W,2,900.0,23.0,0.0,115.547328
target,FW_W,2,930.0,29.0,0.0,100.847896
target,FW_W,2,960.0,21.0,0.0,112.930986
target,FW_W,2,990.0,29.0,0.0,105.105655
target,FW_W,2,1020.0,24.0,0.0,107.06754
target,FW_W,2,1050.0,23.0,0.0,100.949005
target,FW_W,3,900.0,26.0,0.0,114.276687
target,FW_W,3,930.0,15.0,0.0,110.241819
target,FW_W,3,960.0,29.0,0.0,110.433667
target,FW_W,3,990.0,22.0,0.0,112.320102
target,FW_W,3,1020.0,25.0,0.0,110.124937
target,FW_W,3,1050.0,33.0,0.0,100.221151
target,FW_W,4,900.0,51.0,2.0,63.015401
target,FW_W,4,930.0,56.0,6.0,42.68375
target,FW_W,4,960.0,44.0,0.0,70.695545
target,FW_W,4,990.0,41.0,4.0,53.931512
target,FW_W,4,1020.0,50.0,1.0,66.056628
target,FW_W,4,1050.0,56.0,1.0,39.492326
target,FW_W,5,900.0,37.0,0.0,69.990443
target,FW_W,5,930.0,42.0,0.0,65.929409
target,FW_W,5,960.0,46.0,0.0,60.156963
target,FW_W,5,990.0,55.0,2.0,45.159123
target,FW_W,5,1020.0,58.0,5.0,45.203813
target,FW_W,5,1050.0,44.0,1.0,45.437864
target,FW_W,6,900.0,25.0,0.0,94.136651
target,FW_W,6,930.0,30.0,1.0,61.143975
target,FW_W,6,960.0,25.0,0.0,90.649882
target,FW_W,6,990.0,24.0,0.0,93.674358
target,FW_W,6,1020.0,21.0,0.0,97.979666
target,FW_W,6,1050.0,30.0,0.0,88.61709
target,FW_W,7,900.0,13.0,0.0,81.129802
target,FW_W,7,930.0,16.0,0.0,67.318711
target,FW_W,7,960.0,30.0,0.0,76.593883
target,FW_W,7,990.0,33.0,0.0,85.497108
target,FW_W,7,1020.0,9.0,0.0,108.493632
target,FW_W,7,1050.0,24.0,0.0,92.710857
target,FW_W,8,900.0,18.0,0.0,109.024964
target,FW_W,8,930.0,19.0,0.0,109.563376
target,FW_W,8,960.0,11.0,0.0,105.73559
target,FW_W,8,990.0,27.0,0.0,97.595866
target,FW_W,8,1020.0,23.0,0.0,103.995436
target,FW_W,8,1050.0,13.0,0.0,109.0598
target,FW_W,9,900.0,16.0,0.0,113.937869
target,FW_W,9,930.0,12.0,0.0,117.593011
target,FW_W,9,960.0,10.0,0.0,119.910557
target,FW_W,9,990.0,15.0,0.0,118.837574
target,FW_W,9,1020.0,30.0,0.0,114.847262
target,FW_W,9,1050.0,14.0,0.0,114.56615
target,FW_W,10,900.0,15.0,0.0,110.847863
target,FW_W,10,930.0,14.0,0.0,113.007913
target,FW_W,10,960.0,16.0,0.0,116.02484
target,FW_W,10,990.0,10.0,0.0,111.908219
target,FW_W,10,1020.0,20.0,0.0,108.656764
target,FW_W,10,1050.0,20.0,0.0,111.638382
target,FW_W,11,900.0,28.0,0.0,99.125651
target,FW_W,11,930.0,18.0,0.0,104.689503
target,FW_W,11,960.0,11.0,0.0,115.638178
target,FW_W,11,990.0,11.0,0.0,89.067498
