sim_sec,controller_mode,sc_no,control_name,sg1_state,sg2_state,phase_label
13,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
13,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
13,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
13,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
13,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
14,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
14,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
14,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
14,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
14,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
14,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
14,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
15,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
15,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
15,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
15,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
15,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
15,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
15,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
16,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
16,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
16,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
16,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
16,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
16,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
16,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
17,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
17,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
17,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
17,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
17,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
17,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
17,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
18,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
18,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
