scope,candidate,scenario_id,internal_storage_fraction,offramp_storage_fraction,metric,n,mean_abs_error
overall,int080_off030,,0.8,0.3,urban_link_occupancy_total_veh,18,66.37054243054101
overall,int080_off030,,0.8,0.3,urban_movement_queue_total_veh,18,67.5320987654321
overall,int080_off030,,0.8,0.3,urban_queue_plus_link_occupancy_total_veh,18,52.48944188553044
overall,int080_off035,,0.8,0.35,freeway_total_veh,18,14.373301530067152
overall,int080_off035,,0.8,0.35,protected_accumulation_veh,18,49.92234585549795
overall,int080_off035,,0.8,0.35,total_model_vehicles,18,47.12554207263537
overall,int080_off035,,0.8,0.35,urban_link_occupancy_total_veh,18,65.72292169916244
overall,int080_off035,,0.8,0.35,urban_movement_queue_total_veh,18,67.51820987654322
overall,int080_off035,,0.8,0.35,urban_queue_plus_link_occupancy_total_veh,18,52.53756492021935
overall,int080_off040,,0.8,0.4,freeway_total_veh,18,14.375027393743974
overall,int080_off040,,0.8,0.4,protected_accumulation_veh,18,50.262276411053506
overall,int080_off040,,0.8,0.4,total_model_vehicles,18,47.07589525892273
overall,int080_off040,,0.8,0.4,urban_link_occupancy_total_veh,18,65.07529428768042
overall,int080_off040,,0.8,0.4,urban_movement_queue_total_veh,18,67.50432098765431
overall,int080_off040,,0.8,0.4,urban_queue_plus_link_occupancy_total_veh,18,52.58568154101836
overall,int080_off050,,0.8,0.5,freeway_total_veh,18,14.37901647485047
overall,int080_off050,,0.8,0.5,protected_accumulation_veh,18,51.26256553365497
overall,int080_off050,,0.8,0.5,total_model_vehicles,18,46.97724606586892
overall,int080_off050,,0.8,0.5,urban_link_occupancy_total_veh,18,63.78001955250288
overall,int080_off050,,0.8,0.5,urban_movement_queue_total_veh,18,67.47654320987654
overall,int080_off050,,0.8,0.5,urban_queue_plus_link_occupancy_total_veh,18,52.681895670138836
overall,int085_off010,,0.85,0.1,freeway_total_veh,18,14.366617834034866
overall,int085_off010,,0.85,0.1,protected_accumulation_veh,18,48.98911587035514
overall,int085_off010,,0.85,0.1,total_model_vehicles,18,48.0154961472117
overall,int085_off010,,0.85,0.1,urban_link_occupancy_total_veh,18,64.0549061332505
overall,int085_off010,,0.85,0.1,urban_movement_queue_total_veh,18,65.5457561728395
overall,int085_off010,,0.85,0.1,urban_queue_plus_link_occupancy_total_veh,18,52.612138096778885
overall,int085_off020,,0.85,0.2,freeway_total_veh,18,14.36842081539457
overall,int085_off020,,0.85,0.2,protected_accumulation_veh,18,49.161086743205
overall,int085_off020,,0.85,0.2,total_model_vehicles,18,47.93992495394119
overall,int085_off020,,0.85,0.2,urban_link_occupancy_total_veh,18,62.760406260576275
overall,int085_off020,,0.85,0.2,urban_movement_queue_total_veh,18,65.49297839506173
overall,int085_off020,,0.85,0.2,urban_queue_plus_link_occupancy_total_veh,18,52.682410049284
overall,int085_off030,,0.85,0.3,freeway_total_veh,18,14.37096202504576
overall,int085_off030,,0.85,0.3,protected_accumulation_veh,18,49.85900340987166
overall,int085_off030,,0.85,0.3,total_model_vehicles,18,47.85759678676622
overall,int085_off030,,0.85,0.3,urban_link_occupancy_total_veh,18,61.43046272396619
overall,int085_off030,,0.85,0.3,urban_movement_queue_total_veh,18,65.41242283950616
overall,int085_off030,,0.85,0.3,urban_queue_plus_link_occupancy_total_veh,18,52.76039156504964
overall,int085_off035,,0.85,0.35,freeway_total_veh,18,14.372506884136158
overall,int085_off035,,0.85,0.35,protected_accumulation_veh,18,50.19893396542723
overall,int085_off035,,0.85,0.35,total_model_vehicles,18,47.807732937281735
overall,int085_off035,,0.85,0.35,urban_link_occupancy_total_veh,18,60.782841994366365
overall,int085_off035,,0.85,0.35,urban_movement_queue_total_veh,18,65.39853395061729
overall,int085_off035,,0.85,0.35,urban_queue_plus_link_occupancy_total_veh,18,52.80851460153977
overall,int085_off040,,0.85,0.4,freeway_total_veh,18,14.374232883652628
overall,int085_off040,,0.85,0.4,protected_accumulation_veh,18,50.53886452098278
overall,int085_off040,,0.85,0.4,total_model_vehicles,18,47.758085989762094
overall,int085_off040,,0.85,0.4,urban_link_occupancy_total_veh,18,60.13521458491697
overall,int085_off040,,0.85,0.4,urban_movement_queue_total_veh,18,65.3846450617284
overall,int085_off040,,0.85,0.4,urban_queue_plus_link_occupancy_total_veh,18,52.85663122439715
overall,int085_off050,,0.85,0.5,freeway_total_veh,18,14.378222265446087
overall,int085_off050,,0.85,0.5,protected_accumulation_veh,18,51.48017034995164
overall,int085_off050,,0.85,0.5,total_model_vehicles,18,47.65943650084489
overall,int085_off050,,0.85,0.5,urban_link_occupancy_total_veh,18,58.98905433920787
overall,int085_off050,,0.85,0.5,urban_movement_queue_total_veh,18,65.35686728395062
overall,int085_off050,,0.85,0.5,urban_queue_plus_link_occupancy_total_veh,18,52.952845358402186
overall,int090_off010,,0.9,0.1,freeway_total_veh,18,14.36787986664624
overall,int090_off010,,0.9,0.1,protected_accumulation_veh,18,49.41455915862066
overall,int090_off010,,0.9,0.1,total_model_vehicles,18,48.60528319176161
overall,int090_off010,,0.9,0.1,urban_link_occupancy_total_veh,18,59.30162849150233
overall,int090_off010,,0.9,0.1,urban_movement_queue_total_veh,18,63.637345679012356
overall,int090_off010,,0.9,0.1,urban_queue_plus_link_occupancy_total_veh,18,53.003292076930855
overall,int090_off020,,0.9,0.2,freeway_total_veh,18,14.369683031912562
overall,int090_off020,,0.9,0.2,protected_accumulation_veh,18,49.34303609311765
overall,int090_off020,,0.9,0.2,total_model_vehicles,18,48.529711816358194
overall,int090_off020,,0.9,0.2,urban_link_occupancy_total_veh,18,58.19211235117435
overall,int090_off020,,0.9,0.2,urban_movement_queue_total_veh,18,63.584567901234564
overall,int090_off020,,0.9,0.2,urban_queue_plus_link_occupancy_total_veh,18,53.07283084854478
overall,int090_off030,,0.9,0.3,freeway_total_veh,18,14.372224464443011
overall,int090_off030,,0.9,0.3,protected_accumulation_veh,18,50.040952759784304
overall,int090_off030,,0.9,0.3,total_model_vehicles,18,48.447383429101755
overall,int090_off030,,0.9,0.3,urban_link_occupancy_total_veh,18,57.17605770625106
overall,int090_off030,,0.9,0.3,urban_movement_queue_total_veh,18,63.50401234567901
overall,int090_off030,,0.9,0.3,urban_queue_plus_link_occupancy_total_veh,18,53.15081236714369
overall,int090_off035,,0.9,0.35,freeway_total_veh,18,14.373769449542735
overall,int090_off035,,0.9,0.35,protected_accumulation_veh,18,50.38088331533986
overall,int090_off035,,0.9,0.35,total_model_vehicles,18,48.39751945538955
overall,int090_off035,,0.9,0.35,urban_link_occupancy_total_veh,18,56.685381422877235
overall,int090_off035,,0.9,0.35,urban_movement_queue_total_veh,18,63.49012345679013
overall,int090_off035,,0.9,0.35,urban_queue_plus_link_occupancy_total_veh,18,53.198935405437936
overall,int090_off040,,0.9,0.4,freeway_total_veh,18,14.375495584754784
overall,int090_off040,,0.9,0.4,protected_accumulation_veh,18,50.72081387089541
overall,int090_off040,,0.9,0.4,total_model_vehicles,18,48.34787237420997
overall,int090_off040,,0.9,0.4,urban_link_occupancy_total_veh,18,56.19469845990794
overall,int090_off040,,0.9,0.4,urban_movement_queue_total_veh,18,63.47623456790123
overall,int090_off040,,0.9,0.4,urban_queue_plus_link_occupancy_total_veh,18,53.247052030356706
overall,int090_off050,,0.9,0.5,freeway_total_veh,18,14.379485266908953
overall,int090_off050,,0.9,0.5,protected_accumulation_veh,18,51.6031362273586
overall,int090_off050,,0.9,0.5,total_model_vehicles,18,48.249222589762276
overall,int090_off050,,0.9,0.5,urban_link_occupancy_total_veh,18,55.213312623273076
overall,int090_off050,,0.9,0.5,urban_movement_queue_total_veh,18,63.44845679012346
overall,int090_off050,,0.9,0.5,urban_queue_plus_link_occupancy_total_veh,18,53.34326616925309
overall,int095_off010,,0.95,0.1,freeway_total_veh,18,14.36929980922931
overall,int095_off010,,0.95,0.1,protected_accumulation_veh,18,49.82258297263358
overall,int095_off010,,0.95,0.1,total_model_vehicles,18,49.315372324157806
overall,int095_off010,,0.95,0.1,urban_link_occupancy_total_veh,18,55.141616269858524
overall,int095_off010,,0.95,0.1,urban_movement_queue_total_veh,18,61.8491512345679
overall,int095_off010,,0.95,0.1,urban_queue_plus_link_occupancy_total_veh,18,53.73734904089507
overall,int095_off020,,0.95,0.2,freeway_total_veh,18,14.371103158229147
overall,int095_off020,,0.95,0.2,protected_accumulation_veh,18,49.64642072268001
overall,int095_off020,,0.95,0.2,total_model_vehicles,18,49.2398007667987
overall,int095_off020,,0.95,0.2,urban_link_occupancy_total_veh,18,54.16100528962473
overall,int095_off020,,0.95,0.2,urban_movement_queue_total_veh,18,61.79637345679013
overall,int095_off020,,0.95,0.2,urban_queue_plus_link_occupancy_total_veh,18,53.658536854582536
overall,int095_off030,,0.95,0.3,freeway_total_veh,18,14.373644813414442
overall,int095_off030,,0.95,0.3,protected_accumulation_veh,18,50.34433738934668
overall,int095_off030,,0.95,0.3,total_model_vehicles,18,49.15747215969034
overall,int095_off030,,0.95,0.3,urban_link_occupancy_total_veh,18,53.14495064750433
overall,int095_off030,,0.95,0.3,urban_movement_queue_total_veh,18,61.715817901234566
overall,int095_off030,,0.95,0.3,urban_queue_plus_link_occupancy_total_veh,18,53.57196323769479
overall,int095_off035,,0.95,0.35,freeway_total_veh,18,14.375189924392098
overall,int095_off035,,0.95,0.35,protected_accumulation_veh,18,50.68426794490223
overall,int095_off035,,0.95,0.35,total_model_vehicles,18,49.10760806188456
overall,int095_off035,,0.95,0.35,urban_link_occupancy_total_veh,18,52.65427436591489
overall,int095_off035,,0.95,0.35,urban_movement_queue_total_veh,18,61.70192901234567
overall,int095_off035,,0.95,0.35,urban_queue_plus_link_occupancy_total_veh,18,53.519524804375145
overall,int095_off040,,0.95,0.4,freeway_total_veh,18,14.376916195155584
overall,int095_off040,,0.95,0.4,protected_accumulation_veh,18,51.02419850045779
overall,int095_off040,,0.95,0.4,total_model_vehicles,18,49.05796084719225
overall,int095_off040,,0.95,0.4,urban_link_occupancy_total_veh,18,52.16359140498428
overall,int095_off040,,0.95,0.4,urban_movement_queue_total_veh,18,61.68804012345679
overall,int095_off040,,0.95,0.4,urban_queue_plus_link_occupancy_total_veh,18,53.54848093313259
overall,int095_off050,,0.95,0.5,freeway_total_veh,18,14.380906177344016
overall,int095_off050,,0.95,0.5,protected_accumulation_veh,18,51.847537205247995
overall,int095_off050,,0.95,0.5,total_model_vehicles,18,48.959310767547265
overall,int095_off050,,0.95,0.5,urban_link_occupancy_total_veh,18,51.12317779540857
overall,int095_off050,,0.95,0.5,urban_movement_queue_total_veh,18,61.60123456790124
overall,int095_off050,,0.95,0.5,urban_queue_plus_link_occupancy_total_veh,18,53.644695076927036
overall,int100_off010,,1.0,0.1,freeway_total_veh,18,14.370257844146652
overall,int100_off010,,1.0,0.1,protected_accumulation_veh,18,50.28792474954679
overall,int100_off010,,1.0,0.1,total_model_vehicles,18,50.12617468529235
overall,int100_off010,,1.0,0.1,urban_link_occupancy_total_veh,18,51.34839122779111
overall,int100_off010,,1.0,0.1,urban_movement_queue_total_veh,18,60.34552469135804
overall,int100_off010,,1.0,0.1,urban_queue_plus_link_occupancy_total_veh,18,54.57291754345853
overall,int100_off020,,1.0,0.2,freeway_total_veh,18,14.372061376706833
overall,int100_off020,,1.0,0.2,protected_accumulation_veh,18,50.057369193991285
overall,int100_off020,,1.0,0.2,total_model_vehicles,18,50.05060294615496
overall,int100_off020,,1.0,0.2,urban_link_occupancy_total_veh,18,50.36778024933934
overall,int100_off020,,1.0,0.2,urban_movement_queue_total_veh,18,60.292746913580245
overall,int100_off020,,1.0,0.2,urban_queue_plus_link_occupancy_total_veh,18,54.494105358950556
overall,int100_off030,,1.0,0.3,freeway_total_veh,18,14.374603254322462
overall,int100_off030,,1.0,0.3,protected_accumulation_veh,18,50.635586607262475
overall,int100_off030,,1.0,0.3,total_model_vehicles,18,49.96827411942426
overall,int100_off030,,1.0,0.3,urban_link_occupancy_total_veh,18,49.35172561002688
overall,int100_off030,,1.0,0.3,urban_movement_queue_total_veh,18,60.21219135802469
overall,int100_off030,,1.0,0.3,urban_queue_plus_link_occupancy_total_veh,18,54.40753174490625
overall,int100_off035,,1.0,0.35,freeway_total_veh,18,14.376148491046596
overall,int100_off035,,1.0,0.35,protected_accumulation_veh,18,50.975517162818036
overall,int100_off035,,1.0,0.35,total_model_vehicles,18,49.91840989765918
overall,int100_off035,,1.0,0.35,urban_link_occupancy_total_veh,18,48.86104933022467
overall,int100_off035,,1.0,0.35,urban_movement_queue_total_veh,18,60.19830246913582
overall,int100_off035,,1.0,0.35,urban_queue_plus_link_occupancy_total_veh,18,54.355093313396424
overall,int100_off040,,1.0,0.4,freeway_total_veh,18,14.377874897217291
overall,int100_off040,,1.0,0.4,protected_accumulation_veh,18,51.315447718373605
overall,int100_off040,,1.0,0.4,total_model_vehicles,18,49.868762549601435
overall,int100_off040,,1.0,0.4,urban_link_occupancy_total_veh,18,48.55051788977057
overall,int100_off040,,1.0,0.4,urban_movement_queue_total_veh,18,60.184413580246904
overall,int100_off040,,1.0,0.4,urban_queue_plus_link_occupancy_total_veh,18,54.30264846902642
overall,int100_off050,,1.0,0.5,freeway_total_veh,18,14.38186517911337
overall,int100_off050,,1.0,0.5,protected_accumulation_veh,18,52.07980259202904
overall,int100_off050,,1.0,0.5,total_model_vehicles,18,49.770112175092365
overall,int100_off050,,1.0,0.5,urban_link_occupancy_total_veh,18,47.91565984059405
overall,int100_off050,,1.0,0.5,urban_movement_queue_total_veh,18,60.097608024691354
overall,int100_off050,,1.0,0.5,urban_queue_plus_link_occupancy_total_veh,18,54.19773967088409
scenario,int035_off050,fw_eb_heavy,0.35,0.5,freeway_total_veh,6,16.231305489363574
scenario,int035_off050,fw_eb_heavy,0.35,0.5,protected_accumulation_veh,6,48.49144252594414
scenario,int035_off050,fw_eb_heavy,0.35,0.5,total_model_vehicles,6,42.1409473230763
scenario,int035_off050,fw_eb_heavy,0.35,0.5,urban_link_occupancy_total_veh,6,105.30178830527849
scenario,int035_off050,fw_eb_heavy,0.35,0.5,urban_movement_queue_total_veh,6,78.90347222222225
scenario,int035_off050,fw_eb_heavy,0.35,0.5,urban_queue_plus_link_occupancy_total_veh,6,47.70122169600352
scenario,int035_off050,ramp_d_bias,0.35,0.5,freeway_total_veh,6,18.616166056922665
scenario,int035_off050,ramp_d_bias,0.35,0.5,protected_accumulation_veh,6,60.85631453144371
scenario,int035_off050,ramp_d_bias,0.35,0.5,total_model_vehicles,6,18.702083903316645
scenario,int035_off050,ramp_d_bias,0.35,0.5,urban_link_occupancy_total_veh,6,132.86100114095095
scenario,int035_off050,ramp_d_bias,0.35,0.5,urban_movement_queue_total_veh,6,167.91134259259258
scenario,int035_off050,ramp_d_bias,0.35,0.5,urban_queue_plus_link_occupancy_total_veh,6,29.30045012069442
scenario,int035_off050,urban_d_heavy,0.35,0.5,freeway_total_veh,6,8.39418523787021
scenario,int035_off050,urban_d_heavy,0.35,0.5,protected_accumulation_veh,6,42.329309668850286
scenario,int035_off050,urban_d_heavy,0.35,0.5,total_model_vehicles,6,66.25730373497754
scenario,int035_off050,urban_d_heavy,0.35,0.5,urban_link_occupancy_total_veh,6,93.88152550115467
scenario,int035_off050,urban_d_heavy,0.35,0.5,urban_movement_queue_total_veh,6,70.41527777777783
scenario,int035_off050,urban_d_heavy,0.35,0.5,urban_queue_plus_link_occupancy_total_veh,6,75.31537546262808
scenario,int070_off010,fw_eb_heavy,0.7,0.1,freeway_total_veh,6,16.325462450516635
scenario,int070_off010,fw_eb_heavy,0.7,0.1,protected_accumulation_veh,6,51.05689851602028
scenario,int070_off010,fw_eb_heavy,0.7,0.1,total_model_vehicles,6,46.30605700374645
scenario,int070_off010,fw_eb_heavy,0.7,0.1,urban_link_occupancy_total_veh,6,77.15857639520011
scenario,int070_off010,fw_eb_heavy,0.7,0.1,urban_movement_queue_total_veh,6,45.99722222222223
scenario,int070_off010,fw_eb_heavy,0.7,0.1,urban_queue_plus_link_occupancy_total_veh,6,52.25865996507565
scenario,int070_off010,ramp_d_bias,0.7,0.1,freeway_total_veh,6,18.073824003652575
scenario,int070_off010,ramp_d_bias,0.7,0.1,protected_accumulation_veh,6,45.885444930395494
scenario,int070_off010,ramp_d_bias,0.7,0.1,total_model_vehicles,6,21.055508976398055
scenario,int070_off010,ramp_d_bias,0.7,0.1,urban_link_occupancy_total_veh,6,94.91996630426637
scenario,int070_off010,ramp_d_bias,0.7,0.1,urban_movement_queue_total_veh,6,122.1884259259259
scenario,int070_off010,ramp_d_bias,0.7,0.1,urban_queue_plus_link_occupancy_total_veh,6,22.541682930675766
scenario,int070_off010,urban_d_heavy,0.7,0.1,freeway_total_veh,6,8.604224497715826
scenario,int070_off010,urban_d_heavy,0.7,0.1,protected_accumulation_veh,6,47.485313912749454
scenario,int070_off010,urban_d_heavy,0.7,0.1,total_model_vehicles,6,71.05185652654804
scenario,int070_off010,urban_d_heavy,0.7,0.1,urban_link_occupancy_total_veh,6,65.45451781594763
scenario,int070_off010,urban_d_heavy,0.7,0.1,urban_movement_queue_total_veh,6,54.61388888888893
scenario,int070_off010,urban_d_heavy,0.7,0.1,urban_queue_plus_link_occupancy_total_veh,6,80.39625160463571
scenario,int070_off020,fw_eb_heavy,0.7,0.2,freeway_total_veh,6,16.32426007506922
scenario,int070_off020,fw_eb_heavy,0.7,0.2,protected_accumulation_veh,6,50.61523184935362
scenario,int070_off020,fw_eb_heavy,0.7,0.2,total_model_vehicles,6,46.26539315026303
scenario,int070_off020,fw_eb_heavy,0.7,0.2,urban_link_occupancy_total_veh,6,76.36687608350782
scenario,int070_off020,fw_eb_heavy,0.7,0.2,urban_movement_queue_total_veh,6,45.416666666666664
