arm,time_s,zone,command_kph,link,position_m,flow_vph_per_lane,occupancy_pct,speed_kph
vsl,1950,FW_W__seg0,60.0,26,40.0,1360.0,42.4598029481722,25.804994631181003
vsl,1950,FW_W__seg5,120.0,26,2694.4232696497,1360.0,10.675737208662774,60.3696583900716
vsl,1950,FW_W__seg10,120.0,120,1569.2945392994002,1170.0,5.235901102904225,114.77128975964398
vsl,1950,FW_W__seg15,120.0,120,4263.717808949101,978.0,4.025127134357005,117.77395482093107
vsl,2100,FW_E__seg0,60.0,74,40.0,1974.0,29.59392304648995,34.73369363195694
vsl,2100,FW_E__seg5,80.0,2,48.18555656496521,1860.0,14.65572859993905,60.73052914593056
vsl,2100,FW_E__seg10,120.0,2,2652.0273490354593,1806.0,10.533482661083267,82.92139258743161
vsl,2100,FW_E__seg15,120.0,24,652.704139739827,2432.0,11.579152997568599,102.83919339840723
vsl,2100,FW_W__seg0,60.0,26,40.0,1464.0,41.481801784377666,28.637943407982938
vsl,2100,FW_W__seg5,120.0,26,2694.4232696497,1304.0,11.936468718037693,56.81955178761368
vsl,2100,FW_W__seg10,120.0,120,1569.2945392994002,1098.0,4.683159385246893,114.88978328187217
vsl,2100,FW_W__seg15,120.0,120,4263.717808949101,822.0,3.539273504517953,117.56949025390642
vsl,2250,FW_E__seg0,60.0,74,40.0,1968.0,29.240898296612727,35.46140269207654
vsl,2250,FW_E__seg5,80.0,2,48.18555656496521,1980.0,16.138449090122226,60.646145610666245
vsl,2250,FW_E__seg10,120.0,2,2652.0273490354593,1854.0,11.267704401805764,82.20661606320955
vsl,2250,FW_E__seg15,120.0,24,652.704139739827,2288.0,10.197312156172313,109.15224513685853
vsl,2250,FW_W__seg0,60.0,26,40.0,1512.0,42.45460559291967,28.206727299533114
vsl,2250,FW_W__seg5,120.0,26,2694.4232696497,1448.0,11.953418848416385,60.645732710796516
vsl,2250,FW_W__seg10,120.0,120,1569.2945392994002,1218.0,5.4678561694870025,111.66494498470452
vsl,2250,FW_W__seg15,120.0,120,4263.717808949101,930.0,3.8279193911595204,118.65450463525211
vsl,2400,FW_E__seg0,60.0,74,40.0,1956.0,30.2527056326818,34.01502958380109
vsl,2400,FW_E__seg5,80.0,2,48.18555656496521,1914.0,15.281783964176073,60.906323891314194
vsl,2400,FW_E__seg10,120.0,2,2652.0273490354593,1890.0,11.385736352879915,81.73348110704124
vsl,2400,FW_E__seg15,120.0,24,652.704139739827,2384.0,11.395274031004165,102.90656905727197
vsl,2400,FW_W__seg0,60.0,26,40.0,1464.0,39.000236476530866,28.343745031899832
vsl,2400,FW_W__seg5,120.0,26,2694.4232696497,1360.0,12.576302245462124,55.44210935833188
vsl,2400,FW_W__seg10,120.0,120,1569.2945392994002,1344.0,6.096744225977845,108.39133201071607
vsl,2400,FW_W__seg15,120.0,120,4263.717808949101,1038.0,4.438481290425628,116.6485602708336
vsl,2550,FW_E__seg0,60.0,74,40.0,1890.0,32.489741884968595,31.114431327980213
vsl,2550,FW_E__seg5,80.0,2,48.18555656496521,1986.0,16.155530526505125,60.60718520003687
vsl,2550,FW_E__seg10,120.0,2,2652.0273490354593,1734.0,10.29985112633374,82.31422174756909
vsl,2550,FW_E__seg15,120.0,24,652.704139739827,2448.0,12.2664306812692,99.73325818797701
vsl,2550,FW_W__seg0,60.0,26,40.0,1416.0,42.125491636195434,28.588342127104333
vsl,2550,FW_W__seg5,120.0,26,2694.4232696497,1520.0,11.859815237438175,61.73099267954711
vsl,2550,FW_W__seg10,120.0,120,1569.2945392994002,1086.0,4.7445198191205575,113.07484839198217
vsl,2550,FW_W__seg15,120.0,120,4263.717808949101,912.0,3.7706727920135275,117.08625145103255
vsl,2700,FW_E__seg0,60.0,74,40.0,1884.0,32.148025530187724,31.762429101061727
vsl,2700,FW_E__seg5,80.0,2,48.18555656496521,1902.0,15.3531450214553,60.996390020338175
vsl,2700,FW_E__seg10,120.0,2,2652.0273490354593,1818.0,11.327372353008522,80.69186406944459
vsl,2700,FW_E__seg15,120.0,24,652.704139739827,2336.0,11.4801537343225,102.88777106931659
vsl,2700,FW_W__seg0,60.0,26,40.0,1440.0,43.36042154504357,27.775684818920254
vsl,2700,FW_W__seg5,120.0,26,2694.4232696497,1456.0,11.852375522376091,61.12490616359273
vsl,2700,FW_W__seg10,120.0,120,1569.2945392994002,1362.0,6.049565302385177,113.02649918176971
vsl,2700,FW_W__seg15,120.0,120,4263.717808949101,1092.0,4.69648359445672,116.58310169347233
vsl,2850,FW_E__seg0,60.0,74,40.0,1944.0,32.33851597289937,33.21031213448714
vsl,2850,FW_E__seg5,80.0,2,48.18555656496521,1860.0,14.8339104672718,61.173834741533014
vsl,2850,FW_E__seg10,120.0,2,2652.0273490354593,1950.0,11.917338121334685,81.97215088769009
vsl,2850,FW_E__seg15,120.0,24,652.704139739827,2448.0,12.7255198355212,96.32232720832687
vsl,2850,FW_W__seg0,60.0,26,40.0,1464.0,40.8513192243658,28.418889315037184
vsl,2850,FW_W__seg5,120.0,26,2694.4232696497,1472.0,11.784060851207407,61.4761337918302
vsl,2850,FW_W__seg10,120.0,120,1569.2945392994002,1338.0,5.762569225495485,112.1631583277964
vsl,2850,FW_W__seg15,120.0,120,4263.717808949101,966.0,3.9642579775623124,116.28983941807023
vsl,3000,FW_E__seg0,60.0,74,40.0,1938.0,31.869156646741448,32.08982309868093
vsl,3000,FW_E__seg5,80.0,2,48.18555656496521,1998.0,16.27051918816435,60.763542796849435
vsl,3000,FW_E__seg10,120.0,2,2652.0273490354593,1818.0,11.331420875425321,80.48842431888892
vsl,3000,FW_E__seg15,120.0,24,652.704139739827,2232.0,11.212292830902035,102.37230740358085
vsl,3000,FW_W__seg0,60.0,26,40.0,1432.0,40.316553819662936,29.662327785970216
vsl,3000,FW_W__seg5,120.0,26,2694.4232696497,1432.0,11.068432771612665,61.7814611969119
vsl,3000,FW_W__seg10,120.0,120,1569.2945392994002,1380.0,6.249193333437912,111.19927507536724
vsl,3000,FW_W__seg15,120.0,120,4263.717808949101,1164.0,4.851519233461278,116.91081057254321
vsl,3150,FW_E__seg0,60.0,74,40.0,1944.0,32.30037523067405,32.51402981249145
vsl,3150,FW_E__seg5,80.0,2,48.18555656496521,2004.0,16.3996560901195,60.892836954095486
vsl,3150,FW_E__seg10,80.0,2,2652.0273490354593,1836.0,11.641637372588486,79.27827713118229
vsl,3150,FW_E__seg15,120.0,24,652.704139739827,2384.0,12.2098519805349,99.43823999931577
vsl,3150,FW_W__seg0,60.0,26,40.0,1320.0,42.47713961823836,24.58001526371687
vsl,3150,FW_W__seg5,120.0,26,2694.4232696497,1304.0,10.94151642630663,59.60417720550786
vsl,3150,FW_W__seg10,120.0,120,1569.2945392994002,1284.0,5.463538522877375,114.16631255134727
vsl,3150,FW_W__seg15,120.0,120,4263.717808949101,960.0,4.196974594954369,115.7619011058561
vsl,3300,FW_E__seg0,60.0,74,40.0,1788.0,34.5014096065445,29.42788078781903
vsl,3300,FW_E__seg5,80.0,2,48.18555656496521,1788.0,14.220589803785325,61.21183723609435
vsl,3300,FW_E__seg10,120.0,2,2652.0273490354593,1794.0,11.044508913454795,80.4428579291266
vsl,3300,FW_E__seg15,120.0,24,652.704139739827,2152.0,12.058478852168365,91.62254018786875
vsl,3300,FW_W__seg0,60.0,26,40.0,1480.0,40.15955671486233,27.877430270258497
vsl,3300,FW_W__seg5,120.0,26,2694.4232696497,1384.0,13.866610405261092,53.470459383701474
vsl,3300,FW_W__seg10,120.0,120,1569.2945392994002,1236.0,5.4706286292275,112.96023734057607
vsl,3300,FW_W__seg15,120.0,120,4263.717808949101,960.0,4.19451060535772,116.24244263236824
vsl,3450,FW_E__seg0,60.0,74,40.0,1806.0,33.405442392811274,29.419181658211173
vsl,3450,FW_E__seg5,80.0,2,48.18555656496521,1860.0,16.0447619376087,61.043277696224
vsl,3450,FW_E__seg10,80.0,2,2652.0273490354593,1866.0,11.982108459174922,78.31411284444836
vsl,3450,FW_E__seg15,120.0,24,652.704139739827,2376.0,13.884592108272535,86.94796067309368
vsl,3450,FW_W__seg0,60.0,26,40.0,1304.0,44.846569171023596,25.093444791217483
vsl,3450,FW_W__seg5,120.0,26,2694.4232696497,1312.0,10.65032609467438,60.19667875269727
vsl,3450,FW_W__seg10,120.0,120,1569.2945392994002,1110.0,5.070928346496097,108.3039606768901
vsl,3450,FW_W__seg15,120.0,120,4263.717808949101,792.0,3.350649646512955,118.11781991939709
vsl,3600,FW_E__seg0,60.0,74,40.0,1902.0,31.636393390761352,31.863568223881458
vsl,3600,FW_E__seg5,80.0,2,48.18555656496521,1842.0,14.618641884790323,60.2837589043018
vsl,3600,FW_E__seg10,120.0,2,2652.0273490354593,1824.0,11.80672676601618,80.43663442473012
vsl,3600,FW_E__seg15,120.0,24,652.704139739827,2296.0,12.8395364305512,91.69375174150011
vsl,3600,FW_W__seg0,60.0,26,40.0,1424.0,37.656564216346034,24.7442144621665
vsl,3600,FW_W__seg5,120.0,26,2694.4232696497,1448.0,12.083385731847324,60.29506982797096
vsl,3600,FW_W__seg10,120.0,120,1569.2945392994002,1320.0,5.563643199554627,112.93086332906788
vsl,3600,FW_W__seg15,120.0,120,4263.717808949101,918.0,3.7832700194592497,116.3125352510201
vsl,3750,FW_E__seg0,60.0,74,40.0,1818.0,32.5675065973094,30.05417656454805
vsl,3750,FW_E__seg5,80.0,2,48.18555656496521,1866.0,15.380674953885077,60.537685918811505
vsl,3750,FW_E__seg10,80.0,2,2652.0273490354593,1788.0,11.820518741263543,77.78752355140472
vsl,3750,FW_E__seg15,120.0,24,652.704139739827,2264.0,13.954900073582001,85.58500755857001
vsl,3750,FW_W__seg0,60.0,26,40.0,1328.0,41.445496817411964,29.413172436909516
vsl,3750,FW_W__seg5,120.0,26,2694.4232696497,1328.0,12.911346447528276,56.6572759010055
vsl,3750,FW_W__seg10,120.0,120,1569.2945392994002,1254.0,5.445049616112203,113.65362372795357
vsl,3750,FW_W__seg15,120.0,120,4263.717808949101,996.0,4.16349691543651,115.51367876928614
vsl,3900,FW_E__seg0,60.0,74,40.0,1962.0,30.987558616595823,34.693752225916825
vsl,3900,FW_E__seg5,80.0,2,48.18555656496521,1818.0,14.708919880326551,60.83624282104496
vsl,3900,FW_E__seg10,120.0,2,2652.0273490354593,1740.0,10.7352149091133,80.22450454066986
vsl,3900,FW_E__seg15,120.0,24,652.704139739827,2256.0,12.359222494016235,91.50016318487818
vsl,3900,FW_W__seg0,60.0,26,40.0,1352.0,41.805196094874496,24.781989501702128
vsl,3900,FW_W__seg5,120.0,26,2694.4232696497,1384.0,10.906853769094935,60.55825267154297
vsl,3900,FW_W__seg10,120.0,120,1569.2945392994002,1254.0,5.657137850222745,112.5908976932815
vsl,3900,FW_W__seg15,120.0,120,4263.717808949101,834.0,3.688286742848365,116.46953290232946
vsl,4050,FW_E__seg0,60.0,74,40.0,1782.0,32.259630934982894,29.054747053517474
vsl,4050,FW_E__seg5,80.0,2,48.18555656496521,1968.0,15.20613194138615,60.95335755469748
vsl,4050,FW_E__seg10,120.0,2,2652.0273490354593,1830.0,11.361366038617914,80.05344439063914
vsl,4050,FW_E__seg15,120.0,24,652.704139739827,2336.0,13.012250163034766,89.19644612580232
vsl,4050,FW_W__seg0,60.0,26,40.0,1584.0,38.742776470397764,30.288469957560487
vsl,4050,FW_W__seg5,120.0,26,2694.4232696497,1480.0,11.498652428760591,61.69879568896858
vsl,4050,FW_W__seg10,120.0,120,1569.2945392994002,1224.0,5.619652570451295,110.60352407888597
vsl,4050,FW_W__seg15,120.0,120,4263.717808949101,996.0,4.430985837164263,116.63771690488299
vsl,4200,FW_E__seg0,60.0,74,40.0,2010.0,30.037793367902527,34.32062579766132
vsl,4200,FW_E__seg5,80.0,2,48.18555656496521,1806.0,14.967352059710452,60.619560295778065
vsl,4200,FW_E__seg10,80.0,2,2652.0273490354593,1710.0,11.043457173110136,79.5740107388892
vsl,4200,FW_E__seg15,120.0,24,652.704139739827,2472.0,12.835584073206467,95.10726456498173
vsl,4200,FW_W__seg0,60.0,26,40.0,1320.0,44.27887803361273,23.648954118532433
vsl,4200,FW_W__seg5,120.0,26,2694.4232696497,1376.0,12.595000352667123,57.541723104199484
vsl,4200,FW_W__seg10,120.0,120,1569.2945392994002,1302.0,5.679738378090182,112.5845943810421
vsl,4200,FW_W__seg15,120.0,120,4263.717808949101,990.0,4.2117900550698675,115.1039642097527
vsl,4350,FW_E__seg0,60.0,74,40.0,1914.0,31.644342315575624,31.56972800627148
vsl,4350,FW_E__seg5,80.0,2,48.18555656496521,1944.0,15.488420248993501,60.8425462261383
vsl,4350,FW_E__seg10,120.0,2,2652.0273490354593,1674.0,10.122545115051757,82.0437848366356
vsl,4350,FW_E__seg15,120.0,24,652.704139739827,2320.0,12.571665562419966,92.36053981139287
vsl,4350,FW_W__seg0,60.0,26,40.0,1376.0,40.182283243884996,24.976392985011767
vsl,4350,FW_W__seg5,120.0,26,2694.4232696497,1392.0,11.49694006611895,60.10389015976842
vsl,4350,FW_W__seg10,120.0,120,1569.2945392994002,1206.0,5.752576607177417,110.66162344108075
vsl,4350,FW_W__seg15,120.0,120,4263.717808949101,816.0,3.5574825026145644,119.33817616036053
vsl,4500,FW_E__seg0,60.0,74,40.0,1914.0,30.03624595534785,32.261863076589016
vsl,4500,FW_E__seg5,80.0,2,48.18555656496521,1998.0,15.622992655159527,60.6562832423422
vsl,4500,FW_E__seg10,120.0,2,2652.0273490354593,1944.0,11.86164173953854,80.73626385317769
vsl,4500,FW_E__seg15,120.0,24,652.704139739827,2168.0,12.139873479387367,90.72820392672179
vsl,4500,FW_W__seg0,60.0,26,40.0,1264.0,44.0942388448644,24.279945008550367
vsl,4500,FW_W__seg5,120.0,26,2694.4232696497,1400.0,11.029449657427685,60.2362145326983
vsl,4500,FW_W__seg10,120.0,120,1569.2945392994002,1218.0,5.5078934558857195,113.5449540829583
vsl,4500,FW_W__seg15,120.0,120,4263.717808949101,900.0,4.022647824584717,116.8584920083641
vsl,4650,FW_E__seg0,60.0,74,40.0,1902.0,31.579814899730724,30.83370489404556
vsl,4650,FW_E__seg5,80.0,2,48.18555656496521,1800.0,14.223824299838975,60.94114444537389
vsl,4650,FW_E__seg10,80.0,2,2652.0273490354593,1890.0,12.112570108181707,78.73514448340538
vsl,4650,FW_E__seg15,120.0,24,652.704139739827,2400.0,11.880036545613066,99.66866418748755
vsl,4650,FW_W__seg0,60.0,26,40.0,1288.0,43.187592153308636,24.038645677177243
vsl,4650,FW_W__seg5,120.0,26,2694.4232696497,1264.0,10.263531971947337,62.00618252264022
vsl,4650,FW_W__seg10,120.0,120,1569.2945392994002,978.0,4.25233051512745,113.55478421468558
vsl,4650,FW_W__seg15,120.0,120,4263.717808949101,738.0,3.4258279432588474,117.1864197407125
vsl,4800,FW_E__seg0,60.0,74,40.0,1818.0,33.91171993938148,29.51229714079491
vsl,4800,FW_E__seg5,80.0,2,48.18555656496521,1962.0,15.55835036569525,60.865428326526036
vsl,4800,FW_E__seg10,80.0,2,2652.0273490354593,1620.0,10.030293116338463,79.86060541787036
vsl,4800,FW_E__seg15,120.0,24,652.704139739827,2280.0,12.380450607917233,90.57272964873994
vsl,4800,FW_W__seg0,60.0,26,40.0,1360.0,43.078520014336824,27.669074899909543
vsl,4800,FW_W__seg5,120.0,26,2694.4232696497,1432.0,13.038764938799723,56.30844595779468
vsl,4800,FW_W__seg10,120.0,120,1569.2945392994002,960.0,4.141134203212612,114.7302931565122
vsl,4800,FW_W__seg15,120.0,120,4263.717808949101,756.0,3.1376509082952775,117.93902730782574
vsl,4950,FW_E__seg0,60.0,74,40.0,1908.0,31.578967001081427,31.356983822767667
vsl,4950,FW_E__seg5,80.0,2,48.18555656496521,1842.0,15.264169145637124,60.730027538693555
vsl,4950,FW_E__seg10,120.0,2,2652.0273490354593,1728.0,10.70799466874254,81.64202249937516
vsl,4950,FW_E__seg15,120.0,24,652.704139739827,2168.0,13.520647127806066,81.49624591732585
vsl,4950,FW_W__seg0,60.0,26,40.0,1512.0,39.61352818006387,29.084712746285216
vsl,4950,FW_W__seg5,120.0,26,2694.4232696497,1368.0,11.160081163486511,61.0964100480406
vsl,4950,FW_W__seg10,120.0,120,1569.2945392994002,894.0,3.932540130745922,114.56512034913915
vsl,4950,FW_W__seg15,120.0,120,4263.717808949101,744.0,2.9742276269499723,119.70221760920961
vsl,5100,FW_E__seg0,60.0,74,40.0,1854.0,31.89547392898808,31.408260484717346
vsl,5100,FW_E__seg5,80.0,2,48.18555656496521,1854.0,15.045282063934001,60.80589778070256
vsl,5100,FW_E__seg10,120.0,2,2652.0273490354593,1686.0,10.472689613467942,81.74950745310154
vsl,5100,FW_E__seg15,120.0,24,652.704139739827,2312.0,11.737995450575035,98.27450272020066
vsl,5100,FW_W__seg0,60.0,26,40.0,1240.0,43.64149420110244,25.386128894082546
vsl,5100,FW_W__seg5,120.0,26,2694.4232696497,1408.0,11.217556677292686,61.48147825947205
vsl,5100,FW_W__seg10,120.0,120,1569.2945392994002,978.0,4.139800153641085,117.22635700480119
vsl,5100,FW_W__seg15,120.0,120,4263.717808949101,606.0,2.8138310175357724,116.40916789313395
vsl,5250,FW_E__seg0,60.0,74,40.0,1902.0,31.846968990557478,32.009090366902555
vsl,5250,FW_E__seg5,80.0,2,48.18555656496521,1842.0,15.129420675699274,61.089581429319
vsl,5250,FW_E__seg10,120.0,2,2652.0273490354593,1830.0,11.008056366236875,81.41575476139037
vsl,5250,FW_E__seg15,120.0,24,652.704139739827,2024.0,9.63619242029059,105.21205549693457
vsl,5250,FW_W__seg0,60.0,26,40.0,1528.0,40.07504278216117,29.96655091086059
vsl,5250,FW_W__seg5,120.0,26,2694.4232696497,1392.0,11.080084583091837,61.404426454599005
vsl,5250,FW_W__seg10,120.0,120,1569.2945392994002,900.0,3.7366108140649,117.66809622642222
vsl,5250,FW_W__seg15,120.0,120,4263.717808949101,714.0,2.786230364283013,120.07180746292954
vsl,5400,FW_E__seg0,60.0,74,40.0,1806.0,33.114730641131224,29.878262155721526
vsl,5400,FW_E__seg5,80.0,2,48.18555656496521,1968.0,15.693649505821499,60.78773475038135
vsl,5400,FW_E__seg10,120.0,2,2652.0273490354593,1728.0,10.69367615052651,81.08698153011719
vsl,5400,FW_E__seg15,120.0,24,652.704139739827,2192.0,11.6962695962549,97.64412598589598
vsl,5400,FW_W__seg0,60.0,26,40.0,1464.0,38.91190515210483,24.594608971114827
vsl,5400,FW_W__seg5,120.0,26,2694.4232696497,1536.0,12.594152578444186,60.98042118737624
vsl,5400,FW_W__seg10,120.0,120,1569.2945392994002,978.0,4.28796553856903,115.65067863934735
vsl,5400,FW_W__seg15,120.0,120,4263.717808949101,768.0,3.2605570702907247,117.58090616560696
vsl,5550,FW_E__seg0,60.0,74,40.0,1794.0,34.12877415032585,29.468685737270764
vsl,5550,FW_E__seg5,80.0,2,48.18555656496521,1812.0,14.66532000784965,61.19985681666114
vsl,5550,FW_E__seg10,120.0,2,2652.0273490354593,1764.0,10.491141209816684,81.83277751142805
vsl,5550,FW_E__seg15,120.0,24,652.704139739827,2320.0,12.448141502251,95.50135075378692
vsl,5550,FW_W__seg0,60.0,26,40.0,1304.0,44.19285374531637,25.840000453707535
vsl,5550,FW_W__seg5,120.0,26,2694.4232696497,1368.0,11.262072105259547,60.18798427044012
vsl,5550,FW_W__seg10,120.0,120,1569.2945392994002,1020.0,4.32406000685687,114.38852368987385
vsl,5550,FW_W__seg15,120.0,120,4263.717808949101,732.0,3.1694827151083222,119.35240320911704
vsl,5700,FW_E__seg0,60.0,74,40.0,1830.0,33.86169775893808,30.42248036943248
vsl,5700,FW_E__seg5,80.0,2,48.18555656496521,1818.0,14.998032731572799,60.9370616101381
vsl,5700,FW_E__seg10,120.0,2,2652.0273490354593,1704.0,10.581039219695842,81.41777423891004
vsl,5700,FW_E__seg15,120.0,24,652.704139739827,2232.0,10.628810665849187,103.83853623409635
vsl,5700,FW_W__seg0,60.0,26,40.0,1552.0,38.31094099640364,30.416966532413863
vsl,5700,FW_W__seg5,120.0,26,2694.4232696497,1384.0,11.155200099100895,61.211751515377635
vsl,5700,FW_W__seg10,120.0,120,1569.2945392994002,900.0,3.904473327494673,115.18436493137408
vsl,5700,FW_W__seg15,120.0,120,4263.717808949101,684.0,2.8933853647106877,118.1138297362687
vsl,5850,FW_E__seg0,60.0,74,40.0,1944.0,32.05567230275081,33.818906582577775
vsl,5850,FW_E__seg5,80.0,2,48.18555656496521,1770.0,14.031244681605127,60.83892025177799
vsl,5850,FW_E__seg10,120.0,2,2652.0273490354593,1614.0,9.893124502700196,82.42101779385561
vsl,5850,FW_E__seg15,120.0,24,652.704139739827,2064.0,9.806672115198827,107.31109662913917
vsl,5850,FW_W__seg0,60.0,26,40.0,1336.0,43.4220365863296,27.206339742133608
vsl,5850,FW_W__seg5,120.0,26,2694.4232696497,1384.0,12.479017214269076,57.86435163139594
vsl,5850,FW_W__seg10,120.0,120,1569.2945392994002,960.0,4.200974619605208,113.94222174352979
vsl,5850,FW_W__seg15,120.0,120,4263.717808949101,744.0,3.1464552531568026,117.60755373674714
vsl,6000,FW_E__seg0,60.0,74,40.0,1890.0,32.450031778214175,31.72454511533973
vsl,6000,FW_E__seg5,80.0,2,48.18555656496521,1980.0,16.24709802173665,60.566518095178516
vsl,6000,FW_E__seg10,80.0,2,2652.0273490354593,1692.0,11.013235457718123,78.45895475175071
vsl,6000,FW_E__seg15,120.0,24,652.704139739827,1936.0,9.148408764193537,106.43248714879468
vsl,6000,FW_W__seg0,60.0,26,40.0,1464.0,39.44218985236163,27.309681395135854
vsl,6000,FW_W__seg5,120.0,26,2694.4232696497,1536.0,12.970961109189174,58.35855333024406
