time_s,vehicle,connector,kind,other_link,lane,position_m,speed_kmh,residence_s,lower_time_s,upper_time_s
195.1,716,10482,arrival,,1,3.91,33.99,,190.1,195.1
195.1,224,10479,arrival,,1,2.25,90.14,,190.1,195.1
195.1,225,10479,arrival,,1,110.96,116.12,,190.1,195.1
195.1,750,10482,arrival,,2,37.76,41.35,,190.1,195.1
200.1,7,10639,departure,2,1,363.05,63.89,30.0,195.1,200.1
200.1,266,10479,arrival,,1,65.03,96.76,,195.1,200.1
200.1,527,10482,departure,120,2,494.68,86.96,40.0,195.1,200.1
200.1,41,10645,arrival,,1,140.13,115.37,,195.1,200.1
200.1,811,10482,arrival,,2,42.78,40.79,,195.1,200.1
200.1,823,10482,arrival,,2,24.29,41.02,,195.1,200.1
200.1,61,10645,arrival,,1,105.37,116.42,,195.1,200.1
200.1,447,10484,arrival,,1,20.22,40.36,,195.1,200.1
200.1,83,10643,departure,71,2,317.26,74.32,15.0,195.1,200.1
200.1,853,10482,arrival,,2,2.45,41.52,,195.1,200.1
200.1,215,10491,arrival,,1,99.43,118.39,,195.1,200.1
200.1,225,10479,departure,125,1,110.96,116.12,5.0,195.1,200.1
200.1,747,10482,arrival,,1,37.58,39.49,,195.1,200.1
205.1,406,10643,departure,10641,2,238.64,113.71,10.0,200.1,205.1
205.1,278,10479,arrival,,1,78.3,92.38,,200.1,205.1
205.1,795,10482,arrival,,1,55.48,41.49,,200.1,205.1
205.1,422,10479,arrival,,1,20.09,94.81,,200.1,205.1
205.1,436,10482,departure,120,1,520.25,89.94,45.0,200.1,205.1
205.1,821,10482,arrival,,1,8.78,45.17,,200.1,205.1
205.1,195,10491,departure,127,1,168.55,116.79,10.0,200.1,205.1
205.1,215,10491,departure,129,1,99.43,118.39,5.0,200.1,205.1
205.1,218,10491,arrival,,1,113.79,98.79,,200.1,205.1
205.1,346,10479,arrival,,1,50.15,92.31,,200.1,205.1
205.1,859,10482,arrival,,2,17.91,44.74,,200.1,205.1
205.1,224,10479,departure,125,1,128.96,92.29,10.0,200.1,205.1
205.1,238,10491,arrival,,1,80.63,97.54,,200.1,205.1
205.1,882,10482,arrival,,2,42.45,44.8,,200.1,205.1
205.1,505,10643,arrival,,2,138.55,124.24,,200.1,205.1
205.1,379,10479,arrival,,1,111.78,101.52,,200.1,205.1
210.1,4,10645,departure,123,1,330.34,110.19,15.0,205.1,210.1
210.1,266,10479,departure,125,1,199.49,97.33,10.0,205.1,210.1
210.1,395,10491,arrival,,1,100.41,102.74,,205.1,210.1
210.1,910,10482,arrival,,2,48.15,40.95,,205.1,210.1
210.1,403,10643,arrival,,1,111.61,110.42,,205.1,210.1
210.1,922,10482,arrival,,2,29.07,39.27,,205.1,210.1
210.1,1053,10484,arrival,,1,22.42,40.86,,205.1,210.1
210.1,41,10645,departure,123,1,299.74,114.14,10.0,205.1,210.1
210.1,299,10479,arrival,,1,18.4,93.44,,205.1,210.1
210.1,944,10482,arrival,,1,14.08,45.29,,205.1,210.1
210.1,311,10484,arrival,,1,48.75,40.79,,205.1,210.1
210.1,61,10645,departure,123,1,266.85,116.0,10.0,205.1,210.1
210.1,68,10645,arrival,,1,60.91,115.83,,205.1,210.1
210.1,838,10482,arrival,,1,43.65,40.14,,205.1,210.1
210.1,459,10482,departure,120,2,476.96,77.45,40.0,205.1,210.1
210.1,335,10491,arrival,,1,68.23,109.5,,205.1,210.1
210.1,467,10482,departure,120,2,431.62,63.47,40.0,205.1,210.1
210.1,218,10491,departure,129,1,113.79,98.79,5.0,205.1,210.1
210.1,94,10645,arrival,,1,98.88,119.78,,205.1,210.1
210.1,990,10482,arrival,,2,9.04,42.12,,205.1,210.1
210.1,379,10479,departure,125,1,111.78,101.52,5.0,205.1,210.1
215.1,263,10682,arrival,,1,49.75,110.29,,210.1,215.1
215.1,520,10482,departure,120,2,510.26,89.57,45.0,210.1,215.1
215.1,264,10639,arrival,,1,24.1,41.48,,210.1,215.1
215.1,395,10491,departure,129,1,100.41,102.74,5.0,210.1,215.1
215.1,397,10479,arrival,,1,114.07,98.73,,210.1,215.1
215.1,893,10484,arrival,,1,16.54,40.37,,210.1,215.1
215.1,276,10491,arrival,,1,38.49,127.31,,210.1,215.1
215.1,278,10479,departure,125,1,218.19,108.6,10.0,210.1,215.1
215.1,540,10490,arrival,,1,34.49,42.82,,210.1,215.1
215.1,422,10479,departure,125,1,150.98,95.9,10.0,210.1,215.1
215.1,427,10482,departure,120,1,480.63,51.26,50.0,210.1,215.1
215.1,302,10479,arrival,,1,77.86,92.52,,210.1,215.1
215.1,178,10490,departure,119,1,363.16,57.63,40.0,210.1,215.1
215.1,199,10682,arrival,,1,80.64,109.26,,210.1,215.1
215.1,967,10482,arrival,,1,20.17,40.68,,210.1,215.1
