start_sec,end_sec,connector,source_link,target_link,departures_observed,departures_inferred,departures_total,discharge_vph,arrival_events,mean_vehicles,mean_stopped,mean_speed_kph
2700,2850,10646,121,120,35,0,35,840.0,37,6.14,0.0,45.06020629750289
2700,2850,10681,68,2,16,0,16,384.0,17,2.44,0.0,48.59825136612021
2700,2850,10682,2,121,29,0,29,696.0,32,21.113333333333333,9.84,7.62657720239973
2700,2850,10772,68,121,13,40,53,1272.0,53,0.08666666666666667,0.0,18.40923076923077
2700,2850,10773,121,123,5,39,44,1056.0,44,0.03333333333333333,0.0,68.246
2850,3000,10479,26,125,33,0,33,792.0,33,2.2133333333333334,0.0,89.68509036144579
2850,3000,10480,124,26,19,0,19,456.0,22,1.8333333333333333,0.0,41.77400000000001
2850,3000,10481,2,127,15,0,15,360.0,23,125.07333333333334,110.9,1.6307670166835462
2850,3000,10482,32,120,34,0,34,816.0,34,7.626666666666667,0.0,41.66440559440561
2850,3000,10483,119,124,34,0,34,816.0,26,4.64,0.0,46.195876436781575
2850,3000,10484,31,24,26,0,26,624.0,25,5.36,0.0,42.982412935323396
2850,3000,10490,129,119,20,0,20,480.0,21,3.3933333333333335,0.0,41.71518664047153
2850,3000,10491,26,129,49,0,49,1176.0,54,6.633333333333334,0.0,43.30260301507536
2850,3000,10638,120,70,44,0,44,1056.0,44,6.013333333333334,0.0,52.570188470066455
2850,3000,10639,70,2,10,0,10,240.0,9,4.213333333333333,1.9133333333333333,18.09523734177215
2850,3000,10643,2,126,8,0,8,192.0,10,1.12,0.0,69.25255952380955
2850,3000,10644,69,120,40,0,40,960.0,49,22.64666666666667,0.19333333333333333,34.5961878127762
2850,3000,10645,120,123,40,0,40,960.0,35,3.033333333333333,0.0,105.35586813186805
2850,3000,10646,121,120,39,0,39,936.0,38,6.66,0.0,41.464024024024155
2850,3000,10681,68,2,10,0,10,240.0,9,1.24,0.0,53.90860215053765
2850,3000,10682,2,121,34,0,34,816.0,31,19.166666666666668,6.433333333333334,9.4438504347826
2850,3000,10772,68,121,11,35,46,1104.0,46,0.07333333333333333,0.0,16.55727272727273
2850,3000,10773,121,123,1,42,43,1032.0,43,0.006666666666666667,0.0,75.21
3000,3150,10479,26,125,34,0,34,816.0,36,2.5533333333333332,0.0,87.8004438642298
3000,3150,10480,124,26,22,0,22,528.0,21,1.78,0.0,43.72992509363295
3000,3150,10481,2,127,22,0,22,528.0,20,127.67333333333333,112.42,1.575956346927042
