bin,32_rampL1_stoprows,32_rampL1_qtail,32_ramp_nonL1_stoprows,32_sig_qtail_min,32_sig_stoprows,32_sigL1_qtail,10482_stoprows,10482_rows,10490_stoprows,10490_rows,10481_stoprows,10481_rows,10491_stoprows,10491_rows,L2_2900-4092_stoprows,L2_0-2100_stoprows,31_rampL1_stoprows,31_rampL1_qtail,31_sig_qtail,31_sig_stoprows,10480_stoprows,68_rampL1_stoprows,68_rampL1_qtail,68_sig_qtail,68_sig_stoprows,10646_stoprows,10681_stoprows,69_rampL1_qtail,69_rampL1_stoprows,10644_stoprows,70_stoprows,10639_stoprows,rm_R_D_W,rm_R_D_E,rm_R_F_W,rm_R_F_E,g_SC1001_p1,g_SC1001_p3,g_SC1004_p1,g_SC1004_p3,cnt_32,qt_32,rc_R_D_W,rc_R_F_E,run
3000,0,,0,1510.7,2734,1516.7,12,182,0,84,486.0,776.0,0,180,0.0,6634,0,,,0,0.0,17.0,214.9,330.1,2.0,17.0,0.0,,0,7.0,225.0,1.0,1500.0,1800.0,1800.0,1711.5,23.0,75.0,24.0,69.4,148.0,1517.6,21.0,1.0,g1
3150,0,,0,1501.9,2690,1513.0,0,260,0,67,291.0,537.0,0,243,0.0,6338,1,355.2,,0,1.0,2.0,236.3,239.3,1.0,3.0,0.0,1729.6,1,3.0,328.0,2.0,1800.0,1800.0,1800.0,1800.0,23.0,75.0,24.0,69.4,155.0,1533.2,8.0,2.0,g1
3300,0,,0,1511.3,2711,1513.8,0,201,0,127,96.0,232.0,8,272,0.0,5499,0,,,0,0.0,6.0,212.5,243.8,5.0,0.0,0.0,,0,1.0,500.0,3.0,1800.0,1800.0,1800.0,1800.0,23.0,75.0,24.0,69.4,162.0,1519.5,6.0,5.0,g1
3450,0,,0,1506.2,3905,1511.2,0,252,0,77,49.0,207.0,0,172,0.0,5652,1,358.8,,0,0.0,14.0,219.6,298.8,12.0,1.0,0.0,,0,0.0,531.0,3.0,1800.0,1800.0,1800.0,1800.0,77.0,21.0,24.0,69.4,153.0,1539.1,8.0,2.0,g1
3600,0,,0,1271.4,4165,1271.4,0,274,0,65,782.0,1010.0,45,231,0.0,4815,0,,,0,0.0,1.0,323.4,251.3,3.0,3.0,0.0,1728.6,1,19.0,488.0,1.0,1800.0,1800.0,1800.0,1800.0,25.0,70.4,24.0,69.4,223.0,1529.1,8.0,1.0,g1
3750,0,,0,1416.2,3386,1416.2,399,560,4,45,1124.0,1562.0,0,111,0.0,4117,1,622.0,622.0,1,98.0,0.0,,240.1,3.0,37.0,32.0,,0,26.0,549.0,13.0,0.0,391.9,656.2,391.9,23.0,73.9,20.0,71.9,181.0,1464.7,4.0,1.0,g1
3900,0,,0,1445.6,2767,1445.6,1184,1319,0,31,1367.0,1766.0,0,86,0.0,3898,0,,722.7,1,441.0,8.0,233.9,239.4,1.0,20.0,102.0,,0,10.0,226.0,62.0,0.0,1424.7,1215.3,0.0,23.0,75.0,20.0,71.9,161.0,1486.5,40.0,0.0,g1
4050,0,,0,1496.1,2690,1496.1,1196,1577,0,59,1110.0,1590.0,0,186,0.0,4195,0,,,0,391.0,5.0,206.0,,0.0,0.0,54.0,,0,5.0,266.0,93.0,300.0,1724.7,1515.3,300.0,23.0,75.0,24.0,69.4,140.0,1508.2,80.0,17.0,g1
4200,0,,0,1508.3,2823,1516.9,1552,1660,10,66,1241.0,1769.0,0,103,0.0,3821,32,698.9,614.8,2,577.0,2.0,316.2,241.1,8.0,78.0,15.0,,0,12.0,233.0,8.0,0.0,357.9,724.2,357.9,23.0,75.0,26.0,65.9,148.0,1514.7,62.0,2.0,g1
4350,0,,0,1513.5,3921,1513.5,2317,2393,0,57,1232.0,1741.0,0,98,0.0,4266,225,675.8,658.8,12,690.0,8.0,39.6,237.7,13.0,102.0,144.0,,0,21.0,398.0,72.0,0.0,899.5,900.5,0.0,77.0,21.0,26.0,63.4,139.0,1519.9,91.0,2.0,g1
4500,4,1024.9,10,1424.9,4384,1424.9,3221,3251,3,30,1460.0,1633.0,0,96,0.0,4687,435,605.5,613.2,17,690.0,12.0,225.0,241.9,3.0,206.0,72.0,,0,55.0,204.0,48.0,0.0,730.6,923.3,146.1,24.0,74.0,26.0,60.8,207.0,1518.5,114.0,19.0,g1
4650,165,948.8,219,1422.6,3431,1428.2,3510,3510,1,10,1315.0,1763.0,0,83,0.0,4858,606,355.8,576.0,46,690.0,2.0,239.5,240.3,2.0,56.0,81.0,,0,0.0,350.0,189.0,0.0,1372.6,1627.4,0.0,23.0,75.0,26.0,70.1,176.0,1015.8,140.0,3.0,g1
4800,446,896.2,542,887.8,4375,890.0,2624,3130,0,32,1330.0,1742.0,0,138,0.0,4710,459,593.9,570.8,126,476.0,4.0,230.6,252.3,2.0,0.0,17.0,,0,0.0,283.0,200.0,300.0,1672.6,1800.0,300.0,77.0,21.0,26.0,70.1,187.0,941.0,140.0,18.0,g1
4950,181,908.0,271,882.8,4487,882.8,3103,3334,98,159,2020.0,2213.0,0,138,0.0,3641,320,645.9,585.1,336,632.0,0.0,,,0.0,64.0,5.0,,0,4.0,144.0,72.0,0.0,372.2,695.6,372.2,24.0,74.0,26.0,67.8,238.0,888.8,117.0,8.0,g1
5100,90,1011.2,257,846.6,4266,846.6,3540,3540,169,186,1743.0,2318.0,0,62,0.0,3204,330,666.3,573.9,451,660.0,4.0,289.7,241.5,3.0,87.0,142.0,,0,7.0,61.0,69.0,0.0,926.2,873.8,0.0,23.0,75.0,26.0,65.5,205.0,901.6,140.0,2.0,g1
5250,66,1011.2,200,828.4,4531,828.4,2622,3145,324,366,1792.0,2436.0,0,158,11.0,2223,173,666.3,570.2,494,438.0,2.0,234.4,,0.0,168.0,436.0,,0,4.0,141.0,234.0,137.7,673.7,688.6,0.0,23.0,75.0,20.0,69.0,207.0,846.6,140.0,16.0,g1
