link,bin,lane,cls,rows,stopped,qtail_min,qhead_max,nveh
32,3450,3,signal,1144,696,705.280029296875,1953.97998046875,73
32,3600,1,ramp,888,870,838.4199829101562,1026.550048828125,34
32,3600,1,signal,4240,3800,91.80000305175781,1954.31005859375,208
32,3600,2,ramp,906,900,811.239990234375,1024.2099609375,34
32,3600,2,signal,4057,3676,94.91999816894531,1954.0899658203125,210
32,3600,3,ramp,282,0,,,13
32,3600,3,signal,1040,541,913.52001953125,1953.989990234375,70
32,3750,1,ramp,895,870,838.4199829101562,1026.550048828125,35
32,3750,1,signal,4223,3949,38.06999969482422,1954.31005859375,199
32,3750,2,ramp,907,900,811.239990234375,1024.2099609375,37
32,3750,2,signal,4004,3768,43.060001373291016,1954.0899658203125,195
32,3750,3,ramp,300,16,985.030029296875,1002.6799926757812,22
32,3750,3,signal,1045,453,157.7899932861328,1953.9000244140625,62
32,3900,1,ramp,886,870,838.4199829101562,1026.550048828125,32
32,3900,1,signal,4544,4295,15.40999984741211,1954.1199951171875,197
32,3900,2,ramp,902,901,10.510000228881836,1024.2099609375,32
32,3900,2,signal,4274,4106,22.920000076293945,1954.3900146484375,184
32,3900,3,ramp,598,55,153.82000732421875,1014.8800048828125,25
32,3900,3,signal,1290,631,16.760000228881836,1954.050048828125,68
32,4050,1,ramp,874,870,838.4199829101562,1026.550048828125,30
32,4050,1,signal,4740,4355,14.579999923706055,1954.3699951171875,218
32,4050,2,ramp,904,901,23.68000030517578,1024.2099609375,33
32,4050,2,signal,4468,4176,22.040000915527344,1954.3900146484375,217
32,4050,3,ramp,685,394,752.8900146484375,1014.8800048828125,28
32,4050,3,signal,2074,990,108.48999786376953,1954.050048828125,105
32,4200,1,ramp,857,815,838.4199829101562,1027.719970703125,37
32,4200,1,signal,4793,4613,7.21999979019165,1954.3699951171875,193
32,4200,2,ramp,870,835,811.239990234375,1028.3800048828125,30
32,4200,2,signal,4631,4452,5.550000190734863,1954.280029296875,213
32,4200,3,ramp,857,675,101.52999877929688,1021.1199951171875,29
32,4200,3,signal,2859,1907,7.610000133514404,1953.8399658203125,138
32,4350,1,ramp,549,318,838.4199829101562,1028.5899658203125,43
32,4350,1,signal,4947,4406,3.5399999618530273,1954.1199951171875,224
32,4350,2,ramp,503,399,811.239990234375,1028.510009765625,35
32,4350,2,signal,4839,4155,3.1700000762939453,1954.300048828125,242
32,4350,3,ramp,641,556,479.510009765625,1021.1199951171875,29
32,4350,3,signal,4019,2922,10.6899995803833,1953.7900390625,180
32,4500,1,ramp,129,68,951.9299926757812,1028.52001953125,18
32,4500,1,signal,5192,4462,3.25,1954.1800537109375,249
32,4500,2,ramp,98,79,952.8900146484375,1028.4200439453125,12
32,4500,2,signal,4878,3871,3.109999895095825,1954.300048828125,263
32,4500,3,ramp,384,286,507.94000244140625,1021.5700073242188,15
32,4500,3,signal,4197,3001,2.9600000381469727,1954.199951171875,184
32,4650,1,ramp,4,0,,,1
32,4650,1,signal,5416,4960,3.0899999141693115,1954.239990234375,248
32,4650,2,signal,5214,4523,2.299999952316284,1954.4200439453125,256
32,4650,3,ramp,339,300,755.6900024414062,1014.7100219726562,12
32,4650,3,signal,3933,2777,1.190000057220459,1953.8800048828125,177
32,4800,1,ramp,17,0,,,4
32,4800,1,signal,5188,4985,16.6200008392334,1954.239990234375,228
32,4800,2,ramp,1,0,,,1
32,4800,2,signal,5117,4853,25.530000686645508,1954.4200439453125,234
32,4800,3,ramp,268,229,837.219970703125,1014.8300170898438,10
32,4800,3,signal,4200,3521,26.799999237060547,1954.0400390625,179
32,4950,1,ramp,5,0,,,2
32,4950,1,signal,5469,5253,4.21999979019165,1954.1800537109375,213
32,4950,2,ramp,1,0,,,1
32,4950,2,signal,5442,5277,6.559999942779541,1954.199951171875,218
32,4950,3,ramp,196,187,893.1799926757812,1015.260009765625,7
32,4950,3,signal,4658,4097,5.789999961853027,1953.9100341796875,174
32,5100,1,ramp,9,0,,,3
32,5100,1,signal,5389,5171,4.409999847412109,1954.3399658203125,229
32,5100,2,ramp,2,0,,,2
32,5100,2,signal,5434,5223,6.019999980926514,1954.199951171875,239
32,5100,3,ramp,152,137,938.510009765625,1015.5499877929688,6
32,5100,3,signal,4794,4251,0.3799999952316284,1953.8399658203125,188
32,5250,1,ramp,17,0,,,4
32,5250,1,signal,5096,4938,4.409999847412109,1954.3399658203125,215
32,5250,2,signal,5143,5006,6.650000095367432,1954.3599853515625,214
32,5250,3,ramp,43,36,1003.27001953125,1015.0999755859375,2
32,5250,3,signal,4588,4140,5.96999979019165,1953.8199462890625,180
68,150,1,ramp,14,0,,,4
68,150,1,signal,316,0,,,64
68,150,2,signal,194,0,,,36
68,150,3,signal,64,0,,,15
68,150,4,signal,18,0,,,5
68,300,1,ramp,124,9,186.97000122070312,244.8800048828125,19
68,300,1,signal,434,2,240.50999450683594,240.5500030517578,90
68,300,2,ramp,18,0,,,13
68,300,2,signal,343,0,,,87
68,300,3,ramp,7,0,,,7
68,300,3,signal,237,0,,,48
68,300,4,ramp,3,0,,,3
68,300,4,signal,188,0,,,28
68,450,1,ramp,103,5,224.36000061035156,236.5,21
68,450,1,signal,443,0,,,91
68,450,2,ramp,13,0,,,10
68,450,2,signal,343,0,,,72
