link,bin,lane,cls,rows,stopped,qtail_min,qhead_max,nveh
68,2100,2,signal,338,0,,,77
68,2100,3,ramp,10,0,,,8
68,2100,3,signal,278,0,,,57
68,2100,4,ramp,6,0,,,6
68,2100,4,signal,253,0,,,40
68,2250,1,ramp,543,132,26.06999969482422,237.13999938964844,56
68,2250,1,signal,299,2,237.6300048828125,242.1999969482422,62
68,2250,2,ramp,32,0,,,21
68,2250,2,signal,232,0,,,57
68,2250,3,ramp,8,0,,,8
68,2250,3,signal,197,0,,,46
68,2250,4,ramp,5,0,,,5
68,2250,4,signal,211,0,,,35
68,2400,1,ramp,529,97,6.980000019073486,244.5,58
68,2400,1,signal,322,4,238.0399932861328,242.08999633789062,68
68,2400,2,ramp,49,0,,,19
68,2400,2,signal,254,0,,,65
68,2400,3,ramp,6,0,,,6
68,2400,3,signal,259,0,,,55
68,2400,4,ramp,5,0,,,5
68,2400,4,signal,216,0,,,43
68,2550,1,ramp,534,105,2.359999895095825,241.13999938964844,59
68,2550,1,signal,313,3,237.92999267578125,244.1300048828125,80
68,2550,2,ramp,42,0,,,19
68,2550,2,signal,307,0,,,72
68,2550,3,ramp,13,0,,,10
68,2550,3,signal,257,0,,,51
68,2550,4,ramp,3,0,,,3
68,2550,4,signal,199,0,,,37
68,2700,1,ramp,550,164,17.850000381469727,241.30999755859375,49
68,2700,1,signal,306,1,239.91000366210938,239.91000366210938,71
