bin,32_rampL1_stoprows,32_rampL1_qtail,32_ramp_nonL1_stoprows,32_sig_qtail_min,32_sig_stoprows,32_sigL1_qtail,10482_stoprows,10482_rows,10490_stoprows,10490_rows,10481_stoprows,10481_rows,10491_stoprows,10491_rows,L2_2900-4092_stoprows,L2_0-2100_stoprows,31_rampL1_stoprows,31_rampL1_qtail,31_sig_qtail,31_sig_stoprows,10480_stoprows,68_rampL1_stoprows,68_rampL1_qtail,68_sig_qtail,68_sig_stoprows,10646_stoprows,10681_stoprows,69_rampL1_qtail,69_rampL1_stoprows,10644_stoprows,70_stoprows,10639_stoprows,rm_R_D_W,rm_R_D_E,rm_R_F_W,rm_R_F_E,g_SC1001_p1,g_SC1001_p3,g_SC1004_p1,g_SC1004_p3,cnt_32,qt_32,rc_R_D_W,rc_R_F_E,run
3600,110,1238.8,0,1270.4,6071,1270.4,0,275,0,43,3232.0,3742.0,405,636,4442.0,10122,0,,,0,3.0,14.0,207.1,221.7,14.0,4.0,0.0,1728.6,1,6.0,15.0,1.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,278.0,1292.9,10.0,1.0,nc
3750,63,1266.2,0,1270.7,5915,1270.7,0,170,0,52,3240.0,3674.0,467,701,5094.0,9360,0,,,0,0.0,14.0,200.0,244.6,5.0,3.0,0.0,,0,0.0,91.0,15.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,261.0,1282.5,5.0,2.0,nc
3900,55,1262.6,0,1269.3,5867,1269.3,0,185,0,40,3247.0,3671.0,257,494,6080.0,8384,0,,,0,0.0,8.0,212.9,194.0,6.0,0.0,0.0,,0,2.0,158.0,3.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,249.0,1329.6,4.0,0.0,nc
4050,61,1266.3,1,1283.4,5636,1283.4,0,127,0,38,3394.0,3773.0,433,660,6835.0,7997,0,,,0,13.0,20.0,6.4,238.1,17.0,0.0,0.0,,0,0.0,2.0,26.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,241.0,1343.2,7.0,3.0,nc
4200,50,1264.3,0,1273.1,5489,1273.1,0,115,0,39,3272.0,3685.0,343,583,7585.0,8365,0,,,0,28.0,22.0,217.8,239.2,6.0,0.0,0.0,,0,0.0,0.0,2.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,232.0,1351.1,7.0,1.0,nc
4350,71,1269.9,0,1270.6,5735,1270.6,0,191,0,44,3265.0,3680.0,253,549,8116.0,8506,0,,,0,3.0,18.0,6.8,238.0,6.0,0.0,0.0,,0,0.0,0.0,3.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,242.0,1329.1,13.0,1.0,nc
4500,95,1283.8,0,1270.4,5743,1270.4,0,203,0,32,3307.0,3696.0,338,610,8889.0,8216,4,373.1,,0,0.0,7.0,221.6,238.9,10.0,0.0,0.0,,0,0.0,9.0,4.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,256.0,1290.1,6.0,3.0,nc
4650,18,1273.1,0,1270.4,5846,1270.4,0,128,0,16,3280.0,3672.0,240,537,9497.0,8300,0,,,0,0.0,5.0,218.9,238.1,5.0,0.0,0.0,,0,0.0,0.0,3.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,236.0,1343.3,8.0,1.0,nc
4800,75,1264.5,0,1271.8,5992,1271.8,0,133,0,25,3256.0,3658.0,473,712,10324.0,8080,0,,,0,0.0,1.0,343.7,,0.0,0.0,0.0,,0,0.0,3.0,3.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,250.0,1301.7,8.0,2.0,nc
4950,66,1264.5,13,1279.2,5915,1281.8,0,123,0,49,3300.0,3705.0,412,621,10461.0,7472,0,,,0,0.0,25.0,212.6,228.3,8.0,0.0,0.0,,0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,246.0,1336.0,5.0,2.0,nc
5100,60,1255.4,0,1272.1,5947,1272.1,0,136,0,28,3323.0,3730.0,281,545,11293.0,6264,0,,,0,0.0,22.0,4.8,240.2,3.0,0.0,0.0,,0,0.0,1.0,0.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,243.0,1337.1,5.0,2.0,nc
5250,61,1262.2,0,1270.3,5794,1270.3,0,81,0,42,3329.0,3751.0,408,606,12697.0,5629,0,,,0,0.0,8.0,231.9,237.9,19.0,5.0,0.0,,0,0.0,3.0,2.0,1800.0,1800.0,1800.0,1800.0,34.5,34.5,34.5,34.5,239.0,1345.5,6.0,3.0,nc
