link,bin,lane,cls,seg,rows,stopped,mean_speed
31,600,3,signal,0,1,0,57.98
31,600,3,signal,300,1,0,50.18
31,600,3,signal,400,5,0,58.244
31,600,3,signal,500,7,0,59.634285
31,600,3,signal,600,10,0,58.774
31,600,3,signal,700,12,0,64.61584
31,600,3,signal,800,15,0,70.994
31,600,3,signal,900,22,0,74.858635
31,600,3,signal,1000,22,0,76.17319
31,600,3,signal,1100,21,0,88.6619
31,600,3,signal,1200,22,0,90.13818
31,600,3,signal,1300,21,0,88.924286
31,600,3,signal,1400,24,0,94.71958
31,600,3,signal,1500,18,0,102.36611
31,600,3,signal,1600,19,0,108.29474
31,600,3,signal,1700,19,0,108.897896
31,600,3,signal,1800,18,0,115.80444
31,600,3,signal,1900,10,0,116.157
31,750,1,ramp,0,6,0,41.796665
31,750,1,ramp,100,7,0,48.17857
31,750,1,ramp,200,8,0,58.1625
31,750,1,ramp,300,19,0,47.439472
31,750,1,ramp,400,2,0,41.535
31,750,1,ramp,500,2,0,38.235
31,750,1,ramp,600,15,0,42.969334
31,750,1,ramp,700,6,0,42.02833
31,750,1,signal,100,2,0,56.485
31,750,1,signal,200,2,0,56.019997
31,750,1,signal,300,5,0,44.463997
31,750,1,signal,400,2,0,41.72
31,750,1,signal,500,2,0,39.465
31,750,1,signal,600,24,0,58.63875
31,750,1,signal,700,9,0,74.48889
31,750,1,signal,800,17,0,91.83235
31,750,1,signal,900,34,0,103.61853
31,750,1,signal,1000,23,0,100.50435
31,750,1,signal,1100,36,0,94.23167
31,750,1,signal,1200,30,0,86.74733
31,750,1,signal,1300,28,0,79.64036
31,750,1,signal,1400,33,0,86.734245
31,750,1,signal,1500,33,0,75.47727
31,750,1,signal,1600,37,0,70.45865
31,750,1,signal,1700,31,0,74.785164
31,750,1,signal,1800,31,0,81.02613
31,750,1,signal,1900,20,0,86.6445
31,750,2,ramp,0,4,0,49.21
31,750,2,ramp,100,5,0,59.806
31,750,2,ramp,200,4,0,69.555
31,750,2,ramp,300,1,0,73.98
31,750,2,ramp,400,2,0,76.744995
31,750,2,ramp,500,2,0,53.135
31,750,2,ramp,600,1,0,94.06
31,750,2,signal,0,4,0,46.1175
31,750,2,signal,100,2,0,57.815002
31,750,2,signal,200,3,0,61.36333
31,750,2,signal,300,11,0,42.934544
31,750,2,signal,400,24,0,46.257504
31,750,2,signal,500,14,0,43.797142
31,750,2,signal,600,25,0,53.7488
31,750,2,signal,700,16,0,60.053123
31,750,2,signal,800,17,0,65.28647
31,750,2,signal,900,19,0,66.594215
31,750,2,signal,1000,20,0,70.890495
31,750,2,signal,1100,23,0,55.776955
31,750,2,signal,1200,31,0,58.456776
31,750,2,signal,1300,31,0,63.613873
31,750,2,signal,1400,30,0,51.307667
31,750,2,signal,1500,34,0,60.172646
31,750,2,signal,1600,33,0,57.998787
31,750,2,signal,1700,32,0,63.597813
31,750,2,signal,1800,32,0,55.805313
31,750,2,signal,1900,21,0,72.52572
31,750,3,ramp,0,8,0,40.916252
31,750,3,ramp,100,3,0,44.0
31,750,3,ramp,200,3,0,31.886667
31,750,3,ramp,300,2,0,31.154999
31,750,3,ramp,400,2,0,31.16
31,750,3,ramp,500,2,0,65.89
31,750,3,signal,0,1,0,31.26
31,750,3,signal,300,1,0,118.81
31,750,3,signal,500,1,0,121.63
31,750,3,signal,700,12,0,78.27334
31,750,3,signal,800,12,0,90.95333
31,750,3,signal,900,12,0,100.8325
31,750,3,signal,1000,18,0,94.384445
31,750,3,signal,1100,24,0,89.16375
31,750,3,signal,1200,22,0,83.20318
31,750,3,signal,1300,29,0,75.63
31,750,3,signal,1400,27,0,81.88185
31,750,3,signal,1500,29,0,80.43483
31,750,3,signal,1600,31,0,72.45709
31,750,3,signal,1700,36,0,76.065834
31,750,3,signal,1800,31,0,73.133224
31,750,3,signal,1900,31,0,83.42806
31,900,1,ramp,0,14,0,40.686428
31,900,1,ramp,100,12,0,42.016666
31,900,1,ramp,200,13,0,41.99077
31,900,1,ramp,300,25,0,40.2608
31,900,1,ramp,400,10,0,42.635002
31,900,1,ramp,500,7,0,42.431427
31,900,1,ramp,600,25,0,38.972
31,900,1,ramp,700,8,0,40.05
31,900,1,signal,0,2,0,44.585
31,900,1,signal,100,2,0,43.059998
31,900,1,signal,200,1,0,40.69
31,900,1,signal,300,2,0,43.02
31,900,1,signal,400,2,0,41.04
31,900,1,signal,500,2,0,41.04
31,900,1,signal,600,26,0,47.818848
31,900,1,signal,700,15,0,68.437996
31,900,1,signal,800,24,0,85.901665
31,900,1,signal,900,38,0,91.92263
31,900,1,signal,1000,30,0,93.722664
31,900,1,signal,1100,37,0,92.61676
31,900,1,signal,1200,35,0,100.29
31,900,1,signal,1300,29,0,103.83931
31,900,1,signal,1400,27,0,106.26074
31,900,1,signal,1500,37,0,104.17054
31,900,1,signal,1600,35,0,102.95772
31,900,1,signal,1700,34,0,100.10764
31,900,1,signal,1800,40,0,95.27225
31,900,1,signal,1900,29,0,99.24276
31,900,2,ramp,0,4,0,51.752502
31,900,2,ramp,100,5,0,55.396004
31,900,2,ramp,200,6,0,54.043335
31,900,2,ramp,300,5,0,55.986
31,900,2,ramp,400,6,0,53.843334
31,900,2,ramp,500,5,0,48.404
