t,rm_R_D_W,rm_R_F_W,rm_R_D_E,rm_R_F_E,g_SC5_p1,g_SC5_p2,g_SC5_p3,g_SC5_p4,g_SC101_p1,g_SC101_p2,g_SC101_p3,g_SC101_p4,g_SC105_p1,g_SC105_p2,g_SC105_p3,g_SC105_p4,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,g_SC1002_p1,g_SC1002_p2,g_SC1002_p3,g_SC1002_p4,g_SC1004_p1,g_SC1004_p2,g_SC1004_p3,g_SC1004_p4,cnt_32,stp_32,qt_32,fcnt_32,cnt_31,stp_31,qt_31,fcnt_31,cnt_68,stp_68,qt_68,fcnt_68,cnt_69,stp_69,qt_69,fcnt_69,cnt_70,stp_70,qt_70,fcnt_70,cnt_420,stp_420,qt_420,fcnt_420,cnt_329,stp_329,qt_329,fcnt_329,cnt_66,stp_66,qt_66,fcnt_66,rc_R_D_W,rc_R_D_E,rc_R_F_W,rc_R_F_E,rc_D,rc_F,stopped_vehicles,total_vehicles
1500,0.0,1288.8207965115769,1351.1792034884234,0.0,58.0,22.666666666666664,34.666666666666664,22.666666666666664,40.0,22.666666666666664,52.666666666666664,22.666666666666664,34.0,40.666666666666664,34.666666666666664,28.666666666666664,23.0,21.298850574712645,72.40229885057471,21.298850574712645,46.0,22.66666666666667,46.66666666666666,22.66666666666667,20.0,23.057471264367813,71.88505747126436,23.057471264367813,178,80,1496.810337,178.0,,,,28.0,,,,38.0,,,,63.0,,,,3.0,80,53,579.709119,80.0,26,20,2.919703,26.0,120,71,2102.134858,120,47,22,61,5,69,66,1590,4635
1650,300.0,1588.8207965115769,1651.1792034884234,300.0,58.0,22.666666666666664,34.666666666666664,22.666666666666664,40.0,22.666666666666664,52.666666666666664,22.666666666666664,34.0,28.666666666666664,34.666666666666664,40.666666666666664,23.0,21.298850574712645,72.40229885057471,21.298850574712645,40.0,22.666666666666675,52.66666666666665,22.666666666666675,24.0,22.275862068965516,69.44827586206897,22.275862068965516,176,86,1276.639263,176.0,,,,40.0,,,,58.0,,,,55.0,,,,10.0,95,52,580.960604,95.0,31,13,0.660262,31.0,120,77,2058.16254,120,89,15,57,25,104,82,1946,4981
1800,600.0,1800.0,1800.0,600.0,58.0,22.666666666666664,34.666666666666664,22.666666666666664,40.0,22.666666666666664,52.666666666666664,22.666666666666664,34.0,22.666666666666664,34.666666666666664,46.666666666666664,23.0,21.298850574712645,72.40229885057471,21.298850574712645,28.0,22.66666666666667,64.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,170,68,1509.838003,170.0,,,,37.0,,,,59.0,,,,59.0,,,,9.0,106,72,551.42912,106.0,35,24,1.574888,35.0,134,91,1975.198283,134,91,6,33,12,97,45,1998,5366
1950,0.0,705.249724960335,612.2918958663874,122.45837917327742,58.0,22.666666666666664,34.666666666666664,22.666666666666664,40.0,22.666666666666664,52.666666666666664,22.666666666666664,34.0,22.666666666666664,34.666666666666664,46.666666666666664,77.0,20.187606196901548,20.624787606196904,20.187606196901548,34.0,22.66666666666667,58.66666666666666,22.66666666666667,20.0,23.057471264367813,71.88505747126436,23.057471264367813,157,71,1524.771549,157.0,,,,38.0,,,,55.0,,,,72.0,,,,10.0,131,89,355.377315,131.0,44,28,0.325218,44.0,153,105,1865.250988,153,94,7,27,17,101,44,2201,5720
2100,0.0,940.7035873736394,859.2964126263605,0.0,58.0,22.666666666666664,34.666666666666664,22.666666666666664,40.0,22.666666666666664,52.666666666666664,22.666666666666664,34.0,22.666666666666664,34.666666666666664,46.666666666666664,24.0,20.0,74.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,20.0,23.057471264367813,71.88505747126436,23.057471264367813,227,160,1506.812448,227.0,,,,45.0,,,,58.0,,,,68.0,,,,4.0,126,92,336.344025,126.0,42,28,1.068937,42.0,172,117,1788.357384,172,130,20,49,26,150,75,2653,6072
2250,300.0,1240.7035873736395,1159.2964126263605,300.0,58.0,22.666666666666664,34.666666666666664,22.666666666666664,40.0,22.666666666666664,52.666666666666664,22.666666666666664,34.0,22.666666666666664,34.666666666666664,46.666666666666664,24.0,20.0,74.0,20.0,40.0,22.66666666666667,52.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,239,139,870.433585,239.0,,,,48.0,,,,47.0,,,,62.0,,,,3.0,140,97,324.446625,140.0,43,34,5.460581,43.0,181,125,1745.804034,181,143,12,68,50,155,118,2867,6402
2400,600.0,1540.7035873736395,1459.2964126263605,300.0,58.0,22.666666666666664,34.666666666666664,22.666666666666664,40.0,22.666666666666664,52.666666666666664,22.666666666666664,34.0,22.666666666666664,34.666666666666664,46.666666666666664,24.0,20.0,74.0,20.0,22.0,22.66666666666667,70.66666666666666,22.66666666666667,24.0,22.275862068965516,69.44827586206897,22.275862068965516,251,138,675.583024,251.0,,,,50.0,,,,55.0,,,,65.0,,,,13.0,146,105,329.362704,146.0,48,35,8.800303,48.0,200,130,1731.235861,200,120,7,52,45,127,97,2913,6731
2550,0.0,896.2354924535192,903.7645075464809,0.0,58.0,22.666666666666664,28.666666666666664,28.666666666666664,40.0,28.666666666666664,46.666666666666664,22.666666666666664,34.0,22.666666666666664,34.666666666666664,46.666666666666664,23.0,20.0,75.0,20.0,46.0,22.66666666666667,46.66666666666666,22.66666666666667,20.0,23.057471264367813,71.88505747126436,23.057471264367813,267,131,548.955473,267.0,,,,38.0,,,,56.0,,,,77.0,,,,16.0,184,141,249.778514,184.0,55,45,1.062101,55.0,204,139,1710.917031,204,118,11,28,44,129,72,3101,6992
2700,300.0,1196.2354924535193,1203.764507546481,300.0,64.0,22.666666666666664,28.666666666666664,22.666666666666664,22.0,22.666666666666664,28.666666666666664,64.66666666666666,34.0,22.666666666666664,34.666666666666664,46.666666666666664,23.0,20.0,75.0,20.0,34.0,22.666666666666675,58.66666666666665,22.666666666666675,24.0,22.275862068965516,69.44827586206897,22.275862068965516,283,170,482.741889,283.0,,,,45.0,,,,72.0,,,,67.0,,,,10.0,208,162,202.008244,208.0,59,47,2.342186,59.0,204,152,1705.163053,204,140,9,61,59,149,120,3280,7170
2850,0.0,1114.7084808166912,985.291519183309,0.0,52.0,22.666666666666664,22.666666666666664,40.666666666666664,28.0,34.66666666666667,22.666666666666668,52.66666666666666,34.0,22.666666666666664,34.666666666666664,46.666666666666664,23.0,20.0,75.0,20.0,28.0,22.66666666666668,64.66666666666664,22.66666666666668,20.0,23.057471264367813,71.88505747126436,23.057471264367813,312,209,405.865332,312.0,,,,31.0,,,,40.0,,,,68.0,,,,22.0,222,180,154.481802,222.0,63,54,1.540709,63.0,216,151,1702.288749,216,116,11,60,45,127,105,3267,7156
3000,300.0,1414.7084808166912,1285.291519183309,0.0,52.0,22.666666666666664,22.666666666666664,40.666666666666664,28.0,22.66666666666667,34.66666666666667,52.66666666666666,34.0,22.666666666666664,34.666666666666664,46.666666666666664,77.0,20.0,21.0,20.0,40.0,22.666666666666682,52.66666666666663,22.666666666666682,24.0,22.275862068965516,69.44827586206897,22.275862068965516,300,184,295.245264,300.0,,,,44.0,,,,38.0,,,,58.0,,,,32.0,227,186,133.864395,227.0,62,56,2.264257,62.0,228,162,1723.838171,228,140,8,58,57,148,115,3534,7166
3150,600.0,1714.7084808166912,1585.291519183309,0.0,58.0,22.666666666666664,22.666666666666664,34.666666666666664,28.0,22.66666666666667,34.66666666666667,52.66666666666666,40.0,28.666666666666664,40.666666666666664,28.666666666666664,25.0,21.311475409836067,70.37704918032787,21.311475409836067,58.0,22.666666666666682,34.66666666666663,22.666666666666682,24.0,22.275862068965516,69.44827586206897,22.275862068965516,358,283,354.712606,358.0,,,,41.0,,,,59.0,,,,56.0,,,,32.0,223,176,149.128549,223.0,60,50,0.360114,60.0,249,163,1672.995651,249,115,10,30,69,125,99,3540,7270
3300,0.0,911.1498776366673,888.8501223633326,0.0,58.0,22.666666666666664,22.666666666666664,34.666666666666664,28.0,22.66666666666667,34.66666666666667,52.66666666666666,46.0,22.666666666666664,40.666666666666664,28.666666666666664,23.0,20.55708689975337,73.88582620049326,20.55708689975337,52.0,22.666666666666682,40.66666666666663,22.666666666666682,20.0,23.057471264367813,71.88505747126436,23.057471264367813,332,176,193.417601,332.0,,,,47.0,,,,41.0,,,,52.0,,,,40.0,208,163,169.424789,208.0,62,50,1.545326,62.0,266,182,1710.521641,266,118,12,29,80,130,109,3488,7355
3450,0.0,906.5259092349806,893.4740907650194,0.0,58.0,22.666666666666664,22.666666666666664,34.666666666666664,28.0,22.66666666666667,34.66666666666667,52.66666666666666,46.0,22.666666666666664,40.666666666666664,28.666666666666664,23.0,20.0,75.0,20.0,46.0,22.666666666666682,46.66666666666663,22.666666666666682,20.0,23.057471264367813,71.88505747126436,23.057471264367813,322,190,183.1791,322.0,,,,50.0,,,,51.0,,,,53.0,,,,42.0,210,161,155.769834,210.0,60,42,0.196032,60.0,268,199,1667.51127,268,142,9,37,95,151,132,3639,7408
3600,0.0,691.8950330702665,748.1049669297337,0.0,58.0,22.666666666666664,22.666666666666664,34.666666666666664,34.0,22.66666666666667,28.66666666666667,52.66666666666666,46.0,22.666666666666664,40.666666666666664,28.666666666666664,23.0,20.0,75.0,20.0,46.0,22.666666666666682,46.666666666666636,22.666666666666682,20.0,23.057471264367813,71.88505747126436,23.057471264367813,361,271,156.224851,361.0,,,,47.0,,,,62.0,,,,69.0,,,,41.0,198,148,145.852179,198.0,64,56,1.463207,64.0,287,219,1667.854866,287,142,11,29,99,153,128,3821,7496
3750,0.0,891.9665564648202,908.0334435351797,0.0,64.0,28.666666666666664,22.666666666666664,22.666666666666664,40.0,22.66666666666667,28.66666666666667,46.66666666666666,34.0,22.666666666666664,34.666666666666664,46.666666666666664,23.0,20.0,75.0,20.0,40.0,22.666666666666682,52.666666666666636,22.666666666666682,26.0,23.057471264367813,65.88505747126436,23.057471264367813,370,316,91.93429,370.0,,,,51.0,,,,72.0,,,,98.0,,,,38.0,207,158,142.134048,207.0,64,50,2.344977,64.0,287,233,1679.081852,287,142,11,19,109,153,128,3860,7351
3900,0.0,765.7512686066232,449.4991542622511,224.7495771311256,40.0,22.666666666666664,40.666666666666664,34.666666666666664,52.0,22.66666666666667,22.66666666666667,40.66666666666666,22.0,34.666666666666664,34.666666666666664,46.666666666666664,77.0,20.0,21.0,20.0,40.0,22.666666666666682,52.666666666666636,22.666666666666682,26.0,24.292692939244663,63.41461412151068,24.292692939244663,370,323,39.328365,370.0,,,,53.0,,,,61.0,,,,148.0,,,,40.0,229,184,124.211201,229.0,64,50,1.008938,64.0,283,236,1700.554853,283,142,4,26,123,146,149,4029,7349
4050,0.0,1149.2654949098217,1040.7345049590524,0.0,40.0,22.666666666666664,40.666666666666664,34.666666666666664,58.0,22.66666666666667,22.66666666666667,34.66666666666666,22.0,34.666666666666664,34.666666666666664,46.666666666666664,24.0,20.0,74.0,20.0,46.0,22.666666666666682,46.666666666666636,22.666666666666682,26.0,25.594087203847057,60.811825592305894,25.594087203847057,438,365,21.49698,438.0,,,,58.0,,,,61.0,,,,166.0,,,,34.0,265,237,90.301524,265.0,62,47,2.782813,62.0,289,244,1778.563668,289,142,15,35,95,157,130,4022,7386
4200,300.0,1449.2654949098217,1340.7345049590524,300.0,40.0,22.666666666666664,40.666666666666664,34.666666666666664,58.0,22.66666666666667,22.66666666666667,34.66666666666666,28.0,34.666666666666664,52.666666666666664,22.666666666666664,78.0,20.0,20.0,20.0,46.0,22.666666666666682,46.666666666666636,22.666666666666682,20.0,25.594087203847057,66.8118255923059,25.594087203847057,452,380,21.49698,452.0,,,,73.0,,,,58.0,,,,150.0,,,,47.0,271,240,49.70735,271.0,64,47,0.815513,64.0,289,245,1756.270298,289,142,2,50,107,144,157,4139,7469
4350,349.61937510078303,349.61937510078303,617.3010414986949,123.46020829973895,40.0,22.666666666666664,40.666666666666664,34.666666666666664,58.0,22.66666666666667,22.66666666666667,34.66666666666666,28.0,22.666666666666664,52.666666666666664,34.666666666666664,24.0,20.0,74.0,20.0,46.0,22.666666666666682,46.666666666666636,22.666666666666682,24.0,24.72649102744546,64.54701794510908,24.72649102744546,510,421,21.49698,510.0,,,,67.0,,,,40.0,,,,176.0,,,,47.0,261,226,84.742808,261.0,63,51,1.264822,63.0,289,238,1772.785002,289,120,7,6,82,127,88,4041,7587
4500,0.0,917.7795827038537,882.2204172961463,0.0,40.0,22.666666666666664,40.666666666666664,34.666666666666664,64.0,22.66666666666667,22.66666666666667,28.666666666666657,28.0,22.666666666666664,34.666666666666664,52.666666666666664,23.0,20.0,75.0,20.0,46.0,22.666666666666682,46.666666666666636,22.666666666666682,26.0,25.594087203847053,60.81182559230588,25.594087203847053,498,342,3.535854,498.0,,,,56.0,,,,46.0,,,,201.0,,,,46.0,264,226,70.665556,264.0,58,52,0.392591,58.0,293,244,1767.129076,293,120,29,16,63,149,79,3997,7600
4650,0.0,1589.169664434958,1410.8303355650423,0.0,40.0,22.666666666666664,40.666666666666664,34.666666666666664,64.0,22.66666666666667,22.66666666666667,28.666666666666657,28.0,22.666666666666664,34.666666666666664,52.666666666666664,23.0,20.0,75.0,20.0,46.0,22.666666666666682,46.666666666666636,22.666666666666682,26.0,20.965199018338865,70.06960196332227,20.965199018338865,475,334,4.394593,475.0,,,,60.0,,,,52.0,,,,200.0,,,,47.0,262,225,63.625635,262.0,57,50,1.88998,57.0,281,248,1777.743863,281,141,32,27,77,173,104,4096,7525
4800,0.0,927.2094733878133,872.7905266121867,0.0,40.0,22.666666666666664,40.666666666666664,34.666666666666664,64.0,22.66666666666667,22.66666666666667,28.666666666666657,28.0,22.666666666666664,34.666666666666664,52.666666666666664,23.0,20.0,75.0,20.0,46.0,22.666666666666682,46.666666666666636,22.666666666666682,23.0,20.403631187490504,74.19273762501899,20.403631187490504,486,409,26.803664,486.0,,,,71.0,,,,30.0,,,,207.0,,,,41.0,246,206,90.295274,246.0,57,44,1.372011,57.0,282,240,1805.269382,282,141,20,18,82,161,100,4178,7372
4950,0.0,929.276749427077,870.723250572923,0.0,40.0,22.666666666666664,40.666666666666664,34.666666666666664,70.0,22.66666666666667,22.66666666666667,22.666666666666657,28.0,22.666666666666664,34.666666666666664,52.666666666666664,77.0,20.0,21.0,20.0,28.0,22.666666666666682,64.66666666666663,22.666666666666682,26.0,20.935899827164167,70.12820034567166,20.935899827164167,490,436,16.6228,490.0,,,,77.0,,,,36.0,,,,224.0,,,,43.0,252,218,70.928796,252.0,57,44,2.495263,57.0,276,242,1805.735888,276,141,23,16,90,164,106,4240,7347
5100,0.0,981.0183662983707,818.9816337016294,0.0,40.0,22.666666666666664,40.666666666666664,34.666666666666664,70.0,22.66666666666667,22.66666666666667,22.666666666666657,28.0,34.666666666666664,34.666666666666664,40.666666666666664,24.0,20.0,74.0,20.0,22.0,22.666666666666682,70.66666666666663,22.666666666666682,26.0,22.057465889333677,67.88506822133265,22.057465889333677,531,480,4.412818,531.0,,,,75.0,,,,48.0,,,,240.0,,,,35.0,257,221,86.987989,257.0,60,48,1.33494,60.0,269,227,1809.019756,269,141,27,18,97,168,115,4214,7355
5250,0.0,1001.4831702869557,798.5168297130444,0.0,40.0,22.666666666666664,40.666666666666664,34.666666666666664,70.0,22.66666666666667,22.66666666666667,22.666666666666657,28.0,46.666666666666664,40.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,22.0,22.666666666666682,70.66666666666663,22.666666666666682,26.0,23.23911584769084,65.52176830461832,23.23911584769084,503,460,4.412818,503.0,,,,103.0,,,,37.0,,,,262.0,,,,37.0,274,246,61.273482,274.0,65,59,1.995257,65.0,274,233,1802.972047,274,141,25,28,113,166,141,4316,7353
5400,0.0,824.768619723976,615.2313802760241,0.0,40.0,22.666666666666664,40.666666666666664,34.666666666666664,70.0,22.66666666666667,22.66666666666667,22.666666666666657,22.0,52.666666666666664,40.666666666666664,22.666666666666664,23.0,20.0,75.0,20.0,28.0,22.666666666666682,64.66666666666663,22.666666666666682,23.0,22.616639530341978,69.76672093931604,22.616639530341978,484,457,4.412818,484.0,,,,123.0,,,,51.0,,,,284.0,,,,38.0,270,238,38.367351,270.0,67,54,1.734551,67.0,270,235,1765.881262,270,141,29,13,121,170,134,4314,7306
