seg,rows_ramp,rows_signal,stopped_ramp,stopped_signal,L1_ramp_share,L1_stop_ramp_share,L23_rows_ramp,L23_rows_signal,L23_stopped_ramp,L23_stopped_signal,veh_h_L1,veh_h_L23,run
1700,0.0,8192.0,0.0,6717.0,0.0,0.0,0.0,17113.0,0.0,13517.0,11.377777777777778,23.768055555555556,nc
1800,0.0,8371.0,0.0,6969.0,0.0,0.0,0.0,17296.0,0.0,13856.0,11.626388888888888,24.022222222222222,nc
1900,0.0,5070.0,0.0,4291.0,0.0,0.0,0.0,10726.0,0.0,9150.0,7.041666666666667,14.897222222222222,nc
-100,1.0,0.0,0.0,0.0,1.0,,,,,,0.001388888888888889,,g1
0,457.0,118.0,0.0,0.0,0.7947826086956522,,958.0,202.0,0.0,0.0,0.7986111111111112,1.6111111111111112,g1
100,489.0,124.0,0.0,0.0,0.797716150081566,,997.0,210.0,0.0,0.0,0.8513888888888889,1.676388888888889,g1
200,497.0,123.0,0.0,0.0,0.8016129032258065,,1000.0,204.0,0.0,0.0,0.8611111111111112,1.6722222222222223,g1
300,476.0,123.0,0.0,0.0,0.7946577629382304,,1024.0,205.0,0.0,0.0,0.8319444444444445,1.7069444444444444,g1
400,477.0,122.0,0.0,0.0,0.7963272120200334,,1049.0,203.0,0.0,0.0,0.8319444444444445,1.738888888888889,g1
500,475.0,119.0,0.0,0.0,0.7996632996632996,,1041.0,207.0,0.0,0.0,0.825,1.7333333333333334,g1
600,472.0,112.0,0.0,0.0,0.8082191780821918,,1048.0,220.0,0.0,0.0,0.8111111111111111,1.761111111111111,g1
700,452.0,113.0,0.0,0.0,0.8,,1057.0,212.0,0.0,0.0,0.7847222222222222,1.7625,g1
800,542.0,564.0,5.0,426.0,0.49005424954792043,0.01160092807424594,1016.0,664.0,8.0,444.0,1.5361111111111112,2.3333333333333335,g1
900,1329.0,1161.0,628.0,1009.0,0.5337349397590362,0.3836285888821014,2080.0,1265.0,977.0,1017.0,3.4583333333333335,4.645833333333333,g1
1000,889.0,178.0,546.0,87.0,0.8331771321462043,0.8625592417061612,1389.0,271.0,854.0,143.0,1.4819444444444445,2.3055555555555554,g1
1100,170.0,91.0,0.0,0.0,0.6513409961685823,,202.0,111.0,0.0,0.0,0.3625,0.43472222222222223,g1
1200,455.0,504.0,1.0,3.0,0.4744525547445255,0.25,14.0,165.0,0.0,0.0,1.3319444444444444,0.24861111111111112,g1
1300,168.0,645.0,0.0,0.0,0.2066420664206642,,3.0,686.0,0.0,0.0,1.1291666666666667,0.9569444444444445,g1
1400,0.0,1724.0,0.0,935.0,0.0,0.0,0.0,2752.0,0.0,1428.0,2.3944444444444444,3.8222222222222224,g1
1500,0.0,6690.0,0.0,4821.0,0.0,0.0,0.0,12714.0,0.0,9013.0,9.291666666666666,17.658333333333335,g1
1600,0.0,7316.0,0.0,5319.0,0.0,0.0,0.0,15128.0,0.0,10837.0,10.161111111111111,21.011111111111113,g1
1700,0.0,7530.0,0.0,5448.0,0.0,0.0,0.0,15247.0,0.0,10716.0,10.458333333333334,21.176388888888887,g1
1800,0.0,7243.0,0.0,5276.0,0.0,0.0,0.0,15842.0,0.0,11409.0,10.059722222222222,22.002777777777776,g1
1900,0.0,4417.0,0.0,3376.0,0.0,0.0,0.0,9986.0,0.0,8005.0,6.134722222222222,13.869444444444444,g1
-100,1.0,0.0,0.0,0.0,1.0,,,,,,0.001388888888888889,,h11
0,223.0,4399.0,0.0,4144.0,0.04824751189961056,0.0,542.0,7108.0,2.0,5691.0,6.419444444444444,10.625,h11
100,268.0,5884.0,0.0,5585.0,0.043563068920676205,0.0,582.0,9158.0,2.0,7633.0,8.544444444444444,13.527777777777779,h11
200,275.0,6726.0,0.0,6399.0,0.03928010284245108,0.0,593.0,9558.0,4.0,8094.0,9.723611111111111,14.098611111111111,h11
300,384.0,7105.0,72.0,6745.0,0.05127520363199359,0.010561830717324337,575.0,9843.0,4.0,8455.0,10.401388888888889,14.469444444444445,h11
400,920.0,7105.0,481.0,6761.0,0.1146417445482866,0.0664181165423916,1013.0,10207.0,425.0,8917.0,11.145833333333334,15.583333333333334,h11
500,1825.0,6673.0,1284.0,6384.0,0.21475641327371145,0.1674491392801252,1846.0,10286.0,1139.0,9063.0,11.802777777777777,16.85,h11
600,2301.0,6244.0,1693.0,5998.0,0.26928028086600353,0.22012742166168248,2785.0,9475.0,2016.0,8424.0,11.868055555555555,17.02777777777778,h11
700,2630.0,6349.0,1970.0,6153.0,0.29290566878271523,0.242521235996553,3301.0,9833.0,2503.0,8965.0,12.470833333333333,18.241666666666667,h11
800,4899.0,4533.0,4170.0,4373.0,0.5194020356234097,0.48811892777712745,6601.0,6415.0,5696.0,5706.0,13.1,18.07777777777778,h11
900,5770.0,3352.0,4915.0,3249.0,0.6325367244025433,0.6020333170014699,7964.0,5764.0,6986.0,5206.0,12.669444444444444,19.066666666666666,h11
1000,2047.0,887.0,1619.0,857.0,0.6976823449216087,0.6538772213247173,2326.0,1730.0,2011.0,1540.0,4.075,5.633333333333334,h11
1100,269.0,13.0,0.0,0.0,0.9539007092198581,,3.0,128.0,0.0,0.0,0.39166666666666666,0.18194444444444444,h11
1200,339.0,348.0,11.0,3.0,0.49344978165938863,0.7857142857142857,2.0,159.0,0.0,0.0,0.9541666666666667,0.22361111111111112,h11
1300,112.0,565.0,0.0,0.0,0.1654357459379616,,1.0,530.0,0.0,0.0,0.9402777777777778,0.7375,h11
1400,0.0,939.0,0.0,290.0,0.0,0.0,0.0,1331.0,0.0,569.0,1.3041666666666667,1.8486111111111112,h11
1500,0.0,2729.0,0.0,1609.0,0.0,0.0,0.0,5099.0,0.0,3284.0,3.790277777777778,7.081944444444445,h11
1600,0.0,3827.0,0.0,2490.0,0.0,0.0,0.0,7775.0,0.0,5277.0,5.315277777777778,10.79861111111111,h11
1700,0.0,5270.0,0.0,3639.0,0.0,0.0,0.0,10968.0,0.0,7604.0,7.319444444444445,15.233333333333333,h11
1800,0.0,6916.0,0.0,5176.0,0.0,0.0,0.0,14708.0,0.0,10797.0,9.605555555555556,20.427777777777777,h11
1900,0.0,4354.0,0.0,3405.0,0.0,0.0,0.0,10029.0,0.0,8205.0,6.0472222222222225,13.929166666666667,h11
