panel,series,sim_sec,value,unit,kind
cell_speed,E7,3810.0,0.626583,km/h,observed_30s
cell_speed,E7,3840.0,0.735971,km/h,observed_30s
cell_speed,E7,3870.0,0.520929,km/h,observed_30s
cell_speed,E7,3900.0,1.066877,km/h,observed_30s
cell_speed,E7,3930.0,1.918614,km/h,observed_30s
cell_speed,E7,3960.0,1.96435,km/h,observed_30s
cell_speed,E7,3990.0,1.912997,km/h,observed_30s
cell_speed,E7,4020.0,1.864527,km/h,observed_30s
cell_speed,E7,4050.0,1.42581,km/h,observed_30s
cell_speed,E7,4080.0,0.70695,km/h,observed_30s
cell_speed,E7,4110.0,0.715985,km/h,observed_30s
cell_speed,E7,4140.0,0.966279,km/h,observed_30s
cell_speed,E7,4170.0,1.297841,km/h,observed_30s
cell_speed,E7,4200.0,1.188227,km/h,observed_30s
cell_speed,E7,4230.0,1.517088,km/h,observed_30s
cell_speed,E7,4260.0,1.576332,km/h,observed_30s
cell_speed,E7,4290.0,1.05696,km/h,observed_30s
cell_speed,E7,4320.0,1.299041,km/h,observed_30s
cell_speed,E7,4350.0,1.990633,km/h,observed_30s
cell_speed,E7,4380.0,1.680697,km/h,observed_30s
cell_speed,E7,4410.0,1.594386,km/h,observed_30s
cell_speed,E7,4440.0,1.641689,km/h,observed_30s
cell_speed,E7,4470.0,1.605909,km/h,observed_30s
cell_speed,E7,4500.0,1.849931,km/h,observed_30s
cell_speed,E7,4530.0,2.640882,km/h,observed_30s
cell_speed,E7,4560.0,3.420912,km/h,observed_30s
cell_speed,E7,4590.0,3.482745,km/h,observed_30s
cell_speed,E7,4620.0,3.339021,km/h,observed_30s
cell_speed,E7,4650.0,2.973009,km/h,observed_30s
cell_speed,E7,4680.0,2.374734,km/h,observed_30s
cell_speed,E7,4710.0,2.942552,km/h,observed_30s
cell_speed,E7,4740.0,2.767866,km/h,observed_30s
cell_speed,E7,4770.0,3.167696,km/h,observed_30s
cell_speed,E7,4800.0,3.647491,km/h,observed_30s
cell_speed,E7,4830.0,5.004953,km/h,observed_30s
cell_speed,E7,4860.0,4.560901,km/h,observed_30s
cell_speed,E7,4890.0,3.985402,km/h,observed_30s
cell_speed,E7,4920.0,3.402318,km/h,observed_30s
cell_speed,E7,4950.0,3.448709,km/h,observed_30s
cell_speed,E7,4980.0,3.34864,km/h,observed_30s
cell_speed,E7,5010.0,2.203264,km/h,observed_30s
cell_speed,E7,5040.0,2.671629,km/h,observed_30s
cell_speed,E7,5070.0,2.552053,km/h,observed_30s
cell_speed,E7,5100.0,2.318182,km/h,observed_30s
cell_speed,E7,5130.0,2.59532,km/h,observed_30s
cell_speed,E7,5160.0,2.975168,km/h,observed_30s
cell_speed,E7,5190.0,2.842259,km/h,observed_30s
cell_speed,E7,5220.0,2.906845,km/h,observed_30s
cell_speed,E7,5250.0,2.557254,km/h,observed_30s
cell_speed,E7,5280.0,2.192808,km/h,observed_30s
cell_speed,E7,5310.0,1.794408,km/h,observed_30s
cell_speed,E7,5340.0,1.269229,km/h,observed_30s
cell_speed,E7,5370.0,0.703708,km/h,observed_30s
cell_speed,E7,5400.0,0.658315,km/h,observed_30s
cell_speed,E6,900.0,117.304209,km/h,observed_30s
cell_speed,E6,930.0,116.387607,km/h,observed_30s
cell_speed,E6,960.0,119.084967,km/h,observed_30s
cell_speed,E6,990.0,115.519348,km/h,observed_30s
cell_speed,E6,1020.0,114.816688,km/h,observed_30s
cell_speed,E6,1050.0,111.272653,km/h,observed_30s
cell_speed,E6,1080.0,115.307919,km/h,observed_30s
cell_speed,E6,1110.0,118.300728,km/h,observed_30s
cell_speed,E6,1140.0,112.191446,km/h,observed_30s
cell_speed,E6,1170.0,111.769055,km/h,observed_30s
cell_speed,E6,1200.0,115.385168,km/h,observed_30s
cell_speed,E6,1230.0,118.313336,km/h,observed_30s
cell_speed,E6,1260.0,114.804738,km/h,observed_30s
cell_speed,E6,1290.0,104.29533,km/h,observed_30s
cell_speed,E6,1320.0,106.634306,km/h,observed_30s
cell_speed,E6,1350.0,114.266231,km/h,observed_30s
cell_speed,E6,1380.0,92.545483,km/h,observed_30s
cell_speed,E6,1410.0,97.619654,km/h,observed_30s
cell_speed,E6,1440.0,112.221353,km/h,observed_30s
cell_speed,E6,1470.0,105.485193,km/h,observed_30s
cell_speed,E6,1500.0,88.090493,km/h,observed_30s
cell_speed,E6,1530.0,64.806273,km/h,observed_30s
cell_speed,E6,1560.0,47.644626,km/h,observed_30s
cell_speed,E6,1590.0,39.148735,km/h,observed_30s
cell_speed,E6,1620.0,35.744088,km/h,observed_30s
cell_speed,E6,1650.0,25.319135,km/h,observed_30s
cell_speed,E6,1680.0,23.65793,km/h,observed_30s
cell_speed,E6,1710.0,20.252428,km/h,observed_30s
cell_speed,E6,1740.0,15.092515,km/h,observed_30s
cell_speed,E6,1770.0,12.874006,km/h,observed_30s
cell_speed,E6,1800.0,14.517867,km/h,observed_30s
cell_speed,E6,1830.0,14.157439,km/h,observed_30s
cell_speed,E6,1860.0,13.875296,km/h,observed_30s
cell_speed,E6,1890.0,16.055591,km/h,observed_30s
cell_speed,E6,1920.0,12.804474,km/h,observed_30s
cell_speed,E6,1950.0,11.712664,km/h,observed_30s
cell_speed,E6,1980.0,9.775803,km/h,observed_30s
cell_speed,E6,2010.0,10.501022,km/h,observed_30s
cell_speed,E6,2040.0,10.741679,km/h,observed_30s
cell_speed,E6,2070.0,10.669485,km/h,observed_30s
cell_speed,E6,2100.0,10.425858,km/h,observed_30s
cell_speed,E6,2130.0,10.700693,km/h,observed_30s
cell_speed,E6,2160.0,8.438457,km/h,observed_30s
cell_speed,E6,2190.0,9.764338,km/h,observed_30s
cell_speed,E6,2220.0,10.565116,km/h,observed_30s
cell_speed,E6,2250.0,9.745639,km/h,observed_30s
cell_speed,E6,2280.0,12.068938,km/h,observed_30s
cell_speed,E6,2310.0,10.68186,km/h,observed_30s
cell_speed,E6,2340.0,9.11226,km/h,observed_30s
cell_speed,E6,2370.0,8.502347,km/h,observed_30s
cell_speed,E6,2400.0,7.280376,km/h,observed_30s
cell_speed,E6,2430.0,7.618731,km/h,observed_30s
cell_speed,E6,2460.0,5.873594,km/h,observed_30s
cell_speed,E6,2490.0,6.552445,km/h,observed_30s
cell_speed,E6,2520.0,5.712013,km/h,observed_30s
cell_speed,E6,2550.0,5.106801,km/h,observed_30s
cell_speed,E6,2580.0,6.153438,km/h,observed_30s
cell_speed,E6,2610.0,6.26105,km/h,observed_30s
cell_speed,E6,2640.0,6.138086,km/h,observed_30s
cell_speed,E6,2670.0,5.760482,km/h,observed_30s
cell_speed,E6,2700.0,5.385793,km/h,observed_30s
cell_speed,E6,2730.0,5.378357,km/h,observed_30s
cell_speed,E6,2760.0,6.553601,km/h,observed_30s
cell_speed,E6,2790.0,6.561017,km/h,observed_30s
cell_speed,E6,2820.0,5.986854,km/h,observed_30s
cell_speed,E6,2850.0,5.490216,km/h,observed_30s
cell_speed,E6,2880.0,6.1432,km/h,observed_30s
cell_speed,E6,2910.0,5.375216,km/h,observed_30s
cell_speed,E6,2940.0,5.401077,km/h,observed_30s
cell_speed,E6,2970.0,4.987194,km/h,observed_30s
cell_speed,E6,3000.0,4.659909,km/h,observed_30s
cell_speed,E6,3030.0,4.728749,km/h,observed_30s
cell_speed,E6,3060.0,4.34085,km/h,observed_30s
cell_speed,E6,3090.0,4.073311,km/h,observed_30s
cell_speed,E6,3120.0,3.829163,km/h,observed_30s
cell_speed,E6,3150.0,3.794119,km/h,observed_30s
cell_speed,E6,3180.0,3.357896,km/h,observed_30s
cell_speed,E6,3210.0,3.5208,km/h,observed_30s
cell_speed,E6,3240.0,3.672141,km/h,observed_30s
cell_speed,E6,3270.0,3.529993,km/h,observed_30s
cell_speed,E6,3300.0,3.73651,km/h,observed_30s
cell_speed,E6,3330.0,3.29356,km/h,observed_30s
cell_speed,E6,3360.0,3.387386,km/h,observed_30s
cell_speed,E6,3390.0,3.009521,km/h,observed_30s
cell_speed,E6,3420.0,3.068398,km/h,observed_30s
cell_speed,E6,3450.0,2.781879,km/h,observed_30s
cell_speed,E6,3480.0,2.392531,km/h,observed_30s
cell_speed,E6,3510.0,2.52474,km/h,observed_30s
cell_speed,E6,3540.0,2.569346,km/h,observed_30s
cell_speed,E6,3570.0,2.845487,km/h,observed_30s
cell_speed,E6,3600.0,3.039893,km/h,observed_30s
cell_speed,E6,3630.0,4.232588,km/h,observed_30s
cell_speed,E6,3660.0,3.723735,km/h,observed_30s
cell_speed,E6,3690.0,2.900362,km/h,observed_30s
cell_speed,E6,3720.0,2.250333,km/h,observed_30s
cell_speed,E6,3750.0,1.509546,km/h,observed_30s
cell_speed,E6,3780.0,1.150284,km/h,observed_30s
cell_speed,E6,3810.0,0.811402,km/h,observed_30s
cell_speed,E6,3840.0,0.972587,km/h,observed_30s
cell_speed,E6,3870.0,0.832455,km/h,observed_30s
cell_speed,E6,3900.0,0.656765,km/h,observed_30s
cell_speed,E6,3930.0,0.713766,km/h,observed_30s
cell_speed,E6,3960.0,0.658482,km/h,observed_30s
cell_speed,E6,3990.0,0.565387,km/h,observed_30s
cell_speed,E6,4020.0,0.797697,km/h,observed_30s
cell_speed,E6,4050.0,1.312914,km/h,observed_30s
cell_speed,E6,4080.0,1.829368,km/h,observed_30s
cell_speed,E6,4110.0,2.132513,km/h,observed_30s
cell_speed,E6,4140.0,1.904022,km/h,observed_30s
cell_speed,E6,4170.0,1.677553,km/h,observed_30s
cell_speed,E6,4200.0,1.244654,km/h,observed_30s
cell_speed,E6,4230.0,0.738951,km/h,observed_30s
cell_speed,E6,4260.0,0.663445,km/h,observed_30s
cell_speed,E6,4290.0,1.224949,km/h,observed_30s
cell_speed,E6,4320.0,1.408908,km/h,observed_30s
cell_speed,E6,4350.0,1.536508,km/h,observed_30s
cell_speed,E6,4380.0,1.58593,km/h,observed_30s
cell_speed,E6,4410.0,1.345558,km/h,observed_30s
cell_speed,E6,4440.0,1.253766,km/h,observed_30s
cell_speed,E6,4470.0,1.579121,km/h,observed_30s
cell_speed,E6,4500.0,1.847475,km/h,observed_30s
cell_speed,E6,4530.0,1.542865,km/h,observed_30s
cell_speed,E6,4560.0,1.252366,km/h,observed_30s
cell_speed,E6,4590.0,1.358939,km/h,observed_30s
cell_speed,E6,4620.0,1.621927,km/h,observed_30s
cell_speed,E6,4650.0,2.225349,km/h,observed_30s
cell_speed,E6,4680.0,2.713985,km/h,observed_30s
cell_speed,E6,4710.0,3.400787,km/h,observed_30s
cell_speed,E6,4740.0,3.135165,km/h,observed_30s
cell_speed,E6,4770.0,3.376902,km/h,observed_30s
cell_speed,E6,4800.0,2.724122,km/h,observed_30s
cell_speed,E6,4830.0,2.269961,km/h,observed_30s
cell_speed,E6,4860.0,2.207359,km/h,observed_30s
cell_speed,E6,4890.0,3.122432,km/h,observed_30s
cell_speed,E6,4920.0,3.647758,km/h,observed_30s
cell_speed,E6,4950.0,4.235437,km/h,observed_30s
cell_speed,E6,4980.0,4.248059,km/h,observed_30s
cell_speed,E6,5010.0,4.204164,km/h,observed_30s
cell_speed,E6,5040.0,3.788875,km/h,observed_30s
cell_speed,E6,5070.0,3.604021,km/h,observed_30s
cell_speed,E6,5100.0,3.376077,km/h,observed_30s
cell_speed,E6,5130.0,2.518458,km/h,observed_30s
cell_speed,E6,5160.0,2.683492,km/h,observed_30s
cell_speed,E6,5190.0,2.52872,km/h,observed_30s
cell_speed,E6,5220.0,2.781342,km/h,observed_30s
cell_speed,E6,5250.0,2.442684,km/h,observed_30s
cell_speed,E6,5280.0,2.905956,km/h,observed_30s
cell_speed,E6,5310.0,2.621552,km/h,observed_30s
cell_speed,E6,5340.0,2.855484,km/h,observed_30s
cell_speed,E6,5370.0,2.994234,km/h,observed_30s
cell_speed,E6,5400.0,2.094499,km/h,observed_30s
stopped_stock,10639,900.0,0.0,vehicles,observed_30s
stopped_stock,10639,930.0,0.0,vehicles,observed_30s
stopped_stock,10639,960.0,0.0,vehicles,observed_30s
stopped_stock,10639,990.0,0.0,vehicles,observed_30s
stopped_stock,10639,1020.0,0.0,vehicles,observed_30s
stopped_stock,10639,1050.0,0.0,vehicles,observed_30s
stopped_stock,10639,1080.0,0.0,vehicles,observed_30s
stopped_stock,10639,1110.0,0.0,vehicles,observed_30s
