input_no,time_int,start_sec,before_vph,volume_vph
1085,1-5,3600,280.0,140.0
1085,1-6,4500,200.0,100.0
1086,1-1,0,196.0,98.0
1086,1-2,900,280.0,140.0
1086,1-3,1800,294.0,147.0
1086,1-4,2700,252.0,126.0
1086,1-5,3600,196.0,98.0
1086,1-6,4500,140.0,70.0
1087,1-1,0,196.0,98.0
1087,1-2,900,280.0,140.0
1087,1-3,1800,294.0,147.0
1087,1-4,2700,252.0,126.0
1087,1-5,3600,196.0,98.0
1087,1-6,4500,140.0,70.0
1091,1-1,0,112.0,56.0
1091,1-2,900,160.0,80.0
1091,1-3,1800,168.0,84.0
1091,1-4,2700,144.0,72.0
1091,1-5,3600,112.0,56.0
1091,1-6,4500,80.0,40.0
1092,1-1,0,42.0,21.0
1092,1-2,900,60.0,30.0
1092,1-3,1800,63.0,31.5
1092,1-4,2700,54.0,27.0
1092,1-5,3600,42.0,21.0
1092,1-6,4500,30.0,15.0
1093,1-1,0,42.0,21.0
1093,1-2,900,60.0,30.0
1093,1-3,1800,63.0,31.5
1093,1-4,2700,54.0,27.0
1093,1-5,3600,42.0,21.0
1093,1-6,4500,30.0,15.0
1095,1-1,0,168.0,84.0
1095,1-2,900,240.0,120.0
1095,1-3,1800,252.0,126.0
1095,1-4,2700,216.0,108.0
1095,1-5,3600,168.0,84.0
1095,1-6,4500,120.0,60.0
1096,1-1,0,56.0,28.0
1096,1-2,900,80.0,40.0
1096,1-3,1800,84.0,42.0
1096,1-4,2700,72.0,36.0
1096,1-5,3600,56.0,28.0
1096,1-6,4500,40.0,20.0
1097,1-1,0,112.0,56.0
1097,1-2,900,160.0,80.0
1097,1-3,1800,168.0,84.0
1097,1-4,2700,144.0,72.0
1097,1-5,3600,112.0,56.0
1097,1-6,4500,80.0,40.0
1098,1-1,0,5544.0,3695.8521600000004
1098,1-2,900,7920.0,5279.7888
1098,1-3,1800,8316.0,5543.778240000001
1098,1-4,2700,7128.0,4751.809920000001
1098,1-5,3600,5544.0,3695.8521600000004
1098,1-6,4500,3960.0,2639.8944
1099,1-1,0,5544.0,3695.8521600000004
1099,1-2,900,7920.0,5279.7888
1099,1-3,1800,8316.0,5543.778240000001
1099,1-4,2700,7128.0,4751.809920000001
1099,1-5,3600,5544.0,3695.8521600000004
1099,1-6,4500,3960.0,2639.8944
1100,1-1,0,566.16,283.08
1100,1-2,900,808.8,404.4
1100,1-3,1800,849.24,424.62
1100,1-4,2700,727.92,363.96
1100,1-5,3600,566.16,283.08
1100,1-6,4500,404.4,202.2
1101,1-1,0,934.0,467.0
1101,1-2,900,1333.0,666.5
1101,1-3,1800,1400.0,700.0
1101,1-4,2700,1200.0,600.0
1101,1-5,3600,934.0,467.0
1101,1-6,4500,667.0,333.5
1102,1-1,0,933.0,466.5
1102,1-2,900,1333.0,666.5
1102,1-3,1800,1400.0,700.0
1102,1-4,2700,1200.0,600.0
1102,1-5,3600,933.0,466.5
1102,1-6,4500,667.0,333.5
1103,1-1,0,168.0,84.0
1103,1-2,900,240.0,120.0
1103,1-3,1800,252.0,126.0
1103,1-4,2700,216.0,108.0
1103,1-5,3600,168.0,84.0
1103,1-6,4500,120.0,60.0
1104,1-1,0,56.0,28.0
1104,1-2,900,80.0,40.0
1104,1-3,1800,84.0,42.0
1104,1-4,2700,72.0,36.0
1104,1-5,3600,56.0,28.0
1104,1-6,4500,40.0,20.0
1105,1-1,0,566.16,283.08
1105,1-2,900,808.8,404.4
1105,1-3,1800,849.24,424.62
1105,1-4,2700,727.92,363.96
1105,1-5,3600,566.16,283.08
1105,1-6,4500,404.4,202.2
1106,1-1,0,566.16,283.08
1106,1-2,900,808.8,404.4
1106,1-3,1800,849.24,424.62
1106,1-4,2700,727.92,363.96
1106,1-5,3600,566.16,283.08
1106,1-6,4500,404.4,202.2
1107,1-1,0,566.16,283.08
1107,1-2,900,808.8,404.4
1107,1-3,1800,849.24,424.62
1107,1-4,2700,727.92,363.96
1107,1-5,3600,566.16,283.08
1107,1-6,4500,404.4,202.2
