run,t,L1_ramp_stop,L2_ramp_stop,L1_ramp_n,L2_ramp_n,L1_ramp_q_up_m,L1_ramp_qlen_m,sig_n,sig_stop,unk_n,unk_stop,n32,stop32,qtail32_m,conn_RDW_fzp,meter_R_D_W,meter_R_D_E,g_SC1001_p1,g_SC1001_p2,g_SC1001_p3,g_SC1001_p4,rc_R_D_W,lc_32,ls_32,lt_32,md_ramp_obs_R_D_W_queue_veh,pred_ramp_queue_R_D_W,N_UF_star
g1,4350,0.0,1.0,6.0,9.0,,0.0,116.0,55.0,0.0,0.0,139.0,56.0,1519.9000244140625,91,0.0,899.4589548175768,77.0,20.0,21.0,20.0,91,139,52,1519.898986,91.0,98.4404095083446,1800.0
g1,4500,0.0,0.0,12.0,7.0,,0.0,180.0,154.0,1.0,1.0,207.0,155.0,1511.8900146484375,114,0.0,730.585182424498,24.0,20.0,74.0,20.0,114,207,149,1518.476824,114.0,127.23930145294216,1799.9999999999998
g1,4650,1.0,3.0,6.0,7.0,1024.9100341796875,4.0899658203125,160.0,108.0,1.0,0.0,176.0,112.0,1015.760009765625,140,0.0,1372.648407799551,23.0,20.0,75.0,20.0,140,176,102,1015.755997,140.0,152.88603058161053,3000.0
g1,4800,12.0,15.0,19.0,20.0,943.9500122070312,85.04998779296875,144.0,89.0,4.0,1.0,188.0,117.0,941.0,140,300.0,1672.648407799551,77.0,20.0,21.0,20.0,140,187,112,941.000776,140.0,135.14735147742132,4072.648407799551
g1,4950,11.0,13.0,16.0,19.0,908.0399780273438,120.96002197265625,182.0,159.0,17.0,2.0,238.0,185.0,901.7000122070312,117,0.0,372.2220202677535,24.0,20.0,74.0,20.0,117,238,178,888.831545,117.0,130.81381158308113,1440.0
g1,5100,3.0,8.0,3.0,10.0,1011.22998046875,17.77001953125,143.0,94.0,48.0,30.0,206.0,135.0,901.5700073242188,140,0.0,926.2486396396584,23.0,20.0,75.0,20.0,140,205,130,901.570795,140.0,153.1212170076583,1800.0
g1,5250,3.0,8.0,3.0,8.0,1011.22998046875,17.77001953125,84.0,35.0,110.0,89.0,208.0,135.0,846.5599975585938,140,137.71258150218992,673.7245109868605,23.0,20.0,75.0,20.0,140,207,133,846.555786,140.0,147.57183178022788,1500.0
h0,900,0.0,0.0,11.0,8.0,,0.0,141.0,89.0,1.0,0.0,161.0,89.0,1543.72998046875,5,1800.0,1800.0,34.5,34.5,34.5,34.5,5,161,82,1543.73243,5.0,0.0,0.0
h0,1050,0.0,0.0,21.0,15.0,,0.0,159.0,113.0,1.0,1.0,200.0,114.0,1494.6500244140625,8,1800.0,1800.0,34.5,34.5,34.5,34.5,8,199,109,1501.16411,8.0,0.0,0.0
h0,1200,0.0,0.0,21.0,19.0,,0.0,171.0,123.0,1.0,0.0,214.0,123.0,1479.2900390625,13,1800.0,1800.0,34.5,34.5,34.5,34.5,13,214,117,1479.28785,13.0,0.0,0.0
h0,1350,0.0,1.0,17.0,11.0,,0.0,188.0,137.0,4.0,3.0,223.0,142.0,1432.6800537109375,6,1800.0,1800.0,34.5,34.5,34.5,34.5,6,222,136,1432.67842,6.0,0.0,0.0
h0,1500,1.0,0.0,20.0,14.0,1619.3599853515625,-590.3599853515625,202.0,155.0,4.0,4.0,242.0,160.0,1380.3499755859375,9,1800.0,1800.0,34.5,34.5,34.5,34.5,9,242,146,1384.037931,9.0,0.0,0.0
h0,1650,1.0,0.0,19.0,13.0,1884.1300048828125,-855.1300048828125,213.0,162.0,4.0,4.0,250.0,167.0,1350.5699462890625,6,1800.0,1800.0,34.5,34.5,34.5,34.5,6,249,156,1350.567788,6.0,0.0,0.0
h0,1800,1.0,0.0,19.0,12.0,1324.199951171875,-295.199951171875,220.0,165.0,3.0,1.0,258.0,168.0,1317.8800048828125,18,1800.0,1800.0,34.5,34.5,34.5,34.5,18,259,154,1313.401892,18.0,0.0,0.0
h0,1950,0.0,0.0,15.0,14.0,,0.0,206.0,168.0,8.0,6.0,246.0,175.0,1366.9200439453125,20,1800.0,1800.0,34.5,34.5,34.5,34.5,20,246,162,1366.915714,20.0,0.0,0.0
h0,2100,1.0,1.0,21.0,16.0,1326.199951171875,-297.199951171875,216.0,160.0,7.0,7.0,264.0,170.0,1326.199951171875,11,1800.0,1800.0,34.5,34.5,34.5,34.5,11,265,163,1315.993951,11.0,0.0,0.0
h0,2250,0.0,1.0,26.0,14.0,,0.0,217.0,173.0,7.0,5.0,266.0,179.0,1340.550048828125,10,1800.0,1800.0,34.5,34.5,34.5,34.5,9,266,167,1340.545543,9.0,0.0,0.0
h0,2400,0.0,0.0,18.0,14.0,,0.0,217.0,171.0,6.0,4.0,257.0,176.0,1346.9300537109375,11,1800.0,1800.0,34.5,34.5,34.5,34.5,11,258,166,1272.331535,11.0,0.0,0.0
h0,2550,2.0,0.0,21.0,21.0,1256.219970703125,-227.219970703125,221.0,172.0,2.0,2.0,267.0,176.0,1256.219970703125,14,1800.0,1800.0,34.5,34.5,34.5,34.5,14,266,159,1351.502746,14.0,0.0,0.0
h0,2700,0.0,0.0,19.0,11.0,,0.0,219.0,162.0,0.0,0.0,250.0,162.0,1361.3599853515625,16,1800.0,1800.0,34.5,34.5,34.5,34.5,16,250,151,1367.734805,16.0,0.0,0.0
h0,2850,0.0,0.0,21.0,12.0,,0.0,226.0,174.0,0.0,0.0,259.0,174.0,1347.27001953125,10,1800.0,1800.0,34.5,34.5,34.5,34.5,10,259,161,1359.646642,10.0,0.0,0.0
h0,3000,1.0,0.0,13.0,8.0,1320.1500244140625,-291.1500244140625,233.0,180.0,0.0,0.0,254.0,181.0,1320.1500244140625,7,1800.0,1800.0,34.5,34.5,34.5,34.5,6,254,170,1331.843357,6.0,0.0,0.0
h0,3150,0.0,0.0,16.0,13.0,,0.0,237.0,186.0,0.0,0.0,267.0,186.0,1340.93994140625,8,1800.0,1800.0,34.5,34.5,34.5,34.5,6,266,176,1340.886198,6.0,0.0,0.0
h0,3300,3.0,0.0,18.0,14.0,1309.699951171875,-280.699951171875,239.0,183.0,0.0,0.0,273.0,186.0,1309.699951171875,8,1800.0,1800.0,34.5,34.5,34.5,34.5,8,273,177,1316.609409,8.0,0.0,0.0
h0,3450,1.0,0.0,17.0,12.0,1269.8199462890625,-240.8199462890625,217.0,171.0,1.0,1.0,248.0,173.0,1269.8199462890625,9,1800.0,1800.0,34.5,34.5,34.5,34.5,8,249,163,1269.824055,8.0,0.0,0.0
h0,3600,1.0,0.0,22.0,20.0,1302.530029296875,-273.530029296875,237.0,175.0,1.0,1.0,282.0,177.0,1288.27001953125,8,1800.0,1800.0,34.5,34.5,34.5,34.5,8,282,168,1290.554117,8.0,0.0,0.0
h0,3750,0.0,0.0,13.0,14.0,,0.0,225.0,175.0,4.0,4.0,256.0,179.0,1314.2900390625,3,1800.0,1800.0,34.5,34.5,34.5,34.5,4,255,174,1314.293492,4.0,0.0,0.0
h0,3900,0.0,0.0,8.0,14.0,,0.0,226.0,175.0,4.0,3.0,253.0,178.0,1328.47998046875,3,1800.0,1800.0,34.5,34.5,34.5,34.5,4,252,163,1328.242338,4.0,0.0,0.0
h0,4050,0.0,0.0,12.0,3.0,,0.0,223.0,178.0,4.0,3.0,243.0,181.0,1342.969970703125,7,1800.0,1800.0,34.5,34.5,34.5,34.5,7,243,173,1320.48851,7.0,0.0,0.0
h0,4200,0.0,0.0,8.0,8.0,,0.0,235.0,177.0,3.0,1.0,255.0,178.0,1305.219970703125,4,1800.0,1800.0,34.5,34.5,34.5,34.5,4,255,166,1300.898862,4.0,0.0,0.0
h0,4350,0.0,0.0,17.0,5.0,,0.0,226.0,176.0,0.0,0.0,250.0,176.0,1332.5899658203125,12,1800.0,1800.0,34.5,34.5,34.5,34.5,11,250,164,1337.903618,11.0,0.0,0.0
h0,4500,1.0,0.0,12.0,13.0,1317.6600341796875,-288.6600341796875,222.0,171.0,2.0,2.0,249.0,174.0,1317.6600341796875,5,1800.0,1800.0,34.5,34.5,34.5,34.5,5,249,160,1338.165353,5.0,0.0,0.0
h0,4650,0.0,0.0,8.0,3.0,,0.0,221.0,179.0,7.0,4.0,239.0,183.0,1326.6600341796875,6,1800.0,1800.0,34.5,34.5,34.5,34.5,7,238,167,1333.070922,7.0,0.0,0.0
h0,4800,0.0,0.0,8.0,8.0,,0.0,204.0,154.0,32.0,23.0,253.0,177.0,1313.25,11,1800.0,1800.0,34.5,34.5,34.5,34.5,10,252,173,1326.596384,10.0,0.0,0.0
h0,4950,0.0,0.0,14.0,6.0,,0.0,158.0,125.0,65.0,50.0,244.0,175.0,1337.8299560546875,5,1800.0,1800.0,34.5,34.5,34.5,34.5,5,244,163,1290.065269,5.0,0.0,0.0
h0,5100,0.0,0.0,9.0,9.0,,0.0,115.0,86.0,107.0,99.0,240.0,185.0,1361.760009765625,4,1800.0,1800.0,34.5,34.5,34.5,34.5,4,240,166,1368.015573,4.0,0.0,0.0
h0,5250,0.0,0.0,6.0,6.0,,0.0,57.0,36.0,167.0,141.0,237.0,177.0,1345.3900146484375,5,1800.0,1800.0,34.5,34.5,34.5,34.5,5,236,168,1345.077151,5.0,0.0,0.0
h11,900,0.0,0.0,11.0,8.0,,0.0,141.0,89.0,1.0,0.0,161.0,89.0,1543.72998046875,5,1800.0,1800.0,22.0,22.666666666666664,70.66666666666666,22.666666666666664,5,161,82,1543.73243,5.0,0.0,7200.0
h11,1050,0.0,0.0,20.0,15.0,,0.0,132.0,71.0,2.0,1.0,173.0,72.0,1495.3800048828125,7,1800.0,1800.0,22.0,22.666666666666668,70.66666666666667,22.666666666666668,7,173,60,1501.385648,7.0,0.0,7200.0
h11,1200,0.0,0.0,21.0,19.0,,0.0,130.0,70.0,2.0,0.0,174.0,70.0,1524.489990234375,13,1800.0,1800.0,22.0,22.666666666666664,70.66666666666666,22.666666666666664,13,175,65,1524.565086,13.0,0.0,7200.0
h11,1350,0.0,0.0,17.0,10.0,,0.0,129.0,57.0,2.0,0.0,160.0,57.0,1514.9100341796875,6,0.0,364.99895574111486,24.0,22.27586206896552,69.44827586206897,22.27586206896552,6,160,45,1514.90534,6.0,17.03276802096134,1440.0
h11,1500,0.0,0.0,18.0,13.0,,0.0,145.0,90.0,0.0,0.0,178.0,90.0,1485.030029296875,48,0.0,1351.1792034884234,23.0,21.298850574712645,72.40229885057471,21.298850574712645,47,178,80,1496.810337,47.0,59.81851913735903,2640.0
h11,1650,0.0,0.0,17.0,12.0,,0.0,144.0,94.0,1.0,0.0,175.0,94.0,1276.6400146484375,89,300.0,1651.1792034884234,23.0,21.298850574712645,72.40229885057471,21.298850574712645,89,176,86,1276.639263,89.0,89.39127803628229,3840.0
h11,1800,0.0,0.0,18.0,12.0,,0.0,135.0,73.0,2.0,1.0,170.0,74.0,1506.2099609375,91,600.0,1800.0,23.0,21.298850574712645,72.40229885057471,21.298850574712645,91,170,68,1509.838003,91.0,78.94275193146346,4800.0
h11,1950,0.0,0.0,14.0,13.0,,0.0,123.0,73.0,5.0,5.0,157.0,78.0,1524.8599853515625,94,0.0,612.2918958663874,77.0,20.187606196901548,20.624787606196904,20.187606196901548,94,157,71,1524.771549,94.0,101.64218707573932,1440.0
h11,2100,0.0,0.0,20.0,15.0,,0.0,183.0,159.0,4.0,4.0,225.0,163.0,1506.81005859375,131,0.0,859.2964126263605,24.0,20.0,74.0,20.0,130,227,160,1506.812448,130.0,143.10103424403587,1800.0
h11,2250,19.0,25.0,38.0,37.0,870.4299926757812,158.57000732421875,163.0,102.0,1.0,1.0,240.0,147.0,870.4299926757812,143,300.0,1159.2964126263605,24.0,20.0,74.0,20.0,143,239,139,870.433585,143.0,143.55709899758548,3000.0
h11,2400,35.0,44.0,48.0,61.0,669.219970703125,359.780029296875,141.0,77.0,0.0,0.0,251.0,156.0,669.219970703125,120,600.0,1459.2964126263605,24.0,20.0,74.0,20.0,120,251,138,675.583024,120.0,107.77798092977328,3900.0
h11,2550,35.0,42.0,57.0,71.0,562.0999755859375,466.9000244140625,136.0,83.0,1.0,0.0,268.0,160.0,536.0499877929688,118,0.0,903.7645075464808,23.0,20.0,75.0,20.0,118,267,131,548.955473,118.0,130.8369211667884,1800.0
h11,2700,55.0,67.0,68.0,81.0,475.5400085449219,553.4599914550781,133.0,72.0,1.0,0.0,284.0,194.0,475.5400085449219,140,300.0,1203.764507546481,23.0,20.0,75.0,20.0,140,283,170,482.741889,140.0,140.6169200530128,3000.0
h11,2850,63.0,79.0,85.0,86.0,400.0700073242188,628.9299926757812,130.0,74.0,11.0,7.0,312.0,223.0,400.0700073242188,116,0.0,985.291519183309,23.0,20.0,75.0,20.0,116,312,209,405.865332,116.0,129.2884180296833,2100.0
h11,3000,59.0,60.0,73.0,67.0,422.5400085449219,606.4599914550781,117.0,55.0,44.0,25.0,301.0,199.0,288.6099853515625,140,300.0,1285.291519183309,77.0,20.0,21.0,20.0,140,300,184,295.245264,140.0,135.15563234113196,3000.0
h11,3150,55.0,56.0,65.0,62.0,536.7899780273438,492.21002197265625,147.0,121.0,81.0,68.0,359.0,300.0,347.94000244140625,115,600.0,1585.291519183309,25.0,21.311475409836067,70.37704918032787,21.311475409836067,115,358,283,354.712606,115.0,103.29360862564036,3900.0
h11,3300,30.0,28.0,44.0,40.0,722.6799926757812,306.32000732421875,119.0,61.0,122.0,95.0,332.0,214.0,187.30999755859372,118,0.0,888.8501223633326,23.0,20.55708689975337,73.88582620049326,20.55708689975337,118,332,176,193.417601,118.0,131.02247567362744,1800.0
h11,3450,28.0,28.0,30.0,30.0,834.6300048828125,194.3699951171875,95.0,42.0,164.0,113.0,322.0,211.0,183.17999267578125,142,0.0,893.4740907650194,23.0,20.0,75.0,20.0,142,322,190,183.1791,142.0,153.2,1800.0
