link,h11,b0,h0,g1,h11-h0,b0-h0
279,2.4541666666666666,2.3958333333333335,2.3916666666666666,2.448611111111111,0.0625,0.004166666666666874
280,0.7444444444444445,0.7583333333333333,0.7361111111111112,0.7597222222222222,0.008333333333333304,0.022222222222222143
281,2.151388888888889,2.3722222222222222,2.2333333333333334,2.5972222222222223,-0.08194444444444438,0.13888888888888884
282,1.3722222222222222,1.4847222222222223,1.5958333333333334,1.6611111111111112,-0.2236111111111112,-0.11111111111111116
289,0.22361111111111112,0.20833333333333334,0.21666666666666667,0.22083333333333333,0.0069444444444444475,-0.008333333333333331
290,0.9069444444444444,0.8847222222222222,0.8888888888888888,0.8638888888888889,0.018055555555555602,-0.004166666666666652
291,2.1013888888888888,2.1041666666666665,2.102777777777778,2.1055555555555556,-0.001388888888889106,0.001388888888888662
292,5.009722222222222,5.055555555555555,4.963888888888889,5.120833333333334,0.04583333333333339,0.09166666666666679
293,2.290277777777778,2.290277777777778,2.290277777777778,2.290277777777778,0.0,0.0
294,0.5263888888888889,0.5263888888888889,0.5291666666666667,0.5291666666666667,-0.002777777777777768,-0.002777777777777768
295,2.3333333333333335,2.345833333333333,2.3041666666666667,2.1930555555555555,0.029166666666666785,0.04166666666666652
296,1.6236111111111111,1.6236111111111111,1.648611111111111,1.5916666666666666,-0.02499999999999991,-0.02499999999999991
297,2.9652777777777777,2.9763888888888888,2.922222222222222,3.011111111111111,0.043055555555555625,0.054166666666666696
298,10.270833333333334,10.0,10.055555555555555,10.122222222222222,0.21527777777777857,-0.05555555555555536
308,0.8305555555555556,0.8305555555555556,0.8013888888888889,0.8277777777777777,0.029166666666666674,0.029166666666666674
309,8.7875,8.808333333333334,8.7375,8.783333333333333,0.049999999999998934,0.07083333333333286
310,37.81944444444444,41.94583333333333,40.24583333333333,43.30972222222222,-2.426388888888887,1.7000000000000028
314,3.8375,2.977777777777778,1.7861111111111112,2.966666666666667,2.051388888888889,1.1916666666666667
316,0.06944444444444445,0.05555555555555555,0.05694444444444444,0.05138888888888889,0.012500000000000004,-0.001388888888888891
317,23.805555555555557,21.85,21.045833333333334,26.73611111111111,2.759722222222223,0.8041666666666671
319,0.175,0.15555555555555556,0.13333333333333333,0.14166666666666666,0.04166666666666666,0.022222222222222227
321,62.71527777777778,60.13194444444444,63.50416666666667,64.00555555555556,-0.7888888888888914,-3.372222222222227
322,81.275,77.4263888888889,81.83611111111111,81.0111111111111,-0.5611111111111029,-4.409722222222214
324,1.2180555555555554,1.0638888888888889,1.1458333333333333,1.2833333333333334,0.07222222222222219,-0.08194444444444438
325,71.41388888888889,67.70694444444445,71.97361111111111,71.55,-0.55972222222222,-4.266666666666666
326,104.2875,99.23055555555555,105.1986111111111,104.14861111111111,-0.9111111111111114,-5.9680555555555515
327,1.0375,0.9194444444444444,1.0013888888888889,1.1583333333333334,0.036111111111111205,-0.08194444444444449
328,1.4430555555555555,1.2569444444444444,1.3416666666666666,1.5805555555555555,0.10138888888888897,-0.08472222222222214
329,73.27361111111111,71.34722222222223,74.01944444444445,74.85,-0.7458333333333371,-2.672222222222217
