t,n,stopped
1966,5766,2448
1971,5778,2470
1976,5785,2468
1981,5799,2425
1986,5809,2374
1991,5810,2375
1996,5834,2381
2001,5854,2397
2006,5874,2405
2011,5896,2405
2016,5913,2346
2021,5925,2350
2026,5931,2357
2031,5944,2296
2036,5965,2316
2041,5974,2319
2046,5987,2327
2051,5993,2399
2056,5989,2474
2061,5989,2559
2066,6002,2539
2071,6019,2638
2076,6042,2642
2081,6043,2710
2086,6057,2759
2091,6052,2861
2096,6065,2884
2101,6079,2950
2106,6083,2862
2111,6093,2884
2116,6094,2866
2121,6088,2917
2126,6084,2942
2131,6099,2903
2136,6118,2858
2141,6132,2790
2146,6120,2784
2151,6136,2736
2156,6157,2778
2161,6176,2781
2166,6201,2771
2171,6221,2681
2176,6249,2674
2181,6261,2571
2186,6275,2558
2191,6292,2583
2196,6307,2639
2201,6324,2720
2206,6338,2723
2211,6344,2828
2216,6353,2858
2221,6359,2910
2226,6362,2965
2231,6358,2976
2236,6362,3036
2241,6392,3107
2246,6401,3197
2251,6410,3260
2256,6426,3204
2261,6438,3235
2266,6434,3214
2271,6432,3178
2276,6431,3222
2281,6434,3120
2286,6452,2986
2291,6454,3017
2296,6452,3002
2301,6456,3012
2306,6454,2970
2311,6471,2973
2316,6467,2941
2321,6480,2918
2326,6477,2857
2331,6496,2774
2336,6528,2751
2341,6543,2828
2346,6549,2808
2351,6547,2896
2356,6558,2992
2361,6566,2972
2366,6577,3004
2371,6600,3059
2376,6616,3091
2381,6632,3153
2386,6671,3219
2391,6700,3247
2396,6727,3344
2401,6739,3365
2406,6750,3302
2411,6772,3290
2416,6774,3237
2421,6769,3282
2426,6775,3282
2431,6782,3244
2436,6784,3211
2441,6777,3150
2446,6784,3110
2451,6787,3172
2456,6799,3164
2461,6802,3161
2466,6813,3139
2471,6829,3117
2476,6830,3079
2481,6849,3042
2486,6861,3065
2491,6881,3054
2496,6897,3069
2501,6910,3134
2506,6911,3138
2511,6924,3194
2516,6930,3209
2521,6941,3249
2526,6954,3299
2531,6953,3343
2536,6956,3399
2541,6975,3516
2546,6984,3516
2551,6995,3559
2556,7009,3467
2561,7016,3456
2566,7021,3462
2571,7011,3427
2576,7003,3484
2581,6984,3446
2586,6982,3377
2591,6971,3384
2596,6979,3294
2601,6978,3353
2606,7003,3379
2611,7013,3392
2616,7034,3379
2621,7025,3379
2626,7033,3424
2631,7045,3307
2636,7042,3233
2641,7049,3293
2646,7063,3304
2651,7073,3304
2656,7072,3354
2661,7077,3379
2666,7070,3438
2671,7088,3529
2676,7102,3609
2681,7115,3623
2686,7137,3632
2691,7155,3711
2696,7165,3699
2701,7181,3749
2706,7199,3685
2711,7190,3657
2716,7184,3678
2721,7163,3718
2726,7164,3720
2731,7141,3670
2736,7137,3607
2741,7128,3599
2746,7104,3583
2751,7101,3580
2756,7090,3534
2761,7083,3556
2766,7095,3573
2771,7076,3532
2776,7079,3530
2781,7076,3531
2786,7082,3498
2791,7085,3496
2796,7079,3463
2801,7057,3468
2806,7073,3487
2811,7077,3507
2816,7085,3502
2821,7100,3569
2826,7100,3572
2831,7104,3611
2836,7116,3678
2841,7125,3736
2846,7147,3778
2851,7158,3797
2856,7168,3817
2861,7186,3817
2866,7171,3844
2871,7167,3825
2876,7150,3837
2881,7142,3827
2886,7125,3811
2891,7108,3706
2896,7106,3649
2901,7093,3598
2906,7093,3613
2911,7096,3600
2916,7099,3616
2921,7110,3561
2926,7115,3541
2931,7108,3545
2936,7118,3541
2941,7126,3506
2946,7120,3524
2951,7126,3569
2956,7121,3607
2961,7138,3726
2966,7146,3790
2971,7143,3852
2976,7145,3821
2981,7155,3802
2986,7153,3836
2991,7148,3898
2996,7164,3990
3001,7175,3997
3006,7169,3860
3011,7190,3888
3016,7177,3886
3021,7174,3916
3026,7176,3969
3031,7165,3927
3036,7155,3882
3041,7149,3913
3046,7152,3880
3051,7153,3899
3056,7152,3838
3061,7152,3823
3066,7158,3795
3071,7146,3787
3076,7151,3767
3081,7143,3756
3086,7148,3722
3091,7148,3637
3096,7158,3614
3101,7169,3646
3106,7190,3637
3111,7205,3712
3116,7211,3760
3121,7219,3799
3126,7237,3802
3131,7240,3846
3136,7256,3843
3141,7262,3945
3146,7272,4002
3151,7281,4100
3156,7285,4043
3161,7295,3992
3166,7296,4013
3171,7304,3989
3176,7276,4019
3181,7268,4007
3186,7277,3913
3191,7269,3917
3196,7268,3915
3201,7264,3930
3206,7258,3912
3211,7235,3896
3216,7222,3890
3221,7228,3909
3226,7234,3875
3231,7256,3825
3236,7265,3811
3241,7276,3682
3246,7285,3624
3251,7289,3577
3256,7299,3653
3261,7305,3700
3266,7331,3697
3271,7322,3736
3276,7333,3762
3281,7337,3800
3286,7346,3841
3291,7354,3877
3296,7366,3997
3301,7364,4091
3306,7390,3993
3311,7411,4053
3316,7415,4051
3321,7435,4077
3326,7438,4126
3331,7431,4044
3336,7426,4036
3341,7413,4020
3346,7398,3975
3351,7398,3980
3356,7405,3956
3361,7404,3905
3366,7397,3906
3371,7399,3922
3376,7394,3936
3381,7409,3953
3386,7416,3921
3391,7404,3863
3396,7384,3753
3401,7391,3716
3406,7399,3755
3411,7403,3804
3416,7427,3853
3421,7422,3900
3426,7433,3928
3431,7432,3928
3436,7429,4036
3441,7421,4046
3446,7409,4119
3451,7409,4147
3456,7406,4090
3461,7413,4109
3466,7420,4145
3471,7417,4130
3476,7416,4202
3481,7409,4118
3486,7410,4058
3491,7422,4031
3496,7411,4037
3501,7412,3950
3506,7406,3928
3511,7405,3904
3516,7398,3871
3521,7399,3892
3526,7393,3890
3531,7387,3905
3536,7381,3846
3541,7400,3816
3546,7405,3804
3551,7403,3839
3556,7418,3859
3561,7427,3856
3566,7446,3901
3571,7462,3974
3576,7472,4082
3581,7482,4109
3586,7489,4125
3591,7500,4201
3596,7498,4247
3601,7503,4283
3606,7499,4223
3611,7495,4256
3616,7496,4287
3621,7489,4271
3626,7491,4350
3631,7486,4315
3636,7471,4248
3641,7460,4183
3646,7438,4196
3651,7439,4215
3656,7420,4085
3661,7410,4029
3666,7425,3964
3671,7419,3968
3676,7401,3917
3681,7379,3835
3686,7367,3807
3691,7356,3805
3696,7344,3855
3701,7341,3893
3706,7350,3973
3711,7353,4055
3716,7349,4061
3721,7361,4149
3726,7363,4198
3731,7364,4168
3736,7358,4260
3741,7363,4271
3746,7365,4283
3751,7358,4308
3756,7375,4310
3761,7380,4339
3766,7367,4345
3771,7376,4378
3776,7370,4460
3781,7363,4397
3786,7355,4387
3791,7349,4369
3796,7343,4295
3801,7351,4290
3806,7340,4177
3811,7332,4122
3816,7336,4072
3821,7335,4060
3826,7325,4017
3831,7321,3960
3836,7320,3964
3841,7318,3970
3846,7316,3972
3851,7313,4069
3856,7309,4106
3861,7310,4162
3866,7311,4148
3871,7313,4224
3876,7318,4276
3881,7319,4274
3886,7326,4374
3891,7335,4401
3896,7342,4505
3901,7353,4531
3906,7356,4461
3911,7361,4447
3916,7369,4511
3921,7372,4500
3926,7364,4534
3931,7361,4462
3936,7350,4457
3941,7342,4450
3946,7332,4469
3951,7341,4491
3956,7352,4432
3961,7351,4404
3966,7354,4365
3971,7347,4311
3976,7341,4243
3981,7332,4153
3986,7334,4105
3991,7333,4101
3996,7331,4103
4001,7344,4157
4006,7346,4189
4011,7356,4230
4016,7363,4269
4021,7370,4304
4026,7372,4347
4031,7376,4390
4036,7379,4425
4041,7381,4489
4046,7375,4540
4051,7392,4537
4056,7410,4464
4061,7436,4424
4066,7436,4405
4071,7435,4465
4076,7435,4444
4081,7438,4443
4086,7434,4404
4091,7429,4399
4096,7426,4363
4101,7434,4359
4106,7427,4293
4111,7446,4280
4116,7459,4310
4121,7461,4273
4126,7472,4228
4131,7480,4170
4136,7476,4147
4141,7478,4137
4146,7466,4162
4151,7463,4162
4156,7454,4204
4161,7455,4252
4166,7459,4291
4171,7449,4329
4176,7454,4403
4181,7454,4414
4186,7459,4480
4191,7463,4593
4196,7459,4611
4201,7471,4648
4206,7482,4575
4211,7498,4570
4216,7492,4578
4221,7492,4577
4226,7482,4568
4231,7479,4483
4236,7472,4422
4241,7466,4398
4246,7457,4373
4251,7454,4366
4256,7454,4365
4261,7457,4361
4266,7475,4350
4271,7484,4421
4276,7490,4309
4281,7495,4227
4286,7494,4257
4291,7499,4245
4296,7495,4258
4301,7501,4291
4306,7524,4283
4311,7531,4358
4316,7545,4300
4321,7541,4356
4326,7547,4348
4331,7554,4413
4336,7569,4427
4341,7576,4523
4346,7587,4583
4351,7590,4622
4356,7596,4534
4361,7603,4548
4366,7611,4503
4371,7615,4556
4376,7619,4561
4381,7621,4505
4386,7621,4438
4391,7600,4455
4396,7590,4423
4401,7577,4447
4406,7571,4460
4411,7565,4392
4416,7562,4333
4421,7563,4303
4426,7567,4301
4431,7567,4271
4436,7559,4230
4441,7571,4219
4446,7581,4219
4451,7586,4248
4456,7580,4267
4461,7586,4293
4466,7597,4278
4471,7585,4335
4476,7591,4320
4481,7588,4328
4486,7599,4374
4491,7592,4465
4496,7599,4518
4501,7608,4606
4506,7602,4547
4511,7605,4577
4516,7593,4521
4521,7587,4593
4526,7576,4620
4531,7569,4563
4536,7569,4572
4541,7566,4504
4546,7569,4487
4551,7577,4488
4556,7570,4473
4561,7580,4440
4566,7580,4412
4571,7577,4338
4576,7561,4327
4581,7560,4303
4586,7564,4256
4591,7558,4302
4596,7561,4275
4601,7559,4291
4606,7545,4294
4611,7544,4302
4616,7556,4309
4621,7556,4384
4626,7538,4398
4631,7535,4441
4636,7540,4497
4641,7540,4521
4646,7534,4556
4651,7527,4614
4656,7538,4589
4661,7542,4567
4666,7542,4586
4671,7527,4581
4676,7527,4603
4681,7520,4549
4686,7519,4532
4691,7516,4548
4696,7493,4579
4701,7492,4607
4706,7479,4487
4711,7464,4500
4716,7458,4494
4721,7456,4463
4726,7443,4402
4731,7442,4358
4736,7430,4336
4741,7416,4326
4746,7403,4330
4751,7395,4354
4756,7403,4390
4761,7395,4442
4766,7383,4418
4771,7375,4474
4776,7366,4507
4781,7354,4536
4786,7362,4546
4791,7369,4639
4796,7370,4618
4801,7377,4670
4806,7372,4679
4811,7379,4715
4816,7378,4709
4821,7377,4705
4826,7377,4737
4831,7367,4686
4836,7366,4634
4841,7361,4644
4846,7365,4591
4851,7370,4682
4856,7375,4626
4861,7381,4543
4866,7394,4498
4871,7405,4465
4876,7407,4472
4881,7395,4411
4886,7379,4398
4891,7365,4396
4896,7355,4420
4901,7352,4464
4906,7354,4525
4911,7359,4572
4916,7376,4598
4921,7374,4596
4926,7375,4594
4931,7378,4672
4936,7366,4670
4941,7353,4701
4946,7352,4689
4951,7350,4734
4956,7356,4707
4961,7361,4720
4966,7368,4710
4971,7368,4752
4976,7371,4758
4981,7364,4785
4986,7359,4700
4991,7360,4697
4996,7363,4691
5001,7367,4677
5006,7372,4690
5011,7384,4630
5016,7382,4625
5021,7395,4614
5026,7401,4568
5031,7399,4535
5036,7403,4522
5041,7408,4517
5046,7402,4506
5051,7390,4581
5056,7390,4613
5061,7380,4640
5066,7384,4662
5071,7380,4676
5076,7377,4692
5081,7372,4652
5086,7357,4647
5091,7341,4672
5096,7346,4753
5101,7359,4743
5106,7372,4654
5111,7383,4684
5116,7384,4730
5121,7375,4722
5126,7362,4759
5131,7357,4727
5136,7357,4751
5141,7339,4732
5146,7323,4734
5151,7332,4778
5156,7333,4673
5161,7336,4648
5166,7330,4622
5171,7332,4601
5176,7324,4559
5181,7333,4456
5186,7331,4422
5191,7328,4439
5196,7323,4472
5201,7316,4468
5206,7326,4494
5211,7327,4508
5216,7330,4596
5221,7327,4650
5226,7340,4691
5231,7346,4726
5236,7340,4759
5241,7341,4810
5246,7350,4794
5251,7359,4773
5256,7358,4709
5261,7360,4701
5266,7354,4675
5271,7344,4697
5276,7344,4765
5281,7355,4709
5286,7359,4728
5291,7350,4739
5296,7344,4689
5301,7329,4755
5306,7324,4733
5311,7322,4657
5316,7331,4674
5321,7325,4648
5326,7336,4603
5331,7341,4541
5336,7355,4532
5341,7363,4550
5346,7361,4568
5351,7353,4596
5356,7351,4616
5361,7335,4623
5366,7328,4686
5371,7320,4684
5376,7318,4691
5381,7314,4691
5386,7299,4711
5391,7298,4749
5396,7301,4763
